"name","description","website","contact_person","country","file","problems","solutions","address","contact_number","UEN.No","Charity.Status","Date.of.Charity.Registration","IPC.Status","IPC.Period","Details.URL","cause_area","email","city","Contact_number"
"Malaria Center","Despite decades of malaria control efforts which focus on curative treatment, dr. Mohammad Alhabsyi has shifted people's practices in eradicating malaria through collaborative approach amongst cross sector government agencies and local community.","http://malariacenter.web.id/index.php/en/","Mohammad Alhabsyi","Indonesia","changemakers_indonesia.csv","Malaria remains a major cause of morbidity and mortality in tropical and subtropical regions of the world. Nearly half of Indonesia's 240 million populations live in malaria endemic areas, where eastern provinces are with the highest incidents. Despite decades of malaria control efforts, more than 500,000 morbidity cases, with an estimation of 900 people died per 100,000 populations, are reported in 2009 by WHO. 


It is also claimed that 90% of those who died are children. However, children who survive an episode of severe malaria suffer from learning impairments and brain damage, even could lead to poor childhood development when experience repeated episodes of malaria. Pregnant mothers and their unborn children also face risks from malaria. Not only that did it affect the health and the lives of the people, Malaria also exacerbates poverty due to medication expenses.


In the province of North Maluku, people do not know malaria, let alone recognize its signs and symptoms and how it's transmitted. For hundreds of years, they otherwise associate malaria symptoms with myths and take the patients to shaman. Healthcares in the village, when there are, unfortunately do not have the capacity to treat patients neither have medical equipment to do blood tests. Health Clinics on the other hand are limited to only 30 centers serving people living across 400 islands in the district of South Halmahera alone. Due to this geographically barriers, which imply high transportation cost, people would rather leave the patients untreated. 


Since 1950s, government interventions to control malaria have been in curative approach. Malaria breeding sites still spread across the neighborhood. Especially in South Halmahera, people lives in coastal and swampland areas which are the natural breeding sites for Anopheles mosquitoes. Government infrastructure services such as sanitation and roads, have been however developed in a top down approach which does not meet the community needs in eliminating malaria.","Since the 2003 outbreak occurred in many villages in South Halmahera, which claimed 267 lives, dr. Moh urged that eradicating malaria is everyone's responsibility. He then reversed the way the government used to addressing malaria's control, away from top-down to bottom-up where community members take the lead in controlling the mosquito-borne disease. Through the establishment of Village Malaria Committee, Dr.Moh has created channel for community members to understand how malaria is transmitted and its causes, recognize signs and symptoms, improve preventive collective practices and treatment–seeking behaviors. This has resulted to no outbreaks for the past three years and in many areas there have been zero cases in infants and pregnant women.


To strengthen the local initiatives, dr. Moh developed an integrated system for malaria prevention engaging different government offices including among others District Planning Bureau, Village Development Bureau, Fisheries District Office, Public Works Office, Education Office and Health Office. He co-founded Malaria Center as means to coordinate all institutions. He and his colleagues advocated the Provincial and District Governments to issue regulations that allow all government institutions to collaborate. To date, Malaria Centre has been set up in tens of Sub-districts in 7 Districts and Cities across North Maluku Province. Currently dr. Moh and his colleagues are working on the replication in Eastern Indonesia islands of which South and West Sulawesi provinces have already started the model.","","",,,,,,,,,,
"Syamsi Dhuha Foundation","In the midst of struggle to fight against Lupus the unknown disease, Dian Wahdhini Syarief, a person living with Lupus and low vision, is building a supporting system engaging stakeholders to ensure the survival of people with Lupus in Indonesia.","http://www.syamsidhuhafoundation.org","Dian Syarief","Indonesia","changemakers_indonesia.csv","The Problem


Estimated around 300,000 in Indonesia and over 5 million globally, people live with SLE This number could increase drastically as many people cannot yet be detected. Furthermore, the symptoms vary greatly from person to person. The prevalence rate per case is amongst 500-1000 people with women have a much higher ratio than men (9 women : 1 man) during their productive years (15-45). Even though it has been found since the 13th century, SLE is still incurable. Currently the average 10-year survival rate has been more than 90% compared to less than 50% of 5-year survival in 1955. 


Nonetheless, the mortality rate could be pushed further down when there is early diagnosis and treatment for LSE, and drug medications are accessible and affordable. Odapus in Indonesia are still struggling unfortunately, as there is no system in place to support them. In the medical service, there are not a lot of doctors aware and have the skills to conduct early diagnosis. Or they may take a long time to diagnose, since the symptoms come and go and mimic many other illnesses. 


Due to the challenge, Odapus often have misdiagnosed and got mistreatment. No procedure operating system is in place for the health providers, especially in public health clinics to handle the suspected patience. For those who have been diagnosed, medical drugs prescribed by the doctors are expensive and inaccessible especially for Odapus who are poor and live in remote areas. The lower income bracket would otherwise let the disease untreated as they are unfortunately cannot afford the doctor fee nor the medication.


While medical science has not yet developed a method of curing lupus, very few researchers have the interest to bring new findings to support the lives of Odapus. Although there are already attempts done by the government and different organizations to promote Lupus, the general public is still not aware of the disease. Some are not able to identify the symptoms and others do not know how to help. In addition to the medical challenges, psychological problems like stress and depression are common in Odapus. Moreover, some Odapus have to also deal with impaired vision (from low vision to blindness). Many Odapus and low vision become unproductive labor force and quit from their job, or students are absence from their school. Some organizations set up peer support group, however they are exclusive.","The Idea


While others focus on campaign and building exclusive community of people living with Lupus (Odapus) or SLE (Systemic Lupus Erythematosus) –a systemic autoimmune disease, Dian is building the supporting system where Odapus and Low vision (LV) could live longer and healthier. To ensure the health system is available, Dian works with the District Health offices assisting doctors and nurses at the sub-district health clinics aware of SLE and improve their skills in early diagnosis and treatment. She has also partnered with 100 volunteer doctors for Lupus (Dokter Pemerhati Lupus) who then set up Health Center for Lupus in different public ehospitals (Yang men set up Lupus centre adalah para dokter pemerhati Lupus).


As medication and laboratory test are costly, Dian engages pharmacies and laboratories to provide discounted price for Odapus. She is also proposing  to  the Health Ministry, pharmaceutical companies and hospitals to ensure the equal distribution of drugs for Lupus for the poor and in remote areas. In mobilizing public support for Odapus, Dian engages researchers to find immunosuppressant from natural resources. While doing a creative campaign by selling among others music album, audio book and Ring Back Tone on Lupus, Dian is mobilizing people to support her work sustainably. Currently about 500 Odapus joined in her Lupus Community and set up online peer support group to facilitate communication and information exchange from Odapus in remote areas including those who live abroad. 


In addition to working with her Lupus Community to spread her work and connect to other groups, Dian has also been working with the Health Ministry to develop operation guidance to address SLE including among others planning in Ministry resources deployment, preparing Ministerial Decree for drug pricing and distribution control, Standard Operating Procedure and referral system for hospitals and health clinics'.","","",,,,,,,,,,
"Rumah Autis","Deka Kurniawan is creating local services that enable autistic children from poor families to access therapeutic and developmental services. These centers are the first of their kind in Indonesia, providing holistic services to both autistic children and their families.","https://www.changemakers.com/ashoka-fellows/entries/rumah-autis","","Indonesia","changemakers_indonesia.csv","","The New Idea


Deka Kurniawan has been trying to assist autistic children and their parents by developing Rumah Autis. His main concern and idea is how to  mobilize resources (financial and non financial) in which autistic children from poor family can enjoy various service such as therapy, specific need education, life skill training and boarding. He  mobilize financial resources through collecting donations from various efforts such as individual donations,  Corporate Social Responsibility (CSR) fund, local government budget, and  developing business unit. Around  60 percent of Rumah Autis budget is collected through  individual donations.  


Although initially Rumah Autis only recruit  autistic children from poor families. However  in its development it  also recruit autistic children from the  rich family.  These changes are possible because there are demand from  rich parents to accept  autistic children from well off family.  So there are two kind of autistic children parent in Rumah Autisnamely those who have and those who have not.  The first have to pay Rumah Autis's services at normal price. It contribute 40 percent of Rumah Autis annual budget. The latter  can contribute in line with  their ability to pay.  It enable him  to  employ  cross subsidy approach between those parents that enable poor autistic children be able to enjoy therapy, education, training and boarding services.  


During the last eight years Rumah Autis has seven  units: 1) Rumah Autis Bekasi (main office), 2) Rumah Autis Tangerang  , 3)Rumah Autis  Gunung Putri (Bogor Regency)4) Rumah Autis Tangjung Priok, 5) Rumah Autis Pakuan (Bogor Municipality), 6) Rumah Autis Sinergi-Antam Depok, 7) Rumah Autis Karawang. Those  Rumah Autis are able to accommodate 230  autistic children   Sixty percent of the 230  autistic children from poor families,the rest are  come from well off families.","Jalan Alhusna No.39, 01, Jatikramat, Jatiasih, Jatibening, Pondokgede, Kota Bks, Jawa Barat 17421, Indonesia","+62 21 84995025",,,,,,,,,,
"Yayasan Pelita Ilmu","In addressing the growing epidemics of HIV/AIDS, which is claimed the fastest in Asia, Samsuridjal has creating the enabling system to eliminate the spread by engaging students and teenagers, teachers and schools, medical students and doctors, policy makers, pharmaceutical company, health posts and hospitals in Indonesia.","https://www.changemakers.com/ashoka-fellows/entries/yayasan-pelita-ilmu","Samsuridjal Djauzi","Indonesia","changemakers_indonesia.csv","In the last 15 years, HIV/AIDS has become an epidemic in Indonesia, which is considered the fastest growing among HIV/AIDS in Asia. There have been more than 24.482 HIV/AIDS cases reported with 4.603 people died. Of cases reported, more than 50% were people under 30 years of age, and a growing number of infants who contract the disease through the womb or from being breastfed. In addition, the epidemic of injecting drug use continues to be the primary mode of transmission, accounting for over 50% of HIV infections.


Risky sexual behaviors and exchange used needles amongst the Injecting Drug Users (IDU) have increased the likelihood of HIV/AIDS spreading to the general population. Awareness of HIV status among at-risk and general populations is low. Furthermore, stigma and discrimination persist and many people living with HIV hide their status for fear of losing their jobs, social status, and the support of their families and communities. It has been thus decreasing the likelihood that they will receive proper treatment and increasing the chances of HIV spreading undetected. 


Limited knowledge about HIV/AIDS amongst government officials and medics and lack of knowhow in medical treatment has furthermore caused hospitals to reject patient with AIDS. Those who have been infected are unable to afford the antiretroviral therapy (ART).","When the government was still in denial that AIDS cases existed in Indonesia, Syamsurizal and his doctor colleagues have already initiated the AIDS movement since the 1980s. He started by sharing information in reproductive health to students whom he thinks the highest risks with the lowest knowledge in HIV/AIDS. Through the endeavor, he cultivated student peer counselors to do outreach to programs. Currently hundreds of high schools in Jakarta and other cities across Indonesia are replicating the model. 


At the grassroots level, Samsuridjal develops community-based prevention of mother to child transmission, which was first started in Jakarta. Over years the program has been replicated by different organizations in 6 provinces, Banten, West, Central and East Java, South Sulawesi and Papua. By developing workshops function as center of HIV/AIDS, he builds community support for persons with HIV/AIDS (PLHIV). The workshop has given the birth of HIV support group initiated by the late Suzana Murni (Ashoka Fellow). 


Simultaneous with the public education and community support, he cofounded the Special Study Group for AIDS (Kelompok Studi Khusus-Pokdisus) between RSCM Public Hospital and Medical Faculty University of Indonesia. He advocated the acceptance of AIDS patient in hospitals. Now almost every hospital would accept patients with HIV/AIDS, and capable in conducting surgeries when necessary. Many doctors have also been capable in diagnosis, indicated by how 70% patients in Jakarta come for treatment after reference from GP or specialists. Samsuridjal also led the advocacy for free ARV therapy, as most of PLHIV cannot afford. Over five years of continuous efforts since 1998 he has finally been successful in making the ARV generic produced by local pharmaceutical company, and provided for free by the government with the support from WHO. Until now, the subsidized ARV therapy has been covering around 4500 people with AIDS.","Jl. Kebon Baru IV No.16, RT.1/RW.9, Kb. Baru, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830, Indonesia","+62 21 83795480",,,,,,,,,,
"Institut Pengembangan dan Pemberdayaan Masyarakat (ICDp)","Even though there is an increase in school enrollment number, two millions of Indonesian children still experience primary school drop-outs. John Rahail, has created infrastructures for pre-school development and learning rooted in their locality and cultural based in Indonesia.","https://www.changemakers.com/ashoka-fellows/entries/institut-pengembangan-dan-pemberdayaan-masyarakat-icdp","John Rahail","Indonesia","changemakers_indonesia.csv","Indonesia has reached 94% primary education for children 7-12 years of age. Nonetheless, there remains 2 million primary school children are out of school. Regional variations exist, however, eastern Indonesia provinces lag considerably behind the rest of Indonesia in terms of education enrollment. Papua and West Papua Provinces, which are the lowest national UNDP HDI (Human Development Index), lag significantly behind the national rate at about 80% in primary school to 96% national average and about 47% at junior secondary to 91% national. Furthermore, the average years of schooling in rural areas, where 86% of the indigenous Papuans live, is only 2-4 years. Despite progress in the transition from primary to junior secondary school, only about 55% of children from low-income families are enrolled in junior secondary schools. 


Indonesia's legal framework meets most requirements to guarantee the right to education. However, access and quality of education in Papua provinces are far below national standards, in spite of countless government programs to address education challenges have been taken. Government applied standardized education model with perspective unfamiliar to local people. There has not been any attempt to align the learning model with local traditions and customs. When other parties tried to develop alternative model, they are unfortunately run in a project basis with hardly any continuation. The quality of the teachers is moreover insufficient and put the children purely as passive recipients. All of these have lowered children's motivation to go to school. 


Although mandatory school fees were recently abolished, the associated costs of schooling - uniforms, books, transport and lunch money - continue to impact more heavily on parents' ability to keep their children in school. The major barriers faced by rural families are geography and subsistent economy. In addition, most rural people hold views about schooling as expensive and investment in it has no value—because it takes a long time to see results. Furthermore, education is viewed as cost and even threat of loosing the family's resources to take care of domestic work, such as, accompanying parents working at the crops or to the market, or stay home to take care of younger siblings. The rural community also considers education as urban modernization as once graduated the children will live in cities and leave rural agrarian lifestyle.","Through the development of Sekolah Kampung (village school), John has developed channels for pre-school children to pshychologically and physically ready to enter a learning culture in the aims to encounter high drop-outs rate in Papua. Through the model, John is instilling the interest of children to learn and therefore improve their self-confidence. A contextualized curriculum has been developed where John has converted traditional games into learning material, so that children wouldn't feel strange while learning new things. To maximize the learning result, John integrated children primary health measures. Practices such as eating nutritious food, washing hands before eating and after defecation and other basic personal hygiene practices have been introduced. 


John's model has shifted the perpective of the people, especially the parents, from being sceptical and against education to engaging in monitoring their children development and taking pride in their progress. Local mothers and youth become teachers in the Village School. Through village regulation, Village Head and Customary Leaders support by engaging other villagers as school teachers and health post cadres. Over 3 years of operation, the Village School has accommodated 372 children where 85 of them already enrolled in primary school. The first generation of the school are still sitting at their 5th year of primary schooling. Currently the model is being replicated in three districts of Kaimana, Kerom and Jayapura of Papua Province with funding support from local government and USAID.","","+62 967 583686",,,,,,,,,,
"Bank Pohon","Two thirds of Indonesia's 120 million hectare forest is in critical condition. Paris Sembiring has created a business model that empowers and provides economic incentives for people from different backgrounds to get involved in seedlings development in support of reforestation movement in Indonesia.","https://www.changemakers.com/ashoka-fellows/entries/bank-pohon","Paris Sembiring","Indonesia","changemakers_indonesia.csv","Indonesia has the third largest extend of the world's remaining tropical forest. Nonetheless, rapid and high rate of excessive deforestation and land conversion to smallholder or plantation agriculture has made half of Indonesia's forest in critical condition. Past estimates of the extent of degraded land in Indonesia have ranged widely—from 12 to 74 million hectares.


People living at the local level have the most immediate effect from deforestation. With forest loss, the local community loses the system that ensures the regular flow of clean water and protects the community from flood and drought. When forest cover is lost, runoff rapidly flows into streams, elevating river levels and subjecting downstream villages, cities, and agricultural fields to flooding, especially during the rainy season. During the dry season, such areas downstream of deforestation can be prone to months-long droughts. However, there is almost an absence of people living close to the forest participating in reforestation, let alone those who live in the city who may have no direct impact of deforestation. 


Government attempts to restore forest cover have had a low success rate, despite considerable public expenditure. Ministry of Forestry has just launched the annual one billion trees planting program in degraded land. Nonetheless, ripe seedlings are not available for the planting season. The actual result thus showed less than 10% seedlings planted has survived and thrived. Low quality of seedling being used, which is not ready for planting, accounted for the failure. 


Incorrect tree planting techniques applied by people engaged in the reforestation exacerbates the problem, as they do not have the required knowledge and skills. Furthermore, there has been an absence in post-planting care. Even though the government has developed 10.000 KBR (Citizen-based Seedlings Garden) throughout Indonesia, which each should meet 50,000 seedlings supply per year, most seedlings failed to grow due to wrong nursery technique. Unfortunately, most tree planting activities conducted by both government and civil society organizations, are merely ceremonial and thus unsustainable.","Paris saw an untapped opportunity for everyone to participate in reforestation while gaining economic incentive from the activities. Responding to the huge needs for Indonesia to cover the degraded forest, Paris initiated the development of tree nursery movement, run and owned by community members. 


With the idea of ‘Tree Bank' Paris engaged farmers, young people, students, teachers, and scavengers to establish groups of environment cadres to produce high quality seedlings in a self-sufficient mechanism.  Paris organized scavengers to collect seeds from the juice street vendors, of which some are sold to the environment cadres groups and the rest they use for their own nursery. In Medan he has mobilized 80 scavengers who have earned much more than collecting recyclables. Paris also established and trained 150 farmer groups who then joined his network. From these nursery businesses the groups have gained profit projection up to 500%.  To date, Paris has assisted more than 16,000 environment cadres who formed 400 groups in 10 provinces throughout Sumatera Island. To improve seedlings sales and catch wider market, Paris helped the groups established Association of Plant Breeders.


Paris saw the importance of youth and education institutions for the reforestation movement. He then worked with different schools, university, playgroup and kindergarten. He assisted high schools and established Student Group of Environmental Lovers, an extracurricular club for students to get involved in greening activities. Moreover, the activity has been integrated in the biology curricula where students learn how to produce superior seedlings, conduct tree planting around the schoolyard and maintain the plants.  To widen the movement, Paris is currently working on spreading the model to other islands beyond Sumatra.","","",,,,,,,,,,
"Bandung Fe Institute","In a fast changing environment people are demanded to be able to adapt by which knowledge has become the power to survive. By utilizing the untapped cross-sector and multi disciplinary knowledge, Hokky initiated the application of complexity science to address human needs in Indonesia.","http://bandungfe.net/","Hokky Situngkir","Indonesia","changemakers_indonesia.csv","Indonesia is the world's largest archipelago with a population of 240 millions spread across 13,667 islands. In today's increasingly competitive world economy, Indonesia is struggling to maintain and expand its economic opportunities as it fails to keep pace in knowledge acquisition and dissemination. Despite Indonesia's diverse population thus rich in knowledge, with considerably low level of education, nonetheless, people have less access to knowledge and the skills to use the knowledge effectively. 


In a fast-changing environment people are demanded to be able to produce constant innovation, to be constantly adapting, and be in a state of continual evolution, if they are to survive. Such needs are hardly to achieve, as people tend to be passive knowledge consumers than producers although there are extensive sources of knowledge that could be used to produce innovations. The linier way of knowledge use and production has furthermore hindered people to be able to address complex problems. 


Among the small business holders, for instance, traditional batik designs have transmitted from generation to generation mostly through oral tradition. Traditional knowledge in Indonesia's diverse culture can actually be utilized as a value added to people's asset. With complex impact of globalization, however, there are no preventive or anticipative measures to keep the knowledge in batik and other traditional art works as a continuing promising source for creative economies. In addition, along the modern living, this untapped knowledge has not been furthermore utilized as an innovative source for new knowledge or culture reproduction. The public participation in the collection and use of traditional knowledge, especially amongst younger generation, is very low. Archipelagic geographical landscape makes furthermore hard to interact collectively.


In addressing human needs in such a complex system, policy makers on the other hand applied sectoral or single disciplinary approach. For example, one of the recent government poverty alleviation programs where government provides cash giveaways hasn't solved the problem, even created other problems of financial dependency. Even though the government has provided an increase budget over the past two years, the poor population has only declined for 2.1% from 15,4% in 2008 to 13,3% in 2010. Influenced by unpredictable global economy, the government has no anticipated tools or systems in times of crisis to secure the country's macro and microeconomics.","Hokky has created systems and tools for ordinary people, business practitioners and policy makers to utilize existing multidisciplinary knowledge and translate them into practice. With the system in place Hokky has enabled people to move away from solo discipline to interdisciplinary problem solving mechanisms in different fields such as macro and micro economics, disaster management, sport, health, corruption, conflict mapping and creative economy to mention a few. People address their needs by extending their analytical and predictive abilities to complex phenomena and equipped by recent advances of computational technologies. It therefore allows people to think creatively about ways in which scientific findings could shape values, institutions, leadership, participation, and policy-making processes in community life. Instead of being knowledge consumers, people are now able to become knowledge producers that boost further innovations.


One of the examples of the system Hokky has put in place is how young people could participate in collecting, preserving and utilizing traditional art works such as batik designs, music, songs, dances, architectures which are potential for creative economics as well as fostering diversity and tolerance. For this together with his organization Bandung Fe Institute, Hokky set up IACI (Indonesian Archipelago Cultural Initiatives). Through the establishment of www.budaya-indonesia.org web portal he mobilizes young people to build the Indonesian Traditional Culture Heritage Encyclopedia. Some new small businesses have emerged from the initiative where people produced new batik fractal designs.


In addition to helping private companies in developing their Investment Portfolio, he furthermore set up a new system of crisis management protocols at the Ministry of Finance. The protocol, which is later distributed to other related Ministries before financial crisis occurs, is to rescue or mitigate the country's finance from regional or global economic crisis' impact. He also facilitated the Ministry of Youth and Sport for the national badminton teams to develop a winning strategy based on win-loose projection. Considering Indonesia positions in the high-risk seismic earthquake region, Hokky also partners with the Disaster Management Bureau in developing the Early Warning System.","Jl. Sarimadu Permai 125, Sarijadi Blok 24, Sukawarna, Sukajadi, Kota Bandung, Jawa Barat 40164, Indonesia","+62 22 82025586",,,,,,,,,,
"Yayasan Mitra Tani Mandiri (YMTM)","Climate change is further challenging the livelihoods of over a billion poor and vulnerable people living in the world's drylands. Vinsensius Nurak has empowered farmers in eastern islands of Indonesia to transform drylands into productive ecosystems securing food sustainably.","https://www.changemakers.com/ashoka-fellows/entries/yayasan-mitra-tani-mandiri-ymtm","Vinsensius Nurak","Indonesia","changemakers_indonesia.csv","Among Indonesia's 230 million populations, 87 million are food-insecure and Indonesia's eastern province of Nusa Tenggara Timur (NTT) is one of the country's most food insecure. In the drought-prone mostly rural province of 4.5 million people spread out over 50 islands, the average per capita income is $265 a year, which is way below the poverty line. Government's 2009 data claimed NTT the country's highest rates of under-five children diagnosed as chronically malnourished (as measured by height-for-age) or acutely malnourished – 46.7 and 20 percent, respectively, as compared to the national average of 36.8 and 13.6 percent, due to food insecurity and feeding practice.


Nonetheless, in the drier eastern islands of Indonesia, food production is still largely focused on meeting subsistence needs. With slash-and-burn and shifting cultivation system, food production could only feed farmers and their families for ten months in a year. After having been cultivated and got exhausted in 2 years, the land is left for 10 years allowing farmers to return, otherwise the soil will be permanently unsuitable for farming. With longstanding environmental degradation this farming system is less productive per hectare than irrigated system as it needs about 10 times the area to produce the same volume of food. Regrettably, as extreme climate change occurred in 2011, the farmers could only produce crops and secure food available for only 7 months. The problems have been worsened by local improper storage system where farmers should experience seeds preservation failure for the following planting seasons and food losses due to pest problems of maize weevil (Sitophilus zeamais). 


Despite chronically vulnerable, government treated malnutrition and food insecurity with short-term solution such as rice giveaways. None has yet addressed the interrelated problems of crops production, feeding practices and malnutrition. The Agriculture Office, for example, would focus on hybrid maize seeds provision support. Besides very much sectoral approach, it raised problems in timely seeds distribution as they arrived when the planting season was over. The Food Security and Agricultural Extension Agency have also mobilized agriculture extensionists to stay in the village to help farmers with agricultural technology and information. Nonetheless, most of them are not willing to be based in the village. Alternatively, many local and international civil society organizations have worked with farmers to improve agricultural productivity though still sporadically spread across the area. In terms of market, farmers still have no bargaining power since the middlemen will set the price. And when cash is needed, farmers will go to money lender for small loans and are trapped by high rates of interest.","While others provide short term and sectoral measures to address pervasive poverty in rural drylands, Vinsen has introduced a new livelihood patterns. Through a holistic approach, farmers successfully increased crops production, developed crops storage system and improved nutritious food consumption. Thirteen thousand farmers in 4 districts across East Nusa Tenggara Province and in the neigboring Country of Timor Leste have now shifted their slash-and-burn cultivation to sedentary farming. With the new practice, all year long food is secured and the environment is sustainably managed. By leaving subsistence farming for agroforestry, farmers' household income have increased and malnutrition amongst children under five has been addressed. 


Vinsen has mobilized farmers to set up groups to work on the crops together, conduct collective marketing, savings and loans and post-harvest production activities. Almost 300 farmer's groups formed 25 farmer's group association across over 100 villages across 4 districts in NTT province. Together with the farmer groups Vinsen and his organisation (Yayasan Mitra Tani Mandiri/YMTM) have built 8 small dams and have harvested water to cultivate vegetables which contributes to improve nutritious food. The farmers also improved cattle fattening management and gained net profit of IDR 1,284,000/head/11 months (USD142), which is three times more than before. They also established saving and loan groups with a total cash flow of IDR 450 million (USD50,000) releasing farmers from high interest money lenders.


With the success, Vinsen's model has been adopted by TTU District Head and replicated in all TTU's 175 villages. The TTU District Head selected 4 local civil society organizations to implement the model and engaged Yayasan Mitra Tani Mandiri to provide assistance. Vinsen's model has also inspired the Ministry of Welfare to change the implementation of Government's Rice Giveaways for the Poor program. Before receiving routine rice donation, farmers who work in groups will develop the agroforestry. In partnership with different organizations, Vinsen is currently developing a mechanism for farmers able to do long-lead climate forecasting and develop local coping and adaptation strategies to avoid crops failure.","Kefamenanu Tengah, Kefamenanu City, North Timor Tengah Regency, East Nusa Tenggara, Indonesia","+62 388 31760",,,,,,,,,,
"Asosiasi Rope Access Indonesia (ARAI)","With the absence of work-at-height safety system, Indonesia comes second world's highest workplace accidents. Harry Suliztiarto, a rock climber professional,  pioneered the safety system for workers at height in Indonesia.","http://arai.wah-indonesia.org","Harry Suliztiarto","Indonesia","changemakers_indonesia.csv","In 2007 the Government reported 7 workers died everyday from 95,000 work accidents amongst Indonesia's 100 million work force. Falls from height (60 centimeters or higher)  accounted the biggest cause of workplace deaths and one of the main causes of major injury. Although the Government had issued legislations and complementary regulations to ensure work safety since 1970, work at height (WaH) sector has not had yet any legal basis for companies and workers to comply to the safety standards.     


Within the work at height career path, most workers are unskillful and untrained. They are therefore underpaid regardless types of work challenges and employed daily as needed. In addition, most companies do not equip them with any safety toolkits. Those who already use safety equipments, however apply inappropriate techniques and equipments that still raise potential accidents. Considering less cost, most companies are in favor of providing budget for work accident compensation than safety equipment purchase. This is partly due to most safety equipments are imported from United States, Europe and Japan, which made them expensive. Though Indonesia has produced the equipment locally, the government is not confident yet to provide standard certification due to the absence of mechanism and infrastructure to test and certify the products.","For the system to take place, Harry developed the infrastructures to ensure safety of the workers at height, advance the profession and thus develop the sector. He advocated work-at-height regulations and helped Ministry of Labor to set up institutions to enforce the regulation. By establishing training and safety certification system and institutions, Harry is improving workers' professional knowledge and skills. To thrive the work-at-height profession, he designed 4 level work-at-height competencies so that workers can be paid based on skills obtained. To date, over 100,000 workers-at-height have certified by certification companies.


He also established a nation-wide professional association of workers at height (ARAI) to facilitate workers' exchange ideas, knowledge and skills. To address the issue of high cost imported safety equipments, Harry is advocating government to develop National Certification Bureau as an authorized certification institution to test and certify local safety equipments.


Harry set up safety operational standard for companies, including employee recruitment, safety equipments and work techniques. He successfully made government issued the regulations in personal protective equipment and safety standard operating procedure. The new regulation implies a new position of safety manager in companies responsible to oversee the implementation of safety standard. The Ministry of Labor has also set up work-at-height division and mobilized new 100 supervisors to monitor the implementation of safety standard at company level. To boost the development of work-at-height sector in Indonesia, Harry founded an association of work-at-height experts (A2K2BT) as a think tank body engaging companies, workers union and government representatives.","","",,,,,,,,,,
"Urbane Community","Amid the apathy that usually plagues poor urban communities, Reggi Kayong organizes marginalized youth to serve as local changemakers. Engaging the citizenry on a micro-level through public forums and action squads, Reggi helps the community join together, identifying problems and implementing creative youth-driven solutions through participatory urban improvement.","https://www.changemakers.com/ashoka-fellows/entries/urbane-community","Game Changer","Indonesia","changemakers_indonesia.csv","Like manydeveloping cities in Indonesia, Bandung faces a number of severe challenges.In particularly distressed neighborhoods, with regular flooding and trash-filled streets, outward signs of poverty are everywhere. Beyond the surface, a lack of economic opportunities and a weak city services infrastructure, also strain citizens. Compounded with the rising rates of youth crime, the prevalence of gangs, and substance abuse, there is little sense that problems can be solved. Communities facing these circumstances become largely apathetic, with little public dialogue or collaborative problem solving initiated. 


In these poor urban communities, life for those classified as “troublemakers,” includingex-convicts and recovering drug users,is even more difficult than for most. Stigmatized because of their past, and without effective institutions helping them, these marginalized individuals face the danger of recidivism, and relapse daily. Facing poor job prospects, and lacking marketable skills, their outlook is often bleak.Weakened, these people have even less opportunity to develop their own communities, and their potential to create change often remains untapped as problems worsen.","With impoverished urban communities largely disengaged from public participation, problems often go unaddressed in Indonesia's developing cities. Groups labeled as “troublemakers” suffer more than most, and are often relegated to the fringes of society. Addressing these issues, Reggihas developed a civic participation model for marginalized communities, specifically engaging and humanizingex-convicts, and other stigmatized groups. Creating democratic dialogue through forums, Reggi organizes andlaunchs action squads to solve locally identified problems.


As a result, injection wells have been built, murals have been created, public space has been reclaimed, and community waste collections have been launched, providing needed urban development at the grassroots level. The work completed has been funded through local communities, without government involvement, and monetization of trash collection has allowed the forum to reinvest back into the community, launching microcredit and micro-insurance funds.By working incrementally to help a community actively discuss and implement change, Reggi teaches that residents have the right to determine what their community should look like. 


Starting with only 30 youth in one neighborhood, Reggi spread his idea to the surrounding community, reaching an entire village, and attracted interest from other sub-district officials. Training forum alumni to replicate his model, Reggi's reach is expanding and now he is planning to create a City Forum of neighborhoods across Bandong participating in urban improvement, with future aspirations of building a City Forum Network across Indonesia.","","",,,,,,,,,,
