name,description,website,cause_area,programme_types,address,contact_number
National Kidney Foundation,One-stop National Resources Centre for the prevention and treatment of kidney disease. ,http://www.nkf.org.my/,,,"70, Jalan 14/29,, 46100, Petaling Jaya","03 - 7954 9048, 03 - 7954 9049"
ORKIDS - Our Kid is Special,"ORKIDS consists of parents whose children are afficted with Down Syndrome. In March 2010 Project 7, a School Age program initiated by Orkids was launched to provide special education classes for children with Down Syndrome age 7-14.
The objective of this program is to ensure that the Down Syndrome children continue to receive the education that they need using a curriculum that is specially developed to suit their needs. This special School Age program provides the continuity of learning that the children have received from their Early Intervention Program and enhances their potential towards a better future with the focus on writing, reading and counting. Currently we have 32 students and 5 teachers in the centre. 
This project is funded through fundraising organized by ORKIDS and monetary contributions made by the parents.Our projected annual expenses incurred is approximately RM330,000 to manage the centre run by Orkids. In order to expand and sustain this program, we need to seek the kindness in term of financial support and materials from any organizations and individuals that are interested and have the willingness to give back to the community. ",http://www.facebook.com/Orkids.P7,,,"2 Jalan 22/57, Taman Aman , 46300, Petaling Jaya, Selangor, Malaysia",03-78659065
Persatuan Dewan Sinaran Ilmu Vallalar,"We wish to make a sincere appeal to your goodself to extend your generosity to help and assist our volunteer charity foundation Vallalar Ghyana Sabai in its multiple community projects.As we are based in Malaysia we are in need of funds to execute multi racial and global outreach programmes to enhance those in poverty,the poor,the orphans and old folks also animal rescue and welfare activities.By you extending your compassion to us we can create a healthy peaceful environment for the global community.To establish institutions here,and other nations in dire need,spiritual therapy and education,feed the hungry,protection for women and children,establish animal shelter with a veterinary doctor round the clock,work with other NGOc for wider reach and protect forests and sea from pollution and mass destruction.The estimated cost of a centre for this purpose would cost RM10 million, We seek your kindness to extend financial aid to execute these purposes.We can work together to more peaceful world humans and animals alike.We hope you will extend your hand to embrace our noble intentions. Thank you from the bottom of our hearts and we will engrave your name and history into our projects throughout our every endeavor.
",http://www.vallalarimmensity.org,,,"Lot 20117 Seksyen 2 Pekan Telok Panglima Garang, 42500, Klang, Selangor, Malaysia",105331977
Rizq Ar Rahman Charitable Labuan Foundation,"Rizq Ar Rahman Charitable Labuan Foundation has been established for the sole purpose of serving the needy, for the pleasure of our Creator.",http://www.rizqarrahman.org/,,,"36-3 Jalan PJS 8/2 Mentari Plaza, Bandar Sunway, 46150, Petaling Jaya, Selangor Darul Ehsan, Malaysia",
Sau Seng Lum,"View gallerySau Seng Lum is a leading non-profit health system in Malaysia. The centre has been continuing its mission to provide subsidised haemodialysis service to the underprivileged society since 1994.
SSL has established a few diverse centres in Petaling Jaya and Puchong , its includes:
SSL (PJ) Haemodialysis Centre
SSL (Puchong) Dialysis and Stroke Rehabilitation Centre
SSL (PJ) Stroke Rehabilitation Centre
SSL (PJ) Paediatric Rehabilitation Centre
SSL Diabetes Care Centre
In addition, SSL has professional healthcare team in different fields of specialisation including physiotherapist, occupational therapist, registered counsellor, nurse, dietitian, diabetes educator, exercise physiologist, and visiting consultants to serve the variety condition of patients.
For those who are interested to us ?Yayasan Kebajikan SSL Haemodialysis? or ?Yayasan Kebajikan SSL Strok?, monetary donations are tax exempted. Your support and generosity are greatly appreciated!",http://www.sausenglum.com.my,,,"Lot-39480, Jalan Industri PBP3, Taman Industri Pusat Bandar Puchong, , 47100, Puchong, Selangor, Malaysia",03 - 5882 9181/ 5882 9115
Shine The World,"Every child should be given the right to quality education, healthcare, and safe environment. Community rejection has created fear to orphans and vulnerable children (OVCs) from seeking help. The psychological impacts of OVCs suffering often results in depression, guilt, anger, and fear. Here, we try to reach to those who are suffering from OVCs, in the hope that their voices should be heard and their opinions should be heeded too.",http://www.shinetheworld.org,,,"Old Klang Road, 58000, Kuala Lumpur, Malaysia",195911005
SPCA Penang,"Society For The Prevention Of Cruelty To Animals, Penang branch",http://www.spca-penang.net/,,,"Jalan Jeti Jelutong, 11600, Penang",604 2816559
St Nicholas Home Penang,For the visually impaired ,http://www.snh.org.my/,,,"4, Jalan Bagan Jermal, 10250, Penang",604-229 0800
World Vision,Child Sponsorship - Building a better world for children,http://www.worldvision.com.my/,,,"106 & 108, Ground Floor, Block A, Kelana Centre Point, Jalan SS7/19, Kelana Jaya, 47301, Petaling Jaya, Selangor Darul Eshan",03-7880 6414
WWF Malaysia,World Wide Fund for Nature Malaysia,http://www.wwfmalaysia.org/,,,"No. 49 Jalan SS23/15, Taman SEA, 47400, Petaling Jaya, Selangor",603 78033772
