name,description,website,cause_area,programme_types,address,country,city,contact_number,email,contact_person
Khmer Farmers Association,,http://N/A,,,"Wat Koh Keo, Koh Keo Leou village, Koh Keo commune, Lovea Em district, Kandal Province",Cambodia,,,kfa_kd@yahoo.com,"Mr. Sok Chamroeun, Executive Director"
Khmer Women’s Voice Centre,,http://N/A,,,"No. 14C, Street 308, Sangkat Tonle Bassac, Khan Chamkarmon, Phnom Penh.",Cambodia,,023 212 352,yimnimola@yahoo.com,"Ms. Yim Nimola, Executive Director"
Legal Aid of Cambodia,,http://www.lac.org.kh,,,"#18 Street 604/311, Boeung Kak II, Toul Kork,Phnom Penh",Cambodia,,023 864 201,lac@online.com.kh,"Mr. Run Saray, Director"
Meada Khmer Development Organisation,,http://N/A,,,"#15 Road 272, Phsar Doeum Kor, Toul Kork, Phnom Penh",Cambodia,,,tepsavery@online.com.kh,"Ms. Tep Savry, President"
Mlup Baitong,,http://www.mlup.org,,,"#37B Street 113, Boeung Keng Kang II, Chamcar Morn, Phnom Penh",Cambodia,,023 214 409,vamoeurn@online.com.kh,"Mr. Va Moeurn, Executive Director"
National Prosperity Association,,http://N/A,,,"Trapaing Ampil village, Trapaing Korng commune, Samrong Tong district, Kompong Speu Province",Cambodia,,,napa9396@yahoo.com,"Ms. Aing Chamroeun, Director"
Organisation for Assistance of Children and Rural Women,,http://N/A,,,"#370 Road 2, Takdol village, Takdol commune, Takhmao district, Kankal Province",Cambodia,,,012821178@mobitel.com.kh,"Ms. Lim Davy, Executive Director"
Partnership for Development in Kampuchea,,http://N/A,,,"#72 St.360 Toul Svay Prey I, Phnom Penh",Cambodia,,023 216 224,padek@everyday.com.kh,"Mr. Kep Kannaro, Executive Director"
Project Against Domestic Violence,,http://www.padv.com.kh,,,"#15 Street 105/278, Boeung Keng kang II, Chamcar Morn, Phnom Penh",Cambodia,,023 721 654,padvctec@online.com.kh,"Ms. Hor Phally, Executive Director"
Prom Vihear Thor Organization,,http://promvihearthor@yahoo.com,,,"Peal Nhek2, Pteas Prey, Sampov Meas, Pursat Province",Cambodia,,,,"Mr. Khoun Narin, Executive Director"
Socio-Economic Development Organisation of Cambodia,,,,,"#8, St. 468, Toul Tompung II, Phnom Penh",Cambodia,,023 664 8383,sedoc@forum.org.kh,"Mr. Sil Vineth, President"
Sor Sor Troung,,http://N/A,,,"#65, St. 468, Toul Tompung, Phnom Penh",Cambodia,,023 987 758,sst@online.com.kh,"Mr. Chhim Van deth, Director"
Strey Santepeap Deiombeiy Parethan,,http://N/A,,,Kratie,Cambodia,,,ssp_org@yahoo.com,"Ms. Uch Kimnary, Executive Director"
Urban Poor Women Development,,http://N/A,,,"#54AEo, St. 265, Group 6, Boeung Salang, Toul Kork, Phnom Penh",Cambodia,,023 214 720,upwd@online.com.kh,"Ms. Soum Samoun, Director"
Urban Sector Group,,http://N/A,,,Phnom Penh,Cambodia,,023 721 188,admin.usg@forum.org.kh,"Mr. Lim Phai, Chairperson"
Vicheasthan Bandosbondal Neakropkrong Kangea Aphivath,,http://N/A,,,"#28, St. 80, S/k Sras Chork, Phnom Penh",Cambodia,,023 722 115,director@vbnk.org,"Ms. Jenny Pearson, Director"
Violence Against Women and Children of Cambodia,,http://N/A,,,"#71B, St.115, Veal Vong, 7 Makara, Phnom Penh",Cambodia,,023 219 563,vawcc@forum.org.kh,"Ms. Ek Pranith, Executive Director"
Indigenous Community Support Organization,,http://N/A,,,"#244AE0 St. 376 Sangkat BengKengkang 3 Khan Chamkarmon,Phnom Penh",Cambodia,,023 997 657,ppoffice@icso.org.kh,"Mr. Sao Vansey, Executive Director"
Youth Council of Cambodia,,http://www.ycc.org.kh,,,"# 44CE0 St. 320, Sankat Boeng Keng Kang 3, Khan Chamkar Morn, Phnom Penh",Cambodia,,023 220 861,,"N/A , N/A"
Khmer Institute for National Development,,http://N/A,,,"#27 St.71 Beung Tumpun, Khan Meanchey, Phnom Penh",Cambodia,,016 572 612,Kind_cam@yahoo.com,"San Chey, Executive Director"
Action for Development,,http://www.afd-cambodia.org,,,,Cambodia,,062 690 0213,sopheak@afd-cambodia.org,"Mr. Som Sopheak, Acting Executive Director"
Cambodian Disabled People’s Organization,,,,,,Cambodia,,023 221 823,director@cdpo.org,"Mr. Ngin Saorath, Director"
Cooperation for Alleviation of Poverty,,,,,,Cambodia,,062 962 999,cofap.org@gmail.com,"Mr. Yim Buntheng, Executive Director"
Cooperation for Social Services and Development,,http://www.afd-cambodia.org,,,,Cambodia,,062 690 0213,sopheak@afd-cambodia.org,"Mr. Som Sopheak, Acting Executive Director"
Humanity Birght Organization,,http://www.afd-cambodia.org,,,,Cambodia,,062 690 0213,sopheak@afd-cambodia.org,"Mr. Som Sopheak, Acting Executive Director"
Hurredo,,http://www.hurredo.org,,,,Cambodia,,063 966 676,vanchan@hurredo.org,"Mr. Taing Vanchan, Director"
Institute to Serve Facilitators of Development,,,,,,Cambodia,,023 722 115,director@vbnk.org,"Mr. Vanly Virya, Executive Director"
Khmer Association for Development of Raising Animal,,,,,,Cambodia,,070 473 154,sovannaros.kadra@gmail.com,"Mr. Ros Sovanna, Executive Director"
Khmer Student Representative Association for Children and Elder Fund,,,,,,Cambodia,,070 473 154,sovannaros.kadra@gmail.com,"Mr. Ros Sovanna, Executive Director"
Life with Dignity,,http://lwd.org.kh/,,,,Cambodia,,023 881 100,lwd@lwd.org.kh,"Mr. Min Sor, Executive Director"
Mlup Promviheathor Center Organization,,,,,,Cambodia,,035 940 994,mpcenter54@yahoo.com,"Mr. Menghak Vichhay, Executive Director"
My Village,,http://mvicambodia.org/,,,,Cambodia,,023 635 5167,myvillage@mvicambodia.org,"Mr. Por Narith, Executive Director"
Occupation of Rural Economic Development and Agriculture,,,,,,Cambodia,,077 720 561,sarath.oreda@gmail.com,"Mr. Roth Sarath, Executive Director"
Phnom Srey Association for Development,,,,,,Cambodia,,042 941 670,fiyapsad@gmail.com,"Mrs. Hani Fiya, Director"
Por Thom Elderly Association,,,,,,Cambodia,,012 618 274,man_poch@yahoo.com,"Mr. Poch Man, President"
Rural Aid Organization,,,,,,Cambodia,,092 805 912,prumbopha@gmail.com,"Mrs. Prum Bopha, Director"
Rural Community and Environment Development Organization,,http://rcedo.org/index.php/en/,,,,Cambodia,,054 958 942,wathana.ss@rcedo.org,"Mr. Sam Sereywathana, Director"
Cambodian Center for Independent Media,,http://www.vodhotnews.com,,,,Cambodia,,023 726 842,pnteang@vodhotnews.com,"Mr. PA Nguon Teang, Director"
Women’s Media Centre of Cambodia,,https://www.wmc.org.kh,,,,Cambodia,,023 881 726,info@wmc.org.kh,"Mr. Chea Sundaneth, Executive Director"
