description,location,country,name,cause_area
"M'lop Tapang is a comprehensive center dedicated to disadvantaged street children and youth in Sihanoukville, Cambodia. The Center provides shelter, medical care, education, sports, arts, vocational training, counseling, family support and protection from all types of abuse. Through a wide variety of programs focused on challenges across the community of Sihanoukville, M’Lop Tapang supports over 7,000 at-risk children, youth and their families. ; Working With Vulnerable Children, Youth, Their Families and Communities; Outreach: The Outreach Programs offer community education, family reintegration and emergency support. By going out each day to the markets, streets, port and beaches of Sihanoukville, the Outreach Team is often the first contact for children in need.  ; Child Protection : To combat abuses faced by children living in poverty, the Child Protection Team works with children and their families, local authorities, and community members. The focus of child protection services is on prevention, advocacy, victim support, recovery and reintegration; Medical Services: Health care expenses can push poor families deeper into poverty. M’Lop Tapang offers free health care at their Medical Clinic — where more than 50 patients are treated each day — as well as in the community during Medical Outreach trips.; Education: The education program developed in collaboration with the Department of Education, helps children & youth who have never been to school (or have been out of school for a long time) to catch up with their studies. The goal is to reintegrate children into the local public school system at a grade level suitable for their age.  ; Vocational training : The Vocational Training Program helps youth 15 years and older who are either unemployed, in menial jobs, not in full time education, victims of abuse or former drug users, to secure decent work and to lead a dignified life. Trainings are designed to meet the job market needs in Sihanoukville and include: sewing, cooking & hospitality, professional dancing and theater and more.; Social Enterprise Strategy: Sandan, a restaurant operated by M’Lop Tapang, functions as a training center for disadvantaged youth aged 15 years old and above, offering local residents and tourists delicious Khmer food. The Motor Repair Shop opened last year trains youth in mechanics and soft skills. Finally, M’lop Tapang’s two shops function as non-profit ventures sell handicrafts made by youth in the vocation training program and parents of former street children. ",Sihanoukville,Cambodia,M’Lop Tapang,"Education, Health, Economic Empowerment, Rights Protection"
"Nurse-Family Partnership (NFP)’s maternal health program connects vulnerable low income first-time  parents with caring public health nurses who deliver the support first-time moms need in order to have healthy  pregnancies, improve child health and development, and become more economically self-sufficient. Each new  mom is partnered with a registered nurse early in her pregnancy and receives ongoing nurse home visits for over  two years. For more than three decades NFP has developed, tested, scaled, and improved its model based on  continuous research and studies. NFP uses rigorous statistical studies to measure the immediate and long-term  social impact of its program. This research, which has taken place over the course of three decades, has  demonstrated the program’s clear impact on children’s entire life trajectory. The research revealed a 48%  reduction in child abuse and neglect, and a 67% reduction in behavioral and intellectual problems, at age 6, as  well as a 59% reduction in child arrest at age 15.; Nurse-Family Partnership, a maternal and early childhood health program, provides critical support to low-income first-time moms, and their babies.; Ongoing Home Visits: From pregnancy until the child reaches two years of age, public health nurses conduct an average of 64 home  visits with each mother. If possible, the baby’s father and family members are also actively encouraged to  participate in the program and to attend the home visits. The early intervention during pregnancy enables nurses  to provide critical health guidance that improve pregnancy outcomes. After birth, ongoing counseling helps to  improve child health and development outcomes, while also focusing on creating a self-sufficiency plan for each  family to clarify their future educational, professional and family goals.; Advocacy for Evidence-Based Public Policy: In order to reach every eligible first-time low-income  mom, NFP has invested in the staff, partnerships and  operations required to sustain a national advocacy  agenda aimed at gaining the support needed from  the public sector to scale its evidence-based  programs nationwide. One example of the success  of these efforts was the launch the first Pay for  Success social impact bond focused on maternal  and child health in the state of South Carolina. The  six-year $30m Project will help to expand NFP’s  services to 3,200 new mothers in the state.; Implementing Agencies: Since 2003, the NFP National Service Office has enabled  the NFP program to successfully scale across the U.S. by  providing implementing agencies with ongoing support  in nursing education and practice, program quality  assurance, marketing, public policy, and more. Each  nurse who delivers the program is trained by NFP’s staff  through a local implementing agency. In parallel,  Nursing Practice consultants work with nurses at existing  NFP’s implementing agencies to provide ongoing  assistance and guidance. In California, NFP works in 21  counties and in the first school district in the nation, the  Los Angeles Unified School District.",California and New York,United States,Nurse-Family Partnership,Health
"The HIV/AIDS crisis has deeply impacted Uganda, affecting an entire generation of families and orphaning an estimated 1.1 million. Nyaka developed a unique model to empower grandmothers to provide safe and stable homes for their grandchildren, as grandmothers were often the only guardian left to care for children in the family. Since 2001, Nyaka’s innovative program has been empowering over 7,000 grandmothers to care for about 43,000 grandchildren through a comprehensive approach to community development, education, and healthcare. Also, Nyaka operates high-quality schools that provide education and access to health and nutritional services to children and youth from preschool through university. ; Supporting vulnerable youth in Uganda with  innovative social programs; Pre-school, primary, secondary and vocational education : Nyaka schools provide education to children and youth from pre-school through high school. The 2 primary schools operated by Nyaka enroll about 461 students. In addition, over 264 students receive secondary and vocational education at the Nyaka Vocational secondary school. About 40 students who are accepted to university also continue to receive financial support for their tuition.   ; Healthcare services: Nyaka has three nurses at Kutamba Primary School and at the Nyaka-operate clinic to provide healthcare services to students and children in the local community. The nurse also conducts a small number home visits. Nyaka works to provide students with preventive medicines, lab tests and products such as bed nets to prevent malaria and free HIV/AIDS testing. ; Grandmothers program: Nyaka Grandmothers Program empowers grandmothers to care for their grandchildren. On average, grandmother in the program care for 5 children. Nyaka supports grandmothers by providing them with direct support and training to ensure children's access to education (micro-loans, nutritional advice, housing construction, water storage tanks, seeds & equipment for agricultural production, mosquito nets and more).; Nutrition & Agricultural Production: In order to provide meals for children enrolled in Nyaka’s schools and increase the organization’s financial efficiency, Nyaka developed a full farm operation on its school campus. Developed in 2009, the farm produces grain, vegetables, meat and milk to provide students with two daily meals at the schools. ",,Uganda,Nyaka,"Health, Education & Economic Empowerment"
"REACH enables disadvantaged Vietnamese youth to access economic opportunities and employment through targeted vocational training,      professional skills training and career placement services. Youth are identified through a recruitment process that focuses on finding youth who are unable to access training programs because of economic and/or social barriers. These can consist of lack of education or prohibitively high costs to access and attend school, or other causes of youth marginalization such as trafficking, HIV status, or difficult social and familial circumstances.  REACH has achieved its strategic target every year since its inception: over 85% of graduates are finding full-time employment within six months of graduating from the program. The program maintains a dedicated focus on ensuring that graduates find stable long term employment. The success of this efforts is clear as 50% of REACH graduates report being promoted or having their salary increased within their first year of employment. On average graduates earn about $100 USD per month, which is twice what they report earning before entering the program.   ; A Game-Changing New Organization Empowering Youth in Vietnam ; Livelihood Advancement Business School: Through the Livelihood Advancement Business School (LABS) model, REACH offers three vocational training cycles per year across 5 centers across Northern and Central Vietnam. Throughout the course of the program, trainees receive vocational training paired with classes focused on different industries and sectors, English, life skills, workplace behavior and communication. Currently, REACH offers vocational training programs in areas such as: Cooking, Food & Beverage, Housekeeping, Hairdressing and Nail Art, Beauty Spa and Makeup, Local Guiding and Home-stay services, professional domestic services, Sales & Marketing, Web & Graphic Design, 3D-modelling and coding.",,Viet Nam,REACH,Economic Empowerment
"Simplon.co aims at bridging the digital divide by offering intensive professional trainings in the fields of web  development and programming as an empowering tool for low-income youth, under-represented groups,  including women, individuals with disabilities and people living in rural areas. Simplon.co is based on a social  enterprise model which means it can self-finance part of its activities with the sales of its services. Since 2013,  Simplon is training young people and raising awareness of people of digital in France alone. 6-month after the  Web Development course – one of Simplon’s flagship programs – 83% of students (58% has no high-school  diploma) found a job in IT.; Simplon.co empowers young people from low-income communities through professional training in the field of web development and programming.; Simplonline: This online learning platform offers a 6 months  coding class and weekly mentoring. Students get  access for life to the Simplonline platform to consult  jobs and internship offers as well as job readiness  advices.; Simplon.Kids: Simplon.co organizes workshops, extracurricular and  leisure activities as well as year-long programs in  partnership with schools. The aim is to use digital  tools to prevent school dropouts, to foster youth  empowerment and to broaden their horizons.; CAPPRIO: This two-year program was launched in February  2016 with the aim of training 20,000 youth (age 16-  24) from priority areas so that they can find  employment in the digital sector.; Refugeeks: The objective of Refugeeks is to foster the inclusion  and employment of 1,400 refugees through digital  training by 2019. Refugees learn French through a  digital platform connecting them to French speaking  volunteers and they are trained to develop digital  skills that can be shared with their families.; Software Developer Training: Simplon offers a free, 6-months, intensive program to train  underprivileged youth on how to create websites and  web/mobile applications. Graduates are qualified to  work as a junior developer, web integrator, UX designer,  and more.; Digital Referent Training: This program trains professionals to manage all digital  aspects of an organization over the course of 6 months.  Training modules include General IT and Technical  Culture, Project Management, Web Communication, and  System Administration and Networks.; ""Data-Artisan"" Training: This 4-month program trains professionals to develop skills  in the collection, production, and recovery of digital  data. Graduates are trained to be able to access  emerging professions such as head of project data, data  mining, digital curator, data analyst, and Open Data  project manager.; Web Integrator training: This 3-months training dedicated to young people aged  16-24 without diploma nor working focuses on the  learning of HTML, CSS and basic Java Script.",France,,Simplon.co,"Education, Economic Empowerment"
"SNEHA is investing in the health of women and girls in the reproductive age. Its initiatives target both care  seekers and care providers. The key areas of work are: ante & post-natal services; maternal, newborn and  child health and nutrition; sexual and reproductive health and the prevention of violence against women  and children. The organization works at the community level to empower women and slum communities to  be catalysts of change in their own right and collaborates with existing public health systems and health care  providers to create sustainable improvements in urban health.; Working in partnership with communities and health systems to empower women and their children in urban slums to improve their health.; Maternal and Newborn Health: SNEHA works with public hospitals to map and establish  referral networks and promote appropriate care for  pregnant women. SNEHA also collaborates with  municipal health posts to standardize primary ante &  post-natal services and to build the capacity of their  outreach workers. Through home visits, community  meetings, and community health committees, SNEHA  engages pregnant mothers and their families to  promote the use of public services and improve their  knowledge of ante & post-natal danger signs,  maternal nutrition, child feeding practices, and family  planning methods. Over the last year, SNEHA assisted  over 29,000 high risk pregnant women to deliver safely  through SNEHA-initiated referral networks.; Prevention of Violence Against Women and Children: Through its crisis centers SNEHA provides immediate  and long-term counseling to the victims of violence  and facilitates access to medical, legal and police  services. SNEHA also works with police officers and  public hospital staff to train them on the needs of  women and children in distress and to develop and  implement protocols for public systems to promote  provision of care for survivors. SNEHA established a  community-based network of female volunteers who  monitor the safety of women and children, and who  work with men to prevent violence. SNEHA also  introduced an app to crowd-source cases of violence.  In the period 2016-2017, the program Addressed  13,000 cases of domestic violence.; Child Health and Nutrition: This program improves the health & nutrition status of  children under 3 years of age through rigorous  screening and early identification of malnourished  children and a combination of hospital care,  community-based support and regular follow-up. Last  year, this project supported 74,310 beneficiaries  achieving a 28% reduction in malnutrition among  children under 3 years of age.; Sexual and Reproductive Health: In the last year, this program empowered 4,132 young  girls and boys (11-24 years old) with the knowledge  and capacity to make informed choices about their  health and well being. The program is delivered by  trained facilitators who are women from the same  communities as the beneficiaries. The program  combines classes on health and life skills education,  vocational training and more.",Mumbai,India,SNEHA,Health
"Sport dans la Ville (SDLV) helps at-risk girls and boys in marginalized neighborhoods achieve a better life  through sports, mentoring, job readiness training and entrepreneurship. All of the organization’s sports centers  are located in the heart of disadvantaged neighborhoods to have close contact and create a trustworthy  relationships with youth. Through a continuum of programs, SDLV builds long-term relationships (from 7 to 25  years old) with young people and empowers them at every stage of their lives from school up until their first job.  Currently, about 4,800 children are enrolled in the SDLV programs.; Sport dans la Ville aims to promote social and professional integration of young people from disadvantaged neighborhoods, through sport.; Sport: Located in the heart of disadvantaged urban  neighborhoods SDLV’s 31 sports centers enable 4,800  kids from ages 6 to 20 to play sports for free. Through  sport this program aims to impart the values of selfconfidence,  teamwork, dedication and hard work.; L dans la ville: L dans la Ville program is dedicated to young girls  aged 11 and above to support their needs and  aspirations. Through sports, dance, mentoring,  cultural discovery and professional development,  girls uncover their potential in an environment  dedicated just to them.; Apprenti'Bus: To support success in the classroom, SDLV launched  Apprenti’Bus in 2009, enabling 200 children to  participate in weekly workshops housed in retrofitted  minibuses to strengthen their reading, writing and  communication skills.; Social Enterprise Model: SDLV self-finances parts of its activities by renting its  campus facilities and playing areas.; Job dans la ville: SDLV created the Job dans la Ville program to  support youth through job training and  employment. In 2016, Job dans la  Ville coached, mentored and supported  through professional development over 750  young people age 14 and above.; Entrepreneurs dans la ville: Created in 2007 in partnership with the EM Lyon  business school, Entrepreneurs dans la Ville is an  incubator hosting up to 30 entrepreneurs aged  20 – 35 to help them develop their own  companies.; Cultural experience: To support the development of each young  person pat of the SDLV program, the  organization offers vacations, summer camps &  international trips to provide exposure to other  contexts and cultures, inspire and increase  youth’s desire to succeed. Throughout the year,  SDLV’s staff observes the children’s attendance  and behavior to select the most deserving  children for the vacations and camps",France,,Sport Dans La Ville,"Economic Empowerment, Education"
"Turma Do Bem (TdB), the largest specialized volunteer dentists network in the world, is  dedicated to changing society’s understanding about oral health issues, and dentists’ view  over the social and environmental impact of their activity. The organization trains volunteer  coordinators who engage and manage networks of dentists that agree to donate a portion of  their time to provide free dental care to low-income children and youth. TdB is also active as an  advocate for policies that support and promote access to dental care for low income  populations.; Free dental services to low-income youth and promotes society's understanding about oral health issues.; Dentista do Bem: Dentista do Bem is the main project of TdB, and  relies on the voluntary work of dentists who serve  low income children and youth, aged between 11  and 17, providing them with free dental treatment  until they turn 18. The treatment, carried out at the  voluntary dentist’s office, has a curative, preventive  and educational approach. Patients are selected through a needs assessment,  which is determined by a screening held in public  schools or social institutions. Poor children and  adolescents, with serious oral problems, and those  about to have their first job have priority. By 2016,  68,000 children and youth benefited from the  Dentista do Bem program globally. The project has 1,500 volunteers – across 26 states,  including the Federal District of Brazil –, in ten  countries in Latin American. TdB’s head office in  Brazil makes the connection with all those involved  in the project (the benefited teenager, his family,  the school and the volunteer dentists), and the  monitoring of the treatment.; Apolônias do Bem: In partnership with Dental Amil, TdB developed  Apolônias do Bem, providing free dental  treatment to women victims of domestic  violence. While these women may receive other  forms of support, no organization offers dental  treatment. In 5 years, the project offered full free  dental treatment to 750 women and in 2016 it  expanded its support to transgender women, a  group targeted by gender-based violence.; Public Policies: To solve the lack of general access to dentistry,  TdB works to impact public policies. The first  coordinated action was the Mayors Pact, sent to  mayors of municipalities to sign in favor of oral  health to develop and approve laws that for the  universal access to dentistry. In the last two  years, due to the ongoing political crisis in Brazil,  results in this area have been limited, but similar  policies have the potential to benefit over 33  million people.",Brazil,,Turma Do Bem,Health
"Angkor Hospital for Children is a pediatric hospital in Siem Reap with a mission to reduce the  mortality rate of children in Cambodia. Angkor Hospital offers accessible, comprehensive medical care  regardless of the child’s financial circumstances and it disseminates procedures, practices, and policies  for utilization and adoption by other health care organizations all over Cambodia.; Quality medical treatment for children in need; Child Care: In 1998 there was no children's hospital in Siem  Reap. Angkor Hospital for Children (AHC) became  the first hospital providing specialized pediatric  care services and facilities with trained staff and  suitable equipment for children. The hospital  provides holistic health care through their various  departments, including outpatient, neonatal,  inpatient, emergency, surgical, dental,  pharmaceutical, social, and many more. These  departments combined provided 179,699 free  treatments in 2016 alone.  AHC also takes into consideration the struggles of  families who have to travel far in order for their  child to receive health care. After closing hours,  AHC makes available the waiting rooms and  provides families with mosquito nets, mats, access  to bathrooms and showers, and around the clock  security.; Education: AHC firmly believes in the power of education,  both for its staff and for the broader community of  healthcare professionals in Cambodia.  Throughout the year, medical and non-medical  staff are able to improve their knowledge through  ongoing education courses, presentations, and  lectures. For the broader community, AHC serves  as a training site for advanced pediatric care. In  2016, AHC trained 100 government health workers  and 423 government nursing students in their  nursing rotation program.; Prevention: AHC understands the importance of prevention,  and believes that sharing its expertise with its  community can improve Cambodia’s health  sector. To do so, AHC visits villages and provides  information and training to Village Health  Volunteers. The Hospital also works to forge  relationships between various stakeholders in the  villages, creating a sustainable health network.",Siem Reap,Cambodia,Angkor Hospital for Children,Health
"DUO for a JOB supports immigrant youth seeking employment in Belgium through  intergenerational mentoring by experienced professionals in early retirement. It connects the  previously untapped resource of retirees with youth who are experiencing difficulty in accessing  the labor market due to their ethnicity or geographical origins. Mentors provide advice and  support as mentees search for a job. Participants are interviewed in order to identify the best  match before the pairs begin the 6 month program together. DUO for a JOB’s goal is not only to  help youth find employment, but also to promote intergenerational and intercultural exchange in  order to strengthen communities.; Supporting immigrant youth seeking employment through intergenerational mentoring provided by experienced professionals in early retirement.; Recruitment and Training: DUO for a JOB has built institutional relationships and a strong web presence in order to recruit participants. Interested mentees and mentors go through an interview process in order for DUO for a JOB to learn about their backgrounds, motivations, and personalities. Mentors selected to join the program complete a four day training on the challenges faced by immigrants, multicultural interactions, active listening, and mentoring.; Pairing: Duos are formed based on mentee’s and mentor’s common interests, language, personality, and availability. After their first meeting, the duo decides if they are comfortable working together. If so, they both sign an agreement and a code of conduct.; Mentoring: Mentees and mentors meet on a weekly basis for 6 months. During their meet ups, mentors advise mentees on how to search for a job in their field of interest and share their personal knowledge and experience. Mentors provide concrete support by helping mentees to revise their resume, cover letter, and practice for interviews. DUO for a JOB rigorously tracks the employment outcomes of each mentee as well as participants’ overall satisfaction with the program. Currently, 75% youth have a positive outcome and 56% secure an employment in the 12 months following start of the program. About 458 volunteers are working as mentors for DUO.","Antwerp, Brussels and Liège",Belgium,DUO for a JOB,Economic Empowerment
"Lawyers For Children (LFC) improves the lives of the most vulnerable children and youth in foster  care in New York City by providing both free legal and social support advocacy to abused and  neglected children, children in foster care and children in high conflict custody cases - ensuring that  every young person LFC represents finds the love, safety and true sense of family they need to thrive.  LFC’s revolutionary model assigns one lawyer and one social worker to advocate together on each  case for each child in need. In addition, LFC staff works to affect change on a system-wide by  identifying failures in the foster care system and working toward large-scale litigation and legislative  redesign.; Lawyers for children in high conflict custody cases and foster youth in  New York City.; Comprehensive Support: Each child supported by LFC is assigned an  attorney and social worker who work closely  together to address the child’s  comprehensive needs. Individualized support  is provided to vulnerable children facing a  range of hurdles, from sexual abuse or  domestic violence, to aging out of foster  care and securing a livelihood.  In addition to their attorney-social worker  teams, LFC employs two full-time Youth  Advocates (young adults who have  successfully aged out of foster care) to  provide meaningful advice and  supplemental support for clients. LFC also  works to publicize and spread its nationally  recognized best-practice model of 2-on-1  service.; Advocacy: LFC staff members leverage expertise gained from  casework with beneficiaries to create lasting  improvements to New York City’s foster care system  through legislative change. A three pronged  approach is implemented to achieve this impact:  working directly with foster care agencies,  developing policy for the proper treatment of youth  in care, and filing class action lawsuits to compel  systemic reform.  Specifically, LFC played a crucial role in supporting  the drafting and passing of the legislation that  mandated more frequent court hearings on behalf  of foster children, and that extended family court  jurisdiction to age 21 for youth who were placed in  foster care by their family. This legislation provides  support during the delicate time when foster youth  transitions to an independent life.",New York City,USA,Lawyers For Children,Rights & Protection
"Living Goods leverages a network of Community Health Promoters (CHPs) to bring healthcare products  and services directly to the homes of poor communities. Living Goods strives to reduce childhood deaths  through four low-cost high-impact focuses: simple treatments for common diseases, nutrition, family planning  and healthy pregnancy, and money-saving household products. Studies have found that Living Good’s  approach has reduced under-5 mortality by over 25 percent in target areas. This model has proven cost  effective, with an annual cost of less than $2 per person reached, as well as sustainable, due to sales of  products covering the cost of goods and CHP salaries. In Uganda, Living Goods partners with BRAC, for whom  it provides strategy support, product selection and procurement, mobile technology, and financing. This  report includes data analysis of activities carried out by Living Goods in partnership with BRAC Uganda.  Monitoring Report; Living Goods supports and empowers individuals to improve the health of their community and make a living for themselves.; Community Health Promoters: CHPs deliver health services and high-quality medicines  directly to the homes of children in need. CHPs are  equipped with knowledge to educate families on how  to prevent the leading causes of children’s mortality:  malaria, diarrheal disease, and pneumonia. In addition,  CHPs offer advice on maintaining a nutritious diet,  share tips for keeping a newborn on the right track to  healthy development, and suggest life-saving products  to customers that match their families’ needs. To better manage their target area, CHPs are  equipped with Living Good’s mobile app, which gives  them the ability to diagnose and advise the best  course of treatment for sick children, as well as to  monitor pregnancies. The app also allows for Living  Goods to monitor its impact and keep track of the  CHPs performance.; Low Cost-High Impact Products: Living Goods provides CHPs with low-cost highimpact  products to sell to families, who would  otherwise have little access to medicines and basic  household supplies due to high prices and low local  supply. These products include simple treatments for  malaria and diarrhea, safe delivery kits, fortified  foods, clean cook stoves, water filters and solar lights. Living Goods’ recent gold standard evaluation found  that drug prices were 17 percent lower at local  providers in areas where Living Goods operated. The  evaluation also found that there were 50 percent  fewer counterfeits drugs on the market, making it  even easier and safer for families to access the  health products that they need.",Uganda,,Living Goods,Health
"PathFinders works to ensure that the most vulnerable children born in Hong Hong, and their migrant mothers, are respected and protected. PathFinders’ programs are designed to supply essential services such as aid in securing a legal identity, adoption assistance, crisis intervention, education, employment support, shelter and medical care. PathFinders also works to promote systemic changes by advocating for increased government assistance to migrant mothers and their children. Since 2008, PathFinders impacted over 4,200 lives in Hong Kong, helping over 1,400 newborns and toddlers.; Securing the lives and livelihoods of migrant workers and their children in Hong Kong; Social and Health Services: PathFinders ensures that migrant women and children have access to one-on-one legal advice and representation. This ensures mothers retain their legal right to live in Hong Kong by securing valid visas. Mothers who have to return to their home countries are provided with preparation classes, relocation and home support allowances, flights and airport pick-ups and referrals to local supporting networks. PathFinders also provides temporary shelter and health care services to children and migrant mothers. The shelter serves as a safe haven for the homeless and unsupported. The Healthcare Program provides access to vital medical services from doctors, midwives, and nurses during pregnancy and beyond.; Community Outreach: Through the Community Outreach Program, migrant men, women, and children are equipped with crucial knowledge about their rights and PathFinders' services. Outreach is conducted through community events in areas with high migrant populations. 11,250 migrant domestic workers were educated in 2015 alone, and beneficiaries were sourced through this program.; Advocacy: PathFinders also seeks to affect sustained impact through robust research efforts, leadership in NGO networks, and work with government to influence policy. PathFinders has successfully promoted legislation that now requires the Social Welfare Department to accept babies born to migrant women in Hong Kong into the adoption pool, so that no child is left homeless or neglected. ; Life Skills Education and Economic Empowerment: PathFinders' education program empowers and equips Hong Kong based migrant mothers with the tools and confidence they need to better care for their children and to plan safe, legal, and sustainable livelihoods. The program includes weekly workshops on life skills and legal advice, vocational training, and child development. PathFinders also encourages and enables beneficiaries to attend skills training programs offered by other NGOs.",,Hong Kong,PathFinders,"Health, Education, Rights & Protection"
"In France, 20% of students drop out of the school system without degrees. Agir Pour l'Ecole is working to change that. Studies show that 90% of children who cannot read at 12 were already in serious difficulty at 6. That’s why Agir pour l'Ecole focuses their efforts on early action inside the classroom. Agir pour l’Ecole provides a neuroscience research based approach to supporting kids in developing four reading skills that ultimately predict success in school. Their methodology gives teachers key methods and digital materials to work better with students in small groups. To date, the organization is benefiting 8,000 children.; Neuroscience research-based approach to supporting kids in developing reading skills; Approach to learning : Agir Pour l'Ecole provides        teachers with a comprehensive research based curriculum based on key predictors of literacy.        Alongside the curriculum, teachers are given specific classroom arrangements and schedules in order        to work intensively with specific students in areas of need.   ; Apps: Agir Pour l'Ecole has developed adaptive apps to support the implementation        of their curriculum. Their main app, Du Son au Mot, integrates machine learning to enable effective        speech-recognition in reading exercises. This innovative app can be used in the classroom to optimize        teachers' time. Beyond this, Agir Pour l'Ecole is developing additional apps to support their curriculum.  ; Teacher Supports : Agir Pour l'Ecole tutors train teacher advisors at a district level.        These district level teacher advisors then train and follow up with teachers on the implementation and success of Agir's methods.          ",Paris,France,Agir pour l’Ecole,Education
"Carolina For Kibera (CFK) exists to develop local leaders, catalyze positive change and alleviate poverty in the Kibera slum of Nairobi.; A community-based organization that caters to the needs of children and youth in the slums of Kibera.; Social Services Department: CFK's Social Services Department hosts its Sports program, Girls Program, and Education Program. CFK’s Sports Program engages youth through soccer and jump rope to promote a healthy lifestyle and create a peaceful community. CFK’s Girls Program at the Daughter's United Center is a safe space for girls to learn and express themselves. CFK’s Education Program provides scholarships to students in high school to cover 100% of their tuition for all four years.  ; Health Department: CFK’s Health Department consists of the Tabitha Clinic and the Community Health Outreach Program. The Tabitha Clinic provides comprehensive primary care as well as specialized care for illnesses that often hurt the community of Kibera. On top of this, the Community Health Outreach Program provides preventative care and health education.; Economic and Entrepreneurial Development Department: This department consists of ICT training and computer skills for girls as well as the Kiva Loan program, which offers seed capital to entrepreneurs in Kibera.",Nairobi,Kenya,Carolina for Kibera,"Economic Empowerment, Health, & Education"
"CommonLit is working to solve the educational resource disparity and ensure that more students in lowincome  schools graduate high school with the reading and writing skills they need to be successful. To  accomplish this goal, CommonLit has developed an innovative online platform that helps teachers advance  their students’ literacy through high-quality digital curriculum, analytic dashboards, and personalized supports  for struggling students. CommonLit’s platform is available for students in 5th through 12th grades. As a US  nonprofit organization, CommonLit is able to provide these tools to teachers entirely free of cost. CommonLit  is rapidly growing, having benefited over 1 million students to date. The organization is on track to reach a  goal of serving 20 million students by 2020.; High-quality, free instructional materials to support literacy development for students in grades 5-12.; Flexible Student Supports: CommonLit’s online platform provides the opportunity for teachers to provide individualized supports to struggling students. Supports include translation for english language learners, definitions, read-out-loud, and more. These options allow for differentiated learning that meets students where they are. ; Progress Tracking Tools: Teachers receive assignment reports that detail achievement across the class and highlight which students need further assistance in which areas. In addition, teachers can see student progress dashboards across all assignments.; Content & Curriculum: CommonLit’s platform content is curated from primary sources through partnerships. Content partners are made up of a combination of reputable news outlets, publishers, and libraries. The platform also features tools that allow teachers to assign readings to students that supplement and enrich their existing curriculum. All curriculum guides are aligned with common core standards and vetted by the team. ","Washington, DC",United States,CommonLit,Education
"As of 2016, there are more than 840 million children at risk of parasitic worm infections worldwide,  which disproportionately affect the poor. The Deworm the World Initiative, led by Evidence  Action, works with governments around the world to develop and implement national schoolbased  deworming programs to combat this issue. Deworm the World’s effective model leverages  the existing infrastructure of school and health systems to deliver medication. School-based  deworming programs can achieve treatment coverage of over 80% of at-risk children at a cost of  less than USD 50 cents per child per year, increasing children's education, health, and livelihoods  potential. To date, Deworm the World has treated 6,418,934 children in Kenya.; supports the government in Kenya in developing safe and effective school-based deworming programs.; School-based deworming: Deworm the World’s main function is their school-based deworming program.; Advocacy: In addition to the school-based deworming, Deworm the World catalyses partners to launch deworming programs. The eventual goal of Deworm the World is for the government to establish effective policies that feature long-term commitments to deworming. ",Nairobi,Kenya,Deworm The World Initiative,Rights & Protection
"Prerana is an organization that intervenes in the red light areas of Mumbai to end intergenerational  trafficking by supporting education, offering shelter to mothers and children during the most dangerous hours  of the night, placing at-risk children in secure long term institutions, and more. Prerana empowers mothers to  work actively to protect their children from the sex trade and to bring them security and success throughout  childhood and beyond. In addition to operating various programs, Prerana shares its expertise with other  organizations and lobbies policymakers and influencers on behalf of trafficked persons to create long-lasting  systemic changes in India.; Prerana seeks to end the cycle of intergenerational trafficking in Mumbai by empowering and enabling mothers to protect their children.; Educational Support Program (ESP): Prerana’s Educational Support Programs provide  assistance with education, life skills, and  professional development. Younger children can  access free remedial education and extracurricular  activities, and older children receive  sponsorship to pursue vocational training  programs and obtain jobs. Prerana runs three ESPs  in Mumbai’s red light districts. The ESPs aid over 350  children every day.; Night Care Centers (NCC): Prerana’s Night Care Centers serve as safe havens for  mothers to shelter their children from the hazards of  Mumbai’s red light districts during the critical night  hours. The NCCs provide around the clock services,  including protected shelters, wholesome nutrition,  free medical and health, as well as education and  recreational facilities. Prerana currently runs three  NCCs in red light areas of Mumbai, offering support  to over 250 children.; Advocacy: Prerana is actively involved in advocacy work for  trafficked women and children through national  and global platforms. Prerana creates strategic  partnerships with other organizations working  toward similar goals, and is a founding member of  several anti-trafficking networks throughout South  Asia. Prerana’s advocacy strategy was proven  effective through their contribution to the 2000 UN  Optional Protocol on Trafficking, which was  presented before the UN General Assembly as a  guideline for working with victims of organized  crime.; Institutional Placement Program (IPP): This program serves to protect children for the long  term by moving them out of dangerous areas. The  IPP selectively places children in long term residential  care and development institutions around the  country, such as boarding schools. Prerana supports  mothers in the consideration of this dependable  option. There are procedures in place to select and  monitor receiving institutions and to ensure that  mothers are able to maintain a meaningful  connection with their children. Since its opening in  1986, the IPP has impacted more than 1200 children.",Mumbai,India,Prerana,"Education, Economic Empowerment, Health, Rights & Protection"
