cause_area,name,description,website,email
Children and families,ECPAT,"ECPAT is a network of organisations and individuals working together for the elimination of child prostitution, child pornography and trafficking of children for sexual purposes.",http://www.ecpat.net/eng/index.asp,info at ecpat.net
Children and families,Fight Against Child Exploitation,FACE monitors the cases of arrested paedophiles,http://www.un.or.th/TraffickingProject/FACE/face_home.html,face at internet.ksc.net.th
Children and families,Forum Asia,Reporting to and monitoring the CRC,,chris at forumasia.org
Children and families,Foster Home,Chaiyapruk Foundation in Nakhon Nayok province,http://www.geocities.com/chaiyaprukhome/,info at bumrungrad.com attn: Dr. Cleopandh Sooranpanthu
Children and families,Foster Home,School for Life : farm in Chiangmai,http://thailand4life.net/icare/children/farm/index.htm,
Children and families,Foundation for Children,"Foundation for Children (FFC) is a non-governmental, non-profit, and non-sectarian organization, founded in 1978 to address children's problems.",http://www.ffc.or.th/htmleng/engpage1/page.htm,children at ffc.or.th
Children and families,Foundation for the Education of Rural Children,The Foundation for the Education of Rural Children is a non-profit NGO whose projects improve the educational opportunities for rural children in north Thailand.,http://www.thai-rural-education.org/,info at thai-rural-education.org
Children and families,Fountain of Life Centre,"Children and education, Children working and living on the street, Sexual exploitation of children",,
Children and families,Fund for Educational Support to AIDS orphans,"We support and undertake activities for the sake of public health, especially for people who are living with AIDS, in cooperation with the government and private sections.(Foster Parents Project)",http://www.cmnet.co.th/drsem/,semcnx at chiangmai.a-net.net.th
Children and families,Habitat for Humanity International,"Habitat for Humanity (Thailand) is a non-profit organization dedicated to eradicating poverty housing and homelessness by means of constructing simple, decent and affordable housing with low-income families.",http://www.habitatthailand.org/,hfhthai at loxinfo.co.th
Children and families,Healing for the Abused,"CPCR assists abused,orphaned,neglected or trafficked children & combats commercial sexual exploitation",,
Children and families,Kid's Home - Family Service Co. Ltd.,"Our company provides not only baby-sitting services and maid services, we also teach the basic knowledge of child care to all of our staff. We screen for the right persons and select only quality persons to serve our valued customers.",http://thaikidshome.com/,info at thaikidshome.com
Children and families,Last Wishes,Hospital programme for terminally ill children,http://thailand4life.net/icare/children/lastwishes/index.htm,fmedinp at md2.md.chula.ac.th
Children and families,NCYD,National Council for Children and Youth Development : co-ordinates efforts across NGOs & Thai Gov,,
Children and families,Pattaya Orphanage Trust,Father Ray Foundation in Pattaya : Sponsor a Child,http://www.pattayaorphanage.org.uk/home/index3.cfm,info at pattayaorphanage.org.uk
Children and families,Pavena Foundation for Children and Women,"Pavena Foundation for Children and Women is non profit organization founded to help children and women who are in need of help, led by Mrs. Pavena Hongsakul, Bangkok Member of Parliament.",http://www.pavena.thai.com/emain.html,help at pavena.thai.com
Children and families,Phuket International Women's Club,"Phuket International Woman's Club is an international woman organization in Phuket, Thailand providing friendship, fun activities and local support for children in completing education.",http://www.pavena.thai.com/emain.html,requested
Children and families,Plan Asia,Plan works worldwide to achieve lasting improvements for children living in poverty in developing countries.,http://www.plan-international.org/wherewework/asia/thailand/,asia.ro at planinternational.org
Children and families,"Planned Parenthood Federation of America, Inc","Planned Parenthood believes that everyone has the right to choose when or whether to have a child, that every child should be wanted and loved, and that women should be in charge of their destinies.",http://www.plannedparenthood.org/,requested
Children and families,Population and Community Development Association,"PDA operates a wide variety of programs designed to serve and assist the rural poor of Thailand. Our projects include : forest replanting, mobile health clinics, environmental education, etc.",http://www.pda.or.th/,pda at pda.or.th
Children and families,Population Council,"The Population Council has conducted research, provides technical assistance, and supported local institutions in Asia for the past five decades.",http://www.popcouncil.org/asia/index.html,pcbkk at popcouncil.th.com
Children and families,Project Outreach,"OutReach links agencies, projects and charities assisting children and teenagers and at-risk families with resources such as shared information and efforts, publicity, volunteer recruitment, fundraising and programme development. Also involved in direct action assisting at- risk youth in emegency or special cases. Provides information to, or lobbies governments in the Kingdom.",,OutReach at thailand.com
Children and families,Regional Working Group on Child Labor,The RWG-CL is a unique inter- organisational initiative that capitalizes on the strong points of agencies active against child labour. Projects include; improve information sharing on child labour in Asia; improve research methods on the worst forms of child labour in Asia and to facilitate children's participation in action against the worst forms of child labour.,,rwg at loxinfo.co.th
Children and families,Ronald McDonald,,,
Children and families,Ruen Rom Yen Foundation,"Harbor House providing shelter and community education programs, located in Mae Sai, Chiang Rai Province",,
Children and families,Santisuk Foundation,"The number of disadvantaged, non-educated, abandoned, and poor children can be also seen over every corner of Bangkok. We try to give educational and occupational support.",http://www.santisuk.or.th/e_index.htm,santisuk at santisuk.or.th
Children and families,Save the Children,Save the Children fights for children's rights.,http://scswedenseap.org/,henk.van.beers at seap.savethechildren.se
Children and families,Save the Children Australia,"Save the Children Australia aims to ensure that all children, regardless of gender, race, country of origin or religious belief have the means for survival, receive protection and have access to nutrition, primary health care and basic education.",http://www.savethechildren.org.au/,requested
Children and families,Save the Children UK,"We fight for children in the UK and around the world who suffer from poverty, disease, injustice and violence, working with them to find lifelong answers to the problems they face.",http://www.savethechildren.org.uk/scuk/jsp/newhome.jsp?flash=true,requested
Children and families,Save the Children US,Save the Children is the leading independent organization creating real and lasting change for children in need in the United States and around the world.,http://www.savethechildren.org/,requested
Children and families,Support The Children,Support The Children Foundation : Chiangmai - care to abandoned children with AIDS,http://www.support-the-children.org/,mail at support-the-children.org
Children and families,terre des homes Germany,Terre des Hommes helps people to liberate themselves from oppression and economic hardship.,http://www.tdh.de/content/foreign/englisch.htm,requested
Children and families,Thai Circle Scholarship,The Thai Circle Scholarship Foundation was established to provide financial aid for needy children in Thailand who deserve an education.,http://www.thaicircle.org/,rachel at thaicircle.org
Children and families,The Anglo-Thai Foundation,"The Anglo Thai Foundation works in two areas of Thailand, both within the 'Isarn' region, supporting school children, and university students, training to be teachers.(UK)",http://www.anglo-thai.org/,suraphee at anglo-thai.org
Children and families,UNICEF East Asia,,,psupaphon at unicef.org
Children and families,UNICEF Thailand,"Unicef is the only United Nations organisation dedicated exclusively to children. We work with governments, other UN agencies and NGOs to devise projects that meet the needs of children in their own communities, in ways that are locally sustainable on the basis of the CRC.",,thailandao at unicef.org
Children and families,Working Group on Children,Working Group on Children works to monitor and implement the Convention on the Rights of the Child nationally in Thailand.,,
Children and families,World Vision Foundation of Thailand,"At present, World Vision Foundation Thailand, operates 70 programs in 37 provinces and there are 85,656 needy children being helped (as of October 1, 2003).",http://www.worldvision.or.th/,info at worldvision.or.th
Cultural,Bangkok Music Society,The Bangkok Music Society supports the performance and appreciation of music in Thailand.,http://bms.in.th/,bms at musician.org
Cultural,Center of Education for Advancement of Lanna Women,"The Lanna Women Center operates in 9 provinces of the Upper North of Thailand.The center works closely with women's organizations, women's leaders, female teacher organizations.",http://web.sfc.keio.ac.jp/%7Ethiesmey/cmulanna.html,
Cultural,Classical Thai Music,Despite lack of support and funds children at a small village in Buri Ram are keeping classical Thai music alive.,http://thailand4life.net/icare/arts/thaimusic/index.htm,
Cultural,Go Without Borders,site down,http://www.gowithoutborders.com,
Cultural,Help for Highlanders,The Karen Hilltribes Trust,http://www.karenhilltribes.org.uk/,penelope at karenhilltribes.org.uk
Cultural,Hill Area and Community Development Foundation,"...working in a participatory manner,both as hill tribe people and Thai, men and women, working and living together, assisting in the facilitation of development activities ...",http://www.hadf.org/,
Cultural,IMPECT,Inter Mountain Peoples Education and Culture in Thailand Association : hill tribes people,,
Cultural,Life development Center,"Life Development Center (LDC) was operating as a Non-profit organization. Ours goal is to promote health care , self-reliance and solidarity among Lisu communities.",http://www.ldcl.org/,ldc at loxinfo.co.th
Cultural,Old Film Preservation,National Film Archives,http://thaifilm.com/,info at thaifilm.com
Cultural,Sop Moei Arts,A co-operative with unique collection of items inspired by tribal skills of the Karen people.,http://sopmoeiarts.com/,kent at sopmoeiarts.com
Cultural,Thai Tribal Crafts,"THAI TRIBAL CRAFTS, a tribal-owned self-help marketing agency, has a bountiful supply of handicrafts from the mountain villages of the hilltribes of northern Thailand.",http://www.ttcrafts.co.th/,sakda at ttcrafts.co.th
Cultural,The Mirror Art Group,NGO working in the Mae Yao sub-district of Chiang Rai province in northern Thailand,http://www.mirrorartgroup.org/,moo at bannok.com
Cultural,Unesco Bangkok,"Today, UNESCO Bangkok is the site of regional programmes for Education, Culture, Social and Human Sciences and Communication/Information/ Informatics throughout Asia and the Pacific.",http://www.unescobkk.org/,bangkok at unescobkk.org
Development,Asian Development Bank,"The work of the Asian Development Bank (ADB) is aimed at improving the welfare of the people in Asia and the Pacific, particularly the 1.9 billion who live on less than $2 a day.",http://adb.org/,jpverbiest at adb.org
Development,Australian Agency for International Development (AusAID),Australia's current assistance focuses on building Thailand's capacity to address economic and public sector governance issues.,http://www.ausaid.gov.au/country/country?countryid=328&region=eastasia,austembassy.bangkok at dfat.gov.au
Development,Canadian International Development Agency (CIDA),"Thailand, like all other countries and territories eligible for Canadian development assistance, could benefit from various programs",http://www.acdi-cida.gc.ca/thailand,bngkk at international.gc.ca
Development,Danish International Development Agency (DANIDA),The promotion of sustainable development through poverty-oriented economic growth is the fundamental challenge for Danish development cooperation.,http://www.um.dk/en/menu/DevelopmentPolicy/DanishDevelopmentPolicy/DanishDevelopmentPolicy/?wbcmode=unpublishe,bkkamb at um.dk
Development,DFID,The Department for International Development (DFID) is the part of the UK Government that manages Britain's aid to poor countries and works to get rid of extreme poverty.,http://www.dfid.gov.uk/,dfidseabkk at dfid.gov.uk
Development,GTZ Thailand,"Thailand is a partner country of German development cooperation. On behalf of the Federal Ministry for Economic Cooperation and Development, GTZ has been engaged in Thailand for over forty years.",http://www.gtz.de/en/top-themen/618.htm,requested
Development,Japan International Cooperation Agency (JICA),"JICA's assistance to Thailand focuses on the priority areas of (1) bolstering competitiveness, (2) social development and poverty reduction, (3) sustainable development, and (4) regional cooperation.",http://www.jica.go.jp/english/countries/sea/thailand.html,jicati at jica.go.jp
Development,Office of the UN Resident Coordinator in Thailand (UNRC),"UNDP is the UN's global development network, an organization advocating for change and connecting countries to knowledge, experience and resources to help people build a better life.",http://www.undp.or.th/,registry.th at undp.org
Development,SIDA,"The possibility of a tripartite collaboration, whereby Sweden and Thailand conduct joint development projects in the neighbouring countries, is being discussed.",http://www.sida.se/sida/jsp/sida.jsp?d=270&language=en_us,ambassaden.bangkok at foreign.ministry.se
Development,Unesco Bangkok,Division on Trade and Investment,,itid.unescap at un.org
Development,Unesco Bangkok,Division of Transport and Tourism,,tctidd.unescap at un.org
Development,UNFPA,"UNFPA, the United Nations Population Fund, is an international development agency that promotes the right of every woman, man and child to enjoy a life of health and equal opportunity",http://www.unfpa.org/,requested
Development,UNOPS,"At UNOPS—the United Nations Office for Project Services—our strong point is helping clients turn ideas into reality.  Whether it’s building peace, recovering from disaster, or creating sustainable development.",http://www.unops.org/unops,apro at unops.org
Development,World Bank,The World Bank is a vital source of financial and technical assistance to developing countries around the world.,http://www.worldbank.or.th/,kversak at worldbank.org
Disabled,Christian Care Foundation,"Christian Care Foundation for Children with Disabilities in Thailand (CCD) provides care and support for abandoned children with disabilities, regardless of gender, nationality, creed or religion.",http://www.ccdthailand.org/,Wasan at ccdthaland.org
Disabled,Freedom Wheelchairs,"Foundation to Encourage the Potential of Disabled Persons, Chiang Mai, Thailand. We promote and encourage the health, education, employment, and dignity of northern Thailand's disabled persons.",http://disabled.infothai.com/,assist at loxinfo.co.th
Disabled,Occupational Training,For persons with physical disabilities : mushroom farms,http://thailand4life.net/icare/special/mushrooms/index.htm,satitamc at hotmail.com
Disabled,Special Olympics,Special Olympics for the Physically-challenged,http://thailand4life.net/icare/special/olympics/index.htm,
Disabled,Support a Band,A group of blind musicians,http://thailand4life.net/icare/special/band/index.htm,
Disabled,Thai-Experience.org,"Thai-Experience.org volunteers travel to teach in Thailand. They are involved in many different tasks. They teach English, teach computer skills, new skills to handicapped persons and more. This international program is open to volunteers from all countries.",http://www.thai-experience.org/,kanokwon at thai-experience.org
Disabled,Thailand Association of the Blind (TAB),Thailand Association of the Blind (TAB) is the largest self-help organization of the blind in Kingdom of Thailand.,http://www.nectec.or.th/org/tab/,
Disabled,"The Redemptorist Center Pattaya, Thailand","The center has 144 air-conditioned rooms with cable TV, refrigerator and telephone. Also 44 rooms are especially equipped for our disabled visitors.",http://www.redemptorists.or.th/,gervais at redemptorists.or.th
Disaster,Asian Disaster Preparedness Center (ADPC),"The Asian Disaster Preparedness Center (ADPC) is a non-profit organization supporting the advancement of safer communities and sustainable development, through implementing programs and projects that reduce the impact of disasters upon countries and communities in Asia and the Pacific",http://www.adpc.net/,adpc at adpc.net
Disaster,DIPECHO,"DIPECHO funds support training, capacity-building, awareness-raising and early-warning projects as well the organisation of relief services.",http://ec.europa.eu/echo/field/dipecho/index_en.htm,rio at echo-bangkok.org
Disaster,ECHO-Directorate General for Humanitarian Aid,"ECHO’s task is to ensure goods and services get to crisis zones fast. Goods may include essential supplies, specific foodstuffs, medical equipment, medicines and fuel. Services may include medical teams, water purification teams and logistical support. Goods and services reach disaster areas via ECHO partners.",http://ec.europa.eu/echo/index_en.htm,rio at echo-bangkok.org
Disaster,USAID,"USAID has managed discrete activities through three regional programs: HIV/AIDS, democracy and governance, and environment",http://www.usaid.gov/pubs/cbj2003/ane/th/,icambodia at usaid.gov
Drugs,Food For Thought,"Ruam Mit Bakery, A Rehabilitation Program for Recovering Substance Users : Chiangmai NGO",http://www.chiangmai-chiangrai.com/ruam_mit_bakery_rehabilitation_program.html,ruammitbakery at yahoo.com
Education,Asian Institute of Technology,"The Asian Institute of Technology promotes technological change and sustainable development in the Asian-Pacific region through higher education, research and outreach.",http://www.ait.ac.th/interimpage/ait_visitor/about_ait/index.asp,
Education,Bangkok Post Scholarships,Scholarship programme for needy children,,edmger at bangkokpost.co.th
Education,DragonFly - Volunteer Thailand,Our Volunteer Thailand project provides Volunteers with teacher placements and home-stays in the poorest and most traditional areas of Thailand. You can Train for a full TEFL certificate or take a 3 day intensive Volunteer teacher training course to prepare you for your volunteer teacher placement.,http://www.thai-dragonfly.com/,martin at thai-dragonfly.com
Education,Education Development Center Inc.,"Health and Human Development Global Programs   EDC is an international, nonprofit organization with more than 325 projects dedicated to enhancing learning, promoting health, and fostering a deeper understanding of the world.",http://main.edc.org/international/region.asp?region=southeast%20Asia&country=thailand,requested
Education,Golden Jubilee Network,"Welcome to the Golden Jubilee Network, an online mass-educational project initiated by Her Royal Highness Princess Maha Chakri Sirindhorn. Describes Royal Projects.",http://kanchanapisek.or.th/index.en.html,
Education,Learning across Boundaries in Greater Mekong,"This web site gives a brief overview of the current thinking informing the Southeast Asia Regional Office of The Rockefeller Foundation,, describing the rationale and approach of current grant-making initiatives and providing information about the funded programs. Special emphasis is placed on the recently launched 'Learning Across Boundaries in the Greater Mekong Sub-region'.",http://www.rockmekong.org/,rf-bkk at rockfound.or.th
Education,Scholarships for Hill Children,Support Hill childrens' education,http://thailand4life.net/icare/education/hillchildren/index.htm,
Education,School for Slum Children,Sikkha Asia Foundation : Suan Phlu Pattana community,http://thailand4life.net/icare/education/suanphlupattana/index.htm,svabkk at asianet.co.th
Education,Travel to Teach,"Travel to Teach is an international non-profit organisation, which provides affordable volunteer opportunities in areas such as English and IT teaching, conservation, eco-tourism and community development. Projects in Thailand, Laos, Cambodia and Vietnam.",http://www.travel-to-teach.org/,cindy at travel-to-teach.org
Education,Unesco Bangkok,"Division on Information, Communication and Space Technology",,escap-icstd at un.org
Education,Unesco Bangkok,Education for All,,efa at unescobkk.org
Education,Unesco Bangkok,ICT,http://www.unescobkk.org/index.php?id=494,ict at unescobkk.org
Education,Unesco Bangkok,Education and Sustainable Development,http://unescobkk.org/index.php?id=71,esd at unescobkk.org
Education,VolunThai - Volunteers for Thailand,VolunThai looks for volunteer teachers for its homestay programmes in rural Thailand. Volunteers have to pay a modest fee to participate. Conditions apply.,http://www.volunthai.com/,volunthai at yahoo.com
Environment,Greenway International Workcamps,"Greenway international workcamps : voluntary work and international living. Eco-tourism, Cleanway Environmental Group.",http://pitayasuwan.greenstay.org/,info at greenwaythailand.org
Environment,IUCN Regional Office Asia,The World Conservation Union is the world’s largest and most important conservation network.,http://www.iucn.org/places/asia/,shadie at iucnt.org
Environment,Kenan Institute Asia,A Thai non-profit foundation. Human resource development. Information and communication technology. Environmental Management. Business practises.,http://www.kiasia.org/,kiasia at kiasia.org
Environment,Khao Yai Conservation,Protect and conserve the Khao Yai National Park,http://thailand4life.net/icare/environment/khaoyai/index.htm,
Environment,Save the Seas,Scuba divers working to conserve the Thai seas and marine life,http://www.whalesharkthai.com/,info at whalesharkthai.com
Environment,Unesco Bangkok,Division on Environment and Sustainable Development,,escap-esdd-oc at un.org
Health,"Aids victims ""Auntie Boon""",Sanpatong Home Based Care Project: women's group. Dedicating their lives to helping HIV & Aids sufferers,http://www.chiangmai-chiangrai.com/auntie_boon_dream_team.html,siamty at cm.ksc.co.th
Health,Family Health International (FHI),We are working in Thailand to strengthen programs that address HIV and drug use and that serve a number of high-risk populations.,http://www.fhi.org/en/countryprofiles/thailand+main+country+page.htm,
Health,Home for Aids Orphans,Children and Youth Foundation,http://thailand4life.net/icare/hiv/orphans/index.htm,
Health,UNAIDS,"UNAIDS, the Joint United Nations Programme on HIV/AIDS, brings together the efforts and resources of ten UN system organizations to the global AIDS response.",http://www.unaids.org/en/,requested
Health,Unesco Bangkok,HIV/AIDS,http://unescobkk.org/index.php?id=73,aids at unescobkk.org
Health,WHO,WHO's objective is the attainment by all peoples of the highest possible level of health.,http://w3.whothai.org/en/index.htm,registry at whothai.org
Human Rights,Amnesty International (AI) Thailand,"Amnesty International (AI) is a worldwide voluntary activist movement working for human rights. It is independent of any government, political persuasion or religious creed. It does not support or oppose any government or political system, nor does it support or oppose the views of the victims whose rights it seeks to protect. It is concerned solely with the impartial protection of human rights.",http://www.amnesty.or.th/index_th.asp,admin at amnesty.or.th
Human Rights,Asia Regional Resource Center for Human Rights Education,"To serve as an institute and a network for human rights education in the Asia-Pacific region, providing human rights training, workshops, development and exchange of instructional and other relevant materials, research and HRE campaigns.",http://arrc-hre.com/,arrc at arrc-hre.com
Human Rights,International Organisation for Migration (IOM),"An intergovernmental organization established in 1951, IOM is committed to the principle that humane and orderly migration benefits migrants and society.",http://www.iom.int/,requested
Human Rights,Karen Human Rights Organization,Lobby governments and the United Nations,,khrg at bnms.wov.com
Human Rights,National Coalition Government of the Union of Burma - Human Rights Documentation Unit,Lobby governments and the United Nations,,jasaffin at nor.com.au
Human Rights,One World Photography,"Worlds leading news wire, photography and film production company in business to fight for human rights accross the worlds developing nations",http://www.oneworldphoto.org/,requested
Human Rights,UN Inter-Agency Project on Human Trafficking in the Greater Mekong Sub-region,The UN Inter-Agency Project on Human Trafficking in the Greater Mekong Sub-region (UNIAP) was established in June 2000 to facilitate a stronger and more coordinated response to human trafficking in the Greater Mekong Sub-region,http://www.no-trafficking.org/uniap_frontend/default.aspx,susu.thatun at un.or.th
Human Rights,UNCHR,"The Office of the United Nations High Commissioner for Refugees was established on December 14, 1950 by the United Nations General Assembly. The agency is mandated to lead and co-ordinate international action to protect refugees and resolve refugee problems worldwide.",http://www.unhcr.org/cgi-bin/texis/vtx/home,requested
Human Rights,Unesco Bangkok,Trafficing in Persons,http://unescobkk.org/index.php?id=475,trafficking at unescobkk.org
Labor,International Labour Organization (ILO),The International Labour Organization is the UN specialized agency which seeks the promotion of social justice and internationally recognized human and labour rights.,http://www.ilo.org/public/english/region/asro/bangkok/,bangkok at ilo.org
Legal,International Justice Mission,"Founded in 1997, IJM began operations after a group of human rights professionals, lawyers and public officials launched an extensive study of the injustices witnessed by overseas missionaries and relief and development workers.",http://ijm.org/netcommunity/page.aspx?&pid=178&srcid=210,contact at ijm.org
Legal,Mekong Region Law Center,"MRLC is a non-profit association of the legal communities of Cambodia, Laos P.D.R., Thailand, and Vietnam",http://www.mekonglawcenter.org/,mrlcbkk at loxinfo.co.th
Medical,Bone Marrow,Transplants for poor children,http://thailand4life.net/icare/health/bonemarrow/index.htm,
Medical,First Aid Volunteers,Support Panupong Lapsathien help victims at accident scenes in Bangkok,http://thailand4life.net/icare/health/firstaid/index.htm,
Medical,Lions Club,"Lions tackle tough problems like blindness, drug abuse prevention and diabetes awareness.",http://lionsclubs.org/index.php3,
Medical,Rejoice,"to provide medical and social support to very poor, sick & underprivileged people living in Chiang Mai's villages",http://rejoicecharity.com/,contact at rejoicecharity.com
Poverty,ActionAid International-Asia,We are an international development agency whose aim is to fight poverty worldwide,http://www.actionaid.org/thailand/,ratirose.supaporn at actionaid.org
Poverty,Adventist Development and Relief Agency (ADRA),"The Adventist Development and Relief Agency (ADRA) is an international non-profit organisation, which is committed to addressing development issues, and disaster response where ever there is a need.",http://www.adra.or.th/,office at adra.or.th
Poverty,Care,"CARE opened its office in Thailand in 1979 to provide emergency relief in the form of food, clothing and medical assistance to Cambodian refugees in camps along the Thai-Cambodian border. CARE Thailand currently has projects in agroforestry and conservation, children's education, small enterprise development, and HIV/AIDS-prevention education and assistance to affected families.",http://www.care.org/careswork/countryprofiles/101.asp,requested
Poverty,Catholic Relief Services (CRS)-SEAPRO Office,site not responding,,
Poverty,Duang Prateep Foundation,"We are a non-governmental organization based in Klong Toey Slum, Bangkok, Thailand, working to help Bangkok slum dwellers and poor communities throughout Thailand.",http://www.dpf.or.th/,dpffound at ksc.th.com
Poverty,Human Development Foundation,"The Human Development Foundation (HDF) was established as a tax-exempt, non-profit organization in 1972 with a single, steadfast goal: To help the poor in Bangkok's teeming slums help themselves.",http://www.fatherjoe.org/,info at mercycentre.org
Poverty,Oxfam,"Oxfam International is a confederation of 12 organizations working together with over 3,000 partners in more than 100 countries to find lasting solutions to poverty, suffering and injustice.",http://www.oxfam.org/en,markd at oxfam.org.au
Poverty,Phu Fa Shops,Set up by HRH Princess Maha Chakri Sirindhorn to help the rural poor sell their products,http://thailand4life.net/icare/development/phufa/index.htm,
Poverty,Self-Sufficient Farming,helping rice farmers in Isan fight the war on farm debt and environmental degradation,http://thailand4life.net/icare/development/farming/index.htm,ubonrat at hotmail.com
Poverty,Unesco Bangkok,Division on Poverty and Development,http://www.unescap.org/contact.asp,escap-pdd at un.org
Women,Asia Partnership for Human Dev.,APHD has undertaken a Regional Programme Against the Trafficking of Women & Children in South Asia,http://www.aphd.or.th/,aphd at aphd.or.th
Women,Foundation for Women,FFW is an NGO working on the issue of violence against women,http://humantrafficking.org/countries/thailand,director at humantrafficking.org
Women,Help for Rape (Abuse) Victims,"The Kanitnaree Centre, Bangkok",http://thailand4life.net/icare/women/abuse/index.htm,
Women,Hotline Center Foundation,HCF and the Royal Thai Police training emergency hotline operators : trafficking and violence victims.,http://www.hotline.or.th/,hotlinecenter at usa.net
Women,New Life Center,"Houses, feeds, and educates women from hill tribes/ethnic minorities rescued from trafficking",http://www.newlifethailand.org/,
Women,Pavena Foundation,"Pavena Foundation for Children and Women: children and women affairs, especially the suppression of child prostitution.",http://www.pavena.thai.com/,
Women,Shan Women's Action Network,SWAN: seeking to address the needs of Shan women,http://www.shanwomen.org/,kenneri at shanwomen.org
Women,Thai Women of Tomorrow Project,A trafficking prevention project under Chiang Mai University,http://web.sfc.keio.ac.jp/%7Ethiesmey/tw.html,
Women,UNIFEM,UNIFEM is the women's fund at the United Nations. It provides financial and technical assistance to innovative programmes and strategies to foster women's empowerment and gender equality,http://unifem-eseasia.org/,info at unifem.un.or.th
Women,Zonta,"Founded in 1919, Zonta International is a global service organization of executives and profesionals working together to advance the status of women worldwide through service and advocacy.",http://www.zonta.org/,zontachiangmai at yahoo.com
