description,name
"   The Amazon Conservation Association (ACA) is a 501(c)3 non-profit that works to protect biodiversity in Peru and Bolivia. ACA's volunteer, research, and field course opportunities are delivered primarily  through our three Peruvian research stations, Los Amigos, Wayqecha, and Villa Carmen.  ",Amazon Conservation Association
"   We are an organization dedicated to conservation and sustainable tourism within the Madidi Mosaic, in Amazon Jungle.         ",Madidi-Travel
   Vitalise is a national charity providing short breaks and holidays (respite care) for people with physical disabilities and carers.  ,Vitalise
"   Started in 1990, Trekforce is one of the original names in the gap year and career break business.  ",Trekforce
"   Rancho Chilamate is an off-the-grid, relaxed, eclectic jungle ranch offering all inclusive dining with 4 guest rooms that invite jungle breezes, along with the early wake up call of howler monkeys. You can also join horse riding trips and experience this beautiful country.   ",Rancho Chilamate
SHAD is one of the United Kingdoms leading specialists in independent living services for people with severe physical disabilities.,SHAD
"   Rescue, rehabilitation and rehoming of cats and dogs in Cyprus.  Also trap and neutering stray cats.  ",Cyprus Pride House
"   Specializes in marine and terrestrial scientific conservation expeditions for gap year students, university students, career breaks and those wanting to work or volunteer worldwide.  ",Greenforce
"   Take a peak at our programmes across Africa, Asia and South America. All our programmes, 6 or 10 weeks, include a unique mix of conservation, community and eco tourism projects, in a mix of locations, challenging both your mind + muscle whilst satisfying your desire for travel + adventure.  ",The Leap Overseas
   A primate sanctuary that follows an animal friendly lifestyle giving injured and orphaned primates a 2nd chance to live as natural life as possible.  ,Vervet Monkey Foundation
"   Proyecto Peru is a Spanish school, specializing in teaching Spanish courses to foreigners and organizing volunteer work, internship and homestay programs.  ",Proyecto Peru
"   VolunQuest is a volunteer tourism company based in Isla Mujeres, Mexico.  ",VolunQuest
"   Go Abroad China is an education management company that has been operational since 2003. We promote language, internships and cultural exchange between East and West through paid internship placements, Mandarin Chinese language study and cultural immersion.  ",Go Abroad China
"   Community in Action is a grassroots, non-governmental organization (NGO) founded on the basis of creating a platform for social entrepreneurs who seek to implement community outreach programs and promote sustainable living while working with local resources.  ",Community in Action 
"   At Xtreme Gap Year we have trips lasting one week to one year, there are plenty of ideas gap year programs if you want to spend a couple of months doing something constructive and fun, things that really make the most out of your time out.  ",Xtreme Gap Year
   The O.R.C.A. Marine Foundation gives volunteers the chance to become part of one of the worlds most successful ocean research teams. Gap year travel does not get much more exciting than this!  ,ORCA Foundation
"   We offer volunteer, internship and study abroad placements for highschool and college students.  ",Study Abroad Europe
"   At Secret Paradise we believe the best way to experience the natural beauty of the Maldives and gain an insight into the culture and tradition of Maldivian life is to travel to a locally inhabited island, accompanied by a local guide.  ",Secret Paradise Maldives
"   Odiyan Retreat Center, 110 miles north of San Francisco. Odiyan is an all-volunteer Retreat Center dedicated to meaningful work, wholesome living and the inner development of mind and spirit.  ","Odiyan Retreat Center, California"
   African Conservation Experience organise volunteering placements at wildlife conservation projects in southern Africa.  ,African Conservation Experience
"   Join meaningful volunteer programs and worthwhile projects in Dharamsala, India with iSpiice (Integtared Social Programs in Indian Child Education).  ",iSPiiCE
   We provide inspiring travel experiences and adventures that will give you access to the authentic people and places the world has to offer. Do something different and get inspired by travelling and making a change.  ,Inspired Escapes
"   The Villas Alturas Animal Sanctuary is a new facility dedicated to animal care, rehabilitation, rescue and release programs in Costa Rica.  ",Alturas Animal Sanctuary Volunteer Program
"   We do great Volunteering & Travel Programs and absolutely thrilling, authentic cultural travel in 5 Asian countries (India, Vietnam, Nepal, Sri Lanka and Thailand) since 2000.  ",idex
"   LEAD Adventures is a company based in Quito, Ecuador offering responsible volunteering and travel programs throughout Ecuador and the Galapagos Islands. Enjoy with local experts these social and environmental responsible trips!  ",LEAD Adventures South America
"   We offer a range of safaris in Africa, which stay true to the word safari which means ""long journey"" in Swahili.   ",Auersperg Safaris
"   Richmond Vale Academy is a non-profit school, focused on training international participants to become Development Instructors and Climate Activists.   ",Richmond Vale Academy
"   V2 Volunteer & Vacation, specialises in stimulating volunteer projects in the Caribbean. In our two week immersion placements volunteers gain an understanding of the crucial work of local projects and the communities they serve.  ",V2 Volunteer &amp; Vacation
   Colobus Conservation was established in 1997 as a not-for-profit organisation to promote conservation of the colobus monkeys and address the threats to its survival.   ,Colobus Conservation
   Solidarity Brigades. Be more than just a tourist...experience the real Cuba!  ,Brigadista in Cuba
"   Volunteering, Ecological Internships and all kind of cultural exchange is our passion for travellers who want to stay for more then just a couple of weeks. Full inmersion into chilean lifestyle and culture.  ",Turismo Flecha Extrema
   Global Volunteers is one of the oldest and largest volunteer organizations in the United States.  , Global Volunteers
   Travel to Spain and study Spanish at the Escuela De Idiomas Nerja Spanish School located close to Malaga and Granada in picturesque Southern Spain.  ,Escuela De Idiomas Spanish School
   Live your dream in Africa! You want to experience a once in a lifetime gap year? Or you would like to turn your passion for nature into a career? We train professional Safari Guides in South Africa. Join our six or twelve month course!  ,NJ MORE Field Guide College
"   The Pais Project offers FREE apprenticeships in Christian youth and schools ministry. Apprenticeships are available in Australia, Great Britain, Northern Ireland, Eire, Germany, USA, Canada, Poland, Ghana and Brazil.  ",Pais Movement
"   The Caminhos Language Centre is the largest and most popular Portuguese language school in Rio de Janeiro. We offer high quality Portuguese courses whilst maintaining a friendly, relaxed and fun environment.   ",Caminhos Language Centre
"   TFG is a UK registered charity and one of the largest gap-year organisations in the UK, we have more than 40 years of experience in working with young adults who serve full-time in placements across the UK and around the world.  ",Time For God (TFG)
"   Change your life, re-charge your batteries, do some of the most crucial work you will ever have done, earn new skills, gain self-confidence, make friends for life and improve your CV from as little as £12 per week.  ",Original Volunteers
   Volunteering India offer rewarding and inspirational volunteer projects and trips in different locations throughout India.  ,Volunteering India
"   Have you ever wanted to visit South Africa? Do you have a passion for making a difference in underprivileged children's lives? Do you want to experience all that one of the world's top travel destinations has to offer? Yes? Then read on, we would love to welcome you to Hout Bay, Cape Town.  ",Volunteering Cape Town
"   CamiAdevntures Travel Specialist  is a Tour Operator that offers tourism services such as: Tours in all Ecuador Quito, Guayaquil, Cuenca, cruises in theGalapagos Islands and transportation.  ",CAMIADVENTURES CIA.LTDA
   Volunteer in Cameroon with chimpanzees and monkeys. We offer an opportunity of a lifetime to people aged over 21 to work with endangered primates on self-funded volunteer placements for 2 to 3 months.  ,Ape Action Africa
"   Visit us and experience a special elephant encounter which is suitable for young and old, families, couples and single travelers.  ",The Elephant Freedom Project
   Horse riding along the beaches of the South African Wild Coast offers some of the most perfect and spectacular horse riding country-side found anywhere in the world.  ,Wild Coast Horseback Adventures
"   Founded in 2003, Educa Russian Language Center has for more than ten years enjoyed the reputation of one of the leading Language Schools, especially in the field of Russian as a foreign language.   ",Educa Russian Language Center
"   Concordia is a not-for-profit charity promoting intercultural understanding, international peace & volunteer opportunities.  ",Concordia International Volunteers
   We are a Non-Profit Foundation who are dedicated to giving our elephants the best life possible with the help of our visitors and volunteers.   ,Kindred Spirit Elephant Sanctuary 
"   The Elephant Nature Park is located in Chiang Mai, Northern Thailand and is a place where elephants can roam free from abuse in a wild environment.  ",Elephant Nature Park
   Rescue Paws is a not-for-profit organization dedicated to improving the lives of stray dogs and cats in Thailand.  ,Rescue Paws
"   Fuze Ecoteer Outdoor Adventures is a travel and tour operator, championing the niche market of voluntourism and ‘true’ responsible holidays in Peninsular Malaysia and Java, Indonesia.  ",Fuze Ecoteer Outdoor Adventures
"   BVOL | Budget Volunteering  offers Exciting, low-cost, life-changing opportunities to do worthwhile voluntary work. This is volunteering made easy and safe!  ",Budget Volunteering 
"   Rewarding voluntary work and internships across 20 countries. Over 200 projects in teaching, sports coaching, care work, community development and conservation. Available from 2 weeks.  ",Travellers Worldwide
   ETIV stands for Education Through International Volunteering and we connect international volunteers with local communities to support environmental conservation and development in Brazil.    ,ETIV do Brasil
   Guy's and St Thomas' NHS Foundation Trust is one of the leading teaching hospitals in London and is world renowned for its clinical knowledge and treatments.  ,Guy's and St Thomas' NHS Foundation Trust
   Medforce is a specialist provider of medical electives and overseas medical placements for nurses and doctors.  ,Medforce
   Excellence Center was established in June 2011 as a youth initiative to offer educational and community services to its diverse group of internationals and Palestinians.  ,The Excellence Center in Palestine
"   Gapforce is a leading gap year and career break provider. We specialize in meaningful structured programmes overseas, including rainforest and marine conservation, teaching, healthcare, childcare and infrastructure development.  ",Gapforce
"   Inspire Volunteering - Small hand picked projects only in Kenya, Sri Lanka, Thailand, Nepal, India and Vietnam. Grass roots - non corporate real deal volunteer projects  ",Inspire Volunteering
"   Big Cat Rescue is a non profit educational sanctuary in Tampa, Flordia home to more than 100 big cats and is accredited by the Global Federation of Animal Sanctuaries.  ",Big Cat Rescue
"   We take volunteers from the UK to help develop and promote sport in the Caribbean. You can coach football, netball, cricket, rugby, tennis and swimming in paradise. We also offer teaching placements.  ",Caribbean Coaching
"   We craft unique healthcare placement experiences throughout Asia, Africa and Latin America.   ",Work the World
   Minga House Foundation is a non-profit organization founded to host & facilitate community service and/or internship roles by international volunteers in the beautiful Colombian Coffee Region.  ,Mingha House
"   Cartagena Paws is a volunteer based organization dedicated to the rescue of the injured, abused and abandoned street animals of Cartagena, Colombia.   ",Cartagena Paws
   Juliana’s Animal Sanctuary was the first animal sanctuary established in all of South America in 2009 and is the only one existing in Colombia where we currently care for 84 rescued animals.   ,Juliana’s Animal Sanctuary
"   Tru Experience Travel is a gap year and travel organisation giving travellers the prime opportunity to explore the world, meet fascinating people; we give you the opportunity to make a diffrence along the way.  ",Tru Experience Travel
   Our Institution is based on providing the best Spanish language learning experience. We are convinced that anyone who chooses to study Spanish through our programs will encounter a once in a lifetime opportunity.  ,Amistad Institute Costa Rica
"   The Karen Hilltribes Trust is a community led organisation working with the Karen people living in Mae Hong Son, Thailand’s poorest province.  ",The Karen Hilltribes Trust
   A non profit organization which is running by Nepali social worker group. we work for  orphan/helpless and poor children.   ,Possible Nepal
"   We offer horse riding treks in the surrounding countryside of Skala and to turtle beach in Mounda. We cater for both experienced riders and beginners. So if you are looking for something different to do whilst you are here in Skala, here it is!  ",Kefalonias Horse Riding Stables
"Small fruit farm in southern Spain (Costa del Sol). Farm work, agriculture jobs",EcoForest
"   At CASA Spanish School we organize classes for specific needs such as: business, exchange students needing subject-specific vocabulary, travelers who want to feel more confident with the language, and those who want to learn Spanish as a second language.   ",CASA Spanish Academy
   Volunteers wanted - Are you interested in joining our motivated team? Dog lovers with any background are welcome.  ,Lanna Dog Rescue
"   Community Centred Conservation, or 'C3' was established in 2002 by an international group of marine environmental consultants.  ",C3
"   2Way Development is a specialist international volunteer agency, placing skilled volunteers with established NGOs running sustainable development projects worldwide.  ",2Way Development
"   Gain non-profit work experience in an all-volunteer setting, while working to save the endangered culture of Tibet and promote literacy. Volunteers may also take classes at the Tibetan Nyingma Institute, Berkeley.  ",The Nyingma Association of Mandala Organizations
"   La selva tropical en el Amazonía Ecuatoriano sigue destruyéndose. A pesar de muchos esfuerzos, humanos siguen talando día por día el bosque único y de gran diversidad.  ",Selva Viva
"   CENIT, El Centro Integral de la Niñez y Adolescencia, is a Catholic non-profit organization devoted to helping working children (especially girls) and their families overcome grinding poverty...  ","CENIT, El Centro Integral de la Ninez y Adolescencia"
"   EVF is a non-governmental organization legally recognized by the Government of Ecuador, created in 2005 with the objective of offering volunteer opportunities to national and international volunteers, in groups or as individuals.  ",Ecuador Volunteer Foundation EVF
"   Río Muchacho is nestled in a small valley on the coast of Ecuador, 40 minutes north of Bahía de Caraquez Ecocity and 15 minutes from the popular beach town of Canoa.  ",Rio Muchacho
   The Volunteer Spirit Network in Thailand is a directory which connects you to local opportunities.  ,Volunteer Spirit
"   Seven species living in the world, all listed as endangered by International conventions (CITES, IUCN, etc) are facing different problems mostly due to human actions.  ",Naucrates
"   We are a unique conservation project bordering the Baviaanskloof Wilderness Area and forming part of the Baviaans Mega Reserve in the Eastern Cape, South Africa.  ",Modgaji Conservation and Rehabilitation Projects
   We are a Kenyan/British partnership husband and wife team offering safaris and adventure travel to East Africa. We have over 25 years of experience and offer many unique experiences including volunteeering and homestays.  Our safari holidays are ground roots and a lot of fun!  ,Safari Joe
"   The ideals of the Red Cross and Red Crescent Movement are represented all over the world, not just through the visible impact of our work in countless towns, villages and neighbourhoods, but also by influencing hearts and minds.   ",Caribbean Red Cross
"   Kaapsehoop Horse Trails is a well-known and peaceful retreat on the Drakensberg escarpment, 35km from Nelspruit, Mpumalanga in South Africa that offers horse riding, self-catering accommodation, educational equine programmes, volunteer experiences and more. A place to revive your soul.  ",Kaapsehoop Horse Trails
"   Proyecto Asis is an organization that offers Spanish classes, Volunteer and Cultural immersion programs in the Arenal area of Costa Rica.   ",Proyecto Asis
   Sporting Opportunities is for anyone who loves sport and wants to travel with it.   ,Sporting Opportunities
   Fundacion Salud Sin Fronteras And we are an established health care organization providing healthcare to the less fortunate in Costa Rica and Nicaragua.  ,Fundacion Salud Sin Fronteras
   The Health Without Borders Foundation (Fundacion Salud Sin Fronteras) are an established health care organization providing healthcare to the less fortunate in Costa Rica and Nicaragua.  ,SFS Service Learning and Travel
   The Mauritian Wildlife Foundation (MWF) is the only Non-Governmental Organisation in Mauritius to be exclusively concerned with the conservation and preservation of the Mauritian nation's endangered plants and animals.  ,The Mauritian Wildlife Foundation (MWF)
"   Since March of 2005 we have been taking in injured or abandoned wildlife. We have also treated and released numerous animals & birds. Volunteers may now combine their service with Spanish, surfing, yoga and fire dancing classes.  ",Rainsong Sanctuary
"   The BBFS offers volunteers the opportunity to get in-depth experience in many aspects of marine field biology, as well as with the workings of a remote field station.  ",Bimini Biological Field Station (BBFS)
"   The Grand Bahama Children’s Home was formed to help care for children who needed to be removed from their families for reasons of abandonment, abuse or neglect. The home cares for up to forty (40) children ages 0 to 12 years.  ",The Grand Bahama Childrens Home
   WorldTeach partners with governments and other organizations in developing countries to provide volunteer teachers to meet local needs and promote responsible global citizenship.  ,WorldTeach
   Reef Relief is a nonprofit membership organization dedicated to improving and protecting our coral reef ecosystem. Reef Relief is a registered 501(c)3 organization.  ,Reef Relief
"   The Cape Eleuthera Institute is a facility that promotes a connection between people and the environment. Research: Sharks, Aquaculture, Aquaponics, Bonefish, Reef Ecology, Permaculture  ",Cape Eleuthera Institute
   We're a nonprofit on a mission to intensify the impact of underrepresented nonprofit organizations across the globe.  ,Volunteers for Humanity
"   Volunteer with Waitui Conservation FIJI, an exciting new marine conservation project on the beautiful island of Nananu-i-ra, Fiji. Become a Reef Check Eco Diver and more! Working with local villages to raise awareness of marine conservation.  ",Waitui Conservation FIJI
   ASVO is an organization committed to the conservation and research in protected areas and coastal reserves.   ,ASVO
"   The Maio Biodiversity Foundation (FMB) was founded in 2010 to conserve wildlife on Maio, and has made the protection of sea turtles one of its main priorities. FMB’s mission is to protect the unique fauna and flora of the island and at the same time create opportunities and long-term benefits for the people of Maio.   ",Maio Biodiversity Foundation (FMB)
   The Aim of launching Pari Voluntourism Solutions is to provide cross culture experience with travel and volunteering opportunities to international volunteers.   ,Pari Voluntourism Solutions
   Volunteer with the Development and Education Programme for Daughters and Communities Centre in the Greater Mekong Sub-region.  ,DEPDC / GMS
   Thai Animal Sanctuary was founded by Gemma Ashford in 2007 and is dependent on private donations.   ,Thai Animal Sanctuary
   P.A.W.S. - Protection of Animals Welfare Society is a charitable non-governmental organisation in Mauritius working to help animals.  ,P.A.W.S.
"   At Peru Volunteer & Travel we really want to make a change. That is why we have created the most affordable, fun and life-changing volunteer programs.   ",Peru Volunteer &amp; Travel
"   The Maria Cristina Foundation (MCF) is a non-profit organisation that is based in Dubai. Founded by Maria Conceicao in 2005, the foundation has been effectively breaking the chains of inter-generation cycles of poverty through education in Dhaka, Bangladesh.  ",Maria Cristina Foundation (MCF)
"   Vigoti is a fully licenced by Vietnam National Administration of Tourism (VNAT). We're now not a big company, but with a senior team in 5 offices in Hanoi, HCMC, Vientiane, Siem Reap, Mandalay, we can definitely handle All travel services in All destinations of Indochina region.   ",Vigoti
"   Volunteer in UAE was founded in mid-2008 with the purpose of bringing together any charity, organization or cause with residents that are eager to volunteer their time and give back to the community.   ",Volunteer in UAE
   The primary responsibility of this position is to coordinate all daily services provided to guests at the visitors center.  ,Peregrine Fund
"   International Service Learning Alliance (ISLA) is the internship, volunteer and group project program of the Foundation for Community Development and Empowerment (FCDE).   ",International Service Learning Alliance (ISLA)
"   Experience community volunteering with local people, scenic nature, wildlife, adventure activities, walks, hikes and a whole lot more in a safe environment.  ",Willing Workers in South Africa (WWISA)
"   Formed in June, 2012, Step Up Uganda’s activities consist of offering (1) organizational, operational, and financial assistance to Ugandan schools.        ",STEP UP UGANDA
"   Tourism in Mauritius is specifically designed for the luxury holiday tourist. The island boasts some of the best hotels in the world, however there is growing evidence of its impact on Mauritius.  ",Meco Tourism
"   Underwater Africa offers volunteers to get hands-on experience in Whaleshark, Manta Ray and other marine field research in one of the most beautiful coastal locations in Africa.  ",Underwater Africa
   Volunteer in South Africa offers a significant mix of Volunteer opportunities for Volunteers that are walking alongside God and want to make a meaningful impact in South Africa and Africa at large.  ,Volunteer in South Africa
   The Global Health Corps provides a yearlong paid fellowship for young professionals from diverse backgrounds to work on the frontlines of the fight for global health equity at existing health organizations and government agencies.   ,The Global Health Corps
"   SOLS 24/7 Malaysia is a humanitarian organization, providing education and social services without prejudice, beyond borders, to underserved communities. We provide FREE education to rural and urban communities throughout Malaysia.  ",SOLS 24/7 Malaysia
"   We are building a school as a hub for education, sustainable farming, healthcare and social enterprise. Peace Academy will educated disadvantaged children, create a source of income for the local community and diffuse knowlege and modern technology.              ",Peace Academy
"   IVI is an Australian based non-profit international volunteer organization.  We partner with local organizations, host families and aid agencies from all over the globe.  ",Involvement Volunteers International
Mafanikio is a non profit making organization that was started in 2003 to fight poverty through development projects like work camps.,Mafanikio Community Based Organization
"   Fundacion Rios Tropicales is a private, non-profit organization working under the auspices of the outdoor adventure company, Ríos Tropicales.  ",Fundacion Rios Tropicales
   IHF envisions a world in which leaders and citizens alike have interacted with and have an astute knowledge of the world's poorest and most marginalized populations. We believe that education should be freely available to all to all those who seek it.   ,International Humanity Foundation (IHF)
"   We have created an Adventure Tourism in a rural, natural eco-friendly site without any adverse effect on Flora-Fauna, by creating an ECO FRIENDLY ADVENTURE CAMPSITE in the rural backdrop of Trimurthy Dam site.  ",National Adventure Foundation (NAF)
"   Specialist tours and volunteering trips to Nepal, Tibet and Bhutan.  ",Social Tours
"   Looking to volunteer abroad? Want to immerse yourself in a vibrant, friendly Latin culture? Interested in putting your Spanish to a practical test or just want to learn Spanish? Do it in Colombia!  ",Heart for Change
"   HKDR was founded in 2003 for the specific purpose of saving dogs and puppies in Hong Kong where around 10,000 dogs and puppies are destroyed every year.  ",Hong Kong Dog Rescue (HKDR)
"   Fundación Arte del Mundo (FAM) is a non-profit arts, language and literacy organization in Baños de Agua Santa, Ecuador.  ",Fundacion Arte del Mundo
"   A group of young social workers had an idea to form a registered association when they served in different organizations, from where they gathered experience since 1985.  ",Nalantha Educational Trust
"   Prime Care Network is a humanitarian organization focused on building a vibrant society through the promotion of education, health-care and development of human capital of the less-privileged in Ghana.  ",Prime Care Network
"   HorizonCosmopolite offers international education programs in more than 20 countries throughout the world.Thousands of people have used our services to go abroad, individually or in group, in the Americas, in Asia, in Africa and in Europe.  ",HorizonCosmopolite
   Heritage Charity Foundation is a registered community based non-profit making organization in Ghana founded in the year 2013.  ,Heritage Charity Foundation
"   At Joshua Expeditions, we provide global opportunities for youth that serve to encourage and highlight their gifts through hands-on experiences.  ",Joshua Expeditions
"   We are a non-profit, non-religious, non-political, non-government organization who links international volunteers with Nepali people.   ",We Volunteer Nepal
"   Save Uganda Foundation (SAVE UGANDA) is a registered (WCBO/1716/14) community based organization that provides physical and psychosocial support to marginalized and at-risk Orphans and Vulnerable Children, youth and the HIV positive living mothers in Wakiso district.   ",Save Uganda Foundation (SUF)
"   We are a volunteer-adventure program based in El Nido, Palawan, Philippines.  We are dedicated to empowering people to bring themselves out of poverty.  ",Radical Tourists
"   Free Again International (FAI) is a registered non-governmental organization (NGO) which aims to offer a brighter future to youths, orphans and vulnerable children (OVCs), and disadvantaged women living in Uganda.   ",Free Again International
   The International Youth Education Program – IYEP was established in Ghana in 1994 as the country office of the Federation of Experiment in International Living (EIL).   ,International Youth Education Program - IYEP
"   If you are looking for your first experience working in conservation, are taking a career break, or just wish to spend your holidays doing something meaningful, this is the opportunity for you!  ",Projeto Biodiversidade
   Sacha Yacu es un centro de rescate y rehabilitación de animales silvestres con sede en la selva tropical en el Ecuador y apoyado principalmente por voluntarios de todo el mundo.    Trabajamos con la Policía Ambiental (UPMA) y el Ministerio de Medio Ambiente en la lucha contra el tráfico de animales silvestres y el abuso .  ,Sacha Yacu Wild Animal Rescue Centre
"   White Shark Africa is a world leading, white shark cage diving, filming and shark conservation company based in Mossel Bay, South Africa.  ",White Shark Africa
   Bilingual Education for Central America exists to promote cultural exchange and affordable bilingual education. BECA offers several opportunities for teachers and partners to get involved in our education programs.   ,Beca
"   Volunteer with engaged animals. Projects include welfare, environmental education, the process of awareness on illegal wildlife trafficking, research and conservation of wildlife.  ",ZooRefugio Tarqui
"   The Vine Trust is an international, interdenominational volunteering charity with a vision to see communities transformed.   ",Vine Trust
"   We are a non-profit organization which belongs to the Research Institute of developing Human Resources Vietnam with the mission of developing the education background for the new generation to compete in the international workforce, from that they can enhance their standard of living.   ",Bamboo Volunteering for Education
"   Agape Adventures is an Irish not for profit organisation providing quality career breaks, short term trips and gap years around the world. We have a wide variety of opportunities that focus on education, conservation, community development, sports & more!  ",Agape Adventures
"   AODVSF  is a youth and non-profit making organization, situated in Ouarzazate, a city in the South-East of Morocco in the border area of the Middle Atlas mountains and the Sahara.  ",Association Ouarzazate Pour le Développement et Volontaire Sans Frontière
   Mangochi Orphan Education and Training (MOET) is a Charity registered organization in the UK and Malawi established to shape the future of orphans and vulnerable children of Mangochi District into independent citizens.   ,Mangochi Orphan Education and Training
"   Wicklow Equestrian Centre is beautifully situated just 5 minutes from Roundwood village, on 55 acres of picturesque woodland in the Wicklow Mountains.  ",Wicklow Equestrian
   Voluntario Global is a non-profit network of small local initiatives in Latin America. We develop sustainable volunteer programs that aim to raise social awareness among young people.  ,Voluntario Global
Renaissance Social Welfare Society-RSWS is a Charitable non-profit development organization,Renaissance Social Welfare Society-RSWS
"   An exciting outdoor activities centre located 45 minutes from the heart of Kuala Lumpur, Malaysia.  ",OUTBAC Broga
"   International Citizen Service (ICS) is a once-in-a-lifetime volunteering opportunity open to all 18-25 year olds, funded by the UK Government. To volunteer you don’t need cash, skills or qualifications – just the ambition to make a difference.  ",International Citizen Service (ICS)
   The Don Bosco Technical Institute is is a school which is part of the Don Bosco Network which is a worldwide federation of Salesian NGOs.  ,Don Bosco Technical Institute Henderson Solomon Islands
