contact_number,description,email,cause_area,name,website,address
00-91-802-542-9726/27/2800-91-802-542-9728       ,"Akshara Foundation was established in March 2000 as a tripartite partnership between the government, corporate sector, and the voluntary sector with the mission: ""Every child in school and learning well."" All of our programs support governmental efforts in universalizing primary education. We design the teaching and learning material, the training modules, and the assessment metric, and provide support in terms of monitoring and technology. This makes the programs sustainable and builds capacity within the school system for improvement. Over the last ten years, Akshara has ran multiple programs designed to address the gaps in children's learning. The focus has been to make the solutions comprehensive, scalable, replicable, and cost-effective. All Akshara's programs are child-centric and are designed to ensure that enrollment in schools increases, drop-outs from schools decrease, and that children's learning outcomes improve.   ",partnerships@akshara.org.in  ,Education,Akshara Foundation,http://www.akshara.org.in,"No. 621, 5th Main Ombr Layout (Near Axis Bank) Banaswadi, Bangalore, 560043 INDIA"
044-24981967 / +91 944231243        ,The Foundation looks to provide effective intervention in the field of education by:a) Removing economic impediments in continuing educationb) Cost effective learning solutions benefiting poorest of the poorIn Support of the above program initiatives are:a) Karka  Primary School programb) Gift a future   ,karkaschool@gmail.com  ,Education,Altius Foundation,http://www.facebook.com/groups/255357147901448,"Old No 19. New No 33 Flat No-3 Saravanalayam. P.S. Sivaswami Salai Mylapore, Chennai, 600004 INDIA"
66-2-254 1041 ext 21266-2-251 1061       ,"The objectives of this Foundation as outlined in our Charter are:   4.1      To support and promote activities for the education of children or other charitable activities in Thailand.4.2    To assist and support other organizations or foundations having the objectives for education and charity in Thailand in order to assist and support them to achieve their objectives.4.3        To assist and support by maintaining or renovating building structures of charitable organizations including schools, universities and educational institutions in Thailand.4.4      To support in providing facilities and things which create recreational activities for children at school, universities and educational institutions in Thailand.4.5    To operate for public interest or to cooperate with other charitable organizations to promote education and culture in Thailand.4.6      Not to be involved with politics at all.   ",sheree@amchamthailand.com  ,"Child and Youth Development, Education",AMCHAM Thailand Charitable Foundation,,"7/F GPF Witthayu Tower A, 93/1 Wireless Road, Lumpini, Pathumwan,, Bangkok, 10330 THAILAND"
08251-23079908251-239219       ,1) Running an old age home for destitute members of the population for the last 14 years2) Free eye camps3) To run free home nurse training centres4) Free hospice for terminally ill cancer patients5) Vocational training for poor women   ,drgowripai21@gmail.com  ,"Medicine, Diseases and Disorders, Elderly Support",Anandashram Seva Trust,http://www.oldagahome-india.org,"Anandashram Seva trust(R)  Sampya, Aryapu Village Puttur Darbe P.O. Puttur D.K. 574202, Puttur, 574202 INDIA"
91-9845131944        ,    ,act1103@yahoo.co.in  ,Child and Youth Development,Annapoorna Charitable Trust,http://www.anchart.org,"#13 MICO Layout Attiguppe, Vijayanagar 2nd Stage, Bangalore, 560040 INDIA"
+91 22 2308 3326        ,"Apne Aap Women's Collective works to empower women and children in Kamathipura, the red light area of Mumbai and the largest and oldest red light area in Asia. UMEED ('hope') provides women in brothel-based prostitution with holistic resources, so they can exit prostitution permanently. UDAAN ('flight') empowers girls (ages 6-18) to pursue high-quality education and mainstream employment away from the red light area, thereby preventing the intergenerational cycle of prostitution. UMANG ('joy') helps toddlers (ages 2-5) develop a wholesome approach in preparation for formal schooling.Founded in 1998, Apne Aap Women’s Collective (AAWC) is an anti-trafficking organization based out of Kamathipura- Asia’s second largest red light district. With an aim to provide aid for women in prostitution, and to prevent inter-generational prostitution, AAWC has developed three projects: Umeed, Udaan and Umang. Umeed is designed specifically to address the issues of health, education, rehabilitation and vocational and life-skill training of the women trafficked into prostitution while Udaan and Umang tackle similar issues but for the adolescent girls and toddlers of Kamathipura, respectively.As of March 2017, we have served approximately 3000 Umeed (direct and indirect) beneficiaries, 632 Udaan beneficiaries and 490 Umang beneficiaries.The objectives of the Umeed Program are to help women who have been trafficked into prostitution with their physical, mental and economic well being. We aim for their holistic development and overall empowerment through services such as finance, empowerment, education, health, recreation and shelter home placement. We also provide our beneficiaries with Adult Literacy Program, vocational training courses, obtaining identity documents (Voter ID, Ration card, etc.) and financial literacy sessions.While serving the women in brothel-based prostitution, AAWC realized that their daughters were at a greater risk of entering the cycle of inter-generational prostitution due to their close proximity to sex trade. We encourage these girls to develop a passion for education, and inculcate a self-confidence in their unique talents. The services provided to the girls include admissions to formal schooling, mentor-mentee programs, after-school tuitions, exposure visits to corporate setups, recreational activities, medical referrals, quarterly medical camps, daily nutritional meals and multivitamin supplements, art and craft activities, therapy, counselling and shelter home services etc.The aims of our Umang Program is to help toddlers develop physically, cognitively, emotionally, and socially in preparation for formal schooling. AAWC started working with the toddlers in the red light community by providing them with a safe and secure environment through various services such as regular kindergarten classes, e-learning, social and life skills sessions, recreational activities, daily nutritional meals and multivitamin supplements, boarding home placement and medical referrals. These services were designed to develop discipline, communication, Neuro-motor coordination, Basic English and Hindi literacy and numeracy etc. Your grant can help women and children of Asia’s second largest red light district get out of the traps of prostitution.On an annual basis, we spend around $6,000 on infrastructure, $3,000 towards nutrition, $1,500 on vocational training and $200 on medical expenses and insurance for all our Umeed beneficiaries.As for our Udaan program, we incur an approximate expenditure of around $17,000 on night-shelter rental, $5,000 on education, $5,000 on nutrition and $3,000 towards extracurricular activities and workshops.On our Umang program, approximately $10,000 is spent on infrastructure while around $3000 is spent on nutrition. $2000 is spent towards dog therapy, while $500 and $700 go towards medical expenses and extra-curricular activities, respectively.According to these approximate expenses, your possible grants can provide a life of dignity and good health to these women and children of Kamathipura and Falkland road. ",give@aawc.in  ,"Child and Youth Development, Women and Girls",Apne Aap Women's Collective,http://www.aawc.in,"61-B, Room No. 6, Ground Floor, Shankarrao Pupala Marg, 11th Lane Kamathipura,  Opposite Pochammadevi Temple, In the lane adjoining Zahoora Sweet Shop and Sagar Hotel, Mumbai, Mumbai, 400008 INDIA"
805-688-1939805-456-2040       ,"The Art of Living Mission is to educate and strengthen an individual to have a stress-free mind and a violence-free society. The Art of Living Foundation is dedicated to serving society by strengthening the individual. We do this by offering programs that eliminate stress, create a sense of belonging, restore human values, and encourage people from all backgrounds, religions, and cultural traditions to come together in celebrations and service.   ",viji.dilip@artofliving.org  ,"Education, Healthy Lifestyles",Art of Living Foundation,http://www.artofliving.org,"P.O. Box 50003, Santa Barabara, CA 93150"
+91-44-26454615        ,"Aruwe Mission and Values: ARUWE’s Mission is to be a community of change agents in an urban context of deteriorating human concern and compassion and reaching out to the urban poor and needy with integrity, love and facilitative support. It has as its core values, love, servant hood, humility, and indigenous means of support, justice, inclusion, equity, accountability and transparency. Educational Support for Deprived ChildrenTo Support 130 children for education to avoid school dropouts and eradicate child labour.To provide supplementary Education for 80 children who were not given proper guidance and tutoring at home.50 children provided dinner due to malnutrition they were not able to concentrate in Education.  Govt. Observation & Reception Home ChildrenTo rehabilitate the children who are committed crime, abandoned, or abused to rescue and repatriate to the main stream of the Society. Elderly CareTo Avoid the Destitiute Elderly not to wander without the basic needs like food, shelter and Clothing and to provide a dignified life till their end. Tailoring for Women and YouthTo identify the women who are needed to empower to face challenges in life through training and skill development programs. To develop an entrepreneur to self sustain their livelihood. Community Mental HealthTo avoid suicidal death rates and provide awareness, counseling through which individuals are taught to embrace holistic life and offers help line services to the community at large. ARUWE started as a community of those who purposed that they would live to add value to the aspirations and well being of those on the margins of urban development and growth. It started with the vision to do what it takes to transform the lives of the elderly destitute and other needy children and women who were around Ayanavaram. Early responses started as early as 1993. ARUWE, started first as a home for the Destitute Elders has existed for many years .Residential and Day care services are provided for those elderly who were seen helpless and uncared for on the streets. In the year 2000 it entered a new phase of its existence with its registration as a Public Charitable Trust and continues being run by a group of committed Social Work Professionals and a network of committed volunteers who are concerned about the Welfare of the elderly Destitute, deprived Children and Distressed women. Areas of Work:Residential and Day care services for destitute eldersShelter home for the homeless childrenSupplementary education for childrenTailoring institute for womenCommunity programsMental health clinicCounseling services for the distressed. Supportive services for the Destitute Elderly: The core of ARUWE’s work is its engagement with the Destitute Elderly as this was the concern that got ARUWE started. Today ARUWE has both day care as well as residential care services for 30 such persons in need. This number is restricted due to the unavailability of space and infrastructure. ARUWE has had to refer many needy persons who have come seeking support purely because of its insufficient infrastructure. Those elderly in ARUWE access the best of medical care, recreational opportunities, nutrition, income generation options, legal aid and are facilitated towards optimizing on their capabilities towards meaningful living. Supportive services for Urban Community: ARUWE offers various services for the urban poor communities at large in and around the Ayanavaram zone. Local communities are sensitized about their rights and entitlements and various events as well as significant days are used as opportunities to enable local communities with knowledge and understanding on various issues and programmes that will facilitate a greater sense of participation and development. Development Support and Community Care Groups have been formed to facilitate the community move into a more responsible and caring local level response. Awareness programs are conducted according to the needs of the community.  Supportive services for children from marginalized families: Children form another core of the focus of ARUWE. Children living in most of the locations where ARUWE works .They often drop out of schools. ARUWE’s response to this has been to reduce the vulnerability of these children so that they could continue in their education. ARUWE offers supplementary education to these children so that they could be on par with their more fortunate peers. Responding to a need in the community where children were in the habit of skipping their evening meal due to economic compulsions, ARUWE initiated a nutritious meal feeding programme for 50 such children from highly marginalized families.  Education Project:  The main objective of the education project is to identify children below the poverty line from the community and to extend educational support and holistic development, so that such children are assured of safe and secure future. Initially a base line survey was conducted by the volunteers of Aruwe, in order to identify really deserving children who require this support. This project focuses on children who hail from very poor families, while preference been given to children of single women namely widows or deserted by their spouses, besides providing free coaching for all subjects and nutritional care, the volunteers also visit their families and render appropriate counseling and referral services. Through the mentoring system, the social workers from Aruwe closely monitor and guide the progress of each child.  Outcome of the Educational Project: Children who would have lost out on their childhood due to family pressures are, now back in school and are assured of a safe future. Children who have been scholastically backward have shown considerable improvement in their studies due to the personal coaching and mentoring rendered to them at Aruwe. As the focus has been on holistic development through life skills training programmes, the children have developed skills in communication, leadership, and interpersonal relationship. As our children come from very poor families they are deprived of nutritious food. Therefore supplementary nutrition is provided to them by Aruwe as part of the holistic development programme. Shelter for Homeless childrenThere are Homeless families living in New Avadi Road. Most of the children in this community do not go to the schools though some of them are seen to be enrolled in the nearby schools. Thus there is a clear propensity among this community to resort to begging. Along with the children, ARUWE’s work with this community intends to facilitate their access to basic education, primary health and nutrition, and most importantly shelter. Children were in need of care and protection as they are vulnerable to abuse and neglect on the streets. Community Mental Health Project: The Ayanavaram zone has been found to be have an abnormally high Suicide rate that poorly reflects on the mental health status of the urban poor in these areas. It is in this context that ARUWE initiated the Community Mental Health Project. The project supports the community through providing need based Counselling services, promoting an awareness about Mental Health through community interface programmes, enhancing the communities coping skills to stress and enabling pro active measures towards the reduction of life stress. Further persons with Mental Illness as well as Mental Retardation are facilitated with referral services.  Tailoring Institute: As Aruwe is involved in community services and works for the weaker sections of the society. Women who were in need of training were identified and tailoring program was started. This motivated the women and also empowered them to be more self sufficient. Nearly 40 members benefited from this project.",aruwe@rediffmail.com  ,Community Improvement,ARUWE,http://www.aruwe.org,"No. 11, Solai Amman Koil Street Ayanavaram, Chennai, 600023 INDIA"
+91 9243198157        ,"Ashwini Charitable Trust educates and empowers underprivileged children in urban slums in Bangalore and supports them till they are gainfully employed. Based on Howard Gardner's Multiple Intelligences Theory, we choose education modules to suit every child's dominant intelligence so that they get jobs suiting their strengths and skills. Education includes academics, computer training, extra and co-curricular activities, and employability skills.   ",act.trust@gmail.comact.trust@gmail.com ,"Child and Youth Development, Education, Employment Support",Ashwini Charitable Trust,http://www.ashwinitrust.org,"No. 3, St. John's Road Cross, near Ulsoor Lake, Ulsoor, Bangalore, 560042 INDIA"
66-2913019666-29130197       ,"Asian Resource Foundation promotes the spirit of caring and sharing and the light of Asian cultures and spiritual values, supports holistic development, enables the poor and other marginalized and vulnerable groups and strengthens cooperative actions among the people of Asia and beyond for a just, peaceful and sustainable world.   ",sabur@arf-int.org  ,"Education, Economic Empowerment, Women and Girls",Asian Resource Foundation,http://www.arf-asia.org,"1562/113 Soi 1/1, Mooban Pibul Pracharaj Road, Bang Su, Bangkok, 10800 THAILAND"
65 6347644665 62535312       ,To provide integrated high quality palliative care to in-patient home care and day care adult and pediatric cancer patients as well as to other patients with palliative care needs.   ,teo_sh@assisihospice.org.sg  ,"Medicine, Diseases and Disorders",Assisi Hospice,http://www.assisihospice.org.sg,"820 Thomson Road, Singapore, 574623 SINGAPORE"
         ,    ,   ,Child and Youth Development,Association for Promoting Social Action,,"Nammane 34 Annsandrapalva Vimanapura post, Bangalore, 560 017 INDIA"
67797137        ,To remove all gender-based barriers so as to allow individuals in Singapore to develop their potential to the fullest and realise their personal visions and hopes.We do this in three ways:Research and advocacyEducation and trainingSupport services.   ,fundraising@aware.org.sg  ,"Social Justice, Women and Girls",Association of Women for Action and Research,http://www.aware.org.sg,"Blk 5, Dover Crescent, #01-22, Singapore, 130005 SINGAPORE"
91-11-4229490091-11-42294990       ,"A world in which every child has the right to survival, protection, development and participation.   ",n.varghese@savethechildren.in  ,"Child and Youth Development, Social Justice",Bal Raksha Bharat,http://www.savethechildren.in,"Save the Children ,Plot no 91, Sector 44,, Gurgaon, 122003 INDIA"
+91 9704866077        ,"1. To provide human, educational, social, cultural and moral development of the people of Warangal District and in Telangana State, India.2. To run Educational,Social and Technical Institutions for the benefit of the Socially, Economically, Culturally and physically backward classes irrespective of the caste, creed or colour and to promote literacy in rural and urban areas.3. To improve living conditions to the same people.4. To establish Self-reliance, Self-employment and life projects for the Youth.5. To conduct periodical Lectures, Meetings, Conferences, Seminars and Service Oriented Programmes for the growth of Children and Elders.6. To conduct free Medical Camps, Eye Camps in Rural and Urban Areas.7. To educate and to organize the people in order to preserve and to improve the ecological conditions of the surroundings.   ",bshjesu@yahoo.co.in  ,"Child and Youth Development, Education","Bala Yesu Institute of Social Action, Educational Development and Research Socie",,"Devaruppula Village & Mandal Warangal District, Telangana State, Jangaon, 506 302 INDIA"
         ,    ,   ,Education,Balestier Special School,,",  , SINGAPORE"
