name,country,description,address
Border Areas Development Association,myanmar,founded to contribute and participate in national and  international programmes related to border and rural areas   development and eradication of opium and other related drugs. to help develop social and economic status of the national races  residing in border and rural areas. Main Goal   to help advance capacity building and raise the standard of   living of national races. 1.  Education - Bursary and scholarship for the poor pupils   Vocational training for the children on the street EXCEL project for the   out of school children   2.  Health  -  Medical trips to states and divisions Village health   clinics  3.  Agriculture and income generating programmes    -  Provision of farming equipments and seeds Support for   livestock breeding  Training and supervision for income generating programmes   4.  Wash  - Restoration of old drinking water ponds and digging   of new drinking  water ponds and artesian wells Technical supply for   water sanitation Provision of shelter for the poor households - people who live in border and rural areas  of Myanmar,"Border Areas Development Association A 2, Sein Lei Yeik Thar, New University Avenue Road,   Bahan Township, Yangon Tel  : 542349, 557538 Fax : 542349"
Capacity Building Initiative,myanmar,"  Competent Trainings and Workshops for Capacity Building ,   Professional Consultancy Services, ProÞ  cient Facilitation Services staff and members from Non-Government Organizations and individu-  als  who are interested in social works","Capacity Building Initiative (CBI)Room 201-202, Diamond Condo,  Tower B, No. 497, Pyay   Road, Kamayut Township, Yangon Tel : 95 1 501379, 523675, 95 9 5408067"
Center for Vocational Training,myanmar,"CVT Board for Vocational Educational &Training is ofÞ cially   registered in Switzerland as a Non ProÞ  t Making Organization and  doing vocational education and social services. CVT is pilot project   of CVT Board and CVT Supporter Association seat in Switzerland and   the Vocational Education project in Yangon, Myanmar. That has been   running Center for Vocational Training / CVT School at the Myanmar   Red Cross Head OfÞ  ce.  Donors and supporters were founded the establishment of the   VETA Myanmar and Swiss Supporter Association in 2002. Now in 2009,   VETA Myanmar is changed the name to CVT Board but the objectives   are the same.   The Swiss Supporter Association include private foundations,   corporations, institutions, organizations and many individuals   substantially support to CVT. All those sponsors and donors come   from Switzerland.Through that Association, VETA Myanmar/CVT   Board receives a substantial backing in terms of curricula, documents,   specialists, Þ  nancial assistance etc.  Specialists from Switzerland support and assist their Myanmar   colleagues in the out-lining of the curricula and establishing of teaching   documents and accompany, train them (normally during a few weeks'   mission once a year) throughout the first term of the profession   concerned. To raise interest and knowledge about the dual form of   vocational skill training and the ways of itsimplementation among the   youngsters and the business/industrial community in Myanmar.   To increase public awareness of the importance of vocational   skill training in general and the interest in the dual apprenticeship model   in particular, its advantages and better prospects for the future. Main Goal   To train young people to become skillful junior professional  ","Center for Vocational Training/CVT 42, (MRCS Building) Strand Road, 3 ß oor, Botataung Township Tel : 383 676, 09 7316 6206, 09 4305 0926, 09 7310 4683"
Charity-Oriented Myanmar,myanmar,"Charity-Oriented Myanmar is an organization for community   development established by locally-based youths. Since 2005, it aims   to participate in the development of the nation, standing itself to   import the education on modern technologies, computer training   and international languages from base to advanced level for every   Myanmars. It also intends to team up with other youth charity groups   across the country for Myanmar youths who are in lack of Þ  nance  to learn advanced technologies. In 2007, according to the UN's   development programme, Millennium Development Goals (MDG), it   applied for the establishment of association as an ofÞ  cial non-political  and proÞ  t organization to develop Myanmar like other global nations  with domestic forces.   ",
Community Development Association,myanmar,"On the beginning CDA was formed in 1998 as Community   Development Technology team (CDTT) under HW International Co.Ltd.,   which was a self-Þ nancing non-proÞ  t consulting Þ  rm.The CDTT has  been re-formed as Community Development Association (CDA) in   2003 and the registration as local NGO in 2005.    CDTT was providing technical consultations,services and   trainings to UN projects,UN Agencies and INGOs.Community   Association was formed with CDTT members on 2004 and able to   ofÞ cially register as local NGO in 2005.              CDA has understanding to technical cooperative services with   Latter-Day Saint Charities for implementing humanitarian assistance   projects. CDA, with the supports of CCDAC and LDSC,has implementing   humanitarian assistance projects.CDA has with  the supports of CCDAC   and LDSC, has implemented many clean water supply projects for   schools, institutions and communities,2003-2005.                CDA has signed MoU with Department of health and Latter-  Day Saint Charities on Vision and Neonatal Resuscition Trainings and   Clean Water for Hospitals and Rural Health Centers. The purpose of the Community Development Association   (CDA) is to utilize community capacities to implement basic community   developmental interventions through effective involvement of   existing support services and technical assistance, and to promote   sustainable community capacity building, mobilization, participation   and contribution. The CDA has a deep interest in participating in the   arena of social mobilization and community developmental work   and has undertaken challenges in community development activities   wherever and whenever demand and feasibility is favourable, including   clean water supply and community health promotions Main Goal    The purpose of the Community Development Association   (CDA) is to implement community developmental elementary   interventions with effective involvement of existing support services   and technical assistance, and to enhance capacity building and   mobilize the community participation and contribution.The CDA has   a deep interest in participating in the arena of social mobilization  Community Development Association   No.17-2,Aung-Gayhar, Nawadae Street,YawmingyiWard,Dagon  Township,Yangon Tel :  01-393250Name of the leaderDr. Khin Maung Win  ( President/Program  Coordinator) Name of the contact person (1)Dr. Khin Maung Win  ( President/Program  Coordinator)  Email communitydevelop@ gmail.com Address (Sub-ofÞ ces) (1) No.5, Aung Nan,  1st street,Pha-an  Township, Kayin State. (2)  No.1, Pyi Thar Yar  10th Street,Pyawbwel  Township, Mandalay   Division.(3) No.88, U Okktama  Street,Kyaukpyu  Township,Yakhine . Year of  Establishment 1998 LOCAL NGO DIRECTORY 22and community development work and has undertaken challenges  in community development activities wherever and whenever   demand and feasibility is favorable including clean water supply,   community health promotions,drugs control, harm reduction and HIV   prevention. 1.WASH  2.Health,   3.Disable and     4.Livelihood ",
Comprehensive Development Education Centre,myanmar,"Comprehensive Development Education Center (CDEC) has   been opened an ofÞ ce in Myanmar for education and training services  for youths and development actors who are interested in and have   strong commitment for social change and community development.   It started with CDCE (Community Development and Civic   Empowerment program) Alumni gathering and built up soft skill since   the beginning of the year 2009 and ofÞ  cially opens the ofÞ  ce since that  time. Community groups are able to carry out their social and  economic devel opment activities with self-reliance and sustainability.   CDEC will provide capacity building and enrich the existing   knowledge    and skills of CSOs, NGO staff and Youth, in order to facilitate   community empowerment and participation in community   development   and nation building. Main Goal        - To build up capacity & skills necessary for the NGO staff and   young generations who are interested in and eager to become   development actors.              -  To encourage community members to learn the basic   concepts of development and practice sustainable development   activi ties.   -  To strengthen CDCE Alumni Network to narrow the gaps in   the curious development sectors that they are currently engaged in. Capacity Building trainings, Learning and Sharing program,   Consultancy Works(M&E, Action researches, Staff capacity building),    Facilitating CDCE Alumni Network and Supporting CDCE recruitment ",
Country Agency for Rural Development,myanmar,   ,"Country Agency for Rural Development) is a local  non-gover nmental organization. Its inception is propelled by the  occurrence of catastrophes from 1987 to 2002 in Lautu region (one   of 5 big ethnics in Thantlang Township) where no UN agency   or non-gover nmental organization has any development programs.  Severe dysentery and food shortages were happened in our region.   75 people died of dysentery in Hnaring village in 1987.. Vision/Mission   Creation of Self-Employment and  Sustainable Development in rural    regions. Main Goal    To Enhance Sustainable Development of with Holistic Approach     Programs.  Main Activities   - To support capacity building of  rural people  - To enhance human resource development of rural people   - To promote food security of rural farmers with modern        agricultural technology   - To build community based organizations for sustainable       development projects   - To improve the health status of rural people in remote        areas   - To enhance income opportunities for rural people   - To enhance agricultural products in rural farmers'          communities   - To enhance rural transport and communication system Primary BeneÞ  ciaries  Rural Communities . Country Agency For Rural Development Tower(A), Room(6/F-D), Kant Kaw Condo, Bo Ya Nyunt Road,  Dagon Township,Yangon, Myanmar. Tel : 01-386565"
Dear Myanmar,myanmar,"DEAR Myanmar was merely a social welfare organizations   performed awareness training of natural farming system, systematic   farm practices, health and environmental hazard caused by excessive   usage of agrochemicals DEAR Myanmar has eager intention to carry out wide range   of environmental friendly agriculture developments and provides   humanitarian services especially for the vulnerable people inhabiting   in the rural areas Main Goal   - To provide capacity building in systematic crop production   and natural farming system.   -To protect environmental deterioration and all forms of   pollution.  -To conduct GAP measures to enhance food security and safety   crop production at nationwide.   -To promote and uplift the life and income of rural people by   implementing development activities in the Þ  elds of basic needs and  build-up sustainable agriculture.   -To reduce production cost and increase better income. - Awareness training of environmental friendly agriculture to  the famers.   -  Formed farmer groups and provide training of systematic farm   practices such as soil management, seed selection, water management,   pest and weed control and post harvest management for different   crops.    - Conduct good agriculture practices (GAP) training and   awareness for the fruit and vegetables producers and farmers.   -  Provision of livestock breeding system with animal health   care and bio security method.   -  Seed production and natural inputs supporting to conduct   demonstration farm. Rural people and farmers DEAR MyanmarNo 363, 1st ß oor(right), Bo Aung Kyaw Street, Kyauktada  Township,Yangon Tel : 01-392642",
Eden Center for Disable Children,myanmar,"The organization was established by U Hta Oke To provide a better environment where physically and intel-  lectually disabled children can experience love, quality care services   and compassion so that they can feel and see positive side of life. The   centre Mission Statement is to value, respect and accept disabled   people especially children and support them to live with dignity and   enjoy equal opportunities. Main Goal   1)  To provide quality care services for physically, and intellectually  disabled children  2)   To help disabled children enjoy their Rights and Equal   Opportunities as their non- disabled peer;  3)    Awareness rising on the new approach to disability, ÒSocial  Model of DisabilityÓ, and advocates disability issues in mainstream   development policy and agenda;    4)  To collaborate/ co- operate with GO as well as NGOs in   promoting the quality of life of disabled people in Myanmar;   5)   To play as a resource centre in disability related Þ  eld. -  Physical rehabilitation exercises such as Physiotherapy,       Occupational Therapy, Hydro- therapy, etc.   -  Special Education Services;  -  Computer class to reinforce the lesson learn;  -  Outreach Program;   -  Community Based Rehabilitation (CBR) Program;   -  Inclusive Education (I.E);   -  Care giver training to the care giver, family members;   -  Counseling Services for disabled people and/ or their family    -  Dietary supplements;     -  Transportation services;    -  Early Intervention Program;   -  Disable sport program;   -  Disabled Awareness Training;   -  Disabled related Resource Centre 1.   Physically and Intellectually disabled children   under 18 years;  2.  Disabled people and;   3.  The people who deal with disabled people and the public   in general. Eden Centre For Disabled Children (ECDC)Formerly ﬁEden Handicap Service Centre (EHSC)ﬂ56, Wa Oo  4th Street, Phawkan , (Aungsan P.O),    Insein  ,Yangon. Tel : 95-1-640 399",
Envir-Klean Technologists' Associates,myanmar,"  Water and environmental  conservation, reduce remediation,     pond rehabilitation,  water and   sanitation development,     desalination of Seawater and Nipa Palm Plantation Disaster effected people, village community  Envir-Klean Technologist' Associates No. (98), A (2), Thiri (4) Street, (2) Quarter, Haling Township  Yangon Division. Tel : 09 503 8655,  09 730 1 7732",
Forest Resource Enviornment Developmen & conversation Assocaition,myanmar,"FREDA was founded in January  1996, by a groups  of forestry   professionals To promote participation and partnership in forest  resource   and  environment  development. Main Goal:   - Forest and natural environment development and   conservation    -  Wildlife protection   -  Rural  community development   -  Disaster Risk Reduction    -   Promotion of Sustainable landuse  cooperation  in sustainable   forest management       -  Human resource development in forestry and environment   Science :   -  Forest Conservation and  mangrove  reforestation    -  Disaster preparedness and rehabilitation   -  village lighting   - Human resource development of M.Sc , Ph.D candidates in           environmental science Rural Community   Forest Resource Environment Development and Conservation  Suite (707) , MWEA Tower, 288-290, Shwedagon Pagoda Road,  Dagon Township , Yangon, Myanmar. Tel : 01-243827",
Forever (Humanitarian & Development Projects),myanmar,   ,"Forever was created  in 2010 by a group of volunteers (alumni of the  French Institute of Myanmar) to raise the voice of needy ones and to implement   small scale development projects through the creation of self-help groups,   income generation activities, youth and women empowerment trainings.   Forever is currently implementing a 'Str eet Children Integration Project' which  intends to propose livelihood strategies to street children by providing them   with vocational trainings Vision/Mission   - Together, build up the capacity,  Þ  ght against the poverty and make a  peaceful and greener world. Main Objective  To uplift the living standard of the communities through the small  scale  development projects Main Activities:   - giving assistance in self   - help groups creation   - distributing fruit trees and awareness raising posters  (on home   gardening & recycling)   - granting scholarships for outstanding students   - granting micro-credit loans  to needy families for in come generation   activities   - organising vocational  trainings for young adolescents    - running Amay Let Yar restaurant as an income generation source, a   vocational training centre and a shelter for the beneÞ  t of street children Primary BeneÞ  ciaries  Children, Youth & Women  Forever (Humanitarian & Development Projects)142, Parami Road, South Okkalapa, Yangon Tel :  570 189, 09 430 52916"
Foster Family Association,myanmar,"Yadana Foster Home accommodates the maximum of 90  orphans ranging from months' old to 18 years of age together with   staff.With the support of Yadana partners; Total E&P Myanmar, Unocal,   PTTEP and MOGE, in collaboration with other interested donors and   contributors as well as concerned Departments, Yadana Foster was   established in 2002. To provide tender and loving care to all the children of Yadana  Foster Home in order to get physical mental and social well-being and   to develop fully in all aspects.  Main Goal   To prepare older children in order to be reintegrated  successfully in to the society after 18 years of age Child Care Parentless Children   Foster  Family  Association No(5), Sacred Tooth Relic Lake Avenue Punn Pin Gone Quarte No 5. Myangone Tsp,Yangon. Tel :  660466 , 650978, 609113 , 095083870",
Free Funeral Services Society,myanmar,"  (A) Free funeral Services Society (Yangon)   1. Cremation on the same day of demise   2. Transportation of body to mortuary from house or hospital   3. Incurring the expenses of Cold storage for two days in the   mortuary   4. Paid the cremation expenses on the third day   5. Offering the use of Aluminum or Glass cofÞ  ns on request  6. Offering the specially decorated and gilded hearses from   Japan for the monks, elderly persons   7. above eighty years and to prominent or well-known per-  sons  8. Specially prepared hearse with a glass cofÞ  n is provided  especially for corpses aged under Þ  ve Free Funeral  Services Society (Yangon) 13 (A) Bohmu Ba Htoo Street, 48 Ward, North Dagon, Yangon,  MyanmarTel : 95-01-581 363, 95-1-580 133 Name of Leader RU Kyaw Thu  (Acadamy Award  Winning Director  and Actor,Chairman  and Chief Executive  OfÞ  cer) Name of Contact Person U Kyaw Thu  (Acadamy Award  Winning Director  and Actor,Chairman  and Chief Executive  OfÞ  cer) Emailffssyangon@gmail. com Year of  Establishment January 2001  LOCAL NGO DIRECTORY 32(B) Medical Aid Programs  1. Medical Aid in terms of partial expenses for emergency   operations to needy or impoverished patients at the six general   hospitals.(in North and South Okalapa Hospital, Insein Hospital,   Thungangyun Hospitals, East and West Yangon Hospitals)   2. A dispensary and health care service with a laboratory to help   with the diagnostics, in the name of Thukha clinic is established where   out patients can be treated free of charge, by the specialists, surgeons   and physicians in such Þ  elds as Pediatrics, Obstetrics and Gynaecology,  Physiotherapy, Orthopedic Surgery, Dermatology, Ophthalmology and   physicians for other general ailments   3. Incurring the cost of operation for eye surgery to more than   100 patients monthly  4. Recruiting and linking the voluntary blood donors with   persons needing blood transfusions   5. Hiring of medical related equipments to out-patients free of   charge ",
Generosity youths group,myanmar,"established in January , 2011  with friends who are interested  in giving  volunteer services  in Education Toward  Main Goal   To promote educated citizens and to create job opportunities  within local area To eliminate uneducated people within local area children & youths Generosity' youths group  Corner  of 54  street and  Myat Lay street , Thuntone New Quarter ,  Chan Mya Thar Si  Ward , Mandalay city, Mandalay Division Tel :  0949278694",
Global Green Group,myanmar,LNGO   ,"Global Green Group is a Non-proÞ  t sharing Organization formed  by a group of of volunteers. The aim and object is to promote social   welfare with regard to education , health and harmonize environment   protection Main Goal    Strengthening the capability of creating public awareness on   enviroment needs among the people    Main Activities      Publishing the Aung Pin Lae enviroment Magazine Primary BeneÞ  ciaries   Both Public and private sectors Global Green Group159(A), Shwedagon Pagoda Road , Dagon Post OfÞ ce, Yangon,  Myanmar. Tel : 95-1-374 714(Res) , 95-1-245 0211(mobile)"
Gold Myanmar,myanmar,"GOLD Myanmar is a local NGO organized by those who are   eagerly interested in implementation of community development   works. It establishes to implement poverty reduction and community   development activities. To reduce poverty by providing livelhood opportunities, creat-  ing incoome generation, and empowering women by providing mental   health, developing knowledge and skills'. Main Goal   - To participate in community development activities particu-  larly for those in need   -  To promote women empowerment and provide livelihood   opportunities   -  To coordinate and cooperate with some other organizations   for community interests. -  Capacity building traning , Health traning and WASH sector   activities for Myaebon Township   -  Micro Þ  nance activity for urban poor women  -  Health care services by providing free mobile clinic activities   in Yangon Division   - Vocational trainings for women   - Coordination with women working group, Myanmar NGO   Network Environmental Workning Group (MEG) and Non Formal   Education Working Group under Myanmar NGO Network   - Cooperation with other parther organiztion :  NFE   Working Group, MEG Working Group, Yatana Mahal, MAA, MIDA,   CDEC,BDA,RCA, Dear Myanmar, EKTA, MEET, RDS,I-32, YIDIN,   AFP,CFN,FSWG GOLD MyanmarTel :  0973045940",
Golden Eagle Action for Rural Development,myanmar,   ,"Golden Eagle Action for Rural Development(GEAR) No.445,7/10,Taw Win Street, Shwe Pyi Thar Township.Yangon. MyanmarTel :   95-1-610698"
Goldenland Development Agency,myanmar,   ,"Goldenland Development Agency No(1173), 2nd Thudamar Street, No(2) Ward, North Okkalapa Tsp,  Yangon. Tel : 09-5019309,  09-8613138"
"Grace Home(Orphanage), HomeforTheNeedyChildren",myanmar,"The executive administrator & Founder Daw Amarylla Myatt   sympathized with the homeless orphans and wanted to show them   love and cultivate them, so she started sending them to school and   then found employment for them. She started with 5 orphans and   then with the support of donors and contributors, was able to establish   Grace Home. - For the homeless orphans to acquire an education and be  able to stand on their own feet   - To demonstrate that orphans can become valuable young   people if they are provided support and are cultivated   - To accept and help children in need without discrimination Main Goal   - To teach orphans who have lost their parents and are   homeless,children who have been abandoned by their parents and   relatives,children who are outcasts from society and children who have   been through struggling and never received schooling   - To teach them handicraft skills, art, sculpture and other   professional skills so that learn to help one another, have sympathy   for other people and acquire self-conÞ  dence and strength  - To transform those children into valuable sons and daughters   of the country by teaching them to have good morals, a sense of   religion,social skills to deal with other people and a good spirit - Schooling for the children   - Vocational training at the Home or at a school      - Promoting the livelihood and  health of the children. Orphans, homeless children, abandoned children, and children   rejected by society Grace Home (Orphanage)(Home for The Needy Children)No. 12, U Po Khin Street, Kayin Amyothar Ward, Kyeemyintaing   Township, Yangon, Myanmar Tel : 01  220 472",
Green Nature Group,myanmar,"Started in 2008 May after Nargis cyclone To save the Earth Main Goal   To protect  Environment Distribution Pamphlets, Giving Train Local Public","Green Nature GroupBuilding B , 6D , Kantgaw Housing ,No 60 , BoYarNyunt Street,   YawMinn Tel : 098033554"
Hman Kinn Monastic Education School,myanmar,"First established by Sayadaw Baddanta Kavinda in 1993 as   primary school with 3 teachers and 30 students (Paloungs, Shan State).   Then in 1996 with support from the Government it was upgraded to   middle school - To prevent conversions to other religions and their  spreading   - Perpetuation and propagation of Buddhism   - To have educational opportunities for orphans and poor   children Main Goal   - To provide care and protection as well as education to orphans,    impoverished children   - To help them in Þ  nding appropiated jobs More than 300 students are   - given food, clothes, and shelter, educated, transferred to high   schools and  given Job opportunities   - given an opportunity to learn Buddhist doctrine Orphans, street children, impoverished children and people  connected those children","Hman Kinn Monastic Education SchoolHman Kinn Pariyatti Education Monastery, No. 7 Monastic  Education School,10-South (11) Ward, Thaketa Township, Yangon,   Myanmar. Tel : 95-1-547 405"
Karen women's Action Group,myanmar,"Forming with women leaders volunteer group in 2003 For the brighter future for women and children Main Goal:   - To promote women leadership & Empowerment :   1. Women protection, RH , Women learning centers, Child   protection Women & Children Karen Women's Action Group 410, Maha Thukita Road, Lane-3 (south) , East GyoGone, Insein Tel :  098578285",
Karuna Myanmar Social Services,myanmar,"  Health Care & HIV/AIDS Awareness Training Program and  Water   & Sanitation Program                                                  Eearly Childhood Care & Development Program, Scholarship   Program        Agriculture, Small Enterprise Development and MicroÞ  nance  Program      Child protection Program Disaster Risk Reduction (DRR)   Awareness Program The needy of different ethnics and religions from (16) Dioceses  in Myanmar.","Karuna Myanmar Social Services ( KMSS )Karuna Myanmar Social Services ( KMSS )Catholic Bishops  Conference of Myanmar ( C.B.C.M 292 (A), Pyay Road, Sanchaung   P.O.  11111,Y angon, Myanmar. Tel  : ( 95 ) 01-705839"
