cause_area,city,country,description,name,website
"Religious,",Sangker,Cambodia,"We are currently focusing our works in the northwest of Cambodia including Battambang, Pailin, Banteay Meanchey, Oddor Meanchey, Siemreap, Kampong Thom, and Preah Vihear Province.  Our Strategic Aim on social development is to raise the knowledge and awareness of BFD target groups regarding local governance, civil society and rule of law, human rights, role of women in society, and Cambodian culture & traditions.",Buddhism For Development Bfd,http://www.bfdkhmer.org
"Children,Community Service,Medical,",Siem Reap,Cambodia,"We are MaD É?? a Cambodian Charity/NGO working to make a difference for good in Siem Reap, Cambodia.  MaD is registered as a 501(c)(3) charity in the USA, as an NGO in Cambodia, and we are registering as a charity in the UK.",Mad - Making A Difference For Good!,http://www.madcambodia.org
"Children,Medical,Overseas Aid,",Preah Sihanouk,Cambodia,"Hand of Help, Cambodia?ˇis a non-profit organization, working in first- aid and disseminating knowledge about common diseases in Cambodia.  This organization was founded in April, 2009.  With our help Cambodian people being victim of  any disease could receive a qualified treatment and care service free of charge.?ˇWe aim is to reduce to the minimum the deaths due to malaria, dengue fever, typhoid fever or any other virus.",Ngo Hand Of Help,http://www.ngo-handofhelp.org/
"Community Service,Hunger/Poverty,Overseas Aid,",Battambang,Cambodia,"MJP is dedicated to eradicating extreme rural poverty, protecting natural resources and conserving wildlife. MJP promotes sustainable rural economies that directly contribute to the health and vitality of communities, wildlife and forests.",Jolie-pitt Foundation,http://mjpasia.org
"Children,Human Rights,",Phnom Penh,Cambodia,"We are a Cambodian Non-Governmental, non-political and non-denominational organization. We run twelve interlinked programs for street children with centers in Phnom Penh, Kampong Speu and Kampong Cham provinces and outreach activities in all provinces in Cambodia.",Friends / Mith Samlanh,http://www.streetfriends.org
"Children,",Phnom Penh,Cambodia,"Terre des hommes Germany is a founding member of the International Federation of terre des hommes (IFTDH) based in Geneva, Switzerland. The Federation represents terre des hommes at the Economic and Social Council (ECOSOC) of the UN, and does lobby work with other UN agencies based in Geneva, including the UN Human Rights Commission.",Terre Des Hommes Germany-cambodia Tdh,http://www.tdhsea.org
"Children,Overseas Aid,",Siem Reap,Cambodia,"To provide free pediatric healthcare to the children affected by both poverty and disease in Siem Reap Province and Northern Cambodia and to strengthen Cambodia's Health infrastructure through training of doctors, nurses and other health professionals as well as rural government health workers and communities.",Angkor Hospital For Children,http://angkorhospital.org
"Children,Overseas Aid,Research,",Siem Reap,Cambodia,"VDCA is the online name for the Volunteer Development Poverty Children School in Siem Reap, Cambodia. The school was registered as an official NGO in Cambodia in September 2007 and functions as a supplementary school to the public school system for the majority of the children. Some students, however, are orphans or come from families who cannot afford the monthly fee of 6,000 Riel (1.50 USD) for public schools.",Volunteer Development ChildrenÉ??s Association,http://vdca-cambodia.org
,Phnom Penh,Cambodia,"VBNK is a dynamic Cambodian learning organisation at the forefront of capacity development. VBNK works with a wide range of civil society, public and private sector organisations so that they can contribute more effectively to sustainable social development. VBNKÉ??s mission is to be a centre of learning, working creatively with others to generate and share innovative practice and local knowledge that can contribute to positive social change.",Vicheasthan Bandosbondal Neakropkrong Kangea Vbnk,http://www.vbnk.org
,Phnom Penh,Cambodia,"To build a just and peaceful nation through citizen service, civic leadership, and social entrepreneurship. Our work is guided by the belief that building a just and peaceful nation is every citizen's right and responsibility, and that each individual can make a difference.Our citizen service vision is that soon all Cambodian youth will have the opportunity and want to serve their community and nation. Our civic leadership vision is that soon Cambodian youth will have the values, skills, and inspiration to be a leader for the common good.",Youth Star,http://www.youthstarcambodia.org
"Overseas Aid,",Phnom Penh,Cambodia,"Tiny Toones Cambodia uses breakdancing, Hip-Hop music, and the contemporary arts as creative tools to empower the youth of Cambodia to live healthier lives free of HIV and drugs, build a more promising future by furthering their educational opportunities, and become positive role models for their community.  Tiny Toones welcomes all youth to participate in its programs, regardless of gender, social-economic status, physical handicaps, family background, or other personal disadvantages. The education, health, and arts curriculum of Tiny Toones consists of free daily classes in English and Khmer to supplement the children's public schooling, and the integration of HIV education and drug prevention in a fun, child-friendly approach through fun games, skits, and performances. Peer mentors are available around the clock to provide positive support and to teach the elements of Hip-Hop, including breakdancing, rapping, and DJing.",Tiny Toones In Cambodia,http://tinytoones.org
"Children,",Phnom Penh,Cambodia,"We aim to empower our staff and our targeted communities to take part in building a future for Cambodian children. A future that includes the fullness of life and the will to carry out the work that transforms community members, making families stronger and more resilient to economic uncertainties. Our next five year's strategy prioritises the following strategic dimensions: vulnerable children, empowered communities, transformed systems and structures, through a refined sectoral focus that will include food and water security, education, health, peace and justice and HIV&AIDS.",World Vision Cambodia,http://www.worldvision.org.kh
"Children,Community Service,Overseas Aid,",Battambang,Cambodia,"Cambodian ChildrenÉ??s Trust (CCT) is a non-profit NGO running projects to help break the cycle of poverty in the Battambang region of Cambodia. We provide practical, long-term support to some of the most vulnerable people in Cambodia.",Cambodian ChildrenÉ??s Trust,http://cambodianchildrenstrust.org
"Children,Community Service,Educational,Hunger/Poverty,",Poipet,Cambodia,"It's not uncommon for children to forego school to help support their families, either through work at home or on the border. Hundreds of children are at the border each day, pulling carts loaded with goods or people, smuggling clothes past customs officials, scaling fish in the Thai market, holding umbrellas, or begging from tourists. Engaging in such work makes these children vulnerable to human trafficking and sexual exploitation.",Carpets For Communities,http://www.carpetsforcommunities.org
"Children,Educational,",Siem Reap,Cambodia,"IAM CAMBODIA is funded from providing guiding services to tourists (ABOUTAsia is a local Cambodian tour company founded expressly for this purpose) and donations generously given directly to the organisation.                                                                                 IAM CAMBODIA helps Cambodian children gain a valuable education, providing them with opportunities and choices in life many of us might take for granted.",The Iam Foundation,http://www.sagecambodia.org
"Overseas Aid,",Phnom Penh,Cambodia,"We believe in the value and dignity of all people, and that every individual deserves respect and fundamental rights. We believe that all people have the capacity to learn and to participate in activities for improving democracy and social harmony. We believe that the rule of law and good governance are the most important principals to promoting development and eradicating poverty.  Vision  Cambodian people live with the rule of law, in peace and social harmony.  Mission  CLEC promotes the Rule of Law, Justice and Democracy by supporting the development of appropriate institutions of justice, enhancing public knowledge of and encouraging participation in governance and the legal system, and advocating for good governance to achieve justice, peace and social harmony for all Cambodians.  HISTORY  The Community Legal Education Center (CLEC) was created in 1996 as legal resource center, promoting the rule of law, justice and democracy in Cambodia. From 1996 to 2001, CLEC operated as an arm of the University of San Francisco School of Law, funded by USAID. In December 2001, CLEC became a locally registered NGO.  Since its establishment, CLEC has taught over five thousand Cambodians in different subjects of law through its certificate in law program. CLEC has also produced a legal text-book series, which represents some of the only Cambodian legal texts on a wide range of subjects.  CLEC focuses on projects that combine legal education, legal empowerment and advocacy. Its trainings are designed for a wide range of target groups, including local communities, NGOs and government officials. CLEC has been involved in advocacy on a number of significant law reform issues, including:  the 2001 Land Law, the sub-decree on indigenous communal land titling, establishment of the Arbitration Council, the election dispute resolution process, the draft Peaceful Assembly Law, and commentary and review of numerous pieces of legislation. Since 2004, CLEC has also embarked on a major project of high-impact public interest legal advocacy, particularly in the areas of land and natural resources.  CLEC is indebted to the University of San Francisco School of Law (USF) and the United States Agency for International Development (USAID) for their support over the early years (1996-2001). Since that time, the Center survived because of support from other donors, including The Asia Foundation (TAF-USA), Canadian International Development Agency (CIDA-Canada), Forum Syd (Sweden), New Zealand Agency for International Development (NZAID), Open Society Institute Development Foundation (OSI/DEV), International Labor Organization (ILO), Norwegian People's Aid (NPA), World Bank (WB), Evangelischer Entwicklungsdienst (EED; Church Development Service - An Association of the Protestant Church of Germany), National Endowment for Democracy (NED) through International Republican Institute (IRI)  and the United States Agency for International Development through East-West Management Institute (USAID/EWMI) and the American Bar Association (ABA).   CLEC's Programs  1- Land and Natural Resources Program (LNRP); with two main projects under it - Public Interest Legal Advocacy Project (PILAP) and Land and Natural Resources Law Project (LNRLP)  2- Labor Program (LP)  3- Access to Justice Program (AJP)  4- Good Governance Program(GGP)",The Cambodian Legal Education For Women,http://clec.org.kh
"Children,",Phnom Penh,Cambodia,"The Don Bosco Foundation of Cambodia (DBFC) is a Non Profit institution of education of the Salesian Congregation of Don Bosco, composed by Salesian religious (priests, brothers and sisters), lay persons and sympathizers of the Salesian work in Cambodia. It was created to support the education of children and youth in need in Cambodia. The DBFC has its headquarters in Phnom Penh and it is both a  National and an International NGO. The name, Don Bosco, refers to the founder of the Salesians, Saint John Bosco, the Apostle of the Youth, who opted for the most poor boys and girls of his time (19th century) in Italy. The DBFC in Cambodia was founded on 24th May 1991 as a continuation of the educational works of Don Bosco around the world. Currently, the DBFC has technical schools, literacy centers, scholarship programs for poor children (Don Bosco Children Fund) and food programs for students. The DBFC has built several village schools in the country and it has many other programs, all created for assistance to  the most vulnerable children.",Don Bosco Foundation,http://www.donboscokhmer.org
"Medical,",Phnom Penh,Cambodia,"Hosea Ministries is an international NGO established in 2006 to offer capacity building services to organisations, communities, churches, and the Cambodian government. Hosea Ministries is staffed by Cambodia nationals from a wide variety of professional backgrounds with the support of international advisors and staff.",Hosea Ministries,http://www.hosea.org.uk
"Environment,",Phnom Penh,Cambodia,"In recent years, the environmental protection question paid attention specially. This subject is planning and sustainable development municipal government Lovech, the developmental strategy Manufacturing firm and the company routine work Non-governmental organizations. This project is to attempt to solve this problem, lacks the public the environmental information. In this process's execution will be between a network information and the commercial relation main pollutant, the administrative service, the regulatory authority  and the Non-governmental organizations.","Asotziatzia For Grazhdanski Initiative Lotos,sofia,,bulgaria1574211,http://www.epi-bg.org,econo",http://www.lotoslv.hit.bg
"Human Rights,",Phnom Penh,Cambodia,"The NGO Forum is made up of local and international non-governmental organizations grounded in their experience of humanitarian and development assistance to Cambodia. The NGO Forum exists for information-sharing, debate and advocacy on priority issues affecting CambodiaÉ??s development. The NGO Forum has an important role to highlight the impact of development processes and economic, social and political changes on Cambodians.",Ngo Forum On Cambodia,http://www.ngoforum.org.kh
"Medical,",Phnom Penh,Cambodia,"The MoH implements a Health Sector Support project financed by the Asian Development Bank, called É??Contracting of Health ServicesÉ?ù, where an NGO is awarded a contract to improve health care services in a selected Operational District by working together with local Government health officials. RHAC participates in the MOH/ADB É??Health Sector Support ProjectÉ?ù by working together with HealthNet International (HNI), which has contracted with the MOH to improve health care services in Preah Sdach Operational District of Prey Veng Province. RHAC assists HNI to strengthen the Government health system by increasing the managerial and technical capacity of the Government staff, leading to improved quality of patient care and increased access to public health services. To meet these objectives, RHACÉ??s technical team provides training in all relevant health issues, supervision, health facility administration, personnel management, ethical behavior, drugs management, financial management, record keeping, reporting, supervision etc, to OD staff, HC staff and Referral Hospital staff to enable them to take on increased responsibility for managing the health services efficiently and effectively.",Reproductive Health Association Of Cambodia,http://www.rhac.org.kh
"Community Service,",Phnom Penh,Cambodia,SABORAS (a Pali word meaning generosity) is a local non-government and non-political organization implementing development activities in north-west Cambodia.,Saboras,http://www.saboras.org
"Children,",Phnom Penh,Cambodia,Save the Children in Cambodia works in areas such as promoting children's access to health care; helping children access to basic education; protecting children from abuse; supporting orphans and vulnerable children affected by HIV/AIDS; and promoting children's rights through advocacy and communication.,Save The Children Norway In Cambodia Scn - Co,http://www.savethechildrencambodia.org
"Educational,",Phnom Penh,Cambodia,"SILAKA is a leading training agency with the purpose to educate, encourage and prepare Cambodians to reach their individual potential in a transparent group setting so they can positively and increasingly contribute to their organization effectiveness.",Silaka,http://www.silaka.org
"Children,",Phnom Penh,Cambodia,"Sobbhana Foundation is a humanitarian organization providing Healthcare, Education and Basic Skills Training to impoverished women in order to help them build a better future.The foundation is divided into two main branches:",Sobbhana Foundation,http://www.sobbhana.org
"Community Service,",Phnom Penh,Cambodia,Pact is a networked global organization that builds the capacity of local leaders and organizations to meet pressing social needs in dozens of countries around the world.,Pact Cambodia,http://www.pactcambodia.org
"Community Service,",Phnom Penh,Cambodia,Padek is a community development organisation whose goal is to empower disadvantaged people to improve the quality of their lives in a sustainable way through building and strengthening civil society organisations.,Partnership For Development In Kampuchea Padek,http://www.padek.org
,Phnom Penh,Cambodia,"PIO serves over 1200 children a day with education, vocational training and support the poorest communities in Cambodia, with a focus on girls, orphans and street children. Many of these families are living with HIV/AIDs or other serious health issues and are the very poorest communities in Cambodia.",People Improvement Organization,http://www.peopleimprovement.org
"Children,",Phnom Penh,Cambodia,PJJ plans to be a permanent independent legal center for children to deliver services of lawyers and legal defense to Cambodian children to ensure respect for and protection of the rights of child victims and offenders within the justice system.,Protection Of Juvenile Justice Pjj,http://www.pjj.org.kh
"Children,",Phnom Penh,Cambodia,"Legal Support for Children and Women (LSCW) was founded following a year of research and analysis on conditions afflicting children and women in Cambodian society. We are working to promote gender equality, protect children and women from all forms of exploitation, push for the respect of their rights, and increase children and womenÉ??s awareness of those rights, with offices in Phnom Penh, and Koh Kong and Prey Veng provinces. LSCW also extends its work to Cambodian men, women and children trafficked during labour migration. LSCW provides legal assistance and support through trained Cambodian lawyers to victims, and continued research into conditions affecting women and children and Cambodian migrant workers. It is hoped that this work will enable the raising of awareness of the target group, and the building of capacity of those in need.The LSCW team aims to achieve and foster cooperation and collaboration among NGOs, international organisations, UN governments and civil society actors, both at the national and regional levels, in an effort to find solutions to the problems existing today in Cambodia.","Legal Support For Children And Women Lscw, Koh Kong",http://www.lscw.org
"Religious,",Phnom Penh,Cambodia,"Founded in 1947 and headquartered in Geneva, the Lutheran World Federation (LWF) is a communion that unites 68.3 million Lutheran Christians in 78 countries. Through the LWF, Lutherans worldwide strengthen their witness in",Lutheran World Federation Cambodia,http://www.lwfcam.org.kh
"Medical,",Phnom Penh,Cambodia,"MEDiCAM is the non-profit and non-partisan membership organisation for NGOs active in Cambodia's health sector. In terms of membership and role, MEDiCAM is one of the biggest umbrella organisations in the country. Every year, we gather approximately 110-115 members from both international and local NGOs, with UN and bilateral agencies joining at Associate Members level, and individuals at Observer level. MEDiCAM was created in July 1989, while the country was still suffering an economic embargo and diplomatic isolation from western nations. A group of NGOs active in the health sector started to gather and exchange information, eventually adopting the name MEDiCAM (MEDical+CAMbodia). Thanks to the energy and good will of several NGO pioneers, the association slowly took shape: a General Assembly of members convened and adopted a Charter, a Steering Committee was elected, etc. In 1991 the Ministry of Health of the then-State of CambodiaÉ??s government formally recognised MEDiCAM as the umbrella organisation officially representing the NGOs active in Cambodia's health sector. As such, MEDiCAM representatives have been invited to almost all official meetings related to health in the country. This has provided a golden opportunity for NGOs to actively contribute to both the policymaking and the implementation of the Health Sector Reform, engaged in by the government since 1996.",Medicam Cambodia,http://www.medicam-cambodia.org
"Children,",Phnom Penh,Cambodia,"MÉ??Lop Tapang focuses largely on prevention, helping children and their families to understand the very real dangers that exist and how they can best keep themselves safe from harm. Ti, our Child Protection team leader and his 3 fellow social workers, work very closely with vulnerable children and families in the community É?? working to educate them on the methods used by sex predators, particularly when trying to endear themselves to a family or a community. Using specially designed games, DVDs and art activities, the team is also able to reach a wide audience of younger children who are naive to the risks they face every day working in SihanoukvilleÉ??s streets.",M'lop Tapaing,http://www.mloptapang.org
"Environment,",Phnom Penh,Cambodia,"Mlup Baitong is a Cambodian NGO working to increase environmental awareness and conservation, seeking solutions for sustainable and equitable use of natural resources through education, training, and advocacy and community-based natural resource management activities.",Mlup Baitong,http://www.mlup.org
"Religious,",Phnom Penh,Cambodia,"International Cooperation Cambodia (ICC), a diverse Christian development organisation committed to serving the least-served across the Kingdom of Cambodia.",International Cooperation Cambodia [icc],http://www.icc.org.kh
"Research,",Phnom Penh,Cambodia,"Close to 200 Swedish organisations working to provide development assistance, information and to form public opinion on global issues have gathered under Forum Syd??s umbrella. Collectively, their work is known as development cooperation. Members range from big popular movements with annual budgets measured in hundred of millions of Swedisk Kronor per year, to small local associations supported by the voluntary work of just a few dedicated individuals.",Forum Syd Cambodia,http://www.kh.forumsyd.org
"Children,",Phnom Penh,Cambodia,"The KYCC is an organization working for children and youth Participants, Gender mainstreaming and Entrepreneurship through self-development, network peer education, information technology, cooperating with partner organizations and networking with relevant agencies.",Khmer Youth Camp For Culture Kycc,http://www.kycc4peace.org
"Human Rights,",Phnom Penh,Cambodia,"Legal Aid of Cambodia (LAC) is a non-governmental, independent, Khmer-administered, non-profit and non-political organization founded in 1995. LAC provides free legal services to the Cambodia's poor in both civil and criminal cases with its mission that is to provide quality legal service to and advocate for the CambodiaÉ??s poor so that they are fairly and equally treated in the society. LACÉ??s clients are CambodiaÉ??s poor É?? Cambodian people residing in Cambodia.",Legal Aid Of Cambodia Lac Banteay Meanchey,http://www.lac.org.kh
"Human Rights,",Phnom Penh,Cambodia,"The Program on Rights and Justice (PRAJ) is a human rights and rule of law program awarded to the East-West Management Institute (EWMI) by the United States Agency for International Development (USAID). It aims to improve the quality of the justice sector and uphold human rights in Cambodia through training, technical assistance and grant-making. EWMI's main partner for PRAJ is ABA, the American Bar Association.",Program On Rights And Justice Praj,http://www.ewmi-praj.org
,Phnom Penh,Cambodia,"Founded in 1988 as an independent, not-for-profit organization, the East-West Management Institute, Inc. (EWMI), promotes the rule of law, civil society and free market systems globally. EWMI provides training, technical expertise and grants to foster sustainable reforms in government, business and civil society. Working in partnership with grass roots groups, local governments and international organizations, EWMI combines legal, civic and economic initiatives to build just, prosperous and democratic societies. EWMI implements complex, ambitious programs by forming successful relationships with local government counterparts, international donors and local NGOs. Within the field of rule of law promotion, EWMIÉ??s expertise includes judicial reform, legislative framework reform, court administration, anti-corruption and transparency, judicial and legal education, and access to justice. In the field of financial reform, EWMI helps promote international financial standards and best practices in developing countries, and provides training on technical areas such as accounting, auditing, anti-money laundering and corporate governance. EWMI recognizes that an engaged civil society is the cornerstone of sustainable development. As such, EWMI works with civil society to build sustainable institutions that advocate for their citizens and build a responsive government.",East-west Management Institute Ewmi Cambodia,http://www.ewmi.org
"Children,",Phnom Penh,Cambodia,"Friends of CCH, located in the United States, is dedicated to support of the Center for ChildrenÉ??s Happiness orphanage in Phnom Penh, Cambodia. Areas of support include:",Friends Of Center For Children's Happiness,http://www.friendsofcch.org
,Phnom Penh,Cambodia,"Cambodia is one of the poorest, least developed countries in the world-struggling to rebuild from decades of war, occupation, and corruption. Today's Cambodia, while experiencing relative political stability, is deeply scarred. Its intellectual capital has been destroyed and its infrastructure is nonexistent. The consequences are particularly grim for the children of Cambodia. Many are orphaned; many others are abandoned because their parents have no means to care for them.",Sovann Komar,http://www.goldenchildren.org
"Children,Religious,",Phnom Penh,Cambodia,"Hagar International is a Swiss-based Christian organization that is committed to individualized and long-term assistance to its beneficiaries, advocating the strategic use of the social enterprise model as a tool for social rehabilitation and economic empowerment. Hagar works with women and children from devastating backgrounds of violence, abuse and trafficking and supports them in their recovery, rehabilitation, job readiness and ultimately community reintegration.",Hagar Project,http://www.hagarproject.org
,Phnom Penh,Cambodia,"We are running a residential care program for street glue children, young adults who have life-controlling problems; especially with drugs and alcohol problems. Teen Challenge of Cambodia offers a one-year residential program for street glue kids of adolescent and adult males. The program is designed to help them learn how to live drug-free lives. Teen Challenge offers a well-developed, multi-phased discipleship training program that includes Bible study, character development exercises, English classes, work assignments, vocational training, Individual counseling and group counseling therapy and chapel services. There is also opportunity for the residents to be involved in community outreach projects. We encourage the students who are in the program to practice the moral of biblical principle, when they do, their lives are transformed and they find true meaning and purpose and are on their way to becoming productive members of society.",Teen Challenge Cambodia,http://cambodiateenchallenge.weebly.com
"Community Service,Human Rights,",Surabaya,Indonesia,"Realizing that receive social order and respect human rights, diversity of sex, gender, sexuality and sexual welfare, on the basis of Kerelawanan, Democracy, Anti-violence, independence and Openness.",Gaya Nusantara,http://www.gayanusantara.org/
,Bogor,Indonesia,Indonesian Environment Information Center (pili) is a non-profit organization established to support the strengthening of civil society movements and non-governmental organizations (NGOs) in the Indonesian environment. Didirikan pada tanggal 1 Mei 2000. Established on 1 May 2000.,Indonesian Environmental Information Center,http://www.pili.or.id
"Overseas Aid,",Kebayoran Baru ,Indonesia,"The Indonesian forestry industry has seen many changes since independence, from the low-level exploitation of the country's production forest under Soekarno to their wholesale plunder under Soeharto. However, it would now appear that there is at last some hope on the horizon for Indonesia's production forest following a growing realization in government circles that something has to be done before they disappear completely.",Greenomics Indonesia,http://greenomics.org
"Research,",Pusat,Indonesia,"SMERU is an independent institution for research and public policy studies which professionally and proactively provides accurate and timely information, as well as objective analysis on various socioeconomic and poverty issues considered most urgent and relevant for the people of Indonesia.",Social Monitoring And Early Response Unit,http://www.smeru.or.id
"Environment,",Yogyakarta,Indonesia,THE ASIA REGIONAL COOKSTOVE PROGRAM (ARECOP) was initiated in 1991 as a network that facilitates the development of effective improved cookstove and biomass energy programs at the household and small industry levels.,Asia Regional Cookstove Program,http://www.arecop.org
"Human Rights,",Jayapura,Indonesia,"SKP stands for Justice and Peace Secretariat, which is an integral part of the Catholic Church's diocese of JayapuraThis office was established by Bishop of Jayapura, Mgr. Dr Leo Laba Ladjar OFM pada 1 Juli 1998.Since 15 August 2005, the diocese of Jayapura Papua Fransiskan and agreed to be the founder of the Agency are fully responsible for the existence of this service. This office has five focus areas: advocacy of human rights situation in the region of Papua, research and documentation, inter-faith dialogue, build a culture of peace and reconciliation, justice and ecology.",Sekretariat Keadilan Dan Perdamaian,http://www.hampapua.org
"Medical,",Solo,Indonesia,"Yayasan Indonesia (YIS) is a non governmental organization (NGO) dedicated to the enhancement of community life in Indonesia, by developing and promoting a variety of community-based strategies which emphasize community participation in the areas of health and family nutrition, sosio-economic development, institutional capacity improvement, training and consultancy. It was founded in 1974 by young medical doctors to respond the poor health condition of the community, particularly in the rural areas.  In its work, YIS has been working jointly with many parties including international and national organizations, local government, universities, non-governmental organizations and individuals to implement community development programs with the target groups of less-fortunate people in many province in Indonesia. Though its community É??based model of approach, the programmes was enable to transfer skills, technologies and managerial capabilities to the targeted community.",Yayasan Indonesia Sejahtera,http://yis.or.id
"Overseas Aid,",Jakaarta,Indonesia,"The Children of the World Choir aims to É??An ongoing project, the Children of the World Choir - Indonesia seeks to  Bring together approximately one thousand children from different nationalities, religions, race and socio-economic backgrounds;  Create awareness that children must always be given every hope for a better future;  Demonstrate that the forces of unity in our world today are stronger than the forces of division.  The Children of the World Choir É?? Indonesia Project sees  Children from around the archipelago enjoy and benefit from the cross cultural friendships that are part of the choir;  Choirs given the opportunity to participate in a concert;  The production of a special VCD, which will be released for sale both nationally and internationally, the profits of which will go to needy children in Indonesia;  An international audience enjoy the musical magic of Indonesia. Organizers now seek the support of generous patrons who will commend the project to others and allow the Children of the World Choir - Indonesia to be a continuing venture.",Children Of The World Choir,http://cwchoir.org
"Religious,",East Jakarta,Indonesia,Philadelphia Mission is a non-profit foundation that engaged in evagelism. Concern about the underprivileged churches and adopting the servant of God's families who are less prosperous.,Philadelphia Mission,http://www.yasphim.com
"Environment,Overseas Aid,",Lombok ,Indonesia,"The Gili Eco Trust was set up in 2002 to support local efforts from SATGAS (local security) to protect the Gili islands. The seven dive centres of Gili Trawangan reached an agreement with a local organization and began collecting a small fee from each diver. This money was initially used to help ban dynamite and cyanide fishing.  Since 2004, the Gili Eco Trust established a cutting-edge reef restoration program. The Biorock?? that lie directly off the beach around the island are steel  structures that stimulate coral growth with the use of a low-voltage electric current. The Gili islands are now home to 40 Biorock?? reefs. Ask at your dive center for more information on this pioneering project or come to meet Delphine or some volunteers in Big Bubble Dive.",Gili Ecotrust,http://giliecotrust.com
"Children,Community Service,Educational,Research,",Sleman,Indonesia,VISION,Lingkar,http://www.lingkar.or.id
"Environment,Research,",Bogor,Indonesia,CIFOR is an international research and global knowledge institution committed to conserving forests and improving the livelihoods of people in the tropics.,Center For International Forestry Research Cifor,http://www.cifor.cgiar.org
,Nanggroe Aceh,Indonesia,"IOM Indonesia operates a national counter-trafficking programme in close partnership with government agencies and local NGOs to combat this modern form of slavery through a comprehensive approach encompassing prevention of trafficking, including education and community empowerment; protection of victims, including return, recovery and reintegration; prosecution of traffickers, including law enforcement training; and through research.",International Organization For Migration Iom Meulaboh,http://www.iom.or.id
