name,description,website,cause_area,address,city,contact_number,email,contact_person,,,,
Youth Pacemaker Organization,Nan,https://www.facebook.com/Youth-Pacemaker-1782165028724049/?fref=ts,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Child Rights (  ကေလးသူငယ္အခြင့္အေရး), Peace (ျငိမ္းခ်မ္းေရး), Research /advocacy (သုေတသနနွင့္ စည္းရံုးလႈံ႕ေဆာ္ၿခင္း), Gender (က်ားမေရးရာ), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Language school (ဘာသာစကား သင္တန္းေက်ာင္း), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Social and economic (လူမႈေရးနွင့္စီးပြားေရး), Social work (charity) (ပရဟိတ/လူမႈေရးလုပ္ငန္း), Human Rights (လူ ့အခြင့္အေရး)",Nan,"Nation Wide (တစ္နိုင္ငံလံုးအတိုင္းအတာ), Mandalay (မႏၲေလး)",Nan,[email protected],"ဦးေဆာင္သူအမည္ : Soe Kalayar
ရာထူး : Director
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : Soe Kalayar

",,,,
Ju Foundation,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း), Environment (သဘာဝပတ္ဝန္းက်င္), Social work (charity) (ပရဟိတ/လူမႈေရးလုပ္ငန္း)",Nan,Yangon (ရန္ကုန္),"
09 5009600",Nan,Nan,,,,
Action for Green Earth,Nan,Nan,"Gender (က်ားမေရးရာ), Livelihood (အသက္ေမြးမႈ)",Nan,Nan,09 421725637,Nan,Nan,,,,
Mon Youth Development (Ye Phyu) MYD,Nan,Nan,Human Rights (လူ ့အခြင့္အေရး),Nan,Tanintharyi (တနသၤာရီ),09 49807536,Nan,ကိုေက်ာ္သက္စိုး - 09 49807536ကိုမ်ိဳးေဇာ္လတ္,,,,
Phaung Daw Oo,Nan,Nan,"Education (ပညာေရး), Health (က်န္းမာေရး)",Nan,Mandalay (မႏၲေလး),"02-39855, 01 380097-8",Nan,Nan,,,,
Nett Mouk (Youth Education),Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),651259,Nan,Nan,,,,
All for All,Nan,Nan,Education (ပညာေရး),Nan,Nan,"
09 423665119",Nan,Nan,,,,
Egress Myanmar,Nan,Nan,Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း),Nan,Yangon (ရန္ကုန္),"
665482",Nan,Nan,,,,
Sex Worker in Myanmar Network,Nan,Nan,Nan,Nan,Nan,Nan,Nan,"


",,,,
Thanlyin Township Eduction Network,Nan,Nan,Education (ပညာေရး),Nan,Nan,"
09 31357626",Nan,Nan,,,,
Youth Empowerment Association,Nan,Nan,Environment (သဘာဝပတ္ဝန္းက်င္),Nan,Yangon (ရန္ကုန္),09 513 2285,535049,549654,Nan,Nan,,
Rural Development Network,Nan,http://lrcmyanmar.org/en/www.facebook.com/Rdn%20Myanmar,"Education (ပညာေရး), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Human Rights (လူ ့အခြင့္အေရး)",Nan,"Yangon (ရန္ကုန္), Mandalay (မႏၲေလး), Magway (မေကြး), Sagaing (စစ္ကိုင္း), Ayeyarwady (ဧရာဝတီ)",Nan,[email protected],"ဦးေဆာင္သူအမည္ : U Myo Thiha Tun
ရာထူး : In Charge of RDN
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : U Myo Thiha Tun

ရာထူး : In Charge of RDN",,,,
Enviro-Klean Techno-Associates,Nan,Nan,"Environment (သဘာဝပတ္ဝန္းက်င္), WASH (ေရသန္ ့ရရွိေရး/ေရနွင့္ပတ္သက္ေသာ က်န္းမာေရး)",Nan,Yangon (ရန္ကုန္),"09 503 8655,  09 730 1 7732",Nan,Nan,,,,
MYPO,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Peace (ျငိမ္းခ်မ္းေရး), Environment (သဘာဝပတ္ဝန္းက်င္), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Human Rights (လူ ့အခြင့္အေရး)",Nan,Mon (မြန္),Nan,[email protected],"Seik Chan Oung, Mi Rot Chan
",,,,
Akhaya,Nan,Nan,"Child Rights (  ကေလးသူငယ္အခြင့္အေရး), Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း)",Nan,Nan,"01 519278, 09 448027766, ",Nan,Nan,,,,
CMMD,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Child Rights (  ကေလးသူငယ္အခြင့္အေရး), Vocational training (အသက္ေမြးဝမ္းေက်ာင္း သင္တန္း), Youth empowerment (လူငယ္ထု စြမ္းရည္ျမွင့္တင္ျခင္း), Language school (ဘာသာစကား သင္တန္းေက်ာင္း), Media (မီဒီယာ), Human Rights (လူ ့အခြင့္အေရး)",Nan,Yangon (ရန္ကုန္),Nan,[email protected],"Ms. Latt Latt Soe
",,,,
Thonehtet Parahita Monastic Education School,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),380097,Nan,Nan,,,,
nayhetsoe,deve,nayhtet.com,"Agriculture (လယ္ယာစိုက္ပ်ိဳးေရး), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း)",lasdkjl, las,djkfl,asjkd ,alsdjkfl,"Ayeyarwady (ဧရာဝတီ), Kachin (ကခ်င္), Kayin (ကရင္)",921384780,[email protected],nayhtetsoe
Happy Haven Humanitarian Project,Nan,Nan,"Protection, Health (က်န္းမာေရး), Education (ပညာေရး)",Nan,Yangon (ရန္ကုန္),01-581955,Nan,Nan,,,,
Mon Youth Development of Future,Nan,Nan,Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း),Nan,Tanintharyi (တနသၤာရီ),Nan,[email protected],"ဦးေဆာင္သူအမည္ : ကိုမင္းေကာင္းခြန္

ဆက္သြယ္ရန္ပုဂၢိဳလ္ : ကိုမင္းေကာင္းခြန္ - ၀၉၂၅၂၇၄၆၀၆၉၊ ၀၉၂၅၂၇၉၂၆၁၂
",,,,
Mingalar Myanmar,Nan,Nan,Nan,Nan,Yangon (ရန္ကုန္),"544482,09 200 5599,
09 514 5599,09 855 1104;09 855 3193;09 860 1160;09 855 1491;
09 859 5175",Nan,Nan,,,,
Yadanapon Yeik Nyein Monastic School,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),571841,Nan,Nan,,,,
Yinthway Foundation,Nan,Nan,Education (ပညာေရး),Nan,Mandalay (မႏၲေလး),Nan,Nan,Nan,,,,
Mangrove and Environmental Rehabilitation Network,Nan,Nan,Environment (သဘာဝပတ္ဝန္းက်င္),Nan,Yangon (ရန္ကုန္),"
554254",Nan,Nan,,,,
Nyein Foundation,Nan,Nan,Peace (ျငိမ္းခ်မ္းေရး),Nan,Mon (မြန္),Nan,[email protected],"ႏုိင္တင့္ခုိင္
",,,,
Environmental and Economic Research Institute,Nan,Nan,Environment (သဘာဝပတ္ဝန္းက်င္),Nan,Yangon (ရန္ကုန္),"
245762,249152,395512
246634,652236,6252237,Ext 102",Nan,Nan,,,,
Amay Eim,Nan,Nan,Education (ပညာေရး),Nan,Nan,09 5177595,Nan,Nan,,,,
Generosity Youths Group,Nan,Nan,Education (ပညာေရး),Nan,Mandalay (မႏၲေလး),09-49278694,Nan,Nan,,,,
Ecosystem Conservation and Community Development Initiative,Nan,Nan,Environment (သဘာဝပတ္ဝန္းက်င္),Nan,Yangon (ရန္ကုန္),"
510902; 504225",Nan,Nan,,,,
Pyinnya Theik Pan Monastic Education School,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),651272,Nan,Nan,,,,
Myanmar Volunteer Group,Nan,Nan,Livelihood (အသက္ေမြးမႈ),Nan,Yangon (ရန္ကုန္),202899,Nan,Nan,,,,
Myanmar Social Initiative Organization,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း), Human Rights (လူ ့အခြင့္အေရး)","20/ A,Than Thu Mar Street, South Oakkalapa Township, Yangon","Mandalay (မႏၲေလး), Nay Pyi Daw (ေနျပည္ေတာ္), Yangon (ရန္ကုန္)",Nan,[email protected],Paing Wai Soe,,,,
Amay Ein Pyinyar Dana,Nan,Nan,Education (ပညာေရး),Nan,Nan,"
09 41005762/09 951010",Nan,Nan,,,,
Sin Dun Network,Nan,https://www.lrcmyanmar.org/mm/yehzar%40mail.com,Livelihood (အသက္ေမြးမႈ),Nan,Kachin (ကခ်င္),Nan,[email protected],"ဦးအာဆီးပါ
၀၉၇၉၀၄၃၈၀၈၁[email protected]
2/31  Pangmati, Myitkyina,Kachin State
",,,,
New Myanmar Foundation,Nan,Nan,Nan,Nan,Nan,Nan,Nan,"


",,,,
မဂၢင္ လူမႈဖြံ႕ၿဖိဳးမႈဆိုင္ရာ အကူအညီေပးေရးအဖဲြ႕,Nan,http://www.mdcg-myanmar.org,"Health (က်န္းမာေရး), Infrastructure (အေျခခံ အေဆာက္အအံု), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Multi-Sectors, Disaster risk reduction (သဘာဝေဘးအႏၱရာယ္ ေလ်ာ့ပါးေရး), Environment (သဘာဝပတ္ဝန္းက်င္), WASH (ေရသန္ ့ရရွိေရး/ေရနွင့္ပတ္သက္ေသာ က်န္းမာေရး), Shelter (နားခိုရာေနရာ/ေနအိမ္), Human Rights (လူ ့အခြင့္အေရး), Peace (ျငိမ္းခ်မ္းေရး)",Nan,"Yangon (ရန္ကုန္), Northern Shan (ရွမ္းျပည္နယ္ေျမာက္ပိုင္း), Rakhine (ရခုိင္)",Nan,[email protected],"ဦးေဆာင္သူအမည္ : ဦးေစာေမာင္ေမာင္ေက်ာ္ၿငိမ္း
ရာထူး : Program Director
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : ဦးေစာေမာင္ေမာင္ေက်ာ္ၿငိမ္း (Program Director)
ဦးေစာပီတာ (Program Officer)
ဦးေနလင္းစိုး (Liaison Officer)

",,,,
EcoDev,Nan,Nan,Environment (သဘာဝပတ္ဝန္းက်င္),Nan,Yangon (ရန္ကုန္),"
500464",Nan,Nan,,,,
မြန္လူငယ္အဖြဲ ့အစည္း (ေရးၿမိဳ ့) MYOY,Nan,Nan,"Gender (က်ားမေရးရာ), Human Rights (လူ ့အခြင့္အေရး)",Nan,Mon (မြန္),Nan,"[email protected], [email protected], [email protected]","ဦးေဆာင္သူအမည္ : -

ဆက္သြယ္ရန္ပုဂၢိဳလ္ : နို္င္အာကာ၊ နို္င္မြန္ေထာ၊ နိုင္ေရာ့ကနက္မြန္(ခ)ဦးေလး၊ မိနဒိ
",,,,
Hman Kinn Monastic Education School,Nan,Nan,Nan,Nan,Nan,Nan,Nan,"


",,,,
Community Association for Rural Development,Nan,Nan,Nan,Nan,Chin (ခ်င္း),070-22008(office),Nan,Nan,,,,
Grassroots Empowerment and Ecosystem Nurturing(GREEN),Nan,Nan,"Agriculture (လယ္ယာစိုက္ပ်ိဳးေရး), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း), Child Rights (  ကေလးသူငယ္အခြင့္အေရး), Peace (ျငိမ္းခ်မ္းေရး), Disaster risk reduction (သဘာဝေဘးအႏၱရာယ္ ေလ်ာ့ပါးေရး), Environment (သဘာဝပတ္ဝန္းက်င္), Food security (စားနပ္ရိကၡာဖူလံုေရး), Vocational training (အသက္ေမြးဝမ္းေက်ာင္း သင္တန္း), WASH (ေရသန္ ့ရရွိေရး/ေရနွင့္ပတ္သက္ေသာ က်န္းမာေရး), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Youth empowerment (လူငယ္ထု စြမ္းရည္ျမွင့္တင္ျခင္း), Livelihood (အသက္ေမြးမႈ), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Education (ပညာေရး), Social and economic (လူမႈေရးနွင့္စီးပြားေရး), Human Rights (လူ ့အခြင့္အေရး), Income generation (ဝင္ေငြတိုးလုပ္ငန္းမ်ား), Infrastructure (အေျခခံ အေဆာက္အအံု)",Nan,Chin (ခ်င္း),Nan,[email protected],"Anthony Cung Mang
",,,,
Agency for Education of the Poor Rural Youth (AEPRY),"Our Strategic Vision


AEPRY envisions itself as an instrument for the holistic development of the poor families in rural and urban areas through rendering good education to the new generations and implementing rural development.


Our Mission Statements


AEPRY firmly stands as a government recognized Educational Organization for the healthy development of the poor families both from rural and urban areas in Myanmar through:


Enhancing the capacity of human resources

Supporting children to be able to seek higher education

Providing vocational skills to school drop outs

Improving families’ financial situation

Building a healthy atmosphere to the poor families

Generating highly educated citizens among the poor families

Building a society influenced by well educated young people",www.aeprymm.com,"Infrastructure (အေျခခံ အေဆာက္အအံု), Vocational training (အသက္ေမြးဝမ္းေက်ာင္း သင္တန္း)","Room 627/A, Muditar (1), Upper Baho Road, Ward (2), Mayangone Tsp., Yangon","Chin (ခ်င္း), Sagaing (စစ္ကိုင္း)",931449092,[email protected],Kam Tung Thang @ Peter,,,,
Airavati Organisation,Nan,http://www.airavati.net,"Agriculture (လယ္ယာစိုက္ပ်ိဳးေရး), Education (ပညာေရး), Livelihood (အသက္ေမြးမႈ), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Income generation (ဝင္ေငြတိုးလုပ္ငန္းမ်ား), Civic empowerment (နိုင္ငံသားမ်ား၏စြမ္းရည္ ျမွင့္တင္ျခင္း), Environment (သဘာဝပတ္ဝန္းက်င္), Research /advocacy (သုေတသနနွင့္ စည္းရံုးလႈံ႕ေဆာ္ၿခင္း)",Nan,"Yangon (ရန္ကုန္), Bago (ပဲခူး), Northern Shan (ရွမ္းျပည္နယ္ေျမာက္ပိုင္း), Kachin (ကခ်င္), Ayeyarwady (ဧရာဝတီ)",Nan,[email protected],"ဦးေဆာင္သူအမည္ : Lahpai Seng Raw (Ms)
ရာထူး : Chairperson
ဆက္သြယ္ရန္ပုဂၢိဳလ္ : Saw Min Naing (Mr)
Board Secretary
+95 9 5198822

ရာထူး : Board Secretary",,,,
Three Colors Organization,Nan,Nan,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Youth empowerment (လူငယ္ထု စြမ္းရည္ျမွင့္တင္ျခင္း), Livelihood (အသက္ေမြးမႈ), Education (ပညာေရး), Resource Centre (အရင္းအျမစ္စင္တာ), Income generation (ဝင္ေငြတိုးလုပ္ငန္းမ်ား)",Nan,Yangon (ရန္ကုန္),Nan,[email protected],"U Thet Paing (Program Director)
",,,,
Magway EITI Watch Group,Nan,https://web.facebook.com/magwayEITIwatchgroup/?ref=bookmarks,"Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Coordination/Networking (ညႈိနွုိင္း/ခ်ိတ္ဆက္ျခင္း), Disaster risk reduction (သဘာဝေဘးအႏၱရာယ္ ေလ်ာ့ပါးေရး), Research /advocacy (သုေတသနနွင့္ စည္းရံုးလႈံ႕ေဆာ္ၿခင္း), Environment (သဘာဝပတ္ဝန္းက်င္)",Nan,Magway (မေကြး),Nan,[email protected],"U Myo Myint Oo(@)Ola
 
",,,,
Myanmar Literacy Resource Centre,Nan,Nan,Education (ပညာေရး),Nan,Yangon (ရန္ကုန္),"526153,
09-73136687
09-73075956
09-73075957",Nan,"


",,,,
Community Driven Development and Capacity Enhancement Team (CDDCET),Nan,Nan,"Agriculture (လယ္ယာစိုက္ပ်ိဳးေရး), Capacity building (စြမ္းေဆာင္ရည္ ျမွင့္တင္ျခင္း), Disaster risk reduction (သဘာဝေဘးအႏၱရာယ္ ေလ်ာ့ပါးေရး), Food security (စားနပ္ရိကၡာဖူလံုေရး), Gender (က်ားမေရးရာ), WASH (ေရသန္ ့ရရွိေရး/ေရနွင့္ပတ္သက္ေသာ က်န္းမာေရး), Women empowerment (အမိ်ဳးသမီး စြမ္းရည္ျမွင့္တင္ျခင္း), Livelihood (အသက္ေမြးမႈ), Seed bank (မ်ိဳးေစ့ဘဏ္), Shelter (နားခိုရာေနရာ/ေနအိမ္), Health (က်န္းမာေရး), Income generation (ဝင္ေငြတိုးလုပ္ငန္းမ်ား), Infrastructure (အေျခခံ အေဆာက္အအံု), Multi-Sectors",Nan,Nation Wide (တစ္နိုင္ငံလံုးအတိုင္းအတာ),Nan,Email: [email protected],"U Win HtinChairmanEmail: [email protected]: 09950801019, 09261586913",,,,
Global Green Group,Nan,Nan,Nan,Nan,Nan,Nan,Nan,"


",,,,
Gayunar Thit Youth Development Center,Nan,Nan,Child Rights (  ကေလးသူငယ္အခြင့္အေရး),Nan,Yangon (ရန္ကုန္),09-49450234,Nan,Nan,,,,
Ratna Mahal Education Care Group,Nan,Nan,Nan,Nan,Nan,Nan,Nan,"


",,,,
Forever (Humanitarian and Development Projects),Nan,Nan,"Education (ပညာေရး), Protection",Nan,Yangon (ရန္ကုန္),"570 189,
09 430 52916",Nan,Nan,,,,
Shwe Yamin Foundation,Nan,https://www.lrcmyanmar.org/mm/Shwe%20Yamin%20Foundation,"Child protection (ကေလးသူငယ္ကာကြယ္ ေစာင့္ေရွာက္ျခင္း), Food security (စားနပ္ရိကၡာဖူလံုေရး), WASH (ေရသန္ ့ရရွိေရး/ေရနွင့္ပတ္သက္ေသာ က်န္းမာေရး), Infrastructure (အေျခခံ အေဆာက္အအံု), Protection",Nan,Yangon (ရန္ကုန္),Nan,[email protected],"Catherine ( Administrator )
",,,,
Asian Resource Foundation,Nan,Nan,"Multi-Sectors, Human Rights (လူ ့အခြင့္အေရး)",Nan,Nan,Nan,Nan,Nan,,,,
