,address,cause_area,contact_number,contact_person,description,email,name,website,,
10,"Yayasan Nanyang Press No 1, Jalan SS 7/2 47301 Petaling Jaya Selangor Darul Ehsan Malaysia",Sponsors/Support Groups, 03-7650 8651 / 669 / 662 / 694 / 675,Khor Yuyin (Manager) ,"Who are we

We were established in February 1999 by the Nanyang Press Holding Group. We are the first philanthropic foundation in Malaysia run by a news media. The foundation’s mission is to build communities, transform lives, provide medical assistance as well as being a partner in service with welfare-based organisations.
Our objectives:
Fundraising efforts are centred around events organized with corporations, communities and individuals.
Estimated Monthly expenditure: Please contact foundation.
The foundation encourages donations from the public and also invites volunteers to register with them. We need  assistant teachers for autistic children programme and charitable events.
Cheques Made payable to : Yayasan Nanyang Press
Receipts to donor are tax deductible.",nyfound@nanyang.com.my   ,Yayasan Nanyang Press,http://www.yayasan-nanyang.org,,
11,"No. 7C/1, Jalan Ipoh Kecil, Off Jalan Raja Laut, 50350 Kuala Lumpur.",Health/Sponsors/Support Groups,+603 40444611,,"Who are we

PT Foundation (previously known as Pink Triangle Sdn Bhd) is a community-based, voluntary non-profit making organisation providing HIV/AIDS education, prevention, care and support programmes, sexuality awareness and empowerment programmes for vulnerable communities in Malaysia. We work with 5 vulnerable communities mainly drug users, sex workers, transsexuals, men who have sex with men (MSM), and people living with HIV/AIDS (PLWHA).
Our mission is to be the most efficient community-based organisation providing information, education and care services relating to HIV/AIDS and sexuality in Malaysia, working with communities that are difficult to reach due to societal discrimination.
Our needs

We currently have volunteer and internship positions available in all of our departments. For more details, call us at 03 4044 4611.
Opening Hours:    10am – 6pm, Monday – Friday (Except public holiday)
Volunteers
A) Programme-based
To volunteer under the following programmes, you are required to possess certain skills, which are typically acquired through a series of structured training programmes.
B) Event-based
Get involved in organising our events! PT Foundation organises a variety of events, including the International AIDS Memorial Day, Jom ke Chow Kit and Red Carnival to raise awareness about HIV/AIDS. Each of them requires large amount of work and would not be possible without our volunteers. Your help would not only be valuable to us, but also a priceless experience for you.
C) Skilled
Our work at PT foundation involves challenging tasks, drawing on various skills including the following:
If you possess any of these skills, come and give us a hand!
D) General
Want to volunteer with us but worried that you don’t have any specific skills? We are also looking for volunteers to perform less-skilled task as well. You could lend us a hand in general tasks such as packing safe sex kits and general drop-in centre management. Every effort counts!
Interns
Enhance your work experience with a volunteer internship at PT Foundation! We offer placement opportunities for students in a wide range of programmes. Work for one of the most exciting NGOs in Malaysia, and network with amazing people who are all dedicated and passionate about their job. Give yourself a unique edge in today’s competitive work environment with an internship with PT Foundation. We look for students who can intern for a minimum of three months, and a maximum of six months to a year.
The types of roles we accept interns for are: communications, design, HR, finance, counselling and IT.", ptf@ptfmalaysia.org,PT Foundation,http://www.ptfmalaysia.org,,
12,"Wisma Tani, Blok Podium, Lot 4G1, Presint 4 Pusat Pentadbiran Kerajaan Perseketuan, 62624 Putrajaya",Advocacy/Animal Welfare/Environment/Recommended/Support Groups,+603 8870 2000,,"Do you know that you can now report animal abuse cases to DVS (Jabatan Perkhidmatan Veterinar) via WhatsApp & email?
Website: http://www.dvs.gov.my
WhatsApp: 019-2242233
Email: pro@dvs.gov.my
From Petfinder.com.my: Browse all DVS contact details at our website, or download the PDF for your reference.
Be sure to include relevant details and evidence i.e. address, photos and animal information when making a report.",pro@dvs.gov.my,Department of Veterinary Services/Jabatan Perkhidmatan Veterinar,http://www.dvs.gov.my,,
13," No 6 Jalan Lai Tet Loke 2 Off Lorong Gurney 54100 Kuala Lumpur, MALAYSIA ",Health/Sponsors/Support Groups,+603 6258 7382,,"Who are we

The groundwork for today’s solid base began in 1982. The Heart Foundation of Malaysia was established by a small group of dedicated and concerned lay people who were determined to make an impact on the control of heart and blood vessel disease.
In the 1960’s, deaths in Malaysia were due to communicable diseases such as tuberculosis, malaria, typhoid and cholera. Our health system was then developing and our health facilities were inadequate to meet the needs and demands of the population.
With the improved standard of living and better understanding, now, there is a control of these diseases. However, more than 20 years later, heart disease death rates and stroke deaths have increased and has become the No. 1 killer. More people are being affected by heart and blood vessel diseases.
We believe we can share in the effort to prevent and control the situation. Educating the public by bringing awareness has resulted in encouraging response from the society. Heart and blood vessel disease is our major killer, claiming almost twice as many lives as cancer and accounting for a high percentage of all certified deaths each year. In 1995, 28.2 % of all medically reported deaths in Malaysia were attributed to CVD (cardiovascular diseases). By international standards, this figure does cause a concern for Malaysia.
The Heart Foundation of Malaysia is a non-profit and non-governmental organisation dedicated to the education of the public on heart and circulatory diseases. We are funded almost entirely by public support from our well-meaning society. In addition, we receive some limited government co-operation for specific projects. The Foundation’s heart-health message is direct and effective – enjoy healthy eating, exercise, be smoke-free and check your blood pressure regularly.
Estimated Monthly Expenditure: Please contact YJM directly
Our needs

Volunteers are welcome to participate in various activities. Please contact organisation for more details.
Donation in cash is welcome. Cheques Made Payable to: YAYASAN JANTUNG MALAYSIA
Tax Exempt: Yes",   jantung1.yjm@gmail.com ,Yayasan Jantung Malaysia,http://www.yjm.org.my,,
14,Dewan Bandaraya Kota Kinabalu Jalan Tuaran Bypass 88300 Kota Kinablau,Animal Welfare,+6010-782 6519,Anita Kong,"Founded in 2009, IAPWA is passionate about creating a better future for all animals.
Through our projects and partnerships, we provide veterinary care and support to thousands of dogs and cats every year. We also focus on education and working with the governing authorities to achieve long term change and greater protection for companion animals.
We work with other organisations who share our vision to end the dog meat trade and campaign for change through uniting animal lovers worldwide who want to use their voice and act to help animals in need. From our ‘Claws Out’ campaign against the canned hunting of lions to raising awareness of the plight of elephants and rhinos and our projects to support them on the ground, we strive to make a difference. With your help we can achieve change and together we can improve the welfare of animals worldwide.
Vision
Our vision is a world where all animals are treated with compassion and respect
Mission
Our mission is to protect and improve the welfare of animals in need
Values
 ",anita.kong@iapwa.org,IAPWA (International Aid for the Protection & Welfare of Animals),http://www.iapwa.org,,
15,,Advocacy/Animal Welfare,60164193238,60109004294, Kalai Chelvi Manikam & Uma Chandran Vadiveloo/  Dennis Lee,"Who we are

Fur Kids Farm (FKF) began with one puppy called Ruff. He was beaten up and was in a very bad condition. He was neglected by a neighbour. One day he wandered away and luckily showed up at our gate. We stood up against the neighbour, kept him & nursed him to health. Today Ruff is a healthy boy and his loyalty & dedication to us is beyond words.
Ruff’s past suffering made us want to reach out to other animals that are ill-treated and are in danger. So, we started rescuing animals. In the span of two years, to date, we’ve rescued about 200 animals that have been abused or injured. FKF has chosen to focus specifically in rescue, rehabilitation and re-homing of abused or injured animals as we feel personally called upon to stop cruelty towards animals.
The past two years, we’ve been a self-funded movement. We converted our home into a sanctuary and shared it with the animals we saved. We have a team that gave up their respective careers to dedicate themselves to this cause.At the end of 2014, we chose to go public regarding our work and also register as a non-profit charity in order to allow us to reach more animal in need as well as to spread word on the fight against cruelty towards animals.
Our facilities
FKF is currently located at our own home. As such our presence is not accepted by all our neighbours and we’ve had incidents of neighbours beating, trying to poison and other abusive actions such as dousing our animals with hot water. Our location also does not meet local city council regulations. For all these reason it is critical that FKF move to a location that is safer for our animals.
Our center is not equipped with any facilities. We build temporary cages as we need them to house the animals. The reason for this is space constraints as well as financial strain. We are in talks with UPM Vet to obtain discounts for treatments. However we still need sponsors for pet food.
Our major financial strain is the medical cost of our animals as well as providing them food.
We are also looking to move to a new location in Kuala Kubu Bharu to a land donated to us for shelter use. However, the land is in a valley which requires land clearing and building of a shelter, both of which we need sponsor for. We are also in talks with the Selangor State Government to try obtain a flat piece of land in a more accessible location. This will reduce our land clearing cost as well as make the centre available to local communities.
We are also trying to allow the centre to generate income to fund itself. The plan is to set up an online shop selling pet food and other related items. Towards this end, we are still looking for suppliers and delivery companies who can partner with us.
Donate
You can contribute to our cause at:
CIMB: 800-733-1919
Maybank: 5643-9711-1303.
Account name will show up as ‘Persatuan Penyelamat dan Pencegah Penyeksaan Haiwan Fur Kids Farm’.
 
Animal Rescue
Please call or text +60109004294 anytime to report an animal in need of rescue.
The rescue costs are as follows:",,Fur Kids Farm,http://www.facebook.com/furkidsfarm,
16,"Persatuan Alumni Universiti Universiti Amerika Malaysia, B1-1 Jalan Selaman 1, Dataran Palma, 68000 Ampang, Selangor",Education/Sponsors,,,"BACKGROUND/HISTORY
A non-profit organisation where its membership is open to persons who have attended colleges or universities in the United States and to those who have been awarded American degrees through program conducted in Malaysia.
Objective
To establish and maintain contact among all U.S. alumni in Malaysia.
AUAM’s activities are oriented to specific goals; to provide a forum for the exchange of ideas, to organise education, cultural and social activities, and to promote international understanding and goodwill.
Some of its activities includes exhibition of works by American graduates in Malaysia, annual golf and tennis tournaments, treasure hunts, pre-departure talks, monthly get-togethers and annual dinner.
Its major contribution to the community is the annual monetary award to outstanding and deserving Malaysian students who have gained admission to American institution.
In March 1989, the registrar of Societies approved the formation of the Education Trust Fund. Furthermore, in July 1990, AUAM was successful in obtaining tax exempt status for the fund. Therefore, all donations to the fund are now exempted from tax by the Inland Revenue Department.
Estimated Monthly Expenditure:     Please contact association
NEEDS
Description of Needs:     Please contact the organisation for details.
Cheques Made Payable to:     Please contact the organisation for details.
Tax Exempt: Yes

",web.auam@gmail.com,American Universities Alumni Malaysia,http://www.auam.org.my,,
17,,Advocacy/Animal Welfare/Environment/Youth,,,"Who are we
MESYM.com is run by a group of volunteers who are strongly passionate about environmental issues, and who see great potential in providing a central, online platform for the Malaysian environmental scene. We gather in solidarity and goodwill, with the common aim of making the world a better place.
We aim to streamline the environmental movement in Malaysia, through these interconnected functions:
What do we mean by connecting the green dots? What, or who, are the green dots? There are a few ways of looking at this.
There are many environmentalists or environmentally conscious people trying to do the right thing, and to champion the right causes. However, many of these efforts are scattered and do not get the visibility that they deserve. By connecting them together, we actually see the collective effort, whether for purposes of networking, sharing resources, or just for solidarity. Also, on one hand, organizations working on environmental issues complain of being understaffed and overworked; and on the other hand, people who want to help do not know how to start. We aim to bridge the gap and rectify this problem.
The environmental scene is composed of different sectors of stakeholders. Government departments and policymakers, NGOs and social enterprises, the private sector with their green technology… they need to talk to each other, and work together. This is a platform that cuts across different sectors and shows what everyone is doing.
Within the environmental community, we have different interest groups – the organic movement, the activists on specific crises, the conservationists, to name a few. There is significant overlap in their goals, and potential collaborations can happen. And then there are different communities in different localities – the urban, the rural; the local, the regional, and the international. As environmental crises become more and more frequent and widespread, it is increasingly apparent that all of us are susceptible to issues like climate change, mass extinction of animal species, industrial pollution, and so on. Beyond the environmental community, we try to reach out to other communities such as the arts, the civil rights groups, students… to alert and engage a larger segment of the population.
Issues of environmentalism and sustainability cut across multiple disciplines, and the problems are often bigger than what we can understand. This is why we invite thinkers, academics, journalists, scientists, activists… people who are on the ground, to write for us, and to link these ideas together for us to see a clearer, bigger picture.
So, how do we connect the dots? For the time being, we have two projects:
We provide a central space for people to publish their profiles, events, actions, articles and announcements. Anyone can sign up and use the system to publicize their good actions, or ideas. The platform is free to use, and we market it to three populations: the people who are out there doing good actions, the people who want to start something, and those who are potentially interested to join in.
We organize a monthly get-together where like-minded people can come hang out and get to know each other, over a thought-provoking movie. The event is free to attend. We want to get people to network face-to-face, and generate conversations from the featured documentaries. During the Documentary Night, we also have a 15-minute slot for whoever who wants to talk about their organization, event or action.
Similar to our Monthly Documentary Night, but we screen films featuring “Crossover” topics: Economics, politics, capitalism, democracy, mass media, etc… all these topics (and many more) are directly or indirectly linked with the natural world that we live in. However, these interconnections are not always apparent. With the Crossover Series we show a documentary of a chosen topic in every event, and discuss its connection with environmental issues. Click here for more info in our Crossover Documentary Series.",info@mesym.com,MESYM,http://www.mesym.com/en,,
18,,Animal Welfare/Social Enterprise,+6012 321 1174,,"Unofficially started in 2007, Pawsome Animals has emerged as a small team of altruistic citizens, led by a den mother of endless energy, Nicole-Ann Thomas. If given the chance, Pawsome would get itself onto an acre of land and turn it into a haven for animals (and humans who can co-exist with animals).
Pawsome has first-hand experience in rescuing, rehabilitating and re-homing strays, deliberately abandoned and injured animals.
Simply put, we advocate respect for all living things. So many of us do not see how we’ve contributed to the imbalance between our needs and that of other species – as well as the environment.
Pawsome wants to change that.
Below are some ideas we are dreaming up, and working on. We’ll mention some in the following pages, but do contact Nicole for details.",nicole.ann.thomas@gmail.com / nicole@pawsomeanimals.com / ash@pawsomeanimals.com,Pawsome Animals,http://www.pawsomeanimals.com/,,
19,"Cat Beach Sanctuary 778 Jalan Teluk Awak, MK 2 Teluk Bahang 11050, Penang, Malaysia",Animal Welfare/Education/Recommended,+6 04 8811 015,,"Who are we
Love cats? Please join the nonprofit Cat Lovers International! Dedicated to improving the welfare of cats in communities across the globe, we believe in ‘think globally, act locally.’ Our first major project is the establishment of Cat Beach Sanctuary in the fishing village of Teluk Bahang on the island of Penang, Malaysia where more than 100 cats rescued from desperate situations find loving care.
Future projects planned include publications and educational programs, internships for veterinary students and trainings for those who wish to learn more about cat care, and arts projects celebrating ‘all things cat.’ Also in the works are a “Cat Cafe” and charity store projects to help support the Cat Beach cats.
Please ‘like’ our Facebook Page to learn more about how you can connect with other cat lovers, learn more about cat care – or just enjoy sharing the antics of our furry friends!
And yes, we’re a little bit different from other cat caring orgs — we also want to create a worldwide network of support for the PEOPLE who love cats.
Many ‘hometown heroes’ are out there feeding colonies of ferals, many volunteers give long hours to shelters, clinics, and cat caring organizations. Cat owners  find strays and take them home to foster; some even parent 20 or more cats — and find they are running a cat sanctuary!
And that’s what’s happened in Penang, Malaysia where we are hoping you will help us support our first major project:- the Cat Beach Sanctuary.",catlovers.my@gmail.com,Cat Lovers International / Cat Beach Sanctuary,http://catbeachpenang.com,,
20,"Dr Dog Center @ K-9 Cottage, No: 27, Jalan Jati SD 4/2A, Bandar Baru Sri Damansara, (Kepong), , 52200 Kuala Lumpur, Malaysia",Animal Welfare,019-261 7830,,Founded by the late Ms. Sabrina Yeap of Furry Friends Farm together with co founder and coordinator En. Salehin Ibrahim who how helms this project.,salehin.ibrahim@yahoo.com,Dr Dog Malaysia,,,
21,"Kuala Gandah, 28500 Lanchang Pahang",Animal Welfare/Education/Environment,+6013-8024335, +6013-908 8207,,"This truly unique Elephant Orphanage of Kuala Gandah will give you a very rare opportunity to learn about these displaced gentle giants, and also the chance to ride them through the jungle, with the help of an elephant guide, or mahout.
For the brave and adventurous, there are opportunities to take the elephants down to the river and help give them a bath! There really is no better opportunity than this to get in touch with these grey giants.
It is estimated that there are only 1,200 wild Asian Elephants, also known as Elephus Maximus, left in Malaysia and this is the only conservation centre set up to relocate these displaced pachyderms.
The elephants here have been rescued from all over Peninsula Malaysia, providing them a safe sanctuary in the wild.",necc@wildlife.gov.my,Kuala Gandah National Elephant Conservation Centre,http://www.nre.gov.my/en-my/EcoPark/Pages/National-Elephant-Conservation-Centre.aspx,
