"cause_area","name","description","address","website","contact_number","email","city"
"animals","Pick a Pet4Home","Pick a Pet4Home Stray animals home for adoption Contact: Tharinee Wipuchanin Telephone: 081 1451 2233, 081 1551 2628 Province: Bangkok Address: No Information Volunteers: Review:","No Information","http://www.pickapet4home.com /demo/","081 1451 2233, 081","pickapet4home@yahoo.com"," Bangkok"
"animals","Seub Nakhasathine Foundation","Seub Nakhasathine Foundation Preserving nature and protecting wildlife (Bangkok) Contact: Telephone: 02-224-7838-9 Province: Bangkok Address: 693 4th Bldg. Yodsae, Bamrungmueng Rd., Klong Mahanak,
    Pomprab., Bangkok 10100, Thailand Volunteers: Review:","693 4th Bldg. Yodsae, Bamrungmueng Rd., Klong Mahanak,
    Pomprab., Bangkok 10100, Thailand","http://www.seub.or.th http://www.facebook.com/SeubNakhasathienFD","02-224-7838-9","snf@seub.or.th"," Bangkok"
"animals","Soi Dog foundation","Soi Dog foundation Providing medical care, sterilization, adoption, sponsorship and education programs (Phuket) Contact: John Dalley Telephone: 081 788 4222 Province: Phuket Address: 167/9 Moo 4, Soi Mai Khao 10 , Tambon Mai Khao Amphur Talang,
    Phuket 83110, Thailand Volunteers: Review:","167/9 Moo 4, Soi Mai Khao 10 , Tambon Mai Khao Amphur Talang,
    Phuket 83110, Thailand","http://www.soidog.org/ http://www.facebook.com/pages/Soi -Dog-Foundation/360079867350704?ref =ts&fref=ts","081 788 4222","info@soidog.org"," Phuket"
"animals","Thai Society for the Prevention of Cruelty to Animals","Thai Society for the Prevention of Cruelty to Animals To reinforce actions to end cruelty to animals through peaceful means Contact: Telephone: 66 (0) 2255 5805-7 Province: Bangkok Address: B.L.H. Bldg. 9th floor, No. 7/1, Wireless Road, Lumpini, Patumwan,Bangkok 10330 Volunteers: Review:","B.L.H. Bldg. 9th floor, No. 7/1, Wireless Road, Lumpini, Patumwan,Bangkok 10330","http://www.thaispca.org Facebook: http://www .facebook.com/profile.php ?id=100000715421168","66 (0)","info@thaispca.org"," Bangkok"
"animals","Tropical Forest Foundation","Tropical Forest Foundation The foundation’s aim and ideology of the Foundation are as follows : “To  support and maintain forests and tropical wildlife for the long-term benefit of mankind”. contact : Tropical Forest Foundation 77/189-190 Floor 42 Sinsatorn Tower Krungtonburi Rd. Klong tonsai, Klong Sarn Bangkok, Thailand 10600 Tel 02-862-2788","","http://www.tropicalforest.or.th"," 02-862-2788","panida@pasaya.com"," "
"animals","Wild Animal Rescue Foundation of Thailand","Wild Animal Rescue Foundation of Thailand Various projects for helping wild animals in Thailand Contact: Telephone: 02-712-9715 or  02-712-9515 Province: Bangkok Address: 65/1 3rd Floor, Sukhumvit 55, Klongton, Wattana, Bangkok
    10110,Thailand Volunteers: Review:","65/1 3rd Floor, Sukhumvit 55, Klongton, Wattana, Bangkok
    10110,Thailand","http://www.warthai.org (English) http://www.wildlifeofthailand.org(Thai http://www.facebook.com/WARFTHAI","02-712-9715 ","info@warthai.orgor info@wildlifeofthailand.org"," Bangkok"
"animals","Wildlife Conservation Society","Wildlife Conservation Society Wildlife Conservation Society (WCS) Thailand Program originated since 1980 with the initial purpose to support a gibbon?s behavior study of Prof. Warren Brockelman and partners. When a WCS researcher, Prof. Alan Rabinowitz, came to pioneer the
    study of carnivore ecology in Huai Khakhaeng Wildlife Sanctuary during late 1980s, the idea of transboundary conservation had been issued for the first time in this region. During 1997-2004, Wildlife Conservation Society led by Antony Lynam (Ph.D.) continued to support wildlife management and training for Indochinese tiger conservation as well as to
    support other conservative researches and studies done by the Thai government officers. Wildlife Conservation Society – Thailand Program 55/295 Muang Thong Thani Project5 Soi3, Pak Kret, Nonthaburi 11120 Tel.: 0-2503-4478-9 Fax: 0-2503-4096","","http://www.wcsthailand.org/",". 0-2503-4478-9","wcsthailand@wcs.org"," "
"animals","Wildlife 1 Foundation","Wildlife 1 Foundation The foundation dedicates to improving  animals ‘ livelihood in various ways from providing sannchuary, offering medical care and rehabilitation to releasing animals back into the wild
    and caring for those who are unable to return there.  The Wildlife 1 Foundation is a Thailand registered foundation with its registered number. Chor Mor 265 with its legal mandate is as
    follows: Legal mandate: 1.  To disseminate knowledge and understanding to the public, especially local communities, to realize the critical importance of wildlife and ecological systems. 2. To campaign against and strive to prevent illegal wildlife trade. 3. To rescue wildlife and restore their lives close to nature in the foundation's rescue and rehabilitation center. 4. To re-introduce wildlife to the wild when applicable. 5. To promote the conservation of ecological systems and habitats, which are significant to the present and future health of wildlife. 6. To support. cooperate and coordinate with government agencies domestically and internationally. 7. To work for the benefit of the public and cooperate with other organizations for the benefit of the public. 8. Non-involvement with any political activity.","","http://www.wildlife1.org Contact :  http://www.wildlife1 .org/contact-us"," "," "," "
"animals","Wildlife Friends of Thailand","Wildlife Friends of Thailand Rescue wild animals from places where they are maltreated and/or neglected Telephone: 032-458135 Province: Petchaburi Address: 108 Moo 6Tha Mai Ruak, Phetchaburi 76130,Thailand Volunteers: Yes Review:","108 Moo 6Tha Mai Ruak, Phetchaburi 76130,Thailand","http://www.wfft.org http://www facebook com/FriendsofWFFT","032-458135","info@wfft.org"," Petchaburi"
"animals","Wildlife Fund Thailand under the Royal Patronage of H.M. the Queen","Wildlife Fund Thailand under the Royal Patronage of H.M. the Queen Preserving wildlifes and natural resources Contact: Telephone: 02-552-2111 or  02-552-2790 Province: Bangkok Address: 51/50 Soi Ram Intra 5, Anusaowaree, Bang Khen, Bangkok
    10220,Thailand Volunteers: Review:","51/50 Soi Ram Intra 5, Anusaowaree, Bang Khen, Bangkok
    10220,Thailand","http://www.wildlifefund.or.th http://www.facebook.com/pages/Wildlife -Fund-Thailand/418142551586292?ref =ts&fref=ts","02-552-2111 ","info@wildlifefund.or.th"," Bangkok"
"animals","WWF
    Thailand (World Wide Fund for Nature)","WWF
    Thailand (World Wide Fund for Nature) To stop the degradation of the planet's natural environment and to build a future in which humans live in harmony with nature. Contact: Telephone: 02619 8534 - 37 Province: Bangkok Address: 87 Soi Phaholyothin 5, Samsennai, Phyathai, Bangkok 10220,Thailand Volunteers: Review:","87 Soi Phaholyothin 5, Samsennai, Phyathai, Bangkok 10220,Thailand","http://www.wwf.or.th Facebook: http://www .facebook.com/wwfthailand","02619 8534 - 37","wwfthai@wwfgreatermekong.org"," Bangkok"
"disabilities","Association of the Physically Handicapped of Thailand","Association of the Physically Handicapped of Thailand Association of the Physically Handicapped of Thailand aims to advocate to people with
    disability in Thailand including support any activities which benefit to people with disability, protection equal right for disabled person to normal people and pushing law for disabled person to
    Thai govermment. Contact : Association of the Physically Handicapped of Thailand 25/7-8 Soi Tiwanon 8, Tiwanon Rd., Taladkwan sub-district, Pakkret, Nontaburi 11000 Tel : 02-951-0445, 02-951-0447 02-951-0337 apht2005@hotmail.com","","http://www.apht-th.org","02-951-0445,","apht2005@yahoo.com"," "
"disabilities","Autism Awareness Thailand (AAT)","Autism Awareness Thailand (AAT) Autism Awareness Thailand(AAT) is a group of young professionals and students who seeks to bring Autism awareness to the forefront.  We aim to raise autism awareness among parents, teachers,
    peers, pediatricians, and all members of our society. Through conferences, workshops, and outreach activities, we hope to ultimately increase the level of early detection, expand the quality of
    classroom atmosphere for children with autism, and desensitize our society to this developmental disorder. Contact : Autism Awareness Thailand c/o Little Sprouts Children’s Centre 109/1 Soi Thonglor 5 Sukhumvit 55 Klongtan Nua, Wattana, Bangkok 10110 Tel: 02 712 5204-5 or info@autismawarenessthailand.com","","http://www.autismawarenessthailand.com/",NA,"autismawarenessthailand@gmail.com"," "
"disabilities","Autism Foundation of Thailand","Autism Foundation of Thailand Autism Foundation of Thailand is Corporate Philanthropy which
    has been accredited
    its standard of organization for the disabled at the very good level from the Office of National Empowerment of Persons with Disabilities, Ministry
    of Social Development and Human Security. The foundation has engaged
    in the promotion and development of children, youth and people living with autism including learning development for
    disabled and
    the disadvantaged in the society. Mission -  The
    promotion of health Early intervention services and Rehabilitation Awareness
    Training Center, the
    center was established to promote life skills In
    order to prepare 
    for early childhood development, life skills training for adolescents and parents in the program focusing on the involvement of parents, the concept of ""Professional Parents” by
    collaboration with the
    National Health Security Office Promotion
    and Quality of Life Of
    Disabled Persons Bush
    Foundation Autism Parents Party (Thailand), hospital and special education centers which have been established in 10 provinces currently. -      -  Management
    Education Alternative education Informal
    education to
    provide individuals with autism and individuals with learning disabilities who have
    been studied by ""The
    Education for All "". -      - To
    promote career and employment Contact : Autism Foundation of Thailand 11 Moo 12 Soi Wat-Budhist Army Line 1 Soi 29 Senen Bangprom Taling Chan, Bangkok, Thailand
10170 Tel : 02-418-3399","","http://www.autisticthai.com/","  02-418-3399"," "," "
"disabilities","Association of Persons with Physical
    Disability","Association of Persons with Physical
    Disability International (APDI) non-profit organization helping people with all types of physical disabilities
    (Pathumthani). Contact: Telephone: 02-990-0331 Province: Prathumthani Address: 802/410, Moo 12, T.Kukot, A.Lamlukka, Prathumthani 12130 Volunteers: Review:","802/410, Moo 12, T.Kukot, A.Lamlukka, Prathumthani 12130","http://www.apdi2002.com","02-990-0331","apdmajor1@yahoo.com"," Prathumthani"
"disabilities","Able the disabled foundation","Able the disabled foundation The therapy the physically handicapped and mentally disabled people by riding horses Contact:   Sandra Cooper Telephone: 038- 248-026, 086-848-3684 Province: Chonburi Address: Horseshoe Point Resort & Country Club, 100 Moo 9, Tambon Pong, Amphur Banglamung Chonburi, 20150 Volunteers: Review:","Horseshoe Point Resort & Country Club, 100 Moo 9, Tambon Pong, Amphur Banglamung Chonburi, 20150","http://www.pattayamail.com/ourcommunity/volunteers -needed-for-able-the -disabled-foundation-9823 http://pattayatoday.net/life-leisure /able-the-disabled-foundation -country-western-night/","038- 248-026,","sandra@asiaholistictherapy.com"," Chonburi"
"disabilities","Baan Mitratorn","Baan Mitratorn Baan Mitratorn is an orphanage which is under Ubolratana Foundation under the Royal patronage of HRH the Queen, to help abandoned children with HIV/AIDS impacted both infected and non-infected,
    abused children and children who have been improperly treated by their parent including children who live in difficult circumstance. Contact : Baan Mitratorn Ubolratana Foundation under the patronage of HRH the Queen 167 Moo 8, Chiang Mai-Phang Rd. Chiang Mai, Thailand 50170 053 455654-5","","http://baanmitratorn.com/"," ","mitratorn@live.com"," "
"disabilities","Bureau of Promotion and Protection of the Disadvantaged","Bureau of Promotion and Protection of the Disadvantaged Government agency helping disabled people throughout Thailand. Contact: Telephone: 02-255 5850-7 Province: Bangkok Address: 618/1 Nikommakkasan Road, Rajthevee, Bangkok 10 Volunteers: Review:","618/1 Nikommakkasan Road, Rajthevee, Bangkok 10","http://www.oppd.opp.go","02-255 5850-7","central@opp.go.th"," Bangkok"
"disabilities","Camillian Home for Children Living with
    Disabilities","Camillian Home for Children Living with
    Disabilities Home Camillian Home for Children Living with Disabilities – A registered non-profit children’s charity caring for orphaned and abandoned children living with disabilities and serious illness in
    the area of Latkrabang, Bangkok. Camillian Home also offers free day care services that include food, education certified by the Ministry of Education up to High school level, physical therapy,
    occupational therapy, and a vocational training for disadvantaged, disabled children. Contact :  Khun Kannika Tumma : PR & Project Coordinator 81/2 Luangphang Rd., Khumthong, Lat Krabang, Bangkok 10520 Thailand Tel        :  +66 0 2360 7852 Mobile   :  +66 8 5280 1402 Review: See our review here","","www.camillianhomelatkrabang.org www.facebook.com/Camillian","+66 0 2360 7852 "," "," "
"disabilities","Camillian Social Center, Chiang Rai","Camillian Social Center, Chiang Rai Camillian Social Center Chiangrai (CSCC) is a non-profit, Catholic organization that works to ensure that opportunities for education are available for all regardless of wealth, nationality and
    religion.  The Center provide support in a variety of ways from providing children with clothes and shelter to working directly with communities to improve infrastructure and facilities with
    its believe in preserving the cultures, traditions and beliefs of the marginalized communities working with and embrace  differences. The Center’s vision is for the communities we currently
    serve to grow and develop in such a way as to become self-sufficient and able to provide education and opportunities for all who live in the region. Contact : Camillian Social Center, Chiang Rai 101 Moo 8, Baan Srivichian, Tumbol Tasut, Amphur Muang Chiang Rai, Thailand 57100 Phone +66 53 787-339","","http://www.camillianchiangrai.org/"," +66 53 787-339","info@camillianchiangrai.org"," "
"disabilities","The Cardiac Children Foundation of Thailand","The Cardiac Children Foundation of Thailand The foundation provide medical help care to cardiac children country-wide as well as conduct various medical research and medical
    training related with Cardiac Children in Thailand. Contact : The Cardia Children Foundation of Thailand 4th floor 50 year Royal Jubilee Building Petchaburi Rd. Bangkapi, Bangkok Thailand 13200","","http://www.doctordek.com/"," "," "," "
"disabilities","Christian Care Foundation","Christian Care Foundation Christian Care Foundation for Children with Disabilities (CCD) provides support and care to over 500 children and their families in
    Thailand.  There are several projects including Rainbow House Rehabillitation Centre, 3 communities Based Rehabilitation Cetres, 2 independent living homes and 3 day-cre centres at the
    Goverment homes in Pakkred, Nonthaburi. Contact: K. Chariya Saenwian Telephone: 02 503 1270, 02 584 6966, 582 0620-3 / 081 982 5517 Province: Nonthaburi Address: 18/1075 Moo 5 Sukhaprachasan 2 Road, (Soi Wat Koo), Bangpood, Pakkred, Nonthaburi 11120 Volunteers: Yes","18/1075 Moo 5 Sukhaprachasan 2 Road, (Soi Wat Koo), Bangpood, Pakkred, Nonthaburi 11120","http://www.ccdthailand.org","02 503 1270, 02","Chariya@ccdthailand.org"," Nonthaburi"
"disabilities","Christian Foundation for The Blind","Christian Foundation for The Blind under The Royal Patronage of H.M. The King Providing education for the blind with centers in several provinces. Contact: Ms.Suchada Polsaksai Telephone: 043-239499, 043-242098 Ext. 10 Province: Address: 214 Moo 10, Maliwan Road, Soi Pracharuk, A.Muang, Khonkan 40000 Volunteers: Yes Review: Aug 2013","Province:  214 Moo 10, Maliwan Road, Soi Pracharuk, A.Muang, Khonkan 40000","http://www.cfbt.or.th","043-239499, 043","info@cfbt.or.th"," Address: 214 M"
"disabilities","Foundation for Children with Disabilities","Foundation for Children with Disabilities With the faith of volunteering and the board of committees of the  Rehabilitation center of children with aphasic from Leardsin Hospital on taking care Children with mental illness, those
    children have been obviously developed leading to their parent’s satisfied.  However, it makes a greater burden to the volunteer members on budget allocated and limitation of space area for
    the increasing of those children with aphasic. After seriously operate the philanthropic  therapy  for those children with mental illness, and the better systematic working procedure and to sustain the help for those children, the
    center has been established as Foundation for Children with Disabilities since July 17, 1986 Contact : Foundation for Children with Disabilities 546 Lardprao 47, Lardprao Rd. Sapansong, Wangtonglang Bangkok 10310 Tel : 02-539-2916, 02-539-9958","","http://www.fcdthailand.org/","02-539-2916,","fcdthailand@yahoo.com"," "
"disabilities","Foundation for the Deaf","Foundation for the Deaf under the Royal patronage of HRH the Queen 1. To support and promote the education of the deaf regardless of sexuality, religion, nationality, and are not limited 2. To collaborate with the Institute for the training of teachers to teach the deaf 3. To promote ear disease research and rehabilitation of deaf 4. To disseminate of knowledge about deaf 5. To Promote of the deaf, with full occupation by potential 6. To collaborate with other organization who intended to help the deaf Contact : Foundation for the Deaf Under the Royal patronage of HRH the Queen 137 RAMA 5 Rd., Kwang Nakornchaisri street, Dusit, Bangkok, Thailand 10300 Tel. +66 2 241 5169","","http://www.deafthai.org/",". +66 2 241 5169"," "," "
"disabilities","Foundation for Medical Research and Handicap Person","Foundation for Medical Research and Handicap Person The foundation has been established from a group of surgeons who have the same ideology and intention to use their knowledge and medical capacity engaging in the surgery treatment and to
    alleviate the suffering of patients living in remote and rural areas without any charge. Contact : Foundation for Medical Research and Handicap Person 226/25 Mooban Pairoj, Bangna-Trad Rd. Bangna, Bangkok, Thailand 10260 Tel : 02-876-5399","","http://www.duangkaew.ksc.net","  02-876-5399"," "," "
"disabilities","Educational Media Center for Disabled","Educational Media Center for Disabled Education Media Center for Disabled is a Media services in line with the guidelines of non-formal education for people with disabilities which
focuses on the access to education of persons with all type of disabilities equally, including promote technology and knowledge in the production of media such as -        Audio books for disadvantaged in
    access to publications -        electronic media Braille for those
    with visual impairment. -        The video / TV shows to learn
    about the different types of disabilities, such as persons with impaired hearing. Individuals with autism And individuals with intellectual disabilities and learning. -        Publications such as
    articles Research on the Education of the Handicapped. And newsletters Contact : Office of Educational Media Center for Disabled Educational Technology Center, Non-formal Education Office Ministry of Education Sriayuthaya Rd. Rachatawee Bangkok 10400 Tel : 02-354-5726, 02-354-5730-40 ext.525, 545","","http://www.braille-cet.in .th/",NA,"braille.cet@gmail.com"," "
"disabilities","Foundation to Encourage the Potential
    of Disabled Persons","Foundation to Encourage the Potential
    of Disabled Persons Promote the health, education, employment, and dignity of
    disabled persons of north Thailand. Contact: Telephone: 086 1855852 Province: Chiang Mai Address: 158/11 Moo 6, Moo Ban Chiang Mai View Mai, Tambol Mae Kue,
    Amphur Doi Saket, Chiang Mai 50220 Volunteers: Yes Review:","158/11 Moo 6, Moo Ban Chiang Mai View Mai, Tambol Mae Kue,
    Amphur Doi Saket, Chiang Mai 50220","http://www.disabled.infothai.com","086 1855852",""," Chiang Mai"
"disabilities","Global Campuses Foundation","Global Campuses Foundation Global Campuses Foundation was formed in 2001 for the purpose of providing advanced learning Opportunities for under-served populations worldwide, primarily people with disability.  Celebrating ability.  The foundation reorients the experience of disability as a positive and
    unique life experience with the pursuit of lifelong learning as a noble goal. Its mission is to participate with and support persons of differing abilities worldwide as they create, manage and sustain campus environments for advanced learning with its worldwide
    network of campuses that are interconnected to promote authentic cross-culture exchange and innovative education opportunities.  Presently, there 7 campuses in Vermont USA, one in New
    Hampshire and seven in Northern Thailand. Global Campuses Foundation Northern  Thailand History Overview 2002-2009 Global Campus Chiang Mai Thailand (GCC) began as a gathering of adults with disabilities who shared common needs, challenges, hopes and dreams. The Demonstration Campus of Global Campuses
    Foundation formally started in July 2002. GCC is led entirely by people with disabilities. They serve as Ribbon Cutting at the Global Campuses Foundation Thailand Campus administrators, faculty,
    students, and field outreach staff. Now in its eighth academic year, the educational programs, field work and community outreach has significantly evolved. The success of the program has reached
    beyond Thailand’s northern provincial borders. Global Campuses Foundation                                    
     Thailand office : 43 S. Main St., Suite #3                                                
     Room 125, Language Institute           Randolph Vermont 05060 USA                            
                Chiang Mai University Phone: 802-274-5680                                                  
      Huakeaw Rd., Amphur Muang","","http://globalcampuses.org/ http://www.globalcampuschiangmai.com/","802-274-5680                                                  
      ","info@globalcampuses.org"," "
"disabilities","Healing Family Foundation","Healing Family Foundation The foundation aims to provide a space for people with disabilities focusing on mentality disable to enjoy themselves with the services and facilities provided by the foundation and volunteer. contact : Healing Family Foundation 2 Nawatket Rd., Watket Chiang Mai, Thailand 5000 Tel : 066 53 244 093","","http://www.hffcm.org/","  066 53 244 093","scc_cm@yahoo.com"," "
"disabilities","Home For Multiple-Handicapped Blind
    Children","Home For Multiple-Handicapped Blind
    Children under The Royal Patronage of H.M. The
    King Program focuses on teaching living skills suited to the
    individuals physical and intellectual ability. The
    home for multiple-handicapped blind children is a part of The Christian Foundation for the Blind. home-for-multiple-handicapped-blind-children Contact: K. Song Telephone: 02 510 4895 Province: Bangkok Address: 21/13 Ramintra Road, Soi 34, Bangkhen,
    Bangkok Volunteers: Yes Review: August 2013 -
    See our Review here","21/13 Ramintra Road, Soi 34, Bangkhen,
    Bangkok","http://www.cfbt.or.th /bangkok/frontpage",NA,"prayat@loxinfo.co.th"," Bangkok"
"disabilities","Foundation for the Blind in Thailand","Foundation for the Blind in Thailand under The Royal Patronage of H.M. The Queen Centers in Bangkok, Nonthaburi and Nakorn Prathom providing education for the blind. Contact: Telephone: 0-2354-8365-68 Province: Bangkok Address: 420 Ratchathewee Road, (near corner Rama 6 Road), Phaya Thai, Bangkok Volunteers: Yes Review:","420 Ratchathewee Road, (near corner Rama 6 Road), Phaya Thai, Bangkok","http://www.blind.or.th","-2354-8365-68","tipwanbu@blind.or.th"," Bangkok"
"disabilities","Lighting Institute Foundation","Lighting Institute Foundation Under the patronage of HRH Princess 
     Soamsawali The foundation is the center of development stimulation for special needed children following : ·       Handicap
children ·       ADHD children ·       Down’s Syndrome
children ·       LD childrend ·       Autistic
children ·       And other special
needed children who need assistance The foundation has a long experience on teaching with special needed children for more than 30 years with teachers who have a strong
and hand-on experiences with special needed children to develop those children in a better condition. Contact : Lighting Institute Foundation Under the patronaged of HRH Princess Soamsawali 850/34 Sukumvit 71 (Soi Pridipanomyong 36) North Klong ton, Wattana, Bangkok, Thailand 10110 Tel : +66 2 381 5362-3","","http://www.saengsawang.com/","+66 2 381 5362-3"," "," "
"disabilities","Nonthaburi Reception Home for the Destitute","Nonthaburi Reception Home for the Destitute Offer food and shelter to homeless adults Contact: Telephone: 02 583 0044 / 02 582 0771 Address: 78/12 Moo 1, Tiwanon, Soi 1, Pakkret, Nonthaburi Volunteers: Yes Review: NNR","78/12 Moo 1, Tiwanon, Soi 1, Pakkret, Nonthaburi","http://homelessnon.com/","02 583 0044 / 02","raiteepueng_non@yahoo.com"," "
