name,description,website,cause_area,address,country,contact_number,email,contact_person
CAMBODIAN CHILDREN AGAINST STARVATION AND VIOLENCE ASSOCIATION (CCASVA),1. Improved Reproductive Health through HIV/AIDs Prevention and care2. Intergrade Care Prevention,http://www.ccasva.org,1.Integrated Care and Prevention- ICP,"#32 c, Street 374, Sangkat Toul Svay Prey I, Khan Chamcar Morn,  Phnom Penh, Cambodia, P.O. Box 2203,",Cambodia,(855-23) 6414443,ccasva@ccasva.org,"Phok Bunroeun, Executive Director, (855-12) 888 613, bunroeun@ccasva.org"
CAMBODIAN DEVELOPMENT AND RELIEF CENTER FOR THE POOR (CDRCP),"1. Conducting HIV/AIDS prevention, Reproductive Health with Gender mainstreaming thru group discussion with general population, particularly youth and married men and women.2. Providing social support for PLHAs and Orphans and Vulnerable children (OVC), and support for their schooling.3. Providing counseling and referrals to health facilities at Referral Hospital in Kompong Trach District, Kampot Province for blood testing, care and ARV treatment for  PLHA and OVC in Kompong Trach, and Banteay Meast and in Dang Tung District, 4. Capacity Building to Community Assistants for Project Sustainability to continue facilitation to group discussion, communication and advocacy.5. Supporting 2 Care givers for providing care to PLHA with no family and relative in Kompong Trach Referral Hospital.6. Writing poems and songs about Human Rights, Peace, Banding Landmines, Domestic Violence and HIV/ AIDS related to girl prostitution, lives of OVC and PLHAs, the compulsion to suicide, the denial of midwives in helping infected woman in delivery baby, ways of prevention of HIV transmission etc. in Khmer with English translation on the screen for education and advocacy for discrimination reduction. 7. Producing KARAOKE songs about HIV/AIDS. Some AIDS karaoke songs were showed in XV International HIV/AIDS Conference in Bangkok, Thailand in 2004.8. Raising Advocacy through song presentation and song competition, short stories concerning to Women Rights and Health, Domestic Violence, Prostitution, HIV/AIDS, Morality and reduction of stigma and discrimination to promote the rights of PLHA, OVC and their families with quizzes and answers to large congregation of people in target villages, districts, in Kampot town and in Phnom Penh during HACC HIV/AIDS Campaign during Water Festival .9. Distribution some AIDS Karaoke songs to some NGOs, Commune Councils and pagodas for education in their community.  10. Providing Charity Boxes to pagodas and organizing management committees for supporting PLHA, OVC, poor and serious ill people.11. Conducting education on  Reduction in Maternal Mortality, Safe Abortion through group discussion in 120 villages and organizing awareness events through songs and comedy, short stories about Safe Abortion with question and answers to large congregation of people in 4 districts of Kampot Province12. Partnership with CIH (Center for International Health), University of Toronto, Canada, Cambodia brand office in Kep City for providing field study and visit for students from University of Tor",n/a,HIV/AIDS Prevention,"Kompong Trach District, Kampot Province",Cambodia,(855-12) 651 123, cdrcp.cambodia@yahoo.com,"Ms. Leng Sothea, Executive Director, (855-12) 651 123, cdrcp.cambodia29@yahoo.com"
CAMBODIAN HIV/AIDS EDUCATION AND CARE (CHEC),"1. Provide training workshops on HIV/AIDS and Reproductive Health and Life Skills to Adult Orphaned Vulnerable Children.2. Provide technical support to the HBC and SHG team leaders.3. Provide monthly referral support to PLHIV/CIA to get ARV/OI at referral hospital through HBC Teams and Identify new suspected cases refer to the VCCT service, monthly meeting MMM will be attended by PLHIV representatives at Provincial level and attend HIV/AIDS events at provincial level.4. Provide monthly home visits to provide support and counseling to PLHIVs.5. Provide school uniforms to OVC.6. Provide refresher training workshops on Linked Response to HBC Teams.7. Provide technical support to the HBC and SHG team leaders.8. Provide monthly referral support to PLHIV/CIA to get ARV/OI at referral hospital through HBC Teams and Identify new suspected cases refer to the VCCT service, monthly meeting MMM will be attended by PLHIV representatives at Provincial level and attend HIV/AIDS events at provincial level.9. Provide monthly home visits to provide support and counseling to PLHIVs.10. Provide training courses on HIV/AIDS, STI, reproductive health, life skills for youth peers, women peers and men peers in target ODs.11. Provide technical support to Peers Groups12. Provide training to other NGOs and institutions13. Advocacy for reducing the spread of HIV/AIDS through media and IEC materials.14. Conduct community forums in 7 ODs.15. Provide small business grant to 1,300 HIV positive women after livelihood training.16. Provide refresher livelihood training skills to HIV positive women.17. Provide referral support to HIV positive women to access OI/ARV and PMTCT services.",http://www.checcambodia.org,a. Prevention HIV/AIDS Projectb. HBC/OVC Project (Care and Support)c. HBCd. Livelihood Project (Impact Mitigation),"#86, St. 608, Sangkat Beoung kak2,Khan Toul Kork, Phnom Penh.",Cambodia,(855-23) 884 473,chec@online.com.kh,"Dr. KasemKolnary, Director, (855-12) 945 077, chec@online.com.kh"
CAMBODIA HEALTH EDUCATION MEDIA SERVICE (CHEMS),1.Produce TV shows2.Produce Newsletter3.Produce TV Learning Note4.Produce  Video Training 5.Produce Video Case study6. Radio Show Program7. Run listener club8. Organize Annual Awards for journalists,http://www.chems.org.kh,"1. Learning Program, The Demand for Good Governance Project2. Improving Journalism Code Ethict in Cambodia","No 26, Street 3 (Borei Peng Hout near Vimean Sopheak Monkol) Sangkat Steoun Mean Chey, Khan Mean Chey, Phnom Penh",Cambodia,(855-23) 218 410,Ms. Kim Sokuntheary Executive Director Tel: 012 285 678 E-mail: kimsokuntheary@gmail.com ed-chems@online.com.kh,"Mrs. Kim Sokuntheary, Executive Director , (855-12) 28 5678, ed-chems@online.com.kh"
CAMBODIAN ISLAMIC YOUTH ASSOCIATION (CIYA),,n/a,,"# 16, Strret 63, Sangkat Tonle Basac, Khan Chamcarmorn, Phnom Penh.",Cambodia,(855-16) 860 694,ciyainfor@yahoo.com/omalyciya@yahoo.com,Mr. Abupakar Sales President Tel: 016 860 694 Emial: ciyainfor@yahoo.com
COMMUNITY POVERTY REDUCTION  (CPR),"(SAHACOM) I- Program Component (Expected Result) 1: Improved coverage, quality and sustainability of comprehensive and integrated services for PLHIV (including MARPs) and OVC, which have successfully linked communities with public health and non-health services-Intermediate Result 1.1: Full coverage achieved and maintained in project sites of high quality comprehensive care, treatment and support services for PLHIV (including MARPs who are HIV positive) and OVC-Intermediate Result 1.2: Improved integration of HIV-related services for health, social welfare and impact mitigation with existing home and community-based care services-Intermediate Result 1.3.1: Increased capacity and sustainability of self help groupsII- Program Component (Expected Result) 3: Strengthened capacity and leadership of NGOs/CBOs and communities (especially those representing MARPs and PLHIV) leads to their meaningful participation in delivering quality and sustainable capacity of community based HIV prevention and care service-Intermediate Result 3.1: Increase technical and organization capacity of community based service and NGOs, incorporating best practice approaches(ICP) 1. To provide comprehensive care and support for people living with HIV/AIDS and OVC in the community with totally of 263 PLHIVs and 525 OVCs. 2. To promote community sensitization and reduce stigma and discrimination for people living with HIV/AIDS in community through HIV/AIDS education, events, and positive prevention.(ENRICH) -To reduce infant, child and maternal mortality through evidence based intervention(HSS) Objective 1: Strengthen Community Level MechanismsObjective 2: Improve Responsiveness of Primary Health Care FacilitiesObjective 3: Increase Knowledge of Community Members Regarding the 3 Dieses and Client rightsObjective 4: Lower access and utilization barriersObjective 5: Improve the Quality Climate for Community Level Primary Care",n/a,"1. Integrated Care and Prevention (ICP)2. Sustainable Action Against HIV and AIDS in Community (SAHACOM) 3. Evidence-based International for Improve Nutrition to Reinforce Infant, Child and Maternal Health in Cambodia (ENRICH)4. Health Strengthening System (HSS)","Thum Moyut Village, Pher commune,Khanpong Chhnang District,Kampong Chhnang Province",Cambodia,(855-92) 290 092,sengtack777@gmail.com,"Mr. Eung Sengkim, Executive Director, (855-12) 833 584, sengkim_cpr@yahoo.com "
CAMBODIAN RED CROSS (CRC),"1.Training of Outreach Workers and Peer-Outreach activities2. Referral for VCT, TB treatment3. Peer Educators and outreach workers meeting4. Vocational training for ex-L2drug users5. Sensitization workshops for local authority and leaders6. days training on agriculture for Ex-drug users7. Regular health check up for ex-drug users in rehabilitation center8. Drug outreach activities by peer educators 9. Referral ex-drug users in the rehabilitation center for VCCT10. Education reproductive women on nutrition and ANC11. General basic health education for Community population12. Referral services support for pregnant women13. Coordination monthly meeting for Outreach workers and Peer Educators14. Community education15. Provide referral services16. Home visit for PWD /PLHIV/OVC17. Home gardening 18. Provide vocational training19. Construction of hand dug (pump) wells20. Construction of household latrines21. Regular health check up for ex-drug users22. Conduct outreach activities23. Educate reproductive woman on nutrition and ANC",http://www.redcross.org.kh,1. Community Based Health Development (Funded by Australian Red Cross)2. Community Based Health Development (Funded by Italian Red Cross)3. Harm Reduction (Funded by Italian Red Cross)4. Malaria Prevention                                     5. WASH (Water Sanitation and Hygiene),"Lot 16A, Street 652@271, O Bek Kaam, Sangkat Toek Laak 3, Khan Tuol Kork, P.Penh",Cambodia,(+855-23) 881-511 / 881 153,crc_adm@online.com.kh,Lok Chum Tiev. Pum Chanthini Secretary General Tel : 012 921 105 E-mail :crc_adm@online.com.kh
CAMBODIAN WOMEN'S DEVELOPMENT AGENCY (CWDA),1.Training and Education2.Documentation3.Advocacy4. Meeting                             5.counseling6.Referral to assess health service,http://www.pub22.net/cwda/,1. Womenâs Health and HIV/AIDS Program,"#19, Street 242, Sangkat Boeung Prolit, Khan 7 Makara, Phnom Penh-Cambodia",Cambodia,(+855) 023 210 449 ,cwda@online.com.kh,Mrs. Hun Phanna Acting Executive Director Tel: 012 995 199  phannahun@gmail.com
CAMBODIAN WOMEN FOR PEACE AND DEVELOPMENT (CWPD),"Outreach education session to increase awareness on:- HIV/AID prevention- HARM reduction- Nutrition- Safe Saving and remittent- Reproductive and Birth spacing- Codom usedIEC material with key prevention message development and dissemination together with condomReferral EW to access heath and social services: HIV testing, STI screening and birth spacing, phsycology service,Pre ART/ART, vocational triningProvided finger prick to EWs by lay counselor Provide life skill training to target population on particular financial management (saving for future life)                                                                                                                           Support garment factory worker to work together in mutual support groups to identify and respond to social, economic and health concerns  Sensitization and awareness training for line supervisors, middle and senior managers on worker rights, and developing the capacity of MSG members to roll out the training to their peers.",http://www.cwpd.net,1. HIV Prevention Care and Support Program for entertainment Workers :SMARTGirl program2.  Reproductive project3. Better work project4. Sewing for a Brighter Future5.Community based Treatment 6.SMARTGirl plus project ,"No 128D9-D10, St. Sothearos, Sangkat Tonle Bassac, Khan Chamkamorn, Phnom Penh",Cambodia,"(855-23) 222 453, (855-12) 739 851",info@cwpd.net;  cwpd@online.com.kh; Sotheary@cwpd.net,"Mr.Chhorn Ann, Project Manager, (855) 12 95 94 47, ann.chhorn@cwpd.net"
DAN CHURCH AID/CHRISTIAN AID (DCA/CA),"working through partners on protection, prevention, awareness, accountability, advocacy, networking by provide funding supported to local and international NGOs in Cambodia.","http://www.danchurchaid.org, www.christianaid.org.uk ","Active Citizenship Program, Food Security Program; and Regional Safe migration program  ","#48, Street 242, Sangkat Chaktomouk, Khan Daupenh, Phnom Penh, Cambodia",Cambodia,(855-23)  21 62 61, ,Mr. Betty ThÃ¸gersen Country Representative 092 66 57 06 Email: beth@dca.dk
FRIENDSâ ASSOCIATION PIONEER  (FAP),1. Sellecting the poorest2. Providing training about small bussiness and  technical agriculture3. Social support-Loan4. Public Education about Hygine and sanitation,n/a,Support the poorest of the poor family,", Group 01, Kompong kdei 01 Village, Kompong kdei Commcene, Chikreng District, Siem Reap Province",Cambodia,(855-12) 943 155,sakun_peng@yahoo.com,"Mr. PengSakun, Executive Director, (855-10) 943 155/010 943 155, sakun_peng@yahoo.com"
FHI360Âº (FHI360Âº),"1. Targeted prevention and treatment for Most At Risk Population2. Strengthened quality and integration of selected CoC networks3. Strengthened surveillance, M&E and data utilization4. Strengthened systems, human and institutional capacity5. Cross cutting themes: strategic behavior communication, monitoring and quality assurance, gender equity and partnerships6. Targeting HIV/AIDS Prevention among MSM7. Increase access to needle and syringes and methadone treatment among drug users8. Improve the capacity building of health care providers to provide better  TB diagnosis and treatment 9. Increase access to TB-HIV diagnosis and treatment for marginalize groups and inmates10. Increase access to TB diagnosis and treatment through Public Private Partnership11. HIV/AIDS intervention among drug users using harm reduction approach", ,1. HIV Flagship2. Prayat Mosque3. Saksith4.  Cambodia Integrated HIV and Drug Prevention Implementation5.  EndAsia-Smartkids,"#03, St. 303,Sangkat Beoung Keng Kang III, Phnom Penh",Cambodia,(855-23) 211 914, ,Dr. Dr. Jamhoih Tonsing Country Director Tel: 092 202 494 E-mail: Jtonsing@fhi360.org
FRENCH RED CROSS/ CROIX-ROUGE FRANÃ§AISE  (FRC),"1. Watsan: Construction: Borehole, Ponds, DAMs2. Hydrogeologue: Weater station3. Agronimist: Distribution: Vegetable seeds, Tools Agriculture, Piglets, Hens, Rooster.4. Capacity building",http://www.croix-rouge.fr,Secure Water to Secure Food and Nutrition Project,"#16A, Street 271 off 652, O B'ek Kaam, Sangkat Toeuk Laak III, Khan Toul Kor, Phnom Penh, Cambodia",Cambodia,(+855) 023 883 670,hod-camb.frc@croix-rouge.fr,'Mr. David BOISSON Head of Delegation Tel: 023 883 670 E-mail: hod-camb.frc@croix-rouge.fr
MISSION OF GENEROUS CAMBODIAN ALLIANCE  (GENEROUS),"1. Home visit, referral to OI/ARV, PMTCT, link response including community outreach2. Awareness, education, outreach, training and, care & support including livelihood, networking among faith base group.",Wesite: www.generous-cambodia.org,"1.  To uptak universal access to HIV prevention, care and treatment.","# 9, Street 397, Phsardoum Thov, Khan Chamkarmorn, Phnom Penh",Cambodia,(855-12) 849 192,sokhoeun.generous@gmail.com ,"Mr. ChhonSokhoeun, Executive Director, (855-12) 849 192, sokhoeun_generous@yahoo.com"
HAGAR INTERNATIONAL  (HAGAR),"1. Research chiff NGO caring for PLWA2. Reviewed Hagar health standard to included HIV available 3. Provide the trainning to  staff and children on basic information of HIV/AIDS prevention5. Establish referral or partnership with other NGOs, government related to HIV/AIDS",http://www.hagarinternational.org,HAGAR health care project,"#19,St.57,  Boeung Keng Kang I, Khan Chamkarmon  PP.",Cambodia,(855-23)  211 961,Meng.sokchea@hagarinternational.org,"Dr. Meng Sokchea, Health Manager, (855-12) 612 912/(855-10) 612 912, meng.sokchea@hagarinternational.org"
HEALTHCARE CENTRE FOR CHILDREN  (HCC),"1.Temporaty Shelter Services.                  2. Awareness Raising on safe migration, and Human Trafficking to community. 3 livelihood Support.",http://www.hcc-cambodia.org,Counter Trafficking in Persons Program (CTIP-II),"#132D, St. 135, Sangkat Phsar Deum Thkov, Khan Chamkarmorn, Phnom Penh",Cambodia,(855-23) 212 133 /088 593 8940,savang.keo@hcc-cambodia.org ,"Mr. Keo Savang, Admin/Finance Officer, (855-12) 855 052, hcc.adm.fin@online.com.kh"
INDRADEVI ASSOCIATION (IDA),"Referal, SHG meeting, Training on prevention and HIV/TB, SRH, FP, and Education face to face",n/a,Home care and Prevention,"# 13D, Street 450, Sangkat Beung Keng Kong I, Phnom Penh",Cambodia,012 841 3672/ 012 897 161,ngo.indradevi@yahoo.com,"Pan Sopheap, Program Coordinator, (855-12) 841 372, ngo.indradevi@yahoo.com"
ISLAMIC LOCAL DEVELOPMENT ORGANIZATION  (ILDO),"1. Conduct workshop2. Conduct training course3. Conduct group discussion4. Follow up of previous training5. Join national AIDS ceremony7. Join national, international AIDS workshop8. Refer the PLHA to hospital9. Refer the volunteer to blood test.10. Support food and school material to OVC11. Small Group In Community12. Play Group In Community 13. Meeting with PHD14. Education with Drama show about HIV/AIDs15. To improve the capacity for foster family OVC through Vocational Training",http://www.ildocambodia.org,Health Education In Community ,"#254 Group 18, Damspey Village, Slaket Commune, Battambang",Cambodia,(855-12) 664 487,ildosokha@yahoo.com; ildosokha@ildocambodia.org;  sem_kalyan@yahoo.com; sros_ildo@yahoo.com,"Mrs. Teur Sros, Mr. Roeung Raiya, Deputy Director, Health Program, (855-12) 599 697, (855-17) 741 019/,(855-86) 666 057, raiya_health@yahoo.com, sros_ildo@yahoo.com"
INTHANOU ASSOCIATION (INTHANOU),1. Hotline-Schedule:   Monday-Friday from 11am-8pm-Hotline numbers:-  012 999 008/ 012 999 009                                                                   - Free for  Cellcard member,http://www.inthanou.org,"HIV/AIDS, STIs Hotline","#134 E3, Street 109, Phnom Penh, Cambodia",Cambodia,(855-23) 986 240,info@inthanou.org,"Dr. LOUN Monyl, Executive Director, (855-23) 986 240, info@inthanou.org"
Indigenous People Health Improvement Association (IPHIA),"Training on three diseases(HIV-AID/ TB and Malaria, Training Client Right and Provider Rights (CRPR), Community Score Cared (CSC), Commune Investment Planning (CIP), Village Action Plan (VAP), Community Participation Policy (CPP), Dram Show and DVD show, Support VHSG and HCMC meetings, Village Emergency Referral Sytem (VERS) and Saving Group (SG). ",n/a,Health Strengthening System,"Ospean village, Sangkat Speanmeanchey, Senmonorom town, Mondulkiri province",Cambodia,073 6723 888,e.veasna@healthunlimited.org,"Mr. Em Veasna, Director, (855)97 8 374 903/ (855)12 454 224, e.veasna@healthunlimited.org"
KHMER BUDDHIST ASSOCIATION  (KBA),"1. Referral Supporting (ART/STI/OI/SRH/TB/ ANC/ PMTCT/ SD/ FP/VCCT)                                                           2. Monthly SHG meeting (PLHIV/OVC)                           3. Supporting for monthly, quarterly and annual meeting at local and regional meeting of relevant stakeholders 4. Finger Prick  testing to seek HIV at communities target                                                                                           5. Annual Events ( Women Day, Children Day, International Drug Day, etc..)                                            6. Capacity Building (VSL, Livelihood, Animal and Poultry raising, home gardening)                                  7. Support investment to do business with incomes (VSL)                                                                           8. Monthly Education for PWUD and PWID                  9. Advocate to related multi-section who violated to arrest our target groups (PWUD/PWID)",n/a,1- SAHACOM   2- DHA               3- CBTx,"#Thmor Pouk Village, Thmor Pouk Commune, Thmor Pouk District, Banteay Meanchey",Cambodia,"(855-12) 428 771, (855-97) 673 992 2",rosmonichoth_kba@yahoo.com,"Ms. Yan Somaly, Program Coordinator, (855-77) 775 206/(855-97) 900 3765, yansomaly@yahoo.com"
KHMER DEVELOPMENT OF FREEDOM ORGANIZATION (KDFO)," -Conduct peer outreach education session on  Drug and HIV/AIDS Related.-Co-organised the  provincial coordination meeting with other stakeholders.-Conduct community events to raise awareness on Drug and HIV and AIDS, and anti-stigma and discrimination against DUs and IDUs.-Supervision from Provincial Drug Control Committee (PDCC) to SSRs.-Refer drug users (ATS & IDU) to VCCT ,STI, MMT- Provided  MSM through individual and group-level outreach and each contact through a core prevention package and the promotion of the MStyle club/website, Fastest and Inthanou hotline.- socially market 86,400 condoms/lubricants to MSM and will plan to distribute 45,345 annually for free to those who fit established criteria. Condoms and lubricant will be promoted at every outreach contact. Condoms supplied through other Global Fund program component and provided to MSM Drug Users free of charge will be tracked and reported separately.- provide referral slips for STI, VCCT, ARV and other targeted health services at every outreach contact.- Build the capacity of implementing agency staff, partners and stakeholders to plan, implement, manage and monitor the program",http://www.kdfosponsorship.co.uk,1. MSM Project2. non-formail education,"# 213 , Damnak Thom village, Sangkat Stoeung Meanchey, Khan Meanchey, Phnom Penh.",Cambodia,(855-12) 91 2727,sprumden.kdfo@gmail.com,"Soeurn Prumden, Program Manager, (855-12) 91 27 27,prumden_kdfo@yahoo.com"
KHANA (KHANA),,http://www.khana.org.kh,"1. HIV Focused Prevention, Continuum of Care and Impact Mitigation2. HIV Focused Prevention, Continuum of Care and Impact Mitigation3. Continuum of Care and Treatment for PLHIV4. Community Health System Strengthening5. Sustainable Action Against HIV/AIDS in Community (SAHACOM)7. Technical Support over South East Asia Pacific (Hub)8. HIV related to Harm Reduction Program for DU/IDUTarget Group: ","#33 Street 71, Tonle Bassac, Chamkarmon, Phnom Penh",Cambodia,(855-23) 211 505,khana@khana.org.kh,"Dr. Oum Sopheap, Executive Director, (855-17) 588 588, osopheap@khana.org.kh"
