UEN No,Charity Status,Date of Charity Registration,IPC Status,IPC Period,Website,Details URL,country,name,address,cause_area
201112640R,Registered,03/07/2012,Not applicable,Not applicable,www.accessh.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NzI0M2UyMGItN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ACCESS HEALTH INTERNATIONAL SOUTHEAST ASIA LIMITED,10 COLLYER QUAY #27-00 OCEAN FINANCIAL CENTRE Singapore 049315,Health
201608445Z,Registered,28/09/2016,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ODUyYzczNmUtMmUwYy1lNjExLWFjNzMtMDAwYzI5ZjYzOWJh,Singapore,ACES CARE LIMITED,36 ARMENIAN STREET #02-07  Singapore 179934,Social and Welfare
200514169H,Registered,26/10/2005,Not applicable,Not applicable,http://www.acsinternational.edu.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ODJjYjM5MWItNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,ACS (INTERNATIONAL),61 JALAN HITAM MANIS   Singapore 278475,Education
T07CC2027A,Registered,26/06/2007,Live,From 06/06/2017 To 05/06/2020,http://www.acsinternational.edu.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZTgwOGZkYmEtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ACS (International) Education Fund,61 Jalan Hitam Manis   Singapore 278475,Education
S88SS0126A,Registered,07/10/1994,Live,From 30/12/2017 To 29/12/2019,http://www.afa.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OGFhMmYzYzktNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Action For Aids (Singapore),31 Kelantan Lane #02-16 c/o DSC Clinic Singapore 200031,Health
T02CC1642E,Registered,14/12/2002,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=Njg5YjFmMmEtN2I2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ACTION FOR GOD'S LOVE,6A  BOWMONT GARDENS   Singapore 459909,Religious
T02SS0132E,Registered,29/05/2015,Not applicable,Not applicable,www.asdsingapore.com,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YzVjNDI3ZmUtNzdmYi1lMzExLTk2ZTktMDA1MDU2YTQxZjJk,Singapore,Action for Singapore Dogs Society,3 Jambol Place   Singapore 119330,Others
200004602M,Registered,08/04/2004,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NjhkYmVkZDYtNzg2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,ACTION THEATRE LIMITED,80 RAFFLES PLACE #32-01 UOB PLAZA 1 Singapore 048624,Arts and Heritage
S86SS0075G,Registered,17/02/1987,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NmY2ODM4NjYtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Acts Baptist Church,1023 UPPER SERANGOON ROAD #04-01  Singapore 534761,Religious
T04SS0135C,Registered,16/07/2008,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZDNjZWM0YTctNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ADAM Association,1 North Bridge Road #15-07 High Street Centre Singapore 179094,Social and Welfare
T12SS0060G,Registered,29/06/2012,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZWVjNzdiMzAtN2I2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ADAM ROAD PRESBYTERIAN CHURCH,25 ADAM ROAD   Singapore 289894,Religious
T07CC2017G,Registered,25/04/2007,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MzQxODY5NzItN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,ADMIRALTY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,120  Woodlands Avenue 1   Singapore 739069,Community
T13SS0070F,Registered,22/05/2017,Not applicable,Not applicable,www.adullam.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YzEzOTEwMGEtYTc0OC1lNjExLWE3MDItMDAwYzI5ZjYzOWJh,Singapore,Adullam Life Counselling,25 ROSEWOOD DRIVE #05-17 CASABLANCA Singapore 737919,Social and Welfare
S60SS0011A,Registered,14/04/1984,Not applicable,Not applicable,communityservices.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NDY2YWViYmQtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Adventist Community Services,90 Jurong East Street 13   Singapore 609648,Social and Welfare
S80SS0046B,Registered,28/07/1986,Live,From 01/08/2016 To 31/07/2018,http://www.adventisthome.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MzQwMjg1NzgtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Adventist Home for the Elders,195 Kim  Keat Avenue #01-294  Singapore 310195,Social and Welfare
S97SS0048K,Registered,31/08/1999,Live,From 20/07/2016 To 19/07/2018,http://www.anrc.org.sg/,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NGE4ZWNmM2UtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Adventist Nursing and Rehabilitation Centre,6 Marsiling Drive #01-96  Singapore 730006,Health
S84SS0017C,Registered,17/12/1992,Not applicable,Not applicable,http://www.agape.org.sg/CMS/index.php,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YTM5YThjMjctN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Agape Baptist Church,103 LAVENDER STREET  TRINITY@LAVENDER Singapore 338725,Religious
T00SS0010B,Registered,18/12/2001,Not applicable,Not applicable,http://www.agapesingapore.com/Links.htm,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NGMyMDI3NjQtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Agape Christian Centre,8 Lorong 11 Geylang   Singapore 388700,Religious
S86SS0023A,Registered,28/02/1987,Not applicable,Not applicable,http://www.agapecom.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NzU3MDVkMDItN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Agape Community Church,266 Serangoon Central Drive #04-255  Singapore 550266,Religious
S91SS0045C,Registered,01/11/1991,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NGFiNWY0ZDMtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Agape Counselling and Training Centre,8 Lorong 11 Geylang   Singapore 388700,Social and Welfare
T06CC1926E,Registered,06/02/2006,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OWNkZTc3YzctN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,AGAPE METHODIST CHURCH,21 YUNG HO RD #3-3 THE AGAPE Singapore 618593,Religious
S97SS0009H,Registered,24/02/1998,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZGIyNjBhOWYtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Agape Vision Association,24 SIN MING LANE #06-105 MIDVIEW CITY Singapore 573970,Religious
S79SS0014D,Registered,29/09/1989,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZTJjZWM0YTctNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Aglow International (Singapore),50A TOH TUCK ROAD #04-02 SIGNATURE PARK Singapore 596742,Religious
200702751M,Registered,11/09/2014,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ODA3ZjUyNTEtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,AGORA@WESTCOASTPLAZA LTD.,35 KOVAN ROAD #03-42 KOVAN MELODY Singapore 545019,Social and Welfare
S90CC0733J,Registered,07/05/1990,Not applicable,Not applicable,www.ahmadiyya.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YmZiZTc0ZjktN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,AHMADIYYA MUSLIM MISSION,118 ONAN ROAD   Singapore 424530,Religious
201006653E,Registered,13/01/2011,Live,From 01/11/2017 To 31/10/2018,http://www.aidha.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ODljYjkzNmMtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,AIDHA LTD.,748A NORTH BRIDGE ROAD   Singapore 198716,Social and Welfare
T00SS0163F,Registered,17/04/2006,Live,From 18/09/2017 To 17/09/2018,http://www.ainsociety.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YmJkZmI0ZGMtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Ain Society,2 EUNOS CRESCENT #01-2545  Singapore 400002,Social and Welfare
201017533Z,Registered,08/02/2011,Not applicable,Not applicable,http://www.akaraka.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NDI4ODA0ODYtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,AKARAKA LIMITED,3 ANSON ROAD #27-01 SPRINGLEAF TOWER Singapore 079909,Others
S87CC0507F,Registered,05/10/1987,Not applicable,Not applicable,www.aldersgate.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YzBiYWRlYTItN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ALDERSGATE METHODIST CHURCH,98 DOVER ROAD   Singapore 139647,Religious
201427909W,Registered,19/11/2014,Live,From 21/06/2016 To 20/06/2018,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MDQ1ZGEzMzUtYzU0ZC1lNDExLWI5ZTYtMDA1MDU2YTQxZjJk,Singapore,ALEXANDRA HEALTH FUND LIMITED,90 YISHUN CENTRAL  KHOO TECK PUAT HOSPITAL Singapore 768828,Health
200204369H,Registered,27/11/2002,Live,From 23/03/2017 To 22/12/2018,http://www.alife.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=N2YzMGU1ZWQtNzg2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ALIFE LTD.,6 NAPIER ROAD #06-05 GLENEAGLES HOSPITAL Singapore 258500,Social and Welfare
T03SS0128C,Registered,01/06/2004,Not applicable,Not applicable,http://www.alivecommunity.net,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZWFjZjIwODUtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,Alive Community Church,133 NEW BRIDGE ROAD #13-10 CHINATOWN POINT Singapore 059413,Religious
T02SS0190K,Registered,19/08/2004,Live,From 01/11/2017 To 31/10/2020,http://alive.org.sg/,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZjJjZjIwODUtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,ALIVE COMMUNITY NETWORK,10 ARUMUGAM ROAD #04-00 LTC BUILDING A Singapore 409957,Social and Welfare
198900203M,Registered,29/06/2001,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=Y2IzYzAwMDktNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,ALL GOOD GIFTS LTD,114 LAVENDER STREET #05-71 CT HUB 2 Singapore 338729,Religious
S87SS0068F,Registered,18/03/1993,Live,From 17/07/2015 To 16/07/2018,http://www.allsaintshome.org.sg/,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YmMzZDZjMzgtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,All Saints Home,5 Poh Huat Road   Singapore 546703,Health
199907126R,Registered,05/08/2005,Not applicable,Not applicable,www.asmc.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OGIzMGU1ZWQtNzg2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ALL SAINTS MEMORIAL CHAPEL (SINGAPORE) LTD,5 POH HUAT ROAD   Singapore 546703,Religious
T01SS0182C,Registered,26/06/2002,Not applicable,Not applicable,http://aspc.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MTNiMmMzMGItN2I2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,ALL SAINTS PRESBYTERIAN CHURCH,7 ARMENIAN ST  BIBLE HOUSE #B1-01 Singapore 179932,Religious
T03SS0059A,Registered,02/12/2003,Not applicable,Not applicable,singapore.alpha.org,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YzdiMDI0YzQtN2E2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,AlphaSingapore,2 Kallang Avenue #03-16 CT Hub @ Kallang Singapore 339407,Religious
S91SS0018J,Registered,21/09/1992,Live,From 01/01/2016 To 31/12/2018,http://www.alz.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=Mzk3NWM1MTgtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Alzheimer's Disease Association,157 Lorong 1 Toa Payoh #01-1195  Singapore 310157,Health
T12SS0143J,Registered,21/07/1998,Not applicable,Not applicable,www.agpc.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=NDM5OTU4MmItN2I2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,AMAZING GRACE PRESBYTERIAN CHURCH,408-B UPPER EAST COAST ROAD   Singapore 466484,Religious
197300850D,Registered,15/12/1986,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=YzI2M2Y4MGMtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,AMBASSADORS FOR CHRIST (SINGAPORE) LIMITED,170 UPPER BUKIT TIMAH ROAD #17-02 BUKIT TIMAH SHOPPING CENTRE Singapore 588179,Religious
S85CC0278K,Registered,31/12/1985,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=M2MxODYxOGYtNzk2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,AMBER TRUST,190 MIDDLE ROAD #16-1 FORTUNE CENTRE Singapore 188979,Education
S85CC0279F,Registered,31/12/1985,Not applicable,Not applicable,Not applicable,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OTVjYjkzNmMtNzk2NS1lMzExLTgyZGItMDA1MDU2YjMwNDg0,Singapore,AMBER TRUST RE: AMBER FUND,190 MIDDLE ROAD #16-01E FORTUNE CENTR Singapore 188979,Others
S88SS0107J,Registered,06/04/1994,Not applicable,Not applicable,http://www.fpmtabc.org/,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=MDQzNTcyZGEtN2E2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,Amitabha Buddhist Centre,44 Lorong 25A Geylang   Singapore 388244,Religious
S92SS0059H,Registered,17/02/2016,Not applicable,Not applicable,www.amtb.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=OGJiMmRkOWQtZWM4NC1lNTExLThlOTAtMDAwYzI5ZjYzOWJh,Singapore,Amitabha Buddhist Society (Singapore),2 LORONG 35 GEYLANG  AMITABHA BUILDING Singapore 387934,Religious
201229817Z,Registered,01/03/2013,Live,From 01/10/2015 To 31/03/2018,www.amkfsc.org.sg,https://www.charities.gov.sg/_layouts/MCYSCPSearch/MCYSCPSearchOrgProfile.aspx?AccountId=ZDQxZTdiMzYtN2I2NS1lMzExLThmZGEtMDA1MDU2YjMwNDg1,Singapore,AMKFSC COMMUNITY SERVICES LTD.,223D COMPASSVALE WALK #01-673 COMPASSVALE VISTA Singapore 544223,Social and Welfare
