name,cause_area,country,city
Lembaga Bina Potensi Masyarakat (LBPM) ,Women`s Status & Issues, Indonesia,Manado
Lembaga Pemantau Pembangunan Daerah,Women`s Status & Issues, Indonesia,Medan
Lembaga Penelitian dan Pengembangan Sumberdaya dan Lingkungan Hidup (LPPSLH),Women`s Status & Issues, Indonesia,Purwokerto
LKTS - Lembaga Kajin untuk Transformasi Sosial,Women`s Status & Issues, Indonesia,Boyolali
LSM Kelompok Diskusi Anti 86 (KODAT 86),Women`s Status & Issues, Indonesia,Batam
MAHITA,Women`s Status & Issues, Malaysia,Hyderabad
Marinduque Council for Environmental Concerns (MACEC),Women`s Status & Issues, Philippines,"Cathedral Compound,  Boac"
Masarek Simeulue Institute,Women`s Status & Issues, Indonesia,Sinabang
Mercy Mission,Women`s Status & Issues, Malaysia,Kuala Lumpur
"Mindanao Integrated Resource Development, Inc. (MIRD)",Women`s Status & Issues, Philippines,Zamboanga City
Mizpah Community Academy Foundation,Women`s Status & Issues, Philippines,Bacor
People's Agricultural Plan for the 21st Century Inc. (PAP 21),Women`s Status & Issues, Philippines,Bacolod City
Persatuan Kebajikan Kenanga Waja Malaysia,Women`s Status & Issues, Malaysia,Semenyih
Pertubuhan Kebajikan Mesra Rawang Selangor,Women`s Status & Issues, Malaysia,Rawang
"Philippine NGO Support Program, Inc. (PHANSuP)",Women`s Status & Issues, Philippines,Quezon City
Philippine Peace and Solidarity Council,Women`s Status & Issues, Philippines,"Novaliches,  Quezon city"
PHILSOCORDS,Women`s Status & Issues, Philippines,Zamboanga
PhnomSrey Association for Development,Women`s Status & Issues, Cambodia,KampongCham
PKPU,Women`s Status & Issues, Indonesia,Jakarta Timur
Poverty Reduction and Development Association (PoR-DeA),Women`s Status & Issues, Lao People's Democratic Republic,Sisattanak distr.
Regional Development Action Association ,Women`s Status & Issues, Cambodia,Siem Reap
Rejoice Thailand,Women`s Status & Issues, Thailand,Suthep Muang
Sao Sary Foundation,Women`s Status & Issues, Cambodia,Chbar Morn
"Science Associates for Development Programme ""SADP""",Women`s Status & Issues, Lao People's Democratic Republic,Vientiane
Science Associates for Development Programme (SADP),Women`s Status & Issues, Lao People's Democratic Republic,"Chanthabouri dist., "
SILAKA,Women`s Status & Issues, Cambodia,Phnom Penh
Socio-economic Engineering & Environmental Development Technology (SEEDTech) Foundation Inc,Women`s Status & Issues, Philippines,Cotabato City
Spiritan Catholic Center Foundation,Women`s Status & Issues, Philippines,Cebu City
"Suluk International Advocacy Foundation,Inc",Women`s Status & Issues, Philippines,"Patikul,  Sulu"
Surigao Economic Development Foundation Inc.,Women`s Status & Issues, Philippines,Surigao City
The Consortium for Community Development and Social Justice Inc.,Women`s Status & Issues, Philippines,Quezon City
ThinkActPeace Foundation - Philippines,Women`s Status & Issues, Philippines,Las Pinas City
Tribal Media Group,Women`s Status & Issues, Myanmar,"Tedim PO., "
Women Initiative and Children Education Foundation,Women`s Status & Issues, Indonesia,Sigli
Xavier University Governance and Leadership Institute,Women`s Status & Issues, Philippines,Cagayan de Oro City
Yayasan Bina Dharma,Women`s Status & Issues, Indonesia,Kabupaten Soppeng
Yayasan Bina Potensi Masyarakat (YAPIM) / Institute of Potency Community Motivator ,Women`s Status & Issues, Indonesia, Sukun Malang
Yayasan Pondok Pesantren Qamarul Huda,Women`s Status & Issues, Indonesia,Mataram
Yayasan Pusaka Indonesia,Women`s Status & Issues, Indonesia,Medan
Yayasan Rama Sesana,Women`s Status & Issues, Indonesia,Denpasar
Youth Volunteer For Action on Development ,Women`s Status & Issues, Lao People's Democratic Republic,Vientiane
Council for the Restoration of Filipino Values (CRFV),Transportation, Philippines,Baguio City
Kalinga Filipino,Transportation, Philippines,Quezon City
ECOLINK Philippines,Trade & International Finance, Philippines,Oroquieta City
ERA Consumer Malaysia,Trade & International Finance, Malaysia,Petaling Jaya
"Green Valley College Foundation,Inc.",Trade & International Finance, Philippines,Koronadal
"Harvest Christian School International of Cebu, Inc.",Trade & International Finance, Philippines,Cebu
Marinduque Council for Environmental Concerns (MACEC),Trade & International Finance, Philippines,"Cathedral Compound,  Boac"
National Youth Parliament Alumni Association,Trade & International Finance, Philippines,Quezon
"Philippine NGO Support Program, Inc. (PHANSuP)",Trade & International Finance, Philippines,Quezon City
Philippine Peace and Solidarity Council,Trade & International Finance, Philippines,"Novaliches,  Quezon city"
PhnomSrey Association for Development,Trade & International Finance, Cambodia,KampongCham
Research Center for Aceh Development Studies,Trade & International Finance, Indonesia,Lhokseumawe
Research Center for Aceh Development Studies (ReCADev),Trade & International Finance, Indonesia,Lhokseumawe
"Science Associates for Development Programme ""SADP""",Trade & International Finance, Lao People's Democratic Republic,Vientiane
"Suluk International Advocacy Foundation,Inc",Trade & International Finance, Philippines,"Patikul,  Sulu"
Agency for Basic Community Development,Sports & Recreation, Myanmar,Sanchaung Township
ANAKK - Sta. Cruz Inc.,Sports & Recreation, Philippines,Municipality of Sta. Cruz
"Blessed Association of Retired Persons Foundation, Inc. (BARP)",Sports & Recreation, Philippines,Baguio City
Brotherhood of Destiny Inc. (BROOD),Sports & Recreation, Philippines,Baliuag
"CARE, Inc. (Christian Action for Relief & Empowerment)",Sports & Recreation, Philippines,Las Pinas City
Drug Free Youth Association,Sports & Recreation, Malaysia,Puchong
ECOLINK Philippines,Sports & Recreation, Philippines,Oroquieta City
Educational Welfare and Research Foundation,Sports & Recreation, Malaysia,Kuala Lumpur
Federation of Indian NGOs Malaysia,Sports & Recreation, Malaysia,PETALING JAYA
Kalinga Filipino,Sports & Recreation, Philippines,Quezon City
Lakas ng Ekonomiya ng Alyansng Pilipino,Sports & Recreation, Philippines,Mangatarem
Lembaga Pemantau Pembangunan Daerah,Sports & Recreation, Indonesia,Medan
"Magna Kultura Foundation, Inc.",Sports & Recreation, Philippines,San Juan City
Mizpah Community Academy Foundation,Sports & Recreation, Philippines,Bacor
Pertubuhan Kebajikan Mesra Rawang Selangor,Sports & Recreation, Malaysia,Rawang
PHILCORPS Organization,Sports & Recreation, Philippines,Quezon
PHILSOCORDS,Sports & Recreation, Philippines,Zamboanga
PNAN,Sports & Recreation, Singapore,Singapore
Poverty Reduction and Development Association (PoR-DeA),Sports & Recreation, Lao People's Democratic Republic,Sisattanak distr.
Senior Footballers' Association of Thailand,Sports & Recreation, Thailand,Saphansung
Special school,Sports & Recreation, Singapore,Singapore
Spiritan Catholic Center Foundation,Sports & Recreation, Philippines,Cebu City
ThinkActPeace Foundation - Philippines,Sports & Recreation, Philippines,Las Pinas City
Action Relief,Social and Cultural Development, Indonesia,Sigli
Agency for Basic Community Development,Social and Cultural Development, Myanmar,Sanchaung Township
Albert Schweitzer Familienwerk Foundation Philippines,Social and Cultural Development, Philippines,n/a
ALTRUIS Indonesia,Social and Cultural Development, Indonesia,Sukabumi
"American Chamber Foundation Philippines, Inc. ",Social and Cultural Development, Philippines,Palanan
"American Women's Club of the Philippines, Inc. ",Social and Cultural Development, Philippines,Makati City
"Amigonian Youth Center Foundation, Inc. ",Social and Cultural Development, Philippines,Cavite
"AMY Foundation, Inc. ",Social and Cultural Development, Philippines,Grace Park
"Antipolo Seminary Foundation, Inc. ",Social and Cultural Development, Philippines,Paraaque City
Asia Society for Social Improvement and Sustainable Transformation,Social and Cultural Development, Philippines,Makati City
"Asia Society Philippine Foundation, Inc. ",Social and Cultural Development, Philippines,Makati City
Association for Children's Community & Development,Social and Cultural Development, Philippines,"Cebu City,  Philippines"
Association of the Blind in Cambodia,Social and Cultural Development, Cambodia,Phom Penh
"Blessed Association of Retired Persons Foundation, Inc. (BARP)",Social and Cultural Development, Philippines,Baguio City
Brotherhood of Destiny Inc. (BROOD),Social and Cultural Development, Philippines,Baliuag
Cambodia Living Arts,Social and Cultural Development, Cambodia,Phnom Penh
Cambodian Human Rights Task Force (CHRTF),Social and Cultural Development, Cambodia,Phnom Penh
Cambodian Institute for Development and Human Rights (CIDH),Social and Cultural Development, Cambodia,Phnom Penh
Cambodian NGOs Alliance for Cooperation (CNAC),Social and Cultural Development, Cambodia,Dangkor
Cambodian Volunteers for Community Development,Social and Cultural Development, Cambodia,Phnom Penh
Cambodian-American Organization For Human Resources Training and Development (CAO),Social and Cultural Development, Cambodia,Phnom Penh
"CARE, Inc. (Christian Action for Relief & Empowerment)",Social and Cultural Development, Philippines,Las Pinas City
CARE-Venture International,Social and Cultural Development, Singapore,Singapore
Center for Media and Cross Cultural Studies,Social and Cultural Development, Indonesia,Lhokseumawe
"Centre for Advancement of Business, Innovation and Social Entrepreneurship (CASE)",Social and Cultural Development, Malaysia, Petaling Jaya
Consortium for Civil Society Development,Social and Cultural Development, Indonesia,Padang
Cooperation and Development Group (CDG),Social and Cultural Development, Vietnam,Hanoi
"Cooperative Union of Baguio City, Inc. (CUBC)",Social and Cultural Development, Philippines,Baguio City
Cornerstone Reaching Out to Souls for the Saviour (CROSS),Social and Cultural Development, Philippines,"Project 3,  Quezon City"
Council for the Restoration of Filipino Values (CRFV),Social and Cultural Development, Philippines,Baguio City
Council for the Restoration of Filipino Values (CRFV),Social and Cultural Development, Philippines,Baguio City
Dara Community for Development in Cambodia (DCDC-Cambodia),Social and Cultural Development, Cambodia,Phnom PenhCity
Drug Free Youth Association,Social and Cultural Development, Malaysia,Puchong
ECOLINK Philippines,Social and Cultural Development, Philippines,Oroquieta City
Educational Welfare and Research Foundation,Social and Cultural Development, Malaysia,Kuala Lumpur
ERA Consumer Malaysia,Social and Cultural Development, Malaysia,Petaling Jaya
Federation of Indian NGOs Malaysia,Social and Cultural Development, Malaysia,PETALING JAYA
Friends of Overseas Filipinos Incorporated (FOFI),Social and Cultural Development, Philippines,Pasig City
GlobalRankers,Social and Cultural Development, Singapore,Singapore
"GMA Kapuso Foundation, Inc.",Social and Cultural Development, Philippines,Quezon City
"Green Valley College Foundation,Inc.",Social and Cultural Development, Philippines,Koronadal
High Desert International Foundation,Social and Cultural Development, Indonesia,Jakarta
Impact Philippines,Social and Cultural Development, Philippines,Quezon City
Institute for Policy and Community Devlopment Studies (IPCOS),Social and Cultural Development, Indonesia,Jakarta Selatan
Institute for Research and Empowering Society (INRES),Social and Cultural Development, Indonesia,Surakarta
"Inter Religious Council, Malaysia",Social and Cultural Development, Malaysia,Kuala Lumpur
Interfaith Communication Forum (ICF/FORKASI),Social and Cultural Development, Indonesia,KAbupaten Gorontalo
International Association for Transformation-Philippines,Social and Cultural Development, Philippines,Tabuk
International Police Commission Philippine Command Association,Social and Cultural Development, Philippines,Taguig City
International tribal alliance for community development and environmental restoration,Social and Cultural Development, Philippines,Quezon
"Kaabag sa Sugbo Foundation, Inc.",Social and Cultural Development, Philippines,Cebu
Kababaihan Gabay ng Bayan  (KAGABAY),Social and Cultural Development, Philippines,Makati City
Kalinga Filipino,Social and Cultural Development, Philippines,Quezon City
Khmer HIV/AIDS NGO Alliance (KHANA),Social and Cultural Development, Cambodia,Phnom Penh
KidsGrowHappy (Phils) Foundation,Social and Cultural Development, Philippines,Daet
Komando Barisan Rakyat/ KOBRA,Social and Cultural Development, Indonesia,Karawang
LEMBAGA ASISTENSI PEMERINTAH DAERAH,Social and Cultural Development, Indonesia,GIANYAR
Lembaga Bina Potensi Masyarakat (LBPM) ,Social and Cultural Development, Indonesia,Manado
Lembaga Kajian dan Advokasi Pesantren (LKAP),Social and Cultural Development, Indonesia,Pondokgede
Lembaga Pemantau Pembangunan Daerah,Social and Cultural Development, Indonesia,Medan
Lembaga Penelitian dan Pengembangan Sumberdaya dan Lingkungan Hidup (LPPSLH),Social and Cultural Development, Indonesia,Purwokerto
LSM Kelompok Diskusi Anti 86 (KODAT 86),Social and Cultural Development, Indonesia,Batam
LSM Metroxylon Maluku,Social and Cultural Development, Indonesia,Ambon
"Magna Kultura Foundation, Inc.",Social and Cultural Development, Philippines,San Juan City
MAHITA,Social and Cultural Development, Malaysia,Hyderabad
Marinduque Council for Environmental Concerns (MACEC),Social and Cultural Development, Philippines,"Cathedral Compound,  Boac"
Merah-Putih Foundation ,Social and Cultural Development, Indonesia,Palu
Mercy Mission,Social and Cultural Development, Malaysia,Kuala Lumpur
"Mindanao Integrated Resource Development, Inc. (MIRD)",Social and Cultural Development, Philippines,Zamboanga City
Mizpah Community Academy Foundation,Social and Cultural Development, Philippines,Bacor
National Youth Parliament Alumni Association,Social and Cultural Development, Philippines,Quezon
"Negros Women For Tomorrow Foundation, Inc. (NWTF) ",Social and Cultural Development, Philippines,Bacolod City
People's Agricultural Plan for the 21st Century Inc. (PAP 21),Social and Cultural Development, Philippines,Bacolod City
Perisai Nusantara,Social and Cultural Development, Indonesia,Medan
Pertubuhan Kebajikan Mesra Rawang Selangor,Social and Cultural Development, Malaysia,Rawang
PHILCORPS Organization,Social and Cultural Development, Philippines,Quezon
"Philippine NGO Support Program, Inc. (PHANSuP)",Social and Cultural Development, Philippines,Quezon City
Philippine Peace and Solidarity Council,Social and Cultural Development, Philippines,"Novaliches,  Quezon city"
PHILSOCORDS,Social and Cultural Development, Philippines,Zamboanga
PhnomSrey Association for Development,Social and Cultural Development, Cambodia,KampongCham
PKBM WIDYATAMA,Social and Cultural Development, Indonesia,Banyuwangi
PKPU,Social and Cultural Development, Indonesia,Jakarta Timur
PNAN,Social and Cultural Development, Singapore,Singapore
Poverty Reduction and Development Association (PoR-DeA),Social and Cultural Development, Lao People's Democratic Republic,Sisattanak distr.
Regional Development Action Association ,Social and Cultural Development, Cambodia,Siem Reap
Research Center for Aceh Development Studies,Social and Cultural Development, Indonesia,Lhokseumawe
Research Center for Aceh Development Studies (ReCADev),Social and Cultural Development, Indonesia,Lhokseumawe
Rotary Club of Johor Centennial,Social and Cultural Development, Malaysia,Johor Bahru
Rumah Zakat Indonesia Foundation,Social and Cultural Development, Indonesia,Bandung
Saceda Youth Lead Consulting,Social and Cultural Development, Philippines,Dumaguete
Sama Samang Komunidad ng Pandacan at Paco,Social and Cultural Development, Philippines,Manila
"Science Associates for Development Programme ""SADP""",Social and Cultural Development, Lao People's Democratic Republic,Vientiane
Science Associates for Development Programme (SADP),Social and Cultural Development, Lao People's Democratic Republic,"Chanthabouri dist., "
SILAKA,Social and Cultural Development, Cambodia,Phnom Penh
Socio-economic Engineering & Environmental Development Technology (SEEDTech) Foundation Inc,Social and Cultural Development, Philippines,Cotabato City
South East Asia Rural Social Leadership Institute (SEARSOLIN),Social and Cultural Development, Philippines,Cagayan de Oro City
"Suluk International Advocacy Foundation,Inc",Social and Cultural Development, Philippines,"Patikul,  Sulu"
Surigao Economic Development Foundation Inc.,Social and Cultural Development, Philippines,Surigao City
The National English Teaching Resource Center of Cambodia (NETREC),Social and Cultural Development, Cambodia,Phnom Penh
ThinkActPeace Foundation - Philippines,Social and Cultural Development, Philippines,Las Pinas City
Tribal Media Group,Social and Cultural Development, Myanmar,"Tedim PO., "
Viveka Welfare and Educational Illam Malaysia,Social and Cultural Development, Malaysia,Selangor
World Youth Foundation (WYF),Social and Cultural Development, Malaysia,Lebuh Ayer Keroh
Xavier University Governance and Leadership Institute,Social and Cultural Development, Philippines,Cagayan de Oro City
Ya Suka Sumba,Social and Cultural Development, Indonesia,Waitabula
Yayasan ANAK,Social and Cultural Development, Indonesia,Peliatan
Yayasan Bina Dharma,Social and Cultural Development, Indonesia,Kabupaten Soppeng
Yayasan Pondok Pesantren Qamarul Huda,Social and Cultural Development, Indonesia,Mataram
Yayasan Pusaka Indonesia,Social and Cultural Development, Indonesia,Medan
Yayasan Rama Sesana,Social and Cultural Development, Indonesia,Denpasar
Youth Volunteer For Action on Development ,Social and Cultural Development, Lao People's Democratic Republic,Vientiane
Action Relief,Science and Technology, Indonesia,Sigli
Asia Society for Social Improvement and Sustainable Transformation,Science and Technology, Philippines,Makati City
CARE-Venture International,Science and Technology, Singapore,Singapore
Christian Action for Relief & Empowerment (CARE),Science and Technology, Philippines,Las Pinas City
Cooperation and Development Group (CDG),Science and Technology, Vietnam,Hanoi
"Cooperative Union of Baguio City, Inc. (CUBC)",Science and Technology, Philippines,Baguio City
CVISNET Foundation Inc.,Science and Technology, Philippines,Cebu City
ECOLINK Philippines,Science and Technology, Philippines,Oroquieta City
Federation of Indian NGOs Malaysia,Science and Technology, Malaysia,PETALING JAYA
GlobalRankers,Science and Technology, Singapore,Singapore
"Green Valley College Foundation,Inc.",Science and Technology, Philippines,Koronadal
International Rice Research Institute,Science and Technology, Philippines,Metro Manila
Komite Monitoring Perdamaian dan Demokrasi/Committee for Peace and Democracy Monitoring,Science and Technology, Indonesia,"Syiah Kuala,  Banda Aceh"
Lakas ng Ekonomiya ng Alyansng Pilipino,Science and Technology, Philippines,Mangatarem
Lembaga Pemantau Pembangunan Daerah,Science and Technology, Indonesia,Medan
National Youth Parliament Alumni Association,Science and Technology, Philippines,Quezon
"Philippine NGO Support Program, Inc. (PHANSuP)",Science and Technology, Philippines,Quezon City
PHILSOCORDS,Science and Technology, Philippines,Zamboanga
PKPU,Science and Technology, Indonesia,Jakarta Timur
Poverty Reduction and Development Association (PoR-DeA),Science and Technology, Lao People's Democratic Republic,Sisattanak distr.
Research Center for Aceh Development Studies,Science and Technology, Indonesia,Lhokseumawe
Research Center for Aceh Development Studies (ReCADev),Science and Technology, Indonesia,Lhokseumawe
"Science Associates for Development Programme ""SADP""",Science and Technology, Lao People's Democratic Republic,Vientiane
Science Associates for Development Programme (SADP),Science and Technology, Lao People's Democratic Republic,"Chanthabouri dist., "
"Suluk International Advocacy Foundation,Inc",Science and Technology, Philippines,"Patikul,  Sulu"
Tribal Media Group,Science and Technology, Myanmar,"Tedim PO., "
Viveka Welfare and Educational Illam Malaysia,Science and Technology, Malaysia,Selangor
Cambodian-American Organization For Human Resources Training and Development (CAO),"Religion, Belief & Ethics", Cambodia,Phnom Penh
Center for Media and Cross Cultural Studies,"Religion, Belief & Ethics", Indonesia,Lhokseumawe
Cooperation and Development Group (CDG),"Religion, Belief & Ethics", Vietnam,Hanoi
Council for the Restoration of Filipino Values (CRFV),"Religion, Belief & Ethics", Philippines,Baguio City
Council for the Restoration of Filipino Values (CRFV),"Religion, Belief & Ethics", Philippines,Baguio City
"Family Care & Preservation, Inc. (FAMICARE, Inc.)","Religion, Belief & Ethics", Philippines,Makati
Greater Heights Christian Worship Center,"Religion, Belief & Ethics", Philippines,Quezon City
Greenway,"Religion, Belief & Ethics", Thailand,Krong Hoykrong
He Cares Foundation,"Religion, Belief & Ethics", Philippines,Quezon City
Impact Philippines,"Religion, Belief & Ethics", Philippines,Quezon City
Indonesian Conference on Religion and Peace (ICRP),"Religion, Belief & Ethics", Indonesia,Jakarta
Institute for Research and Empowering Society (INRES),"Religion, Belief & Ethics", Indonesia,Surakarta
"Inter Religious Council, Malaysia","Religion, Belief & Ethics", Malaysia,Kuala Lumpur
Interfaith Communication Forum (ICF/FORKASI),"Religion, Belief & Ethics", Indonesia,KAbupaten Gorontalo
Kalinga Filipino,"Religion, Belief & Ethics", Philippines,Quezon City
Komando Barisan Rakyat/ KOBRA,"Religion, Belief & Ethics", Indonesia,Karawang
Komite Pemantau Aparatur Negara Republik Indonesia (KOPANRI),"Religion, Belief & Ethics", Indonesia,Jakarta Timur
Lembaga Kajian dan Advokasi Pesantren (LKAP),"Religion, Belief & Ethics", Indonesia,Pondokgede
LSM Metroxylon Maluku,"Religion, Belief & Ethics", Indonesia,Ambon
Mercy Mission,"Religion, Belief & Ethics", Malaysia,Kuala Lumpur
National Youth Parliament Alumni Association,"Religion, Belief & Ethics", Philippines,Quezon
Peacemakers' Circle,"Religion, Belief & Ethics", Philippines,Quezon City
PHILSOCORDS,"Religion, Belief & Ethics", Philippines,Zamboanga
PKBM WIDYATAMA,"Religion, Belief & Ethics", Indonesia,Banyuwangi
PNAN,"Religion, Belief & Ethics", Singapore,Singapore
Police Watch and Human Rights Committee,"Religion, Belief & Ethics", Malaysia,Kuala Lumpur
Regional Development Action Association ,"Religion, Belief & Ethics", Cambodia,Siem Reap
Rumah Zakat Indonesia Foundation,"Religion, Belief & Ethics", Indonesia,Bandung
"Science Associates for Development Programme ""SADP""","Religion, Belief & Ethics", Lao People's Democratic Republic,Vientiane
Science Associates for Development Programme (SADP),"Religion, Belief & Ethics", Lao People's Democratic Republic,"Chanthabouri dist., "
Special school,"Religion, Belief & Ethics", Singapore,Singapore
Spiritan Catholic Center Foundation,"Religion, Belief & Ethics", Philippines,Cebu City
"Suluk International Advocacy Foundation,Inc","Religion, Belief & Ethics", Philippines,"Patikul,  Sulu"
The People Improvement Organization (PIO),"Religion, Belief & Ethics", Cambodia,Phnom Penh
The Supreme Council for the Confucian Religion of Indonesia,"Religion, Belief & Ethics", Indonesia,Jakarta
Tribal Media Group,"Religion, Belief & Ethics", Myanmar,"Tedim PO., "
Viveka Welfare and Educational Illam Malaysia,"Religion, Belief & Ethics", Malaysia,Selangor
Xavier University Governance and Leadership Institute,"Religion, Belief & Ethics", Philippines,Cagayan de Oro City
ACT Foundation (Aksi Cepat Tanggap),Relief Services, Indonesia,"Ciputat,  Jakarta"
Action Relief,Relief Services, Indonesia,Sigli
Agency for Basic Community Development,Relief Services, Myanmar,Sanchaung Township
"Alay Kapwa Educational Foundation, Inc. ",Relief Services, Philippines,Manila
American Association of the Philippines,Relief Services, Philippines,Makati City
"American Women's Club of the Philippines, Inc. ",Relief Services, Philippines,Makati City
"Antipolo Seminary Foundation, Inc. ",Relief Services, Philippines,Paraaque City
Cambodian-American Organization For Human Resources Training and Development (CAO),Relief Services, Cambodia,Phnom Penh
"CARE, Inc. (Christian Action for Relief & Empowerment)",Relief Services, Philippines,Las Pinas City
Cooperation and Development Group (CDG),Relief Services, Vietnam,Hanoi
"Cooperative Union of Baguio City, Inc. (CUBC)",Relief Services, Philippines,Baguio City
Cornerstone Reaching Out to Souls for the Saviour (CROSS),Relief Services, Philippines,"Project 3,  Quezon City"
Council for the Restoration of Filipino Values (CRFV),Relief Services, Philippines,Baguio City
Dara Community for Development in Cambodia (DCDC-Cambodia),Relief Services, Cambodia,Phnom PenhCity
ECOLINK Philippines,Relief Services, Philippines,Oroquieta City
Fleur-de-Lis Centre for PEACE Inc.,Relief Services, Philippines,Bacolod City
"GMA Kapuso Foundation, Inc.",Relief Services, Philippines,Quezon City
"Green Valley College Foundation,Inc.",Relief Services, Philippines,Koronadal
Impact Philippines,Relief Services, Philippines,Quezon City
Integrated Qur-an Research Assembly of the Philippines,Relief Services, Philippines,Masiu
Kalinga Filipino,Relief Services, Philippines,Quezon City
KidsGrowHappy (Phils) Foundation,Relief Services, Philippines,Daet
Lakas ng Ekonomiya ng Alyansng Pilipino,Relief Services, Philippines,Mangatarem
Lembaga Penelitian dan Pengembangan Sumberdaya dan Lingkungan Hidup (LPPSLH),Relief Services, Indonesia,Purwokerto
Lingkar Association,Relief Services, Indonesia,Sleman
Marinduque Council for Environmental Concerns (MACEC),Relief Services, Philippines,"Cathedral Compound,  Boac"
Masarek Simeulue Institute,Relief Services, Indonesia,Sinabang
Mercy Mission,Relief Services, Malaysia,Kuala Lumpur
"Mindanao Integrated Resource Development, Inc. (MIRD)",Relief Services, Philippines,Zamboanga City
Mizpah Community Academy Foundation,Relief Services, Philippines,Bacor
National Youth Parliament Alumni Association,Relief Services, Philippines,Quezon
"Norwegian People's Aid, Cambodia",Relief Services, Cambodia,Phnom Penh
Open Heart Foundation Worldwide,Relief Services, Philippines,Quezon City
Orthopedically Handicapped Victims Livelihood Association,Relief Services, Philippines,Caloocan City
Our Friends Organization ,Relief Services, Cambodia,Phnom Penh
Perkumpulan untuk Kajian dan Pengembangan Ekonomi Kerakyatan - PKPEK,Relief Services, Indonesia,Yogyakarta
"Philippine NGO Support Program, Inc. (PHANSuP)",Relief Services, Philippines,Quezon City
PHILSOCORDS,Relief Services, Philippines,Zamboanga
PKPU,Relief Services, Indonesia,Jakarta Timur
Poverty Reduction and Development Association (PoR-DeA),Relief Services, Lao People's Democratic Republic,Sisattanak distr.
Quezon City Center for Women in Development (QCCWD),Relief Services, Philippines,Quezon City
Research Center for Aceh Development Studies,Relief Services, Indonesia,Lhokseumawe
Research Center for Aceh Development Studies (ReCADev),Relief Services, Indonesia,Lhokseumawe
Sao Sary Foundation,Relief Services, Cambodia,Chbar Morn
"Science Associates for Development Programme ""SADP""",Relief Services, Lao People's Democratic Republic,Vientiane
Seri Sinar Foundation(Pertubuhan Amal Seri Sinar),Relief Services, Malaysia,Hulu Langat
Socio-Economic Development Organization of Cambodia (SEDOC),Relief Services, Cambodia,Phnom Penh
Socio-economic Engineering & Environmental Development Technology (SEEDTech) Foundation Inc,Relief Services, Philippines,Cotabato City
Special school,Relief Services, Singapore,Singapore
"Suluk International Advocacy Foundation,Inc",Relief Services, Philippines,"Patikul,  Sulu"
The Consortium for Community Development and Social Justice Inc.,Relief Services, Philippines,Quezon City
The People Improvement Organization (PIO),Relief Services, Cambodia,Phnom Penh
The Rotary Club of  Uptown Dagupan City,Relief Services, Philippines,Dagupan
"Tribal Cooperation for Rural Development, Inc. (TRICORD NGO) ",Relief Services, Philippines, Aritao
Tribal Media Group,Relief Services, Myanmar,"Tedim PO., "
Tulong Para Sa Mga Bata Foundation,Relief Services, Philippines,Ermita
Unang Lingap Kapwa Philippines,Relief Services, Philippines,Quezon City
Women Initiative and Children Education Foundation,Relief Services, Indonesia,Sigli
"Women's Federation for World Peace, Philippines",Relief Services, Philippines,Quezon City Metro
World Vision Development Foundation,Relief Services, Philippines,Quezon City
Yayasan Talkis,Relief Services, Indonesia,Kota Tangerang
