website,email,contact_number,address,city,name,5,6,7
none,networkchild@gmail.com,55451878,"148, Jalan R.C.M. RayanIpoh Garden31400 IpohPerakMalaysia",Perak,,,,
www.angkasawan.org.my,mfaiz@angkasawan.org.my,03-22832119,"No. 4-2, Lorong Maarof,
Bangsar Park",Kuala Lumpur,,,,
asylumaccess.org,deepa.nambiar@asylumaccess.org,322015439,"No.18-B, Jalan Bangsar, 59200 Kuala Lumpur",Bangsar,,,,
www.atmah.org,gopal@atmah.org,143257573,"NO. 67, JLN PLS 1/48, TAMAN PETALING JAYA UTAMA 7",PETALING JAYA,,,,
permatacamar.com,permatacamarkuantan@gmail.com,09-5341320,"Lot 9015, Lorong Cempaka 1, Kampung Seri Cempaka, 25150, Kuantan",Kuantan,,,,
badanwarisanmalaysia.org,melanie@badanwarisan.org.my,60321449273,NO. 2 JALAN STONOR50450 KUALA LUMPUR,Kuala Lumpur,,,,
www.bubslfl.org.my,bubslfl@gmail.com,377106010,"No. 3 Jalan BU3/1, Bandar Utama, 47800 Petaling Jaya, Selangor","Petaling Jaya, Selangor",,,,
http://www.slideshare.net/allanmelvin/batu-grace-latest-profile-2013,imaraaj@gmail.com,016-3314588,"No 27, Jalan Desa Man S16/2, Taman Desa Aman",Padang Meiha Padang Serai,,,,
www.beautifulgate.org.my,shannyn@beautifulgate.org.my,603- 78758609,No.1 Jln SS2/54,Petaling Jaya,,,,
www.puchong.beautifulgate.org.my,puchong@beautifulgate.org.my,603-80600072,"No 17, Jalan Tpp 1/36, Taman Perindustrian Puchong",Puchong,,,,
http://www.befrienders.org.my/,admin@befrienders.org.my,03-79571306,95 Jalan Templer,Petaling Jaya,,,,
http//www.pafid.org.com,bpsmtpg@gmail.com,58061281,"Bengkel Perlindungan Semangat Maju703,Lorong 35, Aulong34000 Taiping",Taiping,,Facebook Profile,,
www.bethanyhome.org.my,2bethanyhome@gmail.com,192151329,"SIMPANG EMPAT,36400 HUTAN MELINTANG,PERAK",Hutan Melintang,,,,
www.bacus4u.org,bacus4u@gmail.com,60333818037,37A Jalan Raya Barat,Klang,,,,
www.biji-biji.com,share@biji-biji.com,03-62429809,"No 2, Jalan Sungkai, Off Jalan Ipoh,Taman Rainbow,51100 Kuala Lumpur.",Kuala Lumpur,,,,
http://www.boldspecial.org,boldspecial@gmail.com,604-6598611,"CO-3-GF, CARING SOCIETY COMPLEX, JALAN UTAMA, 10450 PENANG, MALAYSIA.",GEORGETOWN,,,,
,sitirahayubaharin@gmail.com,6013-669 6081,"22 Jalan SG 6/5, Batu Caves, Selangor",-,,,,
www.care4cads.my,cadscentre2011@gmail.com,166237074,"JKR 2925, Persiaran Ledang Off Jalan Duta,",Kuala Lumpur,,,,
www.calvary.org.my,shereenwongyh@gmail.com,6016 338 7171,"Lot 471 Jalan ke Kampung Ulu Chuchoh 43950 Sungai Pelek, Sepang.",Sungai Pelek,,,,
www.carif.com.my,jane.kweh@carif.com.my,03 5639 1970,"2nd Floor, Outpatient Centre,
Sime Darby Medical Centre,
Selangor Darul Ehsan.",Subang Jaya,,,,
www.caramasia.org,cynthiaann@caramasia.org,03-2282 1669,"Wisma Hamid Arshat,
12-5, Jalan Bangsar Utama 9,
Bangsar Utama",Kuala Lumpur,,,,
www.facebook.com/pages/Caressmalaysia/233091216728434,suseela_thevi@yahoo.com,03 33737200,"11A, Jalan USJ 16/2N,",Subang Jaya,,,,
catbeachpenang.com,catlovers.my@gmail.com,48811015,"715 Jalan Teluk Bahang, MK 2Teluk Bahang 11050Pulau Pinang, Malaysia",Pulau Pinang,,,,
www.case.org.my,info@case.org.my,129295481,02-3 Cova SquareJalan Teknologi Sains 1PJU 5 Kota Damansara Selangor,Petaling Jaya,,,,
cetdem.org.my,ed@cetdem.org.my,+603-7875 7767,17 Jalan SS 2 / 53 47300 Petaling Jaya Selangor,Petaling Jaya,,,,
www.challengermalaysia.org/,challengermalaysia@gmail.com,126679835,"165-3-9 Wisma Mutiara, Jalan Sungai Besi",Kuala Lumpur,,,,
www.charishospice.com,charishospice@gmail.com,1112466757,"26 & 28 LINTANG PAYA TERUBONG 3, 11060 PENANG",Pulau Pinang,,,,
www.facebook.com/ChempakaBuddhistLodge,yntan@chempaka.org.my,03-78803936,"60, Jalan SS 23/25, Taman SEA, 47400 Petaling Jaya, Selangor.",Selangor,,,,
https://www.facebook.com/cherishlifehome,cherishlifehome@live.com,390763101,"G-1, Jalan Ceria 1
Batu 9, Taman Seri Cheras
43200 Selangor",Hulu Langat,,,,
www.child.org.my,childmal@yahoo.com,163123754,"Unit 23, Tingkat 1Jalan 15/48A off Jalan Sentul51000 Kuala Lumpur",Kuala Lumpur,,,,
https://www.facebook.com/pages/Child-Rising/457205487697849?fref=ts,childrisingpg@gmail.com,-,"53 Westlands Road, 10400 Penang, Malaysia",Pulau Pinang,,,,
,feezkoh@yahoo.com,102382810,No.6 Jalan 6/21 Section 6,Petaling Jaya,,,,
,csnselangor@gmail.com,012-2786219,"No. 16, Lorong Utara A, Petaling Jaya, 46200, Selangor,",-,,,,
www.cybercare.org.my,elena@cybercare.org.my,603-8942 3488,"19, Jln PBS 14/3, Taman Perindustrian Bukit Serdang",Seri Kembangan,,,,
www.damai.org.my,info@damai.org.my,133649188,"No. 4, Lorong 1A/71J,Jalan Carey,46000 Petaling JayaSelangor",Petaling Jaya,,,,
www.facebook.com/DapurJ07/,dapurj07@gmail.com,60173477680,"45, Jalan Sg. Kapar Indah 5D,Taman Sg. Kapar Indah42200, KlangSelangor",Selangor,,,,
www.daj.org.my,desaamaljireh@gmail.com,603-87245153/8,"Desa Amal Jireh, 
Lot 340, 
Jalan Broga 1st Kilometre,",Semenyih,,,,
www.dignityandservices.com,helen@dignityandservices.com,03 - 7865 3151,"Peti Surat 498, Jalan Sultan",Petaling Jaya,,Facebook Profile,Instagram,
www.dignityforchildren.org,barbara@dignityforchildren.org,340441397,"No. 7-3, Jalan 15/48A,
Sentul Boulevard,",Kuala Lumpur,,,,
www.dicpahang.org,dicpahang@yahoo.com,+609 5145575,"DiC Pahang
Kompleks Belia dan Sukan Pahang
Jalan Tun Ismail
25000 Kuantan
Pahang Darul Makmur
Malaysia

@

PO Box 379
Pejabat Pos Besar Kuantan
25000 Kuantan
Pahang Darul Makmur
Malaysia",Kuantan,,,,
http://www.shuangfu.org,goh@shuangfu.org,03-79831842 / 43,"125, Jalan Hujan Emas, Taman Overseas Union",Kuala Lumpur,,,,
www.ecoclubmalaysia.org,kevin@ecoclubmalaysia.org,1123246213,"KAGC, No. 9, Jalan Gereja, Kuala Lumpur",-,,,,
ecoknights.org.my,dania@ecoknights.org.my,603 7731 8361,"EcoKnights
41, Lorong Burhanuddin Helmi 11, 
Taman Tun Dr. Ismail",Kuala Lumpur,,,,
ewrf.org.my/,johor_bahru@ewrf.org.my,017-7633134,"6054A, JALAN SIANTAN 1, BANDAR INDAHPURA, 81000 KULAIJAYA, JOHOR D.T.",Johor Bahru,,,,
www.ewrf.org.my,admin@ewrf.org.my,1111663612,"No 4B, Persiaran Zaaba, Taman Tun Dr. Ismail 60000 Kuala Lumpur",Kuala Lumpur,,,,
empowered.org.my/,publicrelations@empowered.org.my,03-7726 8806,"Suite 316, Level 3 (Lift Lobby 3) Block A,
Damansara Intan e-Business Park,
No.1, Jalan SS20/27,  Petaling Jaya,
Selangor Darul Ehsan, Malaysia.",Petaling Jaya,,,,
ewb-malaysia.org/,gplaudrey@gmail.com,60143371707,"2A Jalan SS3/2
47300 Petaling Jaya
Selangor Malaysia",Petaling Jaya,,,,
epichome.org,info@epichome.org,+603-5613 5683,"No. 15, Jalan PJS 11/18,
Bandar Sunway,",Subang Jaya,,,,
www.ewrf.org.my,shanthi@ewrf.org.my,+603-8024 6050,"No 42, Jalan USJ9/5Q,",Subang Jaya,,,,
http://frham.org.my/index.php,frham@frham.org.my,03-56337514,"81-B, Jalan SS 15/5A,47500 Subang Jaya,Selangor Darul Ehsan",Subang Jaya,,,,
www.fernconsulting.wordpress.com,voicemsia@gmail.com,126349842,"43 Jln USJ 11 / 3 L,",Subang Jaya,,,,
www.freetreesociety.org,freetreesociety@gmail.com,123201347,142 Jalan Maarof,Bangsar,,Facebook Profile,Instagram,
www.fungatessuperflowfoundation.org,info@fungatessuperflowfoundation.org,03-58805027,"5, Jalan Jinjang Aman 16, Jinjang Utara",Kuala Lumpur,,,,
furkidsfarm.com,dennis@furkidsfarm.com,164193238,"E4-2A Indah Condo 2, Jalan PJU 10/9, Prima Damansara 47830 PJ",PJ,,,,
cerebralpalsy.org.my,cerebralpalsy.my@gmail.com,-,"A-0-1 PLAZA DAMAS 3, SRI HARTAMAS, 50480 KUALA LUMPUR",Kuala Lumpur,,,,
https://gpms.org.my/,ammarkamil8@gmail.com,175665150,"No 85 BLOK K RPA 2 FASA 2 JALAN BEMBAN 31000 BATU GAJAH,PERAK",Batu gajah,,,,
www.generasibersatu.my,izatizwan@gmail.com,+6017 655 8550,"Suite 5-01, 5th Floor, Menara Atlan, 161B, Jalan Ampang",Kuala Lumpur,,,,
gerham.simplesite.com,gerhamhq@gmail.com,60193283575,"V1/25A Blol L, Tingkat 1, Jalan PlumbumV7/V, Pusat Komersil Seksyen 7",Shah Alam,,,,
https://www.facebook.com/gibbonprotectionsociety/,ainnajihah29@gmail.com,177419503,"F4-01-02, Quarters Pergerakan Am, BN6 PGA, Bakri Batu 6, 84200, Muar, Johor,",,,,,
www.glased.org,info@glased.org,009714 5677233,"Level 16 Emirate Tower , Sheikh Zayed Road , UAE Dubai",Kuala Lumpur,,,,
www.gec.org.my,outreach@gec.org.my,60379572007,"2nd Floor, Wisma Hing, No.78, Jalan SS2/72",Petaling Jaya,,,,
www.globalstreetmission.org,jenny@globalstreetmission.org,(6)03-62588099,"GLOBAL STREET MISSION
P.O. BOX 10645
50720 Kuala Lumpur
MALAYSIA",Kuala Lumpur,,,,
www.globalstreetmission.org,jns@live.com.my,362588099,"No. 10, Pesiaran Negeri Sembilan,
Bukit Persekutuan,",Kuala Lumpur,,,,
www.goodshepherd.my,info@goodshepherd.my,603-20957406,"c/o Villamaria Good Shepherd
Lorong Setiabistari 2
Medan Damansara",Kuala Lumpur,,,,
www.gracecommunityservices.my,inquiry@gracecommunityservices.my,0333414044/ 0333414045,"No 7, Jalan Dendang 1, 
Kawasan 16, 
Berkeley Town Centre,",Klang,,,,
https://www.greatheartcharity.org.my/,info@greatheartcharity.org.my,03-5131 6107,"Blok N-6-03, The Gamuda Biz Suites,  Persiaran Anggerik Vanilla,  Kota Kemuning,  40460 Shah Alam,  Selangor.",Shah Alam,,Facebook Profile,YouTube Channel,Instagram
greenleaftheatre.org,greenleaftheatre@gmail.com,60165099421,"Lot 10, Taman Bulan, Jalan Nosoob-Hungab",Penampang,,,,
www.gtcommunitycare.org,info@gtcommunitycare.org,03-33599105,"210, Jalan Meru,",Klang,,,,
gyeongchal.ma@gmail.com,gyeongchal.ma@gmail.com,60196699907,"16,Jalan Rimbunan Matahari3, Laman Rimbunan",Kuala Lumpur,,,,
www.helpmymasjid.com,helpmymasjid@gmail.com,06-9811762,"Suite 2438-B, Parit Keroma, Jalan Dato' Haji Kosai, Bakri",Muar,,,,
www.facebook.com/HomeofPeaceKL,homeofpeacekl@gmail.com,178755676,"No. 100, Jalan Nyaman 1, Taman Bukit Indah, Jalan Klang Lama",Kuala Lumpur,,,,
www.facebook.com/hopeforautism,richliew@hotmail.com,05-5467827,"No. 88, Jalan Bulan, Taman,
Taman Westpool,",Ipoh,,,,
https://www.facebook.com/HopeMissionHome,hopemissionhome@ymail.com,+6016-565-4370,"No. 202, Lorong 7, Taman Impiana 2, Jalan Merbuk 36000 Teluk Intan",Teluk Intan,,,,
www.facebook.com/hugsmy/,ahnisothman@gmail.com,,"28, Jln.USJ12/1, USJ12,Subang Jaya47630 SelangorMalaysia",Subang Jaya,,,,
hass.life,hanifmahpa@gmail.com,013-3974643,"No 14, Jalan 4, Selayang Baru, Batu Caves",Selayang,,,,
https://www.facebook.com/ikonBeliaBersatu,fadzlishah@bioenergy2u.com,011-11100911,"F-9-1B Jalan Prima Suajana 2/c, Kajang , Selangor, Malaysia",Kajang,,,,
www.ilmu.mobi,nindya@mymobileuni.com,60377323443,"Damansara Perdana, Petaling Jaya. Selangor. Malaysia",Petaling Jaya,,,,
www.iltcmalaysia.org.my,iltcmalaysia@gmail.com,603-6093 6292,"No. 76, Jalan Taman Garing 4
Taman Garing
48000 Rawang
Selangor Darul Ehsan",Rawang,,,,
www.facebook.com/IndianLeadersAssociation,kbitr.ila@gmail.com,143858620,"701,Taman Rahang, 70100 Seremban, Negeri Sembilan",Seremban,,,,
www.facebook.com/Infinity.Youth.Association,infinity.youth.association@gmail.com,192155392,G-04 LORONG TAMBUN JAYA 5SIMPANG AMPATSEBERANG PERAI SELATANPENANG,PENANG,,,,
http://insan.org.my,contact@insan.org.my,601129470026,"No. 5, Baitul Rahmah, Jalan Rahmat, Teras Jernang",Bangi,,Facebook Profile,Instagram,
http://institutonnjaafar.com,insitutonnjaafar@gmail.com,192615931,"Institut Onn Ja'afar Volunteer Centre 324, Jalan Tuanku Abdul Rahman,","Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",,,,
www.intelligentsocietyofmalaysia.org,elan@intelligentsocietyofmalaysia.org,60129228619,"No 1,One Utama City Centre",Petaling Jaya,,,,
www.inxo.org.my,dikson@inxopro.com,168831628,Lot L1-01?1st Floor?Shaw Parade?Changkat Thambi Dollah,Kuala Lumpur,,,,
www.ipsi.com.my,ipsimal@gmail.com,42274847,"IPSI BUILDING, NO 197, JALAN ARGYLL, 10050 GEORGETOWN, PENANG",GEORGETOWN,,,,
www.iwingsmalaysia.weebly.com,iwings4u@gmail.com,163965108,No.7 Jalan Cassia 1/ks6 Bandar Botanic 41200 Klang Selangor,Klang,,,,
www.facebook.com/pg/JAROJB,jarokraf@hotmail.com,60197828189,"No 18Jalan Sungei Chat,80100 Johor BahruJohor",Johor,,,,
www.jci.cc/local/intan,intanpresident2014@gmail.com,168287675,"W.D.T. 95, 88900 Kota Kinabalu, Sabah, Malaysia",Kota Kinabalu,,,,
https://www.facebook.com/official.jejakkembarag7?fref=ts,jejakkembara_g7@yahoo.com,60126363807,"No 7452 Blok E, Jalan Sri SiantanTaman Sri Siantan, Durian Tunggal",Melaka,,,,
joy.org.my/,hoj92@yahoo.com,380704497,"No. 78A, Jalan TK1/1, Taman Kinrara, Batu 7 Jalan Puchong",Puchong,,,,
www.juaraturtleproject.com,contact@juaraturtleproject.com,94193244,KG Juara,Tioman Island,,,,
jcikk.org,secretary@jcikk.org,168474011,"72-3, 3rd Floor, Wisma New Far East, Jalan Lintas, 88300, Kota Kinabalu, Sabah, Malaysia",Kota Kinabalu,,,,
www.jcisj.org,secretary@jcisj.org,145765469,"2nd Flr, Perpustakaan Lama Sibu Jaya, Sibu Jaya 96000 Sibu, Sarawak",Sibu,,Facebook Profile,,
www.kechara.com/ksk,ksk@kechara.com,010-3333 260,"No. 17 Jalan Barat, Off Jalan Imbi, 55100 Kuala Lumpur",,,Facebook Profile,,
pakmieshelter.com,pakmie.azmi56@gmail.com,124090489,"1256 taman pknk,jalan tun razak.05200,alor setar,kedah",Alor Setar,,,,
bujangvalley.com.my,archeosungaibatu@gmail.com,04-4403668,"188, JALAN TUANKU HAMNAH 3, TAMAN TUANKU HAMINAH, 08000 SUNGAI PETANI, KEDAH",SUNGAI PETANI,,,,
,norfaiz@outlook.com,193192610,"52-10A, Jalan Sri Tanjung, Parit Jawa, Muar, Johor",Muar,,,,
https://www.facebook.com/kelabfutsal.selayangpermai,dr.kreuder@live.com,361364007,"No.79, Jalan Permai 6, Selayang Permai
68100 Batu Caves, Selangor Darul Ehsan",Batu Caves,,,,
ngohub.asia,seksc@moh.gov.my,179550822,"Klinik Kesihatan Machang, 18500 Machang Kelantan","Machang, Kelantan",,,,
www.nurinsaniah.com,jamiansarif@gmail.com,331222551,"NO 59 A,Tingkat 1 Jalan Pandan,Taman Dato' Hormat,",Telok Panglima Garang,,,,
Malaysian Rakyat Charity Club (KKRM),malaysianrakyatcharityclub@gmail.com,012-5740 937,"NO.11C, JALAN BK 1/13, TAMAN PERINDUSTRIAN BANDAR KINRARA, PUCHONG",selangor,,,,
putrajayaprihatin.com,eputrajayaprihatin@gmail.com,1132928711,Masjid Tuanku Mizan Zainal Abidin Putrajaya,Putrajaya,,,,
-,adammerz91@gmail.com,-,adammerz91@gmail.com,Kuala Krai,,,,
xxxxx,kskjalong@gmail.com,165511302,Peti Surat 358,Sungai Siput (U),,,,
,erabaruiph@gmail.com,52410399,"48A, Medan Istana, Bandar Ipoh Raya,",Ipoh,,,,
KTK ALOR SETAR,kelabthalassaemiakedah@yahoo.com,013 5993577,"No 93 kampung langgar 06500, Alor Setar, Kedah",Alor Setar,,,,
,lokesimfatt@gmail.com,6012-2228333,"NO 2, JALAN BS 5/28B,TAMAN BUKIT SERDANG,43300 SERI KEMBANGAN,",Selangor,,,,
www.facebook.com/adrfmalaysia,adrfasia@gmail.com,-,"No 26, Jalan 5/144A, Taman Bukit Cheras, Kuala Lumpur",Kuala Lumpur,,,,
www.kuasa.org,kuasa.org@gmail.com,123302030,"25 JALAN PERDANA 10/2, PANDAN PERDANA, KUALA LUMPUR, Kuala Lumpur,",Kuala Lumpur,,,,
www.theleadinstitute.org,hello@theleadinstitute.org,389336219,"No 36-3, Jalan Metro Pudu, Fraser Business Park, Off Jalan Yew, 55100",Kuala Lumpur,,Facebook Profile,YouTube Channel,Instagram
www.facebook.com/lightupborneo,lightupborneo2013@gmail.com,60163302090,"41 Jalan Radin 4, Sri Petaling",Kuala Lumpur,,,,
lionsclubofklsentul.blogspot.com,ohteikkeng@gmail.com,169268686,"5 Jalan 23/119Taman Taynton View, 56100 Kuala Lumpur",-,,,,
www.facebook.com/LostAnimalSoulsShelter,lostanimalsouls@yahoo.com,03- 61426272,"No. 1550, Jalan Merpati, Taman Zooview,",Ampang,,,,
maahadlilaytam.wordpress.com,srazikin@yahoo.com,162085994,"Lot 2978, Lorong Melati, Kampung Damai, 48050 Kuang, Selangor",Kuang,,,,
N-A,mkpms@ymail.com,03-79576897,"Bilik 4, Tingkat 4, Bangunan Sultan Salahuddin Abdul Aziz Shah, No. 16, Lorong Utara (A)",Petaling Jaya,,,,
rehabmalaysia.org,myrehabcouncil@gmail.com,603-79553510,"BILIK 3, TINGKAT 4, BANGUNAN SULTAN SALAHUDDIN ABDUL AZIZ SHAH, NO. 16, LORONG UTARA A",Petaling Jaya,,,,
www.mpksm.org.my,abc@gmail.com,125878212,"Lot 1750, Batu 4, Jalan Changloon, Kodiang 06100 Kedah",Kodiang,,,,
www.mtem.my,media@mtem.my,322846670,"24, Jalan Telawi 9,",Bangsar,,,,
www.mbnpa.org.my,mbnpa.learning@gmail.com,+6016 6261217,"ZP-02-21, Zest Point, Lebuhraya Bukit Jalil, BK 9, Bandar Kinrara",KUALA LUMPUR,,,,
https://www.facebook.com/myfastofficial/,myfastofficial@gmail.com,018-2200866,"Kompleks Penghulu Mukim Hulu LangatBatu 14, 43100 Hulu Langat",Hulu Langat,,,,
hemptech.org.my/,mfaisal@hemptech.org.my,1132697272,"J-2-15, Plaza Damas, Jalan Sri Hartamas 1,Sri Hartamas",Kuala Lumpur,,,,
www.maamandram.org,rishi.mhdm@gmail.com,-,"No.61-2A,2nd Floor,Pearl Court, Jalan Thamby Abdullah,Brickfileds,50470 Kuala Lumpur
03 2260 6016
 
http://www.facebook.com/Maamandram",Kuala Lumpur,,,,
-,malaysiahopeassociation@gmail.com,102260167,"No 1 Jalan 9b Ampang Jaya 68000 Ampang, Selangor",kuala lumpur,,,,
,mkantasamy@yahoo.com,139377651,"No.1, Jalan 15, Taman Seri Cheras, Bt.10, Cheras, 43200, Selangor, Malaysia,",-,,,,
https://www.facebook.com/maawar.welfare.rescue,maawar.welfare.rescue@gmail.com,03-79321524,"No 17, Jalan Sungai Jernih 8/1",Petaling Jaya,,,,
www.facebook.com/mycpmalaysia,mycp1malaysia@gmail.com,355691155,"Transwater API Sdn Bhd
No 35, Jalan Pengacara U1/48
Temasya Ind Park",shah alam,,,,
www.mycp.org.my,mycp@mycp.org.my,60122881456,"No 63, Taman Meru Permai,Jalan Jambu Batu 7/KU10, Jalan Jambu Kapar,",Klang,,,,
WWW.MARES.ORG.MY,9m2rzl@mares.org.my,176391632,P.O. Box 8124  Pejabat Pos Kelana Jaya 46782 Kelana Jaya Selangor,Selangor,,,,
www.maeh.org.my,vmosram@gmail.com,60133335361,"Jalan Bangsar,59590 Kuala Lumpur.",Kuala Lumpur,,,,
www.myasli.org.my,myasli@outlook.com,03-80709308,"No 3A-12, Menara KLH,
Bandar Puchong Jaya,",Puchong,,,,
www.masw.org.my,contact@masw.org.my,+60-12-6846937,"Room 2nd Floor, SSAAS Building,No. 16, Jalan Utara,46200 Petaling Jaya",Petaling Jaya,,,,
https://www.facebook.com/mayc.kualaterengganu,mayc_kt@yahoo.com,145068775,785-C KAMPUNG LOSONG HAJI MAT SYAFIE 21000 KUALA TERENGGANU,Kuala Terengganu,,,,
www.malaysiancare.org,mail@malaysiancare.org,60390582102,"15, Jalan Tasik Selatan 3,Bandar Tasik Selatan,57000 Kuala Lumpur",Kuala Lumpur,,,,
www.mcri.org.my,mcricheras@gmail.com,03-9133 7849,"No.4A Jalan 2/98 Taman Supreme, Cheras 56100 Kuala Lumpur.",KUALA LUMPUR,,,,
http://www.mkkm.org.my/mkkm1.htm,mkkmngo@gmail.com,+ 60 3 9285 0309,"25A, Jalan Kampung Pandan, 
55100 Kuala Lumpur, 
MALAYSIA",kampung pandan,,,,
www.mfdeaf.org.my,mfdjbi@gmail.com,03-80709308,"No 3A-12, Menara KLH,
Bandar Puchong Jaya,",Puchong,,,,
,dashne@zehbraa.com,60166049545,"No 30, Jalan Sungai Rasau, 32/24 Berjaya Park, 40460, Shah Alam, Selangor,",Shah Alam,,,,
www.liver.org.my,secretariat@liver.org.my,+603-78426101,"No. 26 Block C, Jalan PJU 1A/3Taipan Damansara 2, Ara Damansara",Petaling Jaya,,,,
www.mnawf.org.my,secretary@mnawf.org.my,-,"WISMA MEDIVET
NO. 8 JALAN TUN RAZAK
50400 KUALA LUMPUR
MALAYSIA",Kuala Lumpur,,,,
http://www.mns.my,partnerships@mns.org.my,03 2287 9422,"JKR 641, JALAN KELANTAN, BUKIT PERSEKUTUAN, 50480 KUALA LUMPUR.",Kuala Lumpur,,Facebook Profile,YouTube Channel,
www.miweps.org,info@miweps.org,123455073,"No 6, Changkat Semantan, DamansaraHeights",-,,,,
malaysiampa.wix.com/malaysiampa,malaysia.mpa@gmail.com,012-3260209,"1-6, BLOCK A, JALAN PJS 3/46, TAMAN SRI MANJA SQUARE",PETALING JAYA,,,,
www.mrds.org.my/,info@mrds.org.my,019-7714543,"16 Lorong 5/10D,46000 Petaling Jaya",Kuala Lumpur,,,,
http://www.msri.org.my/,admin@msri.org.my,(03) 4252 8699,"1A, Tingkat 1, Jalan Mamanda 7, Ampang Point, Ampang, Selangor",Kuala Lumpur,,Facebook Profile,YouTube Channel,Instagram
msch.org.my,tyko2686@yahoo.com,60193285928,"116, Jalan Wan Empok 2,Sri Petaling",Kuala Lumpur,,,,
https://www.facebook.com/pages/Malaysia-Parents-with-Disabilities-Association/273016262722684?ref=hl,mpda.2011@gmail.com,03-80600072,"A-04-23, Jalan Puteri 7/1, 
Sri Camelia Apartment,
Bandar Puteri Puchong,",Puchong,,,,
www.targas.com.my,targasmalaya@gmail.com,361433402,"Lot 86D, 
Batu 13, 
KG. Melayu,",Sungai Buloh,,,,
https://www.facebook.com/maxfamilymalaysia,mymaxfamily@gmail.com,377269903,"Unit 1302, Lobby 1, Block A, Damansara Intan, No.1, Jalan SS20/27",Petaling Jaya,,,,
mcchr.org/resources,resources@mcchr.org,03-22011454,A-3A-8 Pantai Business ParkJalan Pantai Baharu59200 Kuala Lumpur,-,,,,
www.mercy.org.my,info@mercy.org.my,03-77335920,"Unit 19-8, Menara Oval Damansara",Kuala Lumpur,,Facebook Profile,YouTube Channel,Instagram
www.missmalaysiaindianglobal.com,nishu39@hotmail.com,03- 22987364,"Level 28, The Gardens South Tower, Mid Valley City, Lingkaran Syed Putra",Kuala Lumpur,,,,
www.montfort.org.my,mindymbt@gmail.com,03-55191735/36,"Jalan Montfort
40150 Shah Alam,
Selangor Malaysia",Shah Alam,,,,
www.montfort.org.my,boystown.montfort@gmail.org.my,03 - 55191735/6,MONTFORT BOYS TOWNJALAN MONTFORT40150 SHAH ALAMSELANGOR.,"Shah Alam, Selangor",,,,
