address,cause_area,description,name,website
"2/F AIM Conference Center, Benavidez cor. Trasierra Sts., Legapi Village, Makati ",Charitable,"Company Description:
Asia Society was initiated in New York in 1956 by John d. Rockefeller III �to foster increased understanding and intercultural communications between and among the peoples of Asia, the Pacific and the United States�. The Asia Society Philippines Foundation, Inc. (ASPFI), one of the 10 established in Asia, was registered with the Securities and Exchange (SEC) Commission on March 22, 1999. It seeks to �strengthen relationships, deepen understanding and bridge differences across the Philippines, Asia and the United States� in �the fields of policy, business leadership, education and arts and culture�.
In 2013, in partnership with other institutions, among the forums conducted (with mostly international speakers) by ASPFI are: US foreign Policy in the 2nd Obama Administration; Asia in my Pocket- Investing in Asia series; Asia Equity in a Global Context; Leadership in the Future; Human Rights and Judicial Reforms and; China-Philippine Relationship. Other activities conducted were Holi (Indian) Festival in Manila, Discover Cambodia Tour and Asia Food Fusion. A continuing program is the Asia 21 Young Leaders Initiative that �aims to develop a critical mass of dynamic individuals, all under the age of 40, who will impact global affairs over the coming decades� by �offering them a unique opportunity to harness� their commitment collectively. The different program activities of ASPFI reached more than 3,000 participants in 2012 & 2013 whose perspectives and understanding about Asian cultures, business climates or political situations are said to have been broadened.
The first time the organization was certified was for 1-year that ended in January 17, 2001, followed by two 3-year certifications ending in January 20, 2005 and August 21, 2010 respectively. The evaluation in August, 2012 resulted to a 1-year certification covering the period ending Feb. 04, 2014.
�","Asia Society Philippine Foundation, Inc. ",www.asiasociety.org/philippines 
"AIMS MC Building, A. Arnaiz Avenue cor. Roxas Boulevard, Pasay City","Charitable,Educational","Company Description:
The Asian Institute of Maritime Studies (AIMS), Inc. is a non-stock, non-profit educational institution established and registered with the Securities and Exchange Commission (SEC) on September 22, 1993. It is a maritime school that aims to provide quality maritime education and to make a difference in other sectors. AIMS has already gone past a milestone on its 20th year and now faces its third decade of service of continuously providing world-class trade, travel and transportation education. Its main office is located at AIMS MC Building, A. Arnaiz Avenue corner Roxas Blvd. Pasay City. The school has 123 regular staff, 175 part-time staff and 3 project-based staff and 6 members of the Board of Trustees.
Its purposes, among others, are �to be The Home of Maritime Knowledge Exchange; to provide relevant, excellent, accessible learning environment in corporate and maritime education and training services; to adhere to total quality management of resources towards greater productivity and sustainability; to exceed stakeholder�s expectation with distinct services; to attain levels of institutional program accreditations and services characteristic of a center of excellence and to pursue strategic alliances and partnerships relative to corporate social responsibility�.
The institution�s programs are focused on providing education and trainings. Its operations are national and international in scope. It offers degree programs in Bachelor of Science in Naval Architecture and Marine Engineering (BSNAME), Bachelor of Science in Hotel and Restaurant Management (BSHRM), Bachelor of Science in Customs Administration (BSCA), Bachelor of Science in Business Administration (BSBA), Bachelor of Science in Computer Science (BSCS), Ladderized program of Engine Seafaring to Bachelor of Science in Maritime Transportation (BSMT), Marine Engineering (BSMarE), Ladderized Program of Deck Seafaring to Bachelor Science Master in Maritime Administration (MARAD) with five specializations, Master in Customs Administration (MCA), and Diploma/certificate Programs.
AIMS now ranks among the 10 most preferred maritime schools in the Philippines. They also have an ISO 9001-2008 Quality Management System Certification from the American Bureau of Shipping since year 2000 up to September 2017 conforming to the standards set by the International Maritime Organization (IMO). PACUCOA candidate status in Level 1 for Bachelor of Science in Marine Engineering Program, Bachelor of Science in Customs Administration Program and Bachelor of Science in Marine Transportation. For its Graduate School Programs, the CHED has selected AIMS as a provider of graduate programs: the Master in Maritime Customs Administration (MCA) and the Maritime Administration (MarAd) Programs which is awarded as Center for Excellence.  ","Asian Institute of Maritime Studies, Inc. ",www.aims.ph 
"54  Scout Madri�an Street, South Triangle, Quezon City","Religious,Charitable","Company Description:
The Asian Theological Seminary, Inc. (ATS) was registered with the Securities and Exchange Commission (SEC) as a non-stock, non-profit religious and educational corporation on September 16, 1976. It is a religious higher educational institution that prepares God�s workers for the Church in Asia. ��Its office is located at #54 Scout Madri�an Street, South Triangle, Quezon City.� The organization has 33 regular staff, 23 part-time staff , 1 volunteer staff ��and 15 members of the Board of Trustees.
�
It received a 3-year certification on September 3, 2002� that ended on September 2, 2005
It was certified for five (5) years on April 10, 2006 and which ended on April 9, 2011. It was re-certified for 5 years on October 27, 2011 and which ended on October 7, 2016.
�
Its purposes, among others, are �to train eligible students for ministry and/or research in the evangelical church; to aid the Asian churches in reaching their own goals; to train the student in the knowledge of the Bible and Biblical interpretation, biblical and systematic theology; to develop the student�s skills for the communication of Biblical truth; to inform and challenge the student to worldwide missionary concern and commitment; to arrange for active ministry in a local church through an internship program and to provide for personal spiritual growth, social development, and the strengthening of moral integrity�.
�
ATS is accredited by the Association for Theological Education in South East Asia (ATESEA), the Asia Theological Association (ATA) and recognized by the Commission on Higher Education (CHED).
�
ATS is funded through donations, grants, gifts and contributions in local and foreign currencies from donors, supporters, friends, and seminary students.�","Asian Theological Seminary, Inc. ",www.ats.ph 
"3/F ASKI Building, 105 Maharlika  Highway, Cabanatuan City","Charitable,Social Development","Company Description:
The ASKI Foundation, Inc. was registered with the SEC as a non-stock, non-profit corporation on June 23, 2008 by the founders of Alalay sa Kaunlaran, Inc. who felt the need to create an institution� apart from the Microfinance to cater to the needs of indigent� communities in� Cabanatuan. It is a social welfare organization providing direct services to indigent communities. ASKI Foundation is one of the institutions set up by the ASKI Group of Companies which includes, among others:� ASKI Microfinance; ASKI Mutual Benefit Association (MBA); Alalay Holding and Trading Corporation (AHTC); ASKI Skills and Knowledge Institute; �ASKI Multipurpose Cooperative and; ASKI Global, Limited.
�
����������� �Its main office is located at 3/F ASKI Building, 105 Maharlika� Highway, Cabanatuan City. The foundation has eleven (11) regular staff, and eight (8) members of the Board of Trustees.
�
����������� Its purposes (V-M-G), among others, are �to uplift the quality of life of communities through education, health, environment, community development services and spiritual transformation.� The Foundation�s programs/projects now focus on the following areas:�

Scholarship
Outreach
Health
Community Development
Other services

�
����������� The organization operates in Cabanatuan City.","ASKI Foundation, Inc. ", 
"Katipunan Road, Loyola Heights, Quezon City",Charitable,"Company Description:
The Ateneo de Manila University (AdeMU) began in 1859 as a primary school in Intramuros founded by Spanish priests of the Society of Jesus. In 1865 it became an institution of secondary education. American Jesuits took over its administration in 1912. In 1959, the Ateneo became a university and was registered with the SEC as a non-stock, non-profit religious institution of learning on May 31, 1963. Its main campus is located at Katipunan Road, Loyola Heights, Quezon City. The University�s Vision is �men and women for others who see God in all things and who strive for the greater glory of God and the greater service of mankind�. The Mission is �to be Lux in Domino or Light of the Lord in the world.� Its Core Values are: �Excellence and Service�. The University�s major operations include Teaching (Basic Education, College, Graduate Programs, and Professional Degrees); Research; Outreach and Formation; Integrated Non-academic Formation, Social Involvement of Faculty and Students, and; Scholarships. The University has 1,319 faculty members (full-time and part-time), 930 non-teaching staff, 318 project-based staff, and 15 members of the Board of Trustees with the University President as ex-officio member. The Loyola Schools have been accorded Center of Excellence status by the Commission on Higher Education (CHED) in 11 fields. Its Ateneo Law School is recognized by as one of the top ten law schools in the country and accredited by the Supreme Court for its legal apprenticeship program. In November 2011, PAASCU granted Level IV re-accreditation to the Loyola Schools� 21 academic programs as well as institutional accreditation to the University.","Ateneo de Manila University, Inc. ",www.ateneo.edu 
"Ateneo Avenue, Bagumbayan Sur, 4400 Naga City",Educational,"Company Description:
Ateneo de Naga was founded in 1940 by the Jesuits as a private educational institution and registered with the SEC as a non-stock, non-profit corporation. It first started as a Jesuit school for boys, then was granted by the Department of Education full recognition in 1947 as a standard four-year high school. In the same year, the college department was opened. On October 26, 1953, the all-male college became co-educational with the admission of the first batch of women. In 1999, the Commission of Higher Education granted Ateneo de Naga university status, after being recognized as the first College and High School to be accredited by the PAASCU and listed as one of the 18 excellent universities and colleges in the country. This school year, 2014-2015, the elementary department was opened as a response for the clamor of excellent Catholic basic education in the Province of Camarines Sur.
Ateneo de Naga University (ADNU) is located at Ateneo Avenue, Bagumbayan Sur, Naga City. It has 432 regular staff (teaching/non-teaching), and 15 members of the Board of Trustees. It has a student population of 6,831 in college, 270 in the graduate school, and 1,544 in high school. It was certified for 5 years on September 27, 2004 which ended on September 26, 2009. It was renewed for another 5 years on December 22, 2009 and which ended on December 21, 2014.
The University aims to produce graduates who are �fully developed, intelligent, practicing Catholics, professionally competent and socially involved�. Its task is �to form men and women for others who will be agents for social change and development in Bikol�. AdNU has a scholarship ratio of over 20% of its population, benefiting 1,507 scholars or 22.06% of the college population.
ADNU has institutional PAASCU level III accreditation and has autonomous status from CHED.
Its sources of income include : tuition fees, matriculation & other fees and other educational income, donations and grants from foundations, civic organizations, corporations, individuals, and government. ADNU has an approved budget of P476,687,055 for SY 2014-2015.",Ateneo de Naga University ,www.admu.edu.ph 
"La Purisima Street, 7000 Zamboanga City",Charitable,"Company Description:
Ateneo de Zamboanga began in 1912 as Escuela Catolica, a parochial school run by Spanish Jesuits which was later taken over by the American Jesuits in 1930. In 1948, the school was officially recognized as a Jesuit school apart from the parish and expanded after the liberation period from high school to college and then the graduate school in 1976. In 1994, it entered into a consortium with the Zamboanga Medical School Foundation and eventually took over the latter�s Medical School which eventually became the University�s School of Medicine. In 2001, Ateneo de Zamboanga was granted university status by the Commission of Higher Education and has now been granted Autonomous and full deregulation status. It has Level III re-accreditation by PAASCU and is recognized as a Center for Development in Information Technology and Center for Development in English.
Ateneo de Zamboanga University (AdZU) is located at La Purisima Street, Zamboanga City. It has 795 regular staff (teaching/non-teaching) and 15 members of the Board of Trustees. It has a student population of 3,777 in the college, 378 in the graduate school, and 1,085 in the high school, 1,349 in the grade school, 185 in the School of Medicine and 45 in College of Law.
This is the University�s second renewal for PCNC Certification. It was granted a 5-year certification for donee institution status on October 13, 2003 which ended on October 12, 2008. On its first renewal, it was granted another 5-year certification on April 8, 2010which ended on March 3, 2015.
The University shares a spiritual vision of a New Mindanao with diverse communities enjoying peace based on healing and justice and sustaining a development that nurtures faith, culture and environment, a Mindanao fully integrated in the country that is governed with integrity, providing total human security especially to the poor and hungry, as it engages in local and global solidarity: A new Mindanao at the heart of new Philippines. AdZU realizes its mission by its twofold mission: a) advancing leadership education and b) advocating social transformation, through Filipino, Catholic and Jesuit tradition.
The University�s major operations include Teaching (Basic Education, College, Graduate Programs, and Professional Degrees); Research; Outreach and Formation; Integrated Non-academic Formation, Social Involvement of Faculty and Students, and; Scholarships.
�","Ateneo de Zamboanga University, Inc. ",www.adzu.edu.ph 
"Ateneo de Manila University Campus, Katipunan Road,  Loyola Heights, Quezon City","Charitable,Social Development","Company Description:
The Ateneo Scholarship Foundation, Inc. was registered with the Securities and Exchange Commission on June 28, 2974 by a group of Ateneo alumni and friends to provide scholarship grants to deserving students from the low-middle class and poor families. It is an operating organization located at Ateneo de Manila University, Katipunan Road, Loyola Heights, Quezon City. It has eight (8) seconded staff and fifteen (15) members of the Board of Trustees.
It was certified for five years on June 17, 2003 which ended on June 16, 2008. On April 8, 2009, the Foundation renewed its certification and was given another five years which ended on April 7, 2014. It was only recently that it was granted a certificate of accreditation from the Department of Science and Technology, hence, the delay of its submission of a government accreditation and the submission of the Evaluation Report to the PCNC Board.   Its purposes (V-M-G), among others, are �promote research, studies, and instruction in the natural and social sciences and in the humanities. It also aims to increase scholarship funding and to further the democratization of access to educational opportunities.� The Foundation�s programs/projects now focus on the following areas: � Scholarship grants� Professorial Chairs� Research
The organization operates in Quezon City with beneficiaries from different provinces studying and teaching in Ateneo de Manila University.
�","Ateneo Scholarship Foundation, Inc. ",www.ateneoscholarshipfoundation.com 
"8th Floor, 111 Paseo de Roxas Building, Paseo de Roxas cor. Legaspi St. Legaspi Village, Makati City",Charitable,"Company Description:
The Ayala Foundation was registered with the Securities and Exchange Commission (SEC) as a non-stock, non-profit corporation on December 28, 1961. It has been granted an extension of another 50 years by SEC last July 27, 2010. It was initially founded and named Filipinas Foundation, Inc. (FFI), based on the need �to push the frontiers of knowledge and abolish poverty and privation in whatever form among the people of the Philippines�. It is a pioneering corporate foundation of the Ayala group of companies at the time. After 1986 People Power Revolution, it renewed its commitment to the country for a great sense of hope and eagerness to contribute to national development. �In 1990, FFI was renamed Ayala Foundation, signifying the renewed commitment of the Ayala group of companies to responding to the needs of a changing society. Over the years, AFI has implemented and operates in almost all regions of the country through partnership with government, non-government, corporate, and community-based organizations, and private individuals. Its main office is located at 8/F 111 Paseo de Roxas Building, corner Paseo de Roxas & Legaspi Streets, Legaspi Village, Makati City. The foundation has 81 regular staff, 19 project-based staff, 10 consultants, and 41 volunteers and 11 members of the Board of Trustees.
�
It was first certified 5 years on January 7, 2000 and which ended on January 6, 2005. First Renewal was for 5 years on June 7, 2005 and which ended on June 6, 2010. Second Renewal was for 5 years on August 6, 2010 and which will end on July 1, 2015.��
�
Its purposes, among others, are �to envision communities where people are productive, creative, self-reliant and proud to be Filipino; to act as catalyst for inclusion to bridge community and business aspirations; and to build and nurture partnerships with public and private groups, civil society and Ayala to achieve impact, scale and sustainability for everyone involved.� The foundation focuses on the following program areas: Education, Youth Leadership, Sustainable Livelihood, Arts & Culture, Disaster Response, and other special projects.
�
�","Ayala Foundation, Inc. ",www.ayalafoundation.org 
"Unit B, 4/F CTF Tower, San Rafael St., Brgy. Plainview, Mandaluyong City",Charitable,"Company Description:
The Bahay ng Diyos Foundation, Inc. was registered with the SEC as a non-stock, non-profit corporation on 7/17/2006 by a group of incorporators who were interested in extending financial and logistical assistance in the construction, rehabilitation, reconstruction and maintenance of churches in the Philippines. It is a grant making private organization. Its main office is located at the Unit B, 4th floor, CTF Tower, #34 San Rafael St., Barangay Plainview, Mandaluyong City. The foundation has a regular full time staff of 2, another 2 seconded staff, and 13 members of the Board of Trustees.
�
It was certified on May 03, 2011 and was granted a one-year certification which lapsed on April 01, 2012. In February 23, 2015, it was given a three-year certification which lapsed on June 11, 2016.
�
Its purposes, among others, are �to assist in restoring and enhancing the beauty, historic value, and religious significance of parish-churches.� Current projects are focused on church restorations nationwide.","Bahay ng Diyos Foundation, Inc ", 
"4/F CCP Bldg., CCP Complex,  Blvd., Pasay City",Charitable,"Company Description:
Ballet Philippines Foundation, Inc. was registered with the SEC as a non-stock, non-profit corporation on June 23, 1977. Founded in 1969 by Alice Reyes with the support of Eddie Elejar and the Cultural Center of the Philippines, Ballet Philippines (BP) is widely recognized today as a cornerstone of the Filipino cultural identity. It is an operating cultural organization. Its main office is located at 4/F CCP Bldg., CCP Complex Roxas Blvd., Pasay City. The foundation has 60 regular staff, 5 project-based staff, 8 Part-time Staff , 15 Volunteers and 17 members of the Board of Trustees.
Its purposes (V-M-G), among others, are �to discover and nurture young talents in dance to the highest standards of excellence; to establish and maintain an artistic company for the performance of dance: folk, classical or modern or any forms or variations thereof�. The Foundation�s programs/projects now focus on the following areas: Arts Education Program; Dance Scholarship Program and National Outreach Tours. Geographical scope of programs: Nationwide and overseas.
It was certified for 3 years on April 12, 2012 and which ended on April 16, 2015.
�","Ballet Philippines Foundation, Inc. ",www.ballet.ph 
