address,city,contact_number,country,description,email,name,website
"Jl. Mayor Bismo No.44 Pare
Kediri",Kediri,0287-396561,Indonesia,"['Jl. Mayor Bismo No.44 Pare', 'Kediri Ph. 0287-396561; 081330726739 ']",,Forum Pemantau Konstitusi Kediri(Formasi Kediri),
"Jl. Airlangga No.16 B
Medan",Medan,061-4516338,Indonesia,"['Jl. Airlangga No.16 B', 'Medan 20112 Ph. 061-4516338; 4535016 Fax. 061-4564794', 'Email: laras@indosat.net.id']",laras@indosat.net.id,Gerakan Anti Narkoba(GAN),
"Jl Sei Serapuh No.20
Medan",Medan,061-4579002,Indonesia,"['Jl Sei Serapuh No.20', 'Medan 20119 Ph. 061-4579002; 085262881433 (Fajar) Fax. 061-4579002']",,Gerakan Pelajar Hijau(GPH),
"l.Sukonandi II Komp.Leppin No.4A Kel.Semaki Kec.Umbulharjo
Yogyakarta",Yogyakarta,0274-554457,Indonesia,"['l.Sukonandi II Komp.Leppin No.4A Kel.Semaki Kec.Umbulharjo', 'Yogyakarta Ph. 0274-554457 ']",,Gerakan Solidaritas Konsumen Indonesia,
"Jl. Karang Luas, Desa Bulucina
Kec. Hamparan Perak
Deli Serdang",Deli Serdang,061-75080745,Indonesia,"['Jl. Karang Luas, Desa Bulucina\nKec. Hamparan Perak', 'Deli Serdang Ph. 061-75080745/42 ']",,Gugah Nurani Indonesia Medan Deli Serdang CDP(GNI Medang Deli Serd),
"Jl. Cendrawasih III No.13, RT.2/RW.3
Gandaria Selatan, Cilandak,
Jakarta 12420 ",,,Indonesia,"['Jl. Cendrawasih III No.13, RT.2/RW.3\nGandaria Selatan, Cilandak,', 'Jakarta 12420 ']",,Himpunan Pendidik Dan Tenaga Kependidikan Anak Usia Dini Indonesia(Himpaudi),
"Jl. KH Wahied Hasyim No.2
Jakarta",Jakarta,021-3920746,Indonesia,"['Jl. KH Wahied Hasyim No.2', 'Jakarta 10340 Ph. 021-3920746 Fax. 021-39837302', 'Email: secretariat@@humanitarianforum indonesia', 'Web: www.humanitarianfoumindonesia.org']",secretariat@@humanitarianforum indonesia,Humanitarian Forum Indonesia(HFI),www.humanitarianfoumindonesia.org
"Jln: Rawamangun Muka Selatan VII/42
Kelurahan Rawamangun
Jakarta",Jakarta,021-22471218,Indonesia,"['Jln: Rawamangun Muka Selatan VII/42\nKelurahan Rawamangun', 'Jakarta 13220 Ph. 021-22471218; 081314414027 ', 'Email: ayu1386@gmail.com', 'Web: www.ippi.or.id']",ayu1386@gmail.com,Ikatan Perempuan Positif Indonesia(IPPI),www.ippi.or.id
Jl. Batukramat No.19 Batuampar Kramatjati,,,Indonesia,"['Jl. Batukramat No.19 Batuampar Kramatjati', 'Jakarta 13520 Email: sejarahs@gmail.com', 'Web: www.sejarahsosial.org']",sejarahs@gmail.com,Institut Sejarah Sosial Indonesia(ISSI),www.sejarahsosial.org
Gang Tenggiri II No.69 Perumnas II Waena,,,Indonesia,"['Gang Tenggiri II No.69 Perumnas II Waena', 'Jayapura 99351 Email: admin@ilalangpapua.org', 'Web: www.ilalangpapua.org']",admin@ilalangpapua.org,Institut Toleransi Keberagaman dan Pelestarian Lingkungan Papua(Ilalang Papua),www.ilalangpapua.org
"Jl. Attahiriyah No 29, Pasar Minggu
Jakarta",Jakarta,021-7981190,Indonesia,"['Jl. Attahiriyah No 29, Pasar Minggu', 'Jakarta 12510 Ph. 021-7981190 Fax. 021-7981190', 'Email: infoicjr@icjr.or.id', 'Web: www.icjr.or.id']",infoicjr@icjr.or.id,Institute for Criminal Justice Reform(ICJR),www.icjr.or.id
"Perumahan Taman Pondok Cabe
Blok A1 No.1
Pondok Cabe Udik Pamulang
Tangerang Selatan",Tangerang Selatan,021-7422744,Indonesia,"['Perumahan Taman Pondok Cabe\nBlok A1 No.1\nPondok Cabe Udik Pamulang', 'Tangerang Selatan Ph. 021-7422744 Fax. 021-7422744', 'Email: intac_indonesia@yahoo.com']",intac_indonesia@yahoo.com,Intac Indoneisa(Intac),
"Deutche Bank Building
11th Floor Suite 1101
Jl.Imam Bonjol 80
Jakarta",Jakarta,021-39831401,Indonesia,"['Deutche Bank Building\n11th Floor Suite 1101\nJl.Imam Bonjol 80', 'Jakarta 10310 Ph. 021-39831401 Fax. 021-39831402', 'Email: ipriaryani@iri.org', 'Web: www.iri.org']",ipriaryani@iri.org,International Replubican Institute(IRI),www.iri.org
"Jl.Situ Babakan No.25A Srengseng Sawah
Jakarta",Jakarta,0812-9797007,Indonesia,"['Jl.Situ Babakan No.25A Srengseng Sawah', 'Jakarta 12640 Ph. 0812-9797007; 0813-840.20.555 ', 'Web: www.jakartarescue.org']",,Jakarta Rescue(Jakarta Rescue),www.jakartarescue.org
"Jl. Parit Haji Husin II Komplek Permata Paris No. A10, Kelurahan Bangka Belitung Darat,
Kecamatan Pontianak Tenggara
Pontianak",Pontianak,0561-746584,Indonesia,"['Jl. Parit Haji Husin II Komplek Permata Paris No. A10, Kelurahan Bangka Belitung Darat,\nKecamatan Pontianak Tenggara', 'Pontianak Ph. 0561-746584 Fax. 0561-746584', 'Email: jariborbar@yahoo.com /sekretariatwilayah@jariborneo.org', 'Web: jariborneo.org']",jariborbar@yahoo.com /sekretariatwilayah@jariborneo.org,Jari Indonesia Borneo Barat(Jari Borneo Barat),jariborneo.org
"Jl. Sempur Kaler No 30, Sempur, Bogor Tengah
Kota Bogor",Kota Bogor,0251-8574842,Indonesia,"['Jl. Sempur Kaler No 30, Sempur, Bogor Tengah', 'Kota Bogor 16129 Ph. 0251-8574842 ', 'Web: www.jipk.or.id']",,Jaringan Pemantau Independen Kehutanan(JPIK),www.jipk.or.id
"Jl. Cililitan Kecil III No.12
Kramatjati, Jakarta Timur
13640
Telp. 62-21-8091617
Jakarta ",,,Indonesia,"['Jl. Cililitan Kecil III No.12\nKramatjati, Jakarta Timur\n13640\nTelp. 62-21-8091617', 'Jakarta ']",,Jaringan Pemantau Pendidikan Indonesia(JPPI),
"Jl. Kendal (depan pasar) Desa Mertapada Wetan, Kec. Astanajapura
Cirebon",Cirebon,0231-636700,Indonesia,"['Jl. Kendal (depan pasar) Desa Mertapada Wetan, Kec. Astanajapura', 'Cirebon 45181 Ph. 0231-636700 ', 'Email: info@jinggamedia.org']",info@jinggamedia.org,Jingga Media(Jingga Media),
"Jl. Radial Rumah Susun Blok 32 t.1 No.8 Rt 40 Kel. 24 Ilir
Palembang 30135 ",,,Indonesia,"['Jl. Radial Rumah Susun Blok 32 t.1 No.8 Rt 40 Kel. 24 Ilir', 'Palembang 30135 ']",,Kaganga Institute(Kaganga Institute),
"Jalan Bulak Wareng No.39, Larangan Selatan, Larangan
Tangerang",Tangerang,082310301799,Indonesia,"['Jalan Bulak Wareng No.39, Larangan Selatan, Larangan', 'Tangerang 15154 Ph. 082310301799 ', 'Email: info@kartunet.com', 'Web: www.kartunet.com']",info@kartunet.com,Karya Tunanetra(Kartunet),www.kartunet.com
"Jl. Payakumbuh No.101
Jakarta",Jakarta,021-7807769,Indonesia,"['Jl. Payakumbuh No.101', 'Jakarta Ph. 021-7807769 ']",,Kemilau Cahaya Bangsa Indonesia(KCBI),
"Komplek Kalibata Indah – Lobi-lobi U23
Jl. Rawajati Timur, Pancoran
Jakarta",Jakarta,021-27531020,Indonesia,"['Komplek Kalibata Indah – Lobi-lobi U23\nJl. Rawajati Timur, Pancoran', 'Jakarta 1750 Ph. 021-27531020; 083879130377 (Rizky) Fax. 021-27531020', 'Email: kompakjakarta@gmail.com', 'Web: www.kompakjakarta.org']",kompakjakarta@gmail.com,Komunitas Orang Muda Anti Perdagangan Orang dan Eksploitasi Seksual Anaik Jakarta(Kompak Jakarta),www.kompakjakarta.org
"Bona Indah Plaza Blok A2 No. D 12
Jl. Karang Tengah Raya Jakarta Selatan 12440

Telp. (021) 765 - 5253
Jakarta",Jakarta,021-7655253,Indonesia,"['Bona Indah Plaza Blok A2 No. D 12\nJl. Karang Tengah Raya Jakarta Selatan 12440\n\nTelp. (021) 765 - 5253', 'Jakarta 12440 Ph. 021-7655253 Fax. 021-7655253', 'Email: kompak.paramadina@gmail.com', 'Web: www.kompak.paramadina.ac.id']",kompak.paramadina@gmail.com,Komunitas Pemuda Anti Korupsi Paramadina(Kompak Paramadina),www.kompak.paramadina.ac.id
"Jl. Saudara No.19 Kleurahan Beringin IV Keamatan Medan Selayang Medan
Medan",Medan,061-8216730,Indonesia,"['Jl. Saudara No.19 Kleurahan Beringin IV Keamatan Medan Selayang Medan', 'Medan 20156 Ph. 061-8216730; 0852; 085262881433 Fax. 061-8216730;', 'Email: klika.sumut09@gmail.com', 'Web: www.klikasumut.blogspot.com']",klika.sumut09@gmail.com,Konsorsium Lestari Indonesia Kita(KLIKA),www.klikasumut.blogspot.com
"Jl. Meniting Raya No.12 Perumahan Tanjung Karang
Mataram",Mataram,087865184710,Indonesia,"['Jl. Meniting Raya No.12 Perumahan Tanjung Karang', 'Mataram Ph. 087865184710 ']",,lembaga Advokasi untuk Rakyat dan Demokrasi(LARD),
Jl. Matraman Raya No. 94,,021- 85333883,Indonesia,"['Jl. Matraman Raya No. 94', 'Ph. 021- 85333883, 85916261; 94923909;081385409990 Fax. forpek.nusantara@yahoo.com']",,Lembaga Bantuan Hukum Forum Pembela Kebenaran Nusantara(LBH Forpek),
"Jl. Vila Pamulang CG-1 No. 5 Pondok Benda, Pamulang
Tangerang Selatan",Tangerang Selatan,021-7434111,Indonesia,"['Jl. Vila Pamulang CG-1 No. 5 Pondok Benda, Pamulang', 'Tangerang Selatan 15416 Ph. 021-7434111; 081111463462 Fax. 021-7434111', 'Email: mail@lbh-keadilan.org/ keadilanuntuksemua@yahoo.com', 'Web: www.lnh-keadilan.org']",mail@lbh-keadilan.org/ keadilanuntuksemua@yahoo.com,Lembaga Bantuan Hukum Keadilan(LBH Keadilan),www.lnh-keadilan.org
"Ruko Permata Niaga Blok D No. 3-4 Komplek Sukajadi
Batam",Batam,0778-430990,Indonesia,"['Ruko Permata Niaga Blok D No. 3-4 Komplek Sukajadi', 'Batam Ph. 0778-430990 Fax. 0778-42751', 'Email: contact@lbhmawarsaron.or.id', 'Web: www.lbhmawarsaron.or.id']",contact@lbhmawarsaron.or.id,Lembaga Bantuan Hukum Mawar Saron Batam(LBH Mawar Saron Bata),www.lbhmawarsaron.or.id
"Jl Permata Hijau Bl BB/18 Kompl Pondok Hasanudin, Banjarsari, Semarang Barat
Kota Semarang",Kota Semarang,024-3557000,Indonesia,"['Jl Permata Hijau Bl BB/18 Kompl Pondok Hasanudin, Banjarsari, Semarang Barat', 'Kota Semarang 50142 Ph. 024-3557000; 3580880 Fax. 024-3580880', 'Email: lbhms_semarang@yahoo.com', 'Web: www.lbhmawarsaron.or.id']",lbhms_semarang@yahoo.com,Lembaga Bantuan Hukum Mawar Saron Semarang(LBH Mawar Saron Sema),www.lbhmawarsaron.or.id
"Gedung Klinik Ampera, Jl. Ampera No. 101, Duren Jaya, Bekasi Timur
Kota Bekasi",Kota Bekasi,081213823555,Indonesia,"['Gedung Klinik Ampera, Jl. Ampera No. 101, Duren Jaya, Bekasi Timur', 'Kota Bekasi 17111 Ph. 081213823555; 081218175954; 089617688237; 08990006212 ', 'Email: konsultasirumahkeluarga@yahoo.com', 'Web: http://rumahkeluargakita.com/']",konsultasirumahkeluarga@yahoo.com,Lembaga Bantuan Hukum Rumah Kita Bekasi(LBH Rumah Kita - Bek),http://rumahkeluargakita.com/
Jl. Rawa Bebek No. 05 RT. 003 RW. 001 Kel. Pulo Kec. Cakung,,021-5059971,Indonesia,"['Jl. Rawa Bebek No. 05 RT. 003 RW. 001 Kel. Pulo Kec. Cakung', 'Ph. 021-5059971; 081319631970 ']",,Lembaga Bantuan Hukum Sekolah(LBH Sekolah),
"Villa Wonokusumo Indah 27C
Jl. Wonokusumo Kidul
Surabaya",Surabaya,082140821973,Indonesia,"['Villa Wonokusumo Indah 27C\nJl. Wonokusumo Kidul', 'Surabaya Ph. 082140821973 ']",,Lembaga Bantuan Hukum Suara Keadilan Rakyat Indonesia(LBH Suara Keadilan R),
"Jl. Margonda Raya No.1
Depok",Depok,0812 13958215,Indonesia,"['Jl. Margonda Raya No.1', 'Depok Ph. 0812 13958215 // 0878 75027966 ', 'Email: lkpd.sekretariat@gmail.com', 'Web: www.lkpd.or.id']",lkpd.sekretariat@gmail.com,Lembaga Kajian Pembangunan Daerah(LKPD),www.lkpd.or.id
"Jl Kartini 12-B, Depok, Pancoran Mas
Depok",Depok,021-77217506,Indonesia,"['Jl Kartini 12-B, Depok, Pancoran Mas', 'Depok 16431 Ph. 021-77217506 ']",,Lembaga Konsultasi Bantuan Hukum Amalbi Depok(LKBH Amalbi - Depok),
"Jl. Jend. Sudirman No.1 Komplek Masjid Raya Sabilal Muhtadin (Samp. Sekr. BAZIS)
Banjarmasin",Banjarmasin,0511-7408412,Indonesia,"['Jl. Jend. Sudirman No.1 Komplek Masjid Raya Sabilal Muhtadin (Samp. Sekr. BAZIS)', 'Banjarmasin 70114 Ph. 0511-7408412; 08125105160 Fax. 0511-3303757,', 'Email: lkbhuwk_kalsel@yahoo.co.id']",lkbhuwk_kalsel@yahoo.co.id,Lembaga Konsultasi dan Bantuan Hukum untuk Wanita dan Keluarga Kalsel(LKBHUWK - Kalsel),
"Jln. Badak No. 47, Makassar, Sulawesi Selatan, Indonesia
Makassar",Makassar,0411-2911087,Indonesia,"['Jln. Badak No. 47, Makassar, Sulawesi Selatan, Indonesia', 'Makassar Ph. 0411-2911087; 0812 4202 3997 ', 'Email: rahmi_tin@yahoo.co.id']",rahmi_tin@yahoo.co.id,lembaga Peduli Tanah Air(Petir),
"Jl. Pandawa RT.15 Kelurahan Guntung Paikat Kecamatan Banjarbaru Selatan
Banjarbaru",Banjarbaru,081351342752,Indonesia,"['Jl. Pandawa RT.15 Kelurahan Guntung Paikat Kecamatan Banjarbaru Selatan', 'Banjarbaru Ph. 081351342752 ']",,Lembaga Pemantau Independen Banjarbaru(LPI Banjarbaru),
"Jl. Ciputat Raya No 20.Tanah Kusir – Kebayoran Lama
Jakarta",Jakarta,021- 7238765,Indonesia,"['Jl. Ciputat Raya No 20.Tanah Kusir – Kebayoran Lama', 'Jakarta Ph. 021- 7238765 ']",,Lembaga Pengembangan Kesatuan Nasional Independen(LKPNI),
"Jl. Parialau Kelurahan Takalar Kecamatan Mappakasunggu Kab. Takalar Propinsi Sulawesi Selatan
Takalar ",,,Indonesia,"['Jl. Parialau Kelurahan Takalar Kecamatan Mappakasunggu Kab. Takalar Propinsi Sulawesi Selatan', 'Takalar ']",,Lembaga Pengembangan Masyarakat Takalar(LPMT),
"Jl. Bunga Cempaka IX No.17 C
Medan",Medan,061-8222738,Indonesia,"['Jl. Bunga Cempaka IX No.17 C', 'Medan Ph. 061-8222738 Fax. 061-8222738']",,Lembaga Riset dan Advokasi Medan(LRA Medan),
"Jl Damanhuri No.100 RT 31 Mugirejo Sungai Pinang
Samarinda",Samarinda,083247287357,Indonesia,"['Jl Damanhuri No.100 RT 31 Mugirejo Sungai Pinang', 'Samarinda Ph. 083247287357 ', 'Email: dewanpimpinanpusat@lsmtkp.com']",dewanpimpinanpusat@lsmtkp.com,Lembaga Swadaya Masyarakat Transparansi Kebijakan Pemerintah(LSM-TKP),
"Jl. Jendral Sudirman No.367 RT 02/RW 01
Batang",Batang,0823-28927250,Indonesia,"['Jl. Jendral Sudirman No.367 RT 02/RW 01', 'Batang 51214 Ph. 0823-28927250 ', 'Email: arh.batang@gmail.com']",arh.batang@gmail.com,Lingkar Studi Sosial dan Advokasi Rakyat Batang(Laskar Batang),
"Jl. Parung-Bogor Km 42, Kemang
Bogor",Bogor,0251-8612844,Indonesia,"['Jl. Parung-Bogor Km 42, Kemang', 'Bogor 16310 Ph. 0251-8612844; 8602209 Fax. 0251-8602070', 'Email: masyarakatmandiri@yahoo.com; mail@masyarakatmandiri.co.id', 'Web: www.masyarakatmandiri.org']",masyarakatmandiri@yahoo.com; mail@masyarakatmandiri.co.id,Masyarakat Mandiri(MM),www.masyarakatmandiri.org
"Jl. Abu Tuha, Desa Keutapang, Kec. Krueng, Kab. Aceh Jaya
Kabupaten Aceh Jaya",Kabupaten Aceh Jaya,085260476586,Indonesia,"['Jl. Abu Tuha, Desa Keutapang, Kec. Krueng, Kab. Aceh Jaya', 'Kabupaten Aceh Jaya Ph. 085260476586 ', 'Email: mataradja_calang@yahoo.com']",mataradja_calang@yahoo.com,Masyarakat Transparansi Peduli Aceh Jaya(Mataradja),
"Jl. Anggrek No.29 kelurahan Banjar
Mataram",Mataram,0817369180,Indonesia,"['Jl. Anggrek No.29 kelurahan Banjar', 'Mataram Ph. 0817369180 ']",,Mataram Metro Community(MMC),
"Kompleks Taman Harapan Indah (THI) Jl. Hanoman X. Blok i Nomor 14, Jelambar, West Jakarta 11460

T: 62-21-56980294, 62-21-33932211
F: 62-21-5666510
M: 62-81380001712
E: info@mimiinstitute.com
Jakarta",Jakarta,021-5698029,Indonesia,"['Kompleks Taman Harapan Indah (THI) Jl. Hanoman X. Blok i Nomor 14, Jelambar, West Jakarta 11460\n\nT: 62-21-56980294, 62-21-33932211\nF: 62-21-5666510\nM: 62-81380001712\nE: info@mimiinstitute.com', 'Jakarta 11460 Ph. 021-5698029; 33932211; 81380001712 Fax. 021-5666510', 'Email: info@mimiinstitute.com', 'Web: www.mimiinstitute.com']",info@mimiinstitute.com,Mimi Institute(Mimi Institute),www.mimiinstitute.com
"Jl KHA Dahlan no 103
Kota Yogyakarta",Kota Yogyakarta,0274-411621,Indonesia,"['Jl KHA Dahlan no 103', 'Kota Yogyakarta Ph. 0274-411621 Fax. 0274-411621', 'Email: sekretariat@mdmc.or.id', 'Web: www.mdmc.or.id']",sekretariat@mdmc.or.id,Muhammadiyah Disaster Management Center,www.mdmc.or.id
"Gedung SMESCO UKM Lantai 16
Jl. Gatot Subroto Kav. 94
Jakarta",Jakarta,021-79197088,Indonesia,"['Gedung SMESCO UKM Lantai 16\nJl. Gatot Subroto Kav. 94', 'Jakarta 12780 Ph. 021-79197088 Fax. 021-79199067', 'Email: pp.patani@pandutani.or.id']",pp.patani@pandutani.or.id,Pandu Tani Indonesia(Patani),
,,021-8609325,Indonesia,"['Jl.Pangkalan Jati V No.3 RT 011/05 Kel.Cipinang Melayu,Kec.Makasar Jakarta Timur Jakarta 13620 Indonesia\nPhone: +62 21 860 9325 or 862 8706, Fax: +62 21 862 8706\nEmail: seknas@pekka.or.id', '13620 Ph. 021-8609325; 8628706 Fax. 021-8628706', 'Email: seknas@pekka.or.id', 'Web: www.pekka.or.id']",seknas@pekka.or.id,Pemberdayaan Perempuan Kepala Keluarga(Pekka),www.pekka.or.id
"Grand Slipi Tower, Lantai 11. JL. S. Parman Kav. 22-24
Jakarta",Jakarta,021-29252303,Indonesia,"['Grand Slipi Tower, Lantai 11. JL. S. Parman Kav. 22-24', 'Jakarta 11480 Ph. 021-29252303; 29252304; Fax. 021-2594 5173', 'Email: info@peradi.or.id', 'Web: www.peradi.or.id']",info@peradi.or.id,Perhimpunan Advokat Indonesia(Peradi),www.peradi.or.id
"Jl.Pelanduk No.12 Kel.Sidodadi, Kec. Kedaton
Bandar Lampung",Bandar Lampung,081369161609,Indonesia,"['Jl.Pelanduk No.12 Kel.Sidodadi, Kec. Kedaton', 'Bandar Lampung 35147 Ph. 081369161609 ', 'Email: pbhilampung_bergerak@yahoo.co.id']",pbhilampung_bergerak@yahoo.co.id,Perhimpunan Bantuan Hukum dan Hak Asasi Manusia Indonesia - Lampung(PBHI - Lampung),
"Jl. Jembawan Raya No. 8 - 12
Semarang",Semarang,024-7603503,Indonesia,"['Jl. Jembawan Raya No. 8 - 12', 'Semarang Ph. 024-7603503, 7609648 Fax. 024-7601989', 'Email: pkbijateng@pkbi.or.id', 'Web: pkbijateng.or.id']",pkbijateng@pkbi.or.id,Perkumpulan Keluarga Berencana Indonesia Jawa Tengah(PKBI Jateng),pkbijateng.or.id
"Jl. Mayjen Sutoyo  RT 8 No.39 Gang Surya Gn.Malang
Balikpapan",Balikpapan,0542-734360,Indonesia,"['Jl. Mayjen Sutoyo  RT 8 No.39 Gang Surya Gn.Malang', 'Balikpapan 76113 Ph. 0542-734360 Fax. 0542-734360', 'Email: tikab3k3.uniba@gmail.com']",tikab3k3.uniba@gmail.com,Perkumpulan Padi Indonesia(Padi Indonesia),
"Jl. Soekarno-Hatta
Komplek Damai Langgeng Blok F No.22 Rt 07/Rw 07 Kelurahan Sidomulyo Barat Kecamatan Tampan
Pekanbaru",Pekanbaru,0761-589054,Indonesia,"['Jl. Soekarno-Hatta\nKomplek Damai Langgeng Blok F No.22 Rt 07/Rw 07 Kelurahan Sidomulyo Barat Kecamatan Tampan', 'Pekanbaru 28284 Ph. 0761-589054 ', 'Email: sekretariat@tapak.or.id', 'Web: www.tapak.or.id']",sekretariat@tapak.or.id,Perkumpulan Tapak(Tapak),www.tapak.or.id
"Jalan Jati Agung No. 8 Jatipadang
Jakarta",Jakarta,021-78845871,Indonesia,"['Jalan Jati Agung No. 8 Jatipadang', 'Jakarta 12540 Ph. 021-78845871 Fax. 021-780 6959', 'Email: huma@huma.or.id; huma@cbn.net.id', 'Web: www.huma.or.id; @perkumpulanhuma']",huma@huma.or.id; huma@cbn.net.id,Perkumpulan untuk Pembaharuan Hukum Berbasis Masyarakat(Perkumpulan HuMa),www.huma.or.id; @perkumpulanhuma
"Griya Patria Jl. Pejaten Barat No. 16E Pejaten 
Pasar Minggu
Jakarta",Jakarta,021 - 287030000,Indonesia,"['Griya Patria Jl. Pejaten Barat No. 16E Pejaten \nPasar Minggu', 'Jakarta Ph. 021 - 287030000; 81296237423 ', 'Email: potads@ymail.com; DownSyndrome-Indonesia@yahoogroups.com', 'Web: www.potads.or.id']",potads@ymail.com; DownSyndrome-Indonesia@yahoogroups.com,Persatuan Orang Tua Anak dengan Down Syndrome(Potads),www.potads.or.id
Jalan AMD Tugu Dalam No. 23 Kelurahan Kalijaga Kecamatan Harjamukti,,,Indonesia,"['Jalan AMD Tugu Dalam No. 23 Kelurahan Kalijaga Kecamatan Harjamukti', 'Cirebon Email: posbakumadincirebon@yahoo.com']",posbakumadincirebon@yahoo.com,Pos Bantuan Hukum Advokat Indonesia Cirebon(Posbakumadin Cirebon),
"Graha Mampang 1st Floor - Suite 101, Jl. Mampang Prapatan Raya Kav. 100
Jakarta",Jakarta,021-7985454,Indonesia,"['Graha Mampang 1st Floor - Suite 101, Jl. Mampang Prapatan Raya Kav. 100', 'Jakarta 12790 Ph. 021-7985454 Fax. 021-7988974', 'Email: ppkm.indonesia@gmail.com', 'Web: www.ppkmindonesia.com']",ppkm.indonesia@gmail.com,Program Perencanaan Keuangan Masyarakat(PPKM),www.ppkmindonesia.com
,,,Indonesia,[],,Pusat Advokasi Hukum dan Hak Asasi Manusia Indonesia - Sumatra Barat,
"Gedung IKM Baru Sayap Utara Jl. Farmako Sekip Utara
Yogyakarta",Yogyakarta,0274-549425,Indonesia,"['Gedung IKM Baru Sayap Utara Jl. Farmako Sekip Utara', 'Yogyakarta 55281 Ph. 0274-549425 Fax. 0274-549425', 'Email: chpm@ugm.ac.id', 'Web: www.chpm.fk.ugm.ac.id']",chpm@ugm.ac.id,Pusat Kebijakan Manajemen dan Kesehatan Fakultas Kedokteran UGM(PKMK),www.chpm.fk.ugm.ac.id
"Gedung K2, Ruang K21.08
Jl. Jenderal Sudirman 51",,021-5703306,Indonesia,"['Gedung K2, Ruang K21.08\nJl. Jenderal Sudirman 51', '12930 Ph. 021-5703306, 5727615 ext.624, 42 Fax. 021-578 54227', 'Email: pph@atmajaya.ac.id', 'Web: www.arc-atmajaya.org']",pph@atmajaya.ac.id,Pusat Penelitian HIV/Aids Unika Atma Jaya(PPH Atma Jaya),www.arc-atmajaya.org
